scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),utility_electrical:OUT(0) => bldg_a_electric:IN(0) (kW),REQUEST:utility_electrical:OUT(0) => bldg_a_electric:IN(0) (kW),AVAILABLE:utility_electrical:OUT(0) => bldg_a_electric:IN(0) (kW),op-state: bldg_a_electric,op-state: utility_electrical
blue_sky,P0000-00-00T00:00:00,0,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,1.5,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,1.83333,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,3.33333,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,3.66667,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,5.16667,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,5.5,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,7,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,7.33333,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,8.83333,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,9.16667,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,10.6667,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,11,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,12.5,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,12.8333,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,14.3333,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,14.6667,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,16.1667,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,16.5,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,18,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,18.3333,10,10,30,available,available
blue_sky,P0000-00-00T00:00:00,19.8333,0,10,0,available,grid_outage
blue_sky,P0000-00-00T00:00:00,20,0,0,0,available,grid_outage
