scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),elec_heat_pump_conv:OUT(0) => heating_supply_mux:IN(2) (kW),elec_heat_pump_conv:OUT(2) => WASTE:IN(0) (kW),electric_battery:OUT(0) => electric_supply_mux:IN(0) (kW),electric_source_mux:OUT(0) => electric_battery:IN(0) (kW),electric_supply_mux:OUT(0) => electric_load:IN(0) (kW),electric_supply_mux:OUT(1) => elec_heat_pump_conv:IN(0) (kW),electric_utility:OUT(0) => electric_source_mux:IN(1) (kW),heating_supply_mux:OUT(0) => heating_load:IN(0) (kW),ng_grid:OUT(0) => ng_source_mux:IN(0) (kW),ng_heater_conv:OUT(0) => heating_supply_mux:IN(1) (kW),ng_heater_conv:OUT(2) => WASTE:IN(0) (kW),ng_source_mux:OUT(0) => ng_to_elec_conv:IN(0) (kW),ng_source_mux:OUT(1) => ng_heater_conv:IN(0) (kW),ng_to_elec_conv:OUT(0) => electric_supply_mux:IN(1) (kW),ng_to_elec_conv:OUT(1) => heating_supply_mux:IN(0) (kW),ng_to_elec_conv:OUT(2) => WASTE:IN(0) (kW),pv_array:OUT(0) => electric_source_mux:IN(0) (kW),pv_array:OUT(1) => WASTE:IN(0) (kW),REQUEST:elec_heat_pump_conv:OUT(0) => heating_supply_mux:IN(2) (kW),REQUEST:elec_heat_pump_conv:OUT(2) => WASTE:IN(0) (kW),REQUEST:electric_battery:OUT(0) => electric_supply_mux:IN(0) (kW),REQUEST:electric_source_mux:OUT(0) => electric_battery:IN(0) (kW),REQUEST:electric_supply_mux:OUT(0) => electric_load:IN(0) (kW),REQUEST:electric_supply_mux:OUT(1) => elec_heat_pump_conv:IN(0) (kW),REQUEST:electric_utility:OUT(0) => electric_source_mux:IN(1) (kW),REQUEST:heating_supply_mux:OUT(0) => heating_load:IN(0) (kW),REQUEST:ng_grid:OUT(0) => ng_source_mux:IN(0) (kW),REQUEST:ng_heater_conv:OUT(0) => heating_supply_mux:IN(1) (kW),REQUEST:ng_heater_conv:OUT(2) => WASTE:IN(0) (kW),REQUEST:ng_source_mux:OUT(0) => ng_to_elec_conv:IN(0) (kW),REQUEST:ng_source_mux:OUT(1) => ng_heater_conv:IN(0) (kW),REQUEST:ng_to_elec_conv:OUT(0) => electric_supply_mux:IN(1) (kW),REQUEST:ng_to_elec_conv:OUT(1) => heating_supply_mux:IN(0) (kW),REQUEST:ng_to_elec_conv:OUT(2) => WASTE:IN(0) (kW),REQUEST:pv_array:OUT(0) => electric_source_mux:IN(0) (kW),REQUEST:pv_array:OUT(1) => WASTE:IN(0) (kW),AVAILABLE:elec_heat_pump_conv:OUT(0) => heating_supply_mux:IN(2) (kW),AVAILABLE:elec_heat_pump_conv:OUT(2) => WASTE:IN(0) (kW),AVAILABLE:electric_battery:OUT(0) => electric_supply_mux:IN(0) (kW),AVAILABLE:electric_source_mux:OUT(0) => electric_battery:IN(0) (kW),AVAILABLE:electric_supply_mux:OUT(0) => electric_load:IN(0) (kW),AVAILABLE:electric_supply_mux:OUT(1) => elec_heat_pump_conv:IN(0) (kW),AVAILABLE:electric_utility:OUT(0) => electric_source_mux:IN(1) (kW),AVAILABLE:heating_supply_mux:OUT(0) => heating_load:IN(0) (kW),AVAILABLE:ng_grid:OUT(0) => ng_source_mux:IN(0) (kW),AVAILABLE:ng_heater_conv:OUT(0) => heating_supply_mux:IN(1) (kW),AVAILABLE:ng_heater_conv:OUT(2) => WASTE:IN(0) (kW),AVAILABLE:ng_source_mux:OUT(0) => ng_to_elec_conv:IN(0) (kW),AVAILABLE:ng_source_mux:OUT(1) => ng_heater_conv:IN(0) (kW),AVAILABLE:ng_to_elec_conv:OUT(0) => electric_supply_mux:IN(1) (kW),AVAILABLE:ng_to_elec_conv:OUT(1) => heating_supply_mux:IN(0) (kW),AVAILABLE:ng_to_elec_conv:OUT(2) => WASTE:IN(0) (kW),AVAILABLE:pv_array:OUT(0) => electric_source_mux:IN(0) (kW),AVAILABLE:pv_array:OUT(1) => WASTE:IN(0) (kW),Stored: electric_battery (kJ),SOC: electric_battery,op-state: elec_heat_pump_conv,op-state: electric_battery,op-state: electric_load,op-state: electric_source_mux,op-state: electric_supply_mux,op-state: electric_utility,op-state: heating_load,op-state: heating_supply_mux,op-state: ng_grid,op-state: ng_heater_conv,op-state: ng_source_mux,op-state: ng_to_elec_conv,op-state: pv_array
blue_sky,P0000-00-00T00:00:00,0,0,0,0.5,0.5,187.5,0,0.5,29.6,445.1,0,0,445.1,0,186.10,29.6,228.6,0,0,0,0,187.5,187.5,187.5,0,187.5,29.6,445.1,0,0,445.1,0,186.10,29.6,228.6,187.5,0,0,0,0.5,0.5,1803886.8,0,0.5,258.2,4294967.3,0,0,4294967.3,0,1803886.3,258.2,228.6,0,0,360000.000,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,1.000,0,0,0.5,0.5,146.3,0,0.5,16.7,347.1,0,0,347.1,0,145.8,16.7,184.6,0,0,0,0,146.3,146.3,146.3,0,146.3,16.7,347.1,0,0,347.1,0,145.8,16.7,184.6,146.3,0,0,0,0.5,0.5,1803886.8,0,0.5,201.3,4294967.3,0,0,4294967.3,0,1803886.3,201.3,184.6,0,0,359964.000,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,2.000,0,0,0.5,0.5,137.3,0,0.5,16.10,325.7,0,0,325.7,0,136.8,16.10,171.9,0,0,0,0,137.3,137.3,137.3,0,137.3,16.10,325.7,0,0,325.7,0,136.8,16.10,171.9,137.3,0,0,0,0.5,0.5,1803886.8,0,0.5,188.9,4294967.3,0,0,4294967.3,0,1803886.3,188.9,171.9,0,0,359928.000,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,3.000,0,0,0.5,0.5,170.3,0,0.5,23.4,404.2,0,0,404.2,0,169.8,23.4,210.10,0,0,0,0,170.3,170.3,170.3,0,170.3,23.4,404.2,0,0,404.2,0,169.8,23.4,210.10,170.3,0,0,0,0.5,0.5,1803886.8,0,0.5,234.4,4294967.3,0,0,4294967.3,0,1803886.3,234.4,210.10,0,0,359892.000,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,4.000,0,0,0.5,0.5,139.1,0,0.5,17.6,329.9,0,0,329.9,0,138.6,17.6,173.8,0,0,0,0,139.1,139.1,139.1,0,139.1,17.6,329.9,0,0,329.9,0,138.6,17.6,173.8,139.1,0,0,0,0.5,0.5,1803886.8,0,0.5,191.3,4294967.3,0,0,4294967.3,0,1803886.3,191.3,173.8,0,0,359856.000,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,5.000,0,0,0.5,0.5,171.9,0,0.5,23.7,408.2,0,0,408.2,0,171.4,23.7,213,0,0,0,0,171.9,171.9,171.9,0,171.9,23.7,408.2,0,0,408.2,0,171.4,23.7,213,171.9,0,0,0,0.5,0.5,1803886.8,0,0.5,236.7,4294967.3,0,0,4294967.3,0,1803886.3,236.7,213,0,0,359820.000,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,6.000,0,0,0.5,0.5,140.1,0,0.5,17.9,332.2,0,0,332.2,0,139.5,17.9,174.8,0,0,0,0,140.1,140.1,140.1,0,140.1,17.9,332.2,0,0,332.2,0,139.5,17.9,174.8,140.1,0,0,0,0.5,0.5,1803886.8,0,0.5,192.7,4294967.3,0,0,4294967.3,0,1803886.3,192.7,174.8,0,0,359784.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,7.000,0,0,14.9,14.9,173.4,0,0.5,24,377.5,0,0,377.5,0,158.5,24,194.9,14.4,0,0,0,173.4,173.4,173.4,0,159,24,377.5,0,0,377.5,0,158.5,24,194.9,173.4,0,0,0,14.9,14.9,1803901.1,0,0.5,218.9,4294967.3,0,0,4294967.3,0,1803886.3,218.9,194.9,14.4,0,359748.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,8.000,0,0,127.5,127.5,127.5,0,0,17.9,18.2,17.9,0.4,0,18.2,0,0,0,127.5,544.2,0,0,127.5,127.5,127.5,0,0,17.9,18.2,17.9,0.4,0,18.2,0,17.9,0,127.5,544.2,0,0,672.3,672.3,1804550.9,0,0.5,17.9,4294967.3,17.9,0.4,4294949.1,18.2,1803878.6,0,0,671.8,544.2,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,9.000,0,0,135.8,135.8,135.8,0,0,23.4,23.9,23.4,0.5,0,23.9,0,0,0,135.8,1130.2,0,0,135.8,135.8,135.8,0,0,23.4,23.9,23.4,0.5,0,23.9,0,23.4,0,135.8,1130.2,0,0,1266.4,1266.4,1805142.7,0,0.5,23.4,4294967.3,23.4,0.5,4294943.4,23.9,1803876.2,0,0,1265.9,1130.2,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
