hours,kW
0,1.216815
1,0
2,0
3,0
4,0
5,0
6,0
7,0.830486
8,3.548256
9,2.552469
10,2.740706
11,1.473124
12,1.4674
13,1.481305
14,1.494111
15,1.49306
16,1.485148
17,1.472654
18,1.931909
19,2.358493
20,3.587483
21,4.146908
22,10.544758
23,10.184154
24,1.818233
25,1.596838
26,1.582573
27,1.582956
28,1.583828
29,1.642359
30,0.548036
31,3.530018
32,3.986924
33,2.268458
34,3.556249
35,1.176843
36,2.492035
37,3.091092
38,2.999849
39,3.252356
40,2.23357
41,1.685325
42,7.06592
43,13.666151
44,17.977871
45,23.529909
46,26.46695
47,20.668379
48,7.062449
49,3.906507
50,3.168175
51,2.880999
52,2.605777
53,2.809291
54,1.832997
55,5.233431
56,5.441362
57,2.348401
58,2.6007
59,0.363801
60,0.259691
61,0.257133
62,0.23571
63,0.229512
64,0.195419
65,0.181223
66,0.757633
67,3.031494
68,5.169642
69,6.44706
70,9.215988
71,8.954686
72,1.368178
73,1.287456
74,1.369089
75,1.393639
76,1.410816
77,1.427323
78,0.279409
79,1.545583
80,1.462385
81,1.63638
82,1.683952
83,0.061369
84,0.027553
85,0.022879
86,0.024281
87,0.022738
88,0.01976
89,0
90,0.01658
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0.709007
181,0.96429
182,0.498062
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1.475286
250,2.44355
251,0.520022
252,0.282775
253,0.199192
254,0.126148
255,0.063044
256,0.043165
257,0.042857
258,0.122855
259,0.276169
260,1.667475
261,2.580963
262,7.311834
263,8.80696
264,1.346022
265,1.15607
266,1.146229
267,1.161845
268,1.193042
269,1.231306
270,0.241487
271,0.290664
272,1.538795
273,1.565317
274,1.774217
275,0.093046
276,0.043714
277,0.043546
278,0.044339
279,0.064968
280,0.032265
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1.709346
298,2.980049
299,0.831729
300,0.455837
301,0.325856
302,0.278935
303,0.257691
304,0.158745
305,0.036554
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,1.724779
322,3.029159
323,0.910096
324,0.617589
325,0.464541
326,0.287581
327,0.198839
328,0.17464
329,0.173633
330,0.234143
331,0.20546
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,2.668445
371,2.649015
372,2.619541
373,2.415041
374,1.863563
375,1.735945
376,1.593872
377,1.119113
378,0
379,0
380,3.859235
381,2.938464
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,2.533966
393,2.21006
394,2.187023
395,0.318056
396,0.180979
397,0.147166
398,0.074243
399,0.043292
400,0.043085
401,0.042819
402,0.259781
403,0.648301
404,2.678059
405,4.072402
406,7.830432
407,6.632201
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0.82914
492,1.176784
493,0.870405
494,0.69346
495,0.53978
496,0.370629
497,0.192504
498,0.1915
499,0.813626
500,2.36811
501,2.639559
502,7.232938
503,9.406941
504,1.512419
505,0.303546
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0.360299
543,0.156703
544,0.074351
545,0.042901
546,0.134239
547,0.312342
548,2.01753
549,2.865202
550,6.680391
551,2.131022
552,0.919884
553,0.383544
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
