hours,kW
0,22.667108
1,22.628543
2,22.630067
3,22.63301
4,22.631317
5,22.644398
6,23.933044
7,28.310189
8,41.369598
9,34.785282
10,34.617371
11,28.735745
12,28.742774
13,28.778309
14,28.776194
15,28.763672
16,28.902561
17,28.900247
18,39.728042
19,36.797636
20,42.411135
21,42.421137
22,43.792901
23,38.120496
24,22.769173
25,22.754836
26,22.749896
27,22.74503
28,22.795478
29,22.823175
30,26.235339
31,39.929517
32,41.717794
33,27.959932
34,27.821438
35,21.97955
36,21.952085
37,22.029278
38,22.021776
39,22.044021
40,22.139232
41,21.971339
42,40.002681
43,44.245181
44,53.410283
45,53.480661
46,47.66235
47,38.337867
48,23.085927
49,23.009731
50,22.967263
51,22.926792
52,22.938684
53,22.941152
54,26.341591
55,40.104927
56,41.838214
57,28.019713
58,27.854353
59,21.948975
60,21.832614
61,21.865712
62,21.85631
63,21.847912
64,21.979003
65,21.894468
66,39.764748
67,43.936123
68,53.084991
69,53.107946
70,47.262258
71,37.922451
72,22.709502
73,22.676514
74,22.675901
75,22.674786
76,22.734044
77,22.759251
78,26.186663
79,39.967858
80,41.676794
81,27.864531
82,27.746063
83,21.861594
84,21.755749
85,21.795794
86,21.796057
87,21.796808
88,21.946762
89,21.893871
90,39.573144
91,43.853856
92,53.027065
93,53.046006
94,47.133359
95,37.725954
96,22.608517
97,22.59074
98,22.576529
99,22.564158
100,22.617366
101,22.626833
102,26.045199
103,39.929006
104,41.525509
105,27.865195
106,27.767424
107,21.912739
108,21.808481
109,21.844168
110,21.842493
111,21.848046
112,22.005053
113,22.031494
114,39.538873
115,43.710024
116,52.859866
117,52.918476
118,46.951232
119,37.658211
120,22.609833
121,22.614393
122,22.622092
123,22.626442
124,22.688103
125,22.685377
126,26.102787
127,39.960832
128,41.456828
129,27.943893
130,27.843514
131,21.975136
132,21.863472
133,21.895264
134,21.891541
135,21.891667
136,22.04714
137,22.102091
138,39.551486
139,43.714763
140,52.861691
141,52.889313
142,46.96437
143,37.655705
144,22.664042
145,22.665394
146,22.668217
147,22.670428
148,22.671869
149,22.666694
150,23.946735
151,30.285943
152,37.669248
153,31.196956
154,27.570255
155,21.707357
156,21.714507
157,21.720499
158,21.711231
159,21.685787
160,21.830954
161,22.007314
162,39.593563
163,40.215974
164,45.791758
165,45.798278
166,47.114164
167,44.994648
168,22.670208
169,22.658763
170,22.653553
171,22.648796
172,22.644595
173,22.657722
174,23.943514
175,28.445342
176,41.30249
177,34.760159
178,34.653993
179,28.841485
180,28.883077
181,28.882603
182,28.845693
183,28.829
184,28.941673
185,29.051716
186,39.66598
187,36.698489
188,42.27093
189,42.277075
190,43.594478
191,37.9126
192,22.650164
193,22.633184
194,22.627823
195,22.620673
196,22.678967
197,22.695651
198,26.107408
199,39.88198
200,41.551447
201,27.947763
202,27.813584
203,21.920978
204,21.876828
205,21.904926
206,21.862335
207,21.862195
208,21.995039
209,22.000894
210,39.626259
211,43.780601
212,52.878688
213,52.915976
214,47.046171
215,37.717014
216,22.625607
217,22.611469
218,22.601544
219,22.591936
220,22.651669
221,22.665568
222,26.083205
223,39.9328
224,41.490338
225,27.89262
226,27.797489
227,21.926694
228,21.818509
229,21.85712
230,21.857503
231,21.854954
232,22.00506
233,21.990862
234,39.527469
235,43.696465
236,52.840917
237,52.899458
238,46.961707
239,37.636625
240,22.561635
241,22.554711
242,22.554555
243,22.5565
244,22.621582
245,22.626985
246,26.035798
247,39.79747
248,41.435007
249,27.876217
250,27.779444
