scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),ENV:OUT(0) => chiller:IN(1) [flow: ] (kW),chiller:OUT(0) => cooling_load:IN(0) [flow: chilled_water] (kW),chiller:OUT(1) => WASTE:IN(0) [flow: ] (kW),electric_utility:OUT(0) => chiller:IN(0) [flow: electricity] (kW),REQUEST:ENV:OUT(0) => chiller:IN(1) [flow: ] (kW),REQUEST:chiller:OUT(0) => cooling_load:IN(0) [flow: chilled_water] (kW),REQUEST:chiller:OUT(1) => WASTE:IN(0) [flow: ] (kW),REQUEST:electric_utility:OUT(0) => chiller:IN(0) [flow: electricity] (kW),AVAILABLE:ENV:OUT(0) => chiller:IN(1) [flow: ] (kW),AVAILABLE:chiller:OUT(0) => cooling_load:IN(0) [flow: chilled_water] (kW),AVAILABLE:chiller:OUT(1) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:electric_utility:OUT(0) => chiller:IN(0) [flow: electricity] (kW),op-state: chiller,op-state: cooling_load,op-state: electric_utility
blue_sky,P0000-00-00T00:00:00,0,6.6,10,0,3.4,6.6,10,0,3.4,6.6,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,1,13.8,20,0,6.3,13.8,20,0,6.3,13.8,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,2,21.1,30,0,8.9,21.1,30,0,8.9,21.1,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,3,28.7,40,0,11.3,28.7,40,0,11.3,28.7,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,4,36.5,50,0,13.5,36.5,50,0,13.5,36.5,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,5,73.7,100,0,26.3,73.7,100,0,26.3,73.7,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,6,61,80,0,19,61,80,0,19,61,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,7,44.5,60,0,15.5,44.5,60,0,15.5,44.5,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,8,28.7,40,0,11.3,28.7,40,0,11.3,28.7,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,9,13.8,20,0,6.3,13.8,20,0,6.3,13.8,100,0,inf,available,available,available
blue_sky,P0000-00-00T00:00:00,10,0,0,0,0,0,0,0,0,0,100,0,inf,available,available,available
