hours,kW
0,135.677897
1,136.290922
2,136.291067
3,135.677934
4,136.29102
5,136.291141
6,136.315804
7,136.979836
8,136.418265
9,136.222531
10,135.746313
11,136.290944
12,136.291056
13,135.677929
14,136.291009
15,136.291131
16,135.677689
17,136.291084
18,136.315321
19,136.315645
20,136.315638
21,136.291029
22,135.67778
23,136.291171
24,136.291062
25,136.045052
26,135.92374
27,136.291066
28,136.291029
29,142.666584
30,143.304191
31,1585.768616
32,854.011703
33,759.488454
34,701.318206
35,681.537063
36,971.791895
37,739.400017
38,735.430429
39,725.701297
40,682.952291
41,795.793866
42,171.259117
43,171.259086
44,157.281744
45,156.643762
46,143.27972
47,136.291172
48,135.677757
49,136.291125
50,136.290974
51,135.744862
52,136.224053
53,143.27976
54,143.304681
55,1467.588902
56,644.814954
57,642.459103
58,645.241478
59,646.160604
60,1367.145352
61,623.6381
62,626.329993
63,630.339645
64,695.046848
65,1489.908278
66,171.258794
67,171.259155
68,157.281815
69,157.256979
70,143.279717
71,135.677925
72,136.291001
73,136.291123
74,135.677692
75,136.291076
76,136.291133
77,142.666439
78,143.30436
79,2419.180026
80,1068.255492
81,977.999992
82,927.208248
83,890.112488
84,1916.242693
85,814.720157
86,795.472453
87,799.361686
88,797.938413
89,1802.930192
90,171.259261
91,171.259214
92,157.28187
93,156.64379
94,143.279844
95,136.291066
96,136.070851
97,135.897943
98,136.291043
99,136.291033
100,135.677917
101,143.279635
102,143.304575
103,3081.499355
104,1265.224751
105,1182.2368
106,1059.473487
107,977.461428
108,2213.864276
109,850.817866
110,872.820213
111,903.414782
112,953.79114
113,2430.855587
114,171.258901
115,171.259276
116,157.281938
117,157.257058
118,143.279841
119,135.677756
120,136.291124
121,136.290974
122,135.742272
123,136.226645
124,136.29109
125,143.21709
126,143.316013
127,4272.261842
128,2438.350615
129,2006.402349
130,1798.952075
131,1610.896665
132,3045.436387
133,1199.324627
134,1235.738068
135,1200.801669
136,1205.086653
137,2798.308744
138,171.259454
139,171.259418
140,157.282075
141,157.257098
142,142.666457
143,136.291043
144,136.291164
