hours,kW
0,134.971334
1,134.971334
2,134.971334
3,134.971334
4,134.971334
5,134.971334
6,134.971334
7,134.971334
8,134.971334
9,134.971334
10,134.971334
11,134.971334
12,134.971334
13,134.971334
14,134.971334
15,134.971334
16,134.971334
17,134.971334
18,134.971334
19,134.971334
20,134.971334
21,134.971334
22,134.971334
23,134.971334
24,134.971334
25,134.971334
26,134.971334
27,134.971334
28,134.971334
29,141.960003
30,141.960003
31,187.567142
32,518.927403
33,520.487196
34,521.305078
35,521.606949
36,479.793163
37,523.63919
38,524.154646
39,524.494781
40,524.255543
41,297.215709
42,169.91468
43,169.91468
44,155.937341
45,155.937341
46,141.960003
47,134.971334
48,134.971334
49,134.971334
50,134.971334
51,134.971334
52,134.971334
53,141.960003
54,141.960003
55,186.467654
56,523.415681
57,524.625379
58,525.210171
59,525.673003
60,483.297482
61,526.240295
62,526.602553
63,526.753941
64,527.993566
65,301.722829
66,169.91468
67,169.91468
68,155.937341
69,155.937341
70,141.960003
71,134.971334
72,134.971334
73,134.971334
74,134.971334
75,134.971334
76,134.971334
77,141.960003
78,141.960003
79,191.770551
80,523.503568
81,524.466546
82,525.219076
83,525.682579
84,484.366661
85,526.533035
86,526.542717
87,526.834925
88,527.118156
89,300.720655
90,169.91468
91,169.91468
92,155.937341
93,155.937341
94,141.960003
95,134.971334
96,134.971334
97,134.971334
98,134.971334
99,134.971334
100,134.971334
101,141.960003
102,141.960003
103,191.163033
104,518.831363
105,520.076499
106,520.846232
107,523.58699
108,480.95154
109,526.928622
110,526.90341
111,526.909862
112,526.93405
113,299.097969
114,169.91468
115,169.91468
116,155.937341
117,155.937341
118,141.960003
119,134.971334
120,134.971334
121,134.971334
122,134.971334
123,134.971334
124,134.971334
125,141.960003
126,141.960003
127,197.722887
128,519.396562
129,517.67664
130,517.438909
131,517.770754
132,480.148556
133,519.197311
134,519.906905
135,520.552471
136,521.109055
137,299.85747
138,169.91468
139,169.91468
140,155.937341
141,155.937341
142,141.960003
143,134.971334
144,134.971334
145,134.971334
146,134.971334
147,134.971334
148,134.971334
149,134.971334
150,134.971334
151,134.971334
152,134.971334
153,134.971334
154,134.971334
155,134.971334
156,134.971334
157,134.971334
158,134.971334
159,134.971334
160,134.971334
161,134.971334
162,134.971334
163,134.971334
164,134.971334
165,134.971334
166,134.971334
167,134.971334
168,134.971334
169,134.971334
170,134.971334
171,134.971334
172,134.971334
173,134.971334
174,134.971334
175,134.971334
176,134.971334
177,134.971334
178,134.971334
179,134.971334
180,134.971334
181,134.971334
182,134.971334
183,134.971334
184,134.971334
185,134.971334
186,134.971334
187,134.971334
188,134.971334
189,134.971334
190,134.971334
191,134.971334
192,134.971334
193,134.971334
194,134.971334
195,134.971334
196,134.971334
197,141.960003
198,141.960003
199,196.462201
200,517.865224
201,517.412845
202,517.261282
203,517.176946
204,478.188044
205,517.342891
206,518.23281
207,518.984932
208,519.650908
209,298.591938
210,169.91468
211,169.91468
212,155.937341
213,155.937341
214,141.960003
215,134.971334
216,134.971334
217,134.971334
218,134.971334
219,134.971334
220,134.971334
221,141.960003
222,141.960003
223,197.609848
224,517.870275
225,517.416573
226,517.260858
227,517.713638
228,478.207005
229,519.077517
230,519.701694
231,520.280528
232,521.389232
233,298.223489
234,169.91468
235,169.91468
236,155.937341
237,155.937341
238,141.960003
239,134.971334
240,134.971334
241,134.971334
242,134.971334
243,134.971334
244,134.971334
245,141.960003
246,141.960003
247,192.636466
248,517.4415
249,518.762366
250,521.031044
251,521.959496
252,478.561915
253,520.884566
254,521.504363
255,522.078276
256,523.087243
