hours,kW
0,220.097059
1,220.097059
2,244.657932
3,247.103322
4,217.539017
5,244.657932
6,247.103322
7,217.539017
8,244.657932
9,247.103322
10,217.539017
11,244.657932
12,247.103322
13,217.539017
14,236.699063
15,247.103322
16,225.497885
17,236.699063
18,247.103322
19,225.497885
20,236.699063
21,247.103322
22,225.497885
23,236.699063
24,247.103322
25,225.497885
26,236.699063
27,247.103322
28,225.497885
29,258.781903
30,287.265278
31,618.361552
32,1064.395695
33,1064.395695
34,1064.395695
35,1080.725219
36,1047.830288
37,1064.395695
38,1064.395695
39,1064.395695
40,1064.395695
41,770.733182
42,309.590088
43,268.824606
44,224.658926
45,222.213536
46,180.493246
47,180.015843
48,228.740194
49,217.539017
50,247.103322
51,236.699063
52,225.497885
53,269.186162
54,276.861019
55,618.361552
56,1064.395695
57,1064.395695
58,1064.395695
59,1080.725219
60,1047.830288
61,1064.395695
62,1064.395695
63,1064.395695
64,1064.395695
65,770.733182
66,328.065868
67,360.075563
68,315.909884
69,283.900188
70,271.744204
71,249.661364
72,217.651669
73,250.940385
74,250.940385
75,217.651669
76,250.940385
77,273.023225
78,257.813625
79,618.361552
80,1064.395695
81,1064.395695
82,1064.395695
83,1080.725219
84,1047.830288
85,1064.395695
86,1064.395695
87,1064.395695
88,1064.395695
89,770.733182
90,328.065868
91,361.354585
92,317.188905
93,283.900188
94,273.023225
95,250.940385
96,217.651669
97,250.940385
98,332.214398
99,298.925681
100,332.214398
101,354.297237
102,339.087637
103,618.361552
104,1064.395695
105,1064.395695
106,1064.395695
107,1080.725219
108,1047.830288
109,1064.395695
110,1064.395695
111,1064.395695
112,1064.395695
113,770.733182
114,409.33988
115,442.628597
116,398.462917
117,405.811207
118,394.934244
119,332.214398
120,339.562687
121,372.851404
122,332.214398
123,339.562687
124,372.851404
125,354.297237
126,379.724643
127,618.361552
128,1064.395695
129,1064.395695
130,1064.395695
131,1080.725219
132,1047.830288
133,1064.395695
134,1064.395695
135,1064.395695
136,1064.395695
137,770.733182
138,409.33988
139,483.265603
140,439.099924
141,365.174201
142,394.934244
143,372.851404
144,298.925681
145,372.851404
146,372.851404
147,298.925681
148,372.851404
149,372.851404
150,302.424865
151,376.350588
152,392.680112
153,318.754389
154,392.680112
155,352.043106
156,318.754389
157,352.043106
158,352.043106
159,318.754389
160,335.713581
161,332.214398
162,298.925681
163,332.214398
164,332.214398
165,298.925681
166,332.214398
167,332.214398
168,298.925681
169,332.214398
170,332.214398
171,298.925681
172,332.214398
173,332.214398
174,302.424865
175,335.713581
176,352.043106
177,318.754389
178,352.043106
179,352.043106
180,278.117383
181,352.043106
182,311.406099
183,318.754389
184,335.713581
185,332.214398
186,298.925681
187,332.214398
188,332.214398
189,298.925681
190,332.214398
191,332.214398
192,298.925681
193,332.214398
194,332.214398
195,298.925681
196,332.214398
197,354.297237
198,339.087637
199,618.361552
200,1064.395695
201,1064.395695
202,1064.395695
203,1080.725219
204,1047.830288
205,1064.395695
206,1064.395695
207,1064.395695
208,1064.395695
209,770.733182
210,409.33988
211,483.265603
212,439.099924
213,365.174201
214,394.934244
215,372.851404
216,298.925681
217,372.851404
218,372.851404
219,298.925681
220,372.851404
221,394.934244
222,339.087637
223,618.361552
224,1064.395695
225,1064.395695
