hours,kW
0,397.708894
1,397.708892
2,393.087235
3,397.708884
4,416.57718
5,449.781915
6,529.786839
7,516.501097
8,479.021502
9,443.454423
10,361.194483
11,344.362574
12,363.695123
13,363.787212
14,344.362534
15,363.633652
16,471.35015
17,555.575829
18,574.849268
19,529.786823
20,525.163782
21,492.052459
22,461.638192
23,404.629595
24,474.680263
25,482.035624
26,462.732677
27,482.035627
28,493.548512
29,559.699078
30,4480.232218
31,4567.453449
32,3458.070988
33,3223.749841
34,2957.967939
35,2822.990913
36,3265.337061
37,2780.196436
38,2688.137007
39,2504.443645
40,2474.940395
41,2851.315967
42,2186.71375
43,2217.579391
44,2094.561087
45,2143.405791
46,588.742889
47,504.176813
48,484.594324
49,466.016011
50,471.666183
51,482.035608
52,484.615024
53,568.632792
54,2409.589463
55,2724.765133
56,2218.403913
57,2260.253848
58,2165.400353
59,2171.285282
60,2717.408244
61,1937.398658
62,2048.446483
63,2075.266446
64,2377.31053
65,3078.870845
66,2142.154072
67,2059.485425
68,2088.410674
69,2162.183592
70,605.490458
71,520.008404
72,493.636968
73,467.347053
74,486.100163
75,480.88263
76,484.650495
77,575.982289
78,3617.997733
79,3596.465985
80,3045.271444
81,3097.73747
82,2886.707984
83,2866.806531
84,3471.672645
85,2542.580274
86,2574.267045
87,2633.846714
88,2783.389613
89,3315.358269
90,2382.512329
91,2286.005513
92,2293.716992
93,2271.401149
94,559.981289
95,494.667161
96,482.781365
97,463.478431
98,482.035628
99,474.680232
100,481.600967
101,571.646586
102,2974.146746
103,3982.137871
104,3465.575158
105,3398.057951
106,2957.221143
107,2830.08766
108,3511.398616
109,2618.603886
110,2671.315529
111,2744.01579
112,3080.215169
113,3802.98222
114,2988.463148
115,3036.604475
116,3327.715511
117,3477.933974
118,560.354157
119,494.29428
120,483.15429
121,463.851317
122,482.780155
123,475.798883
124,489.329203
125,564.202759
126,4331.811316
127,5697.217435
128,4907.319869
129,4383.4195
130,4065.380805
131,3736.495445
132,4175.251059
133,3018.263162
134,3048.684749
135,3053.451261
136,3381.32333
137,4075.654952
138,3148.858575
139,2950.910583
140,3028.175497
141,3091.735863
142,560.354119
143,494.294286
144,406.183649
145,386.880696
146,405.065012
147,397.709604
148,411.98567
149,454.316632
150,4223.891166
151,4043.006499
152,3641.132398
153,3081.107136
154,2794.821794
155,2462.179758
156,2170.218217
157,1993.171204
158,1684.148856
159,1771.862117
160,2168.45995
161,2473.280381
162,562.991314
163,537.203948
164,529.788981
165,487.58094
166,454.314457
167,423.933251
168,385.761326
169,405.034823
170,397.708884
171,385.761339
172,423.902996
173,454.315925
174,525.165073
175,508.170788
176,495.712525
177,419.834197
178,356.308667
179,363.695064
180,387.445861
181,404.242402
182,375.695582
183,344.361087
184,471.350178
185,574.849295
186,555.57581
187,537.112672
188,529.786819
189,487.519692
190,454.313716
191,416.577177
192,470.088135
193,474.680238
194,482.035583
195,462.732664
196,500.903899
197,564.202764
198,4735.54059
199,4973.703591
200,4112.217514
201,3778.72319
202,3507.496307
203,3388.836789
204,3869.19349
205,2805.33829
206,3008.570032
207,2960.988324
208,3130.7083
209,3878.541851
210,2962.899268
211,2842.628771
212,2886.374503
213,2864.75004
214,555.029186
215,494.667182
216,482.781362
217,462.732675
218,482.035625
219,474.680235
220,488.95487
221,564.202771
222,3678.385287
223,4955.427466
224,4181.523828
225,3926.86931
226,3489.18002
227,3220.920327
228,3734.130713
229,2786.489214
230,2975.397632
231,2869.735435
232,3029.251207
233,3680.873043
234,2664.997995
235,2516.36858
236,2541.153353
237,2525.896437
238,552.998769
239,494.2943
240,483.154264
241,463.851333
242,482.781399
243,475.798892
244,490.074951
245,564.948545
246,3739.089734
247,4164.759289
248,3342.291369
249,3157.451284
250,2796.653067
251,2573.851478
252,2765.986255
253,1991.241942
254,2069.6578
255,2079.921554
256,2323.030743
257,2996.823766
258,2043.735106
259,1973.879212
260,2044.614646
261,2001.897488
262,633.568605
263,516.40557
264,485.52606
265,479.892716
266,488.366317
267,474.249972
268,504.464806
269,570.496872
270,3503.578043
271,3250.523604
272,2682.534628
273,2722.779441
274,2557.051688
275,2485.921526
276,3091.44802
277,2224.534733
278,2210.487227
279,2159.524021
280,2369.985244
281,2873.604435
282,1998.580425
283,1919.166713
284,1940.379064
285,2035.199119
286,561.076771
287,494.294304
288,475.076265
289,471.929341
290,482.781341
291,467.72089
292,498.152983
293,564.94855
294,3333.000264
