hours,kW
0,397.678019
1,397.678017
2,385.730474
3,397.678009
4,416.546305
5,442.337479
6,529.755963
7,516.229348
8,484.497565
9,443.88504
10,368.41191
11,344.331698
12,356.279231
13,356.281421
14,344.331659
15,356.277809
16,471.319275
17,555.544954
18,567.492512
19,529.755948
20,517.80841
21,492.021583
22,454.282873
23,404.598719
24,474.649387
25,474.64937
26,462.701801
27,474.649379
28,493.517637
29,552.224309
30,688.702179
31,805.068148
32,1552.281287
33,1495.161852
34,1419.025185
35,1418.820576
36,1408.729041
37,1482.170949
38,1481.544744
39,1481.280584
40,1594.561354
41,1483.985247
42,1197.125204
43,1160.075232
44,951.430077
45,915.26169
46,550.402832
47,496.609544
48,484.542451
49,467.519379
50,471.635307
51,474.649368
52,484.584148
53,561.157828
54,695.468838
55,799.646408
56,1550.20974
57,1494.639163
58,1419.789867
59,1420.32493
60,1351.831985
61,1421.213324
62,1421.872314
63,1422.515942
64,1570.742875
65,1482.472592
66,1173.77875
67,1136.999276
68,927.835766
69,888.921435
70,556.728464
71,505.651754
72,486.783513
73,470.791204
74,486.783509
75,486.783485
76,489.659501
77,576.305981
78,748.230089
79,838.543565
80,1588.320106
81,1535.900978
82,1462.714453
83,1462.74899
84,1391.628805
85,1461.201097
86,1463.807016
87,1464.95793
88,1580.94617
89,1474.027683
90,1146.445885
91,1100.456908
92,888.334497
93,850.398826
94,552.595036
95,494.636286
96,475.39516
97,463.447556
98,474.649388
99,474.649356
100,481.570092
101,564.171886
102,684.13106
103,801.018797
104,1557.746807
105,1505.613032
106,1430.558508
107,1432.933463
108,1363.26417
109,1431.006605
110,1432.576558
111,1433.064924
112,1548.572891
113,1442.841567
114,1140.127042
115,1102.27808
116,890.111668
117,852.228111
118,552.967916
119,494.263404
120,475.768043
121,463.820442
122,475.395161
123,475.768008
124,481.942981
125,564.171883
126,688.155848
127,803.98338
128,1558.844677
129,1505.229853
130,1431.424065
131,1436.694738
132,1371.737841
133,1446.187874
134,1446.839647
135,1439.311979
136,1549.198977
137,1443.210103
138,1140.40639
139,1102.586347
140,890.285059
141,852.150722
142,552.967908
143,494.263411
144,398.797411
145,386.849821
146,397.678762
147,397.678729
148,404.599475
149,454.285757
150,684.240427
151,660.396888
152,979.405987
153,922.553728
154,847.2385
155,853.706693
156,862.906611
157,865.909559
158,511.907957
159,503.525677
160,615.467662
161,607.534434
162,555.547111
163,529.758137
164,529.758106
165,480.075477
166,454.283581
167,416.547019
168,385.730451
169,397.67804
170,397.678008
171,385.730463
172,416.546305
173,454.285049
174,517.808397
175,508.139912
176,488.355746
177,419.803321
178,356.277792
179,356.279266
180,348.376378
181,368.415518
182,364.36867
183,344.330212
184,471.319302
185,567.492509
186,555.544935
187,529.755977
188,529.755944
189,480.074055
190,454.28284
191,416.546302
192,462.701821
193,474.649362
194,474.649386
195,462.701788
196,493.517665
197,564.171888
198,686.360274
199,803.326197
200,1553.480295
201,1499.172974
202,1425.038248
203,1426.459397
204,1357.383882
205,1428.73772
206,1429.467624
207,1430.429037
208,1546.072857
209,1439.851774
210,1137.436311
211,1099.627681
212,888.539594
213,850.72186
214,552.59501
