hours,kW
0,425.313999
1,425.313999
2,425.313999
3,425.313999
4,425.313999
5,425.313999
6,425.313999
7,425.313999
8,425.313999
9,425.313999
10,425.313999
11,425.313999
12,425.313999
13,425.313999
14,425.313999
15,425.313999
16,425.313999
17,425.313999
18,425.313999
19,425.313999
20,425.313999
21,425.313999
22,425.313999
23,425.313999
24,425.313999
25,425.313999
26,425.313999
27,425.313999
28,425.313999
29,453.972322
30,453.972322
31,654.681042
32,1735.225001
33,1733.486749
34,1733.00641
35,1732.675399
36,1612.818027
37,1740.361909
38,1740.273325
39,1740.160692
40,1736.797448
41,1005.328571
42,568.605617
43,568.605617
44,511.28897
45,511.28897
46,453.972322
47,425.313999
48,425.313999
49,425.313999
50,425.313999
51,425.313999
52,425.313999
53,453.972322
54,453.972322
55,648.646042
56,1732.633645
57,1732.354473
58,1732.214472
59,1732.127591
60,1611.483716
61,1732.022726
62,1731.974117
63,1731.96285
64,1737.215352
65,1019.159245
66,568.605617
67,568.605617
68,511.28897
69,511.28897
70,453.972322
71,425.313999
72,425.313999
73,425.313999
74,425.313999
75,425.313999
76,425.313999
77,453.972322
78,453.972322
79,672.416963
80,1749.633452
81,1746.964277
82,1746.11886
83,1745.378119
84,1628.716502
85,1745.913139
86,1744.327871
87,1744.199967
88,1744.151459
89,1022.791188
90,568.605617
91,568.605617
92,511.28897
93,511.28897
94,453.972322
95,425.313999
96,425.313999
97,425.313999
98,425.313999
99,425.313999
100,425.313999
101,453.972322
102,453.972322
103,674.917507
104,1737.99627
105,1736.47781
106,1735.523728
107,1734.962689
108,1619.274042
109,1734.686966
110,1734.401379
111,1734.331497
112,1734.484276
113,1016.137072
114,568.605617
115,568.605617
116,511.28897
117,511.28897
118,453.972322
119,425.313999
120,425.313999
121,425.313999
122,425.313999
123,425.313999
124,425.313999
125,453.972322
126,453.972322
127,704.30133
128,1755.895137
129,1741.153434
130,1738.460595
131,1737.205212
132,1630.251327
133,1735.803307
134,1735.458202
135,1735.303699
136,1735.386973
137,1022.134608
138,568.605617
139,568.605617
140,511.28897
141,511.28897
142,453.972322
143,425.313999
144,425.313999
145,425.313999
146,425.313999
147,425.313999
148,425.313999
149,425.313999
150,425.313999
151,425.313999
152,425.313999
153,425.313999
154,425.313999
155,425.313999
156,425.313999
157,425.313999
158,425.313999
159,425.313999
160,425.313999
161,425.313999
162,425.313999
163,425.313999
164,425.313999
165,425.313999
166,425.313999
