hours,kW
0,411.106009
1,411.106009
2,411.106009
3,411.106009
4,411.106009
5,411.106009
6,411.106009
7,411.106009
8,411.106009
9,411.106009
10,411.106009
11,411.106009
12,411.106009
13,411.106009
14,411.106009
15,411.106009
16,411.106009
17,411.106009
18,411.106009
19,411.106009
20,411.106009
21,411.106009
22,411.106009
23,411.106009
24,411.106009
25,411.106009
26,411.106009
27,411.106009
28,411.106009
29,438.806976
30,438.806976
31,632.810843
32,1677.258277
33,1675.578092
34,1675.113799
35,1674.793847
36,1558.940416
37,1682.223582
38,1682.137957
39,1682.029087
40,1678.778194
41,971.744682
42,549.610844
43,549.610844
44,494.20891
45,494.20891
46,438.806976
47,411.106009
48,411.106009
49,411.106009
50,411.106009
51,411.106009
52,411.106009
53,438.806976
54,438.806976
55,626.977448
56,1674.753487
57,1674.483641
58,1674.348317
59,1674.264338
60,1557.650678
61,1674.162976
62,1674.115991
63,1674.105101
64,1679.182138
65,985.11333
66,549.610844
67,549.610844
68,494.20891
69,494.20891
70,438.806976
71,411.106009
72,411.106009
73,411.106009
74,411.106009
75,411.106009
76,411.106009
77,438.806976
78,438.806976
79,649.95428
80,1691.185401
81,1688.605392
82,1687.788216
83,1687.072221
84,1574.307788
85,1687.589368
86,1686.057057
87,1685.933426
88,1685.886538
89,988.623944
90,549.610844
91,549.610844
92,494.20891
93,494.20891
94,438.806976
95,411.106009
96,411.106009
97,411.106009
98,411.106009
99,411.106009
100,411.106009
101,438.806976
102,438.806976
103,652.371291
104,1679.936969
105,1678.469235
106,1677.547024
107,1677.004728
108,1565.180762
109,1676.738215
110,1676.462169
111,1676.394621
112,1676.542297
113,982.192116
114,549.610844
115,549.610844
116,494.20891
117,494.20891
118,438.806976
119,411.106009
120,411.106009
121,411.106009
122,411.106009
123,411.106009
124,411.106009
125,438.806976
126,438.806976
127,680.773522
128,1697.237909
129,1682.988665
130,1680.385783
131,1679.172337
132,1575.791341
133,1677.817264
134,1677.483687
135,1677.334346
136,1677.414838
137,987.989298
138,549.610844
139,549.610844
140,494.20891
141,494.20891
142,438.806976
143,411.106009
