hours,kW
0,414.542154
1,417.523404
2,417.52411
3,414.542334
4,417.52388
5,417.524472
6,417.644411
7,420.87372
8,418.1427
9,417.190808
10,414.874873
11,417.523512
12,417.524059
13,414.542308
14,417.523828
15,417.524421
16,414.541144
17,417.524192
18,417.642061
19,417.643639
20,417.643605
21,417.523924
22,414.541585
23,417.524614
24,417.524088
25,416.327695
26,415.737731
27,417.524107
28,417.523926
29,442.24321
30,445.344005
31,8808.643504
32,4533.508941
33,3901.093536
34,3453.218902
35,3130.785069
36,4366.296974
37,2633.167673
38,2571.489861
39,2471.199469
40,2433.303681
41,3544.595572
42,556.149086
43,556.148935
44,500.746983
45,497.644363
46,445.224996
47,417.52462
48,414.541472
49,417.524391
50,417.523658
51,414.867815
52,417.198207
53,445.225194
54,445.346387
55,7833.392216
56,3068.244473
57,2879.319897
58,2755.228031
59,2676.430833
60,6129.200705
61,2454.044313
62,2460.383393
63,2479.595882
64,2567.278591
65,6940.567742
66,556.147513
67,556.149267
68,500.747326
69,500.626546
70,445.224986
71,414.542288
72,417.523788
73,417.524381
74,414.541159
75,417.524152
76,417.524431
77,442.242501
78,445.344827
79,12967.749899
80,5812.137875
81,5223.248345
82,4773.946434
83,4484.581408
84,8975.811716
85,3878.736583
86,3768.965268
87,3756.413668
88,3721.466293
89,8556.659961
90,556.149782
91,556.149557
92,500.747595
93,497.644496
94,445.2256
95,417.524107
96,416.453159
97,415.612276
98,417.523992
99,417.523945
100,414.542252
101,445.224587
102,445.345872
103,16071.035708
104,7050.808499
105,6351.691353
106,5423.446554
107,4828.604914
108,10159.540748
109,4072.783134
110,4108.576069
111,4168.930246
112,4472.81257
113,11189.158635
114,556.148033
115,556.149856
116,500.747925
117,500.626928
118,445.225585
119,414.541471
120,417.524389
121,417.523659
122,414.855219
123,417.210814
124,417.524224
125,444.920415
126,445.401499
127,20303.03262
128,13206.785334
129,10349.039151
130,8835.961364
131,7742.886634
132,13897.781487
133,5642.628745
134,5779.087721
135,5619.590795
136,5727.707152
137,12910.267241
138,556.150723
139,556.15055
140,500.748593
141,500.627124
142,442.242591
143,417.523993
144,417.524584
145,414.541454
146,417.524356
147,417.523679
148,414.634675
149,417.431562
150,417.642488
151,421.265522
152,417.769156
153,417.523909
154,417.524501
155,414.541238
156,417.524272
157,417.523858
158,414.541594
159,417.524633
160,417.524107
161,416.452723
162,417.696345
163,417.759603
164,417.758446
165,415.332646
166,417.523771
167,417.523988
168,414.542273
169,417.523758
170,417.524351
171,414.541197
172,417.524122
173,417.524632
174,417.644781
175,421.265443
176,417.77
177,417.523905
178,414.542232
179,417.523495
180,417.524269
181,414.541423
182,417.524039
183,417.52463
184,414.541477
185,417.524401
186,417.642223
187,417.643841
188,417.643814
189,417.523711
190,415.319443
191,416.746257
192,417.524296
193,417.523771
194,414.542166
195,417.523376
196,417.524135
197,442.243131
198,445.344215
199,18497.908745
200,10068.598162
201,8100.806385
202,7032.544631
203,6412.769688
204,10805.866996
205,4719.376739
206,4923.275081
207,4751.136367
208,4769.306492
209,10915.423688
210,556.149339
211,556.149141
212,500.747183
213,497.644065
214,445.225193
215,417.524033
216,414.541571
217,417.524587
218,417.524061
219,416.152598
220,415.912831
221,445.22525
222,445.346585
223,19517.383412
224,10672.247411
225,8755.263202
226,7586.483084
227,6730.109655
228,11336.419616
229,5289.192762
230,5393.057033
231,5116.232856
232,4994.047151
233,10539.778311
234,556.147661
235,556.149455
236,500.747519
237,500.62629
238,445.22518
239,414.541676
240,417.523983
241,417.524574
242,414.541449
243,417.524346
244,417.523691
245,442.26837
246,445.394728
247,17486.079129
248,8314.327478
249,7274.175967
250,6594.868186
251,5845.694518
252,8710.367569
253,4546.786684
254,4323.463667
255,4095.377108
256,4021.030812
257,8379.558821
258,556.149949
259,556.149743
260,500.747783
261,498.420113
262,444.449457
263,417.524295
264,417.52377
265,414.542166
266,417.523376
267,417.524134
268,414.542166
269,445.224871
270,445.343814
271,13972.884722
272,6890.049582
273,6023.006017
274,5405.5389
275,4958.913747
276,9357.073844
277,4113.170316
278,3841.709551
279,3629.1382
280,3705.319523
281,8413.692089
282,556.148236
283,556.150046
284,500.748114
285,500.627118
286,445.225043
287,414.541566
288,417.524578
289,417.524051
290,416.091174
291,415.974261
292,417.524349
293,445.224857
294,445.344793
295,16253.966463
296,6711.702793
297,5705.379414
298,5095.659775
299,4461.216614
300,8732.442414
301,3759.505908
302,3695.14306
303,3537.835449
304,3551.055541
305,8642.87084
306,556.149154
307,556.149073
308,500.74692
309,500.627303
310,442.242113
311,417.524172
312,417.524307
313,414.541544
314,417.524534
315,417.523903
316,415.801793
317,416.263699
318,417.642628
319,421.264841
320,417.769269
321,417.524089
322,417.524679
323,414.541502
324,417.524451
325,417.523696
326,415.25603
327,416.809707
328,417.524286
329,417.523761
330,417.643686
331,417.643637
332,417.643633
333,414.542189
334,417.523365
335,417.524181
336,414.541852
337,417.523951
338,417.524543
339,414.541354
340,417.524314
341,417.523745
342,417.644976
343,421.267608
344,417.770216
345,417.524094
346,414.542325
347,417.523863
348,417.524456
349,414.541164
350,417.524227
351,417.524031
352,414.541571
353,417.524588
354,417.642361
355,417.644022
356,417.644001
357,417.524119
358,416.530514
359,415.534932
360,417.523926
361,417.523957
362,414.542258
363,417.523665
364,417.52432
365,414.541261
366,417.643435
367,421.264514
368,418.765038
369,416.567428
370,417.524323
371,417.523798
372,414.54218
373,417.523363
374,417.524162
375,414.541975
376,417.523932
377,417.524524
378,417.644661
379,417.644437
380,417.644409
381,414.541451
382,417.524351
383,417.523684
384,414.605436
385,417.46083
386,417.524186
387,416.969674
388,415.095899
389,445.224588
390,445.346711
391,16863.338608
392,10292.112493
393,8532.255735
394,7539.075478
395,6756.995618
396,10378.987212
397,5340.394655
398,5168.070588
399,4877.020346
400,4678.420933
401,9248.04367
402,556.147765
403,556.149576
404,500.747643
405,500.626636
406,445.225304
407,414.541223
408,417.524107
409,417.524698
410,414.541511
411,417.524469
412,417.523727
413,443.080058
414,445.395067
415,17104.119095
416,7732.901685
417,7064.11992
418,6180.19412
419,5559.539048
420,11023.946481
421,4649.077681
422,4815.565211
423,5017.664065
424,5147.187812
425,12249.540885
426,556.150175
427,556.149987
428,500.748029
429,500.03139
430,442.838035
431,417.523645
432,417.524019
433,414.542288
434,417.523788
435,417.524381
436,414.541159
437,445.225119
438,445.342988
439,19958.464476
440,12760.902909
441,10057.658793
442,8611.933262
443,7533.098121
444,13392.561053
445,5439.758322
446,5505.016199
447,5333.89542
448,5409.381223
449,12596.996877
450,556.148515
451,556.1503
452,500.748366
453,500.62737
454,445.224693
455,415.37368
456,416.69199
457,417.524304
458,417.523779
459,414.54217
460,417.52337
461,445.22511
462,445.345093
463,19425.588907
464,11305.28361
465,8845.546119
466,7607.420648
467,6750.086624
468,12168.479651
469,4814.31806
470,4816.980495
471,4893.555117
472,4849.434351
473,11052.713473
474,556.147367
475,556.148005
476,500.745978
477,500.627496
478,442.242426
479,417.524366
480,417.52367
481,414.701075
482,417.365097
483,417.524201
484,417.06531
485,415.000307
486,417.642797
487,421.264981
488,417.769391
489,417.524281
490,417.52383
491,414.541599
492,417.524642
493,417.524116
494,416.510169
495,415.555274
496,417.523943
497,417.523954
498,417.643933
499,417.64384
500,417.64383
501,414.542284
502,417.52378
503,417.524373
504,414.541166
505,417.524144
506,417.524481
507,414.54153
508,417.524506
509,417.523813
510,417.64517
511,421.270049
512,417.770431
513,417.52428
514,414.54138
515,417.524051
516,417.524641
517,414.541483
518,417.524413
519,417.523662
520,415.009268
521,417.056639
522,417.6425
523,417.644201
524,417.644186
525,417.524304
526,417.523779
527,414.54217
528,417.52337
529,417.524143
530,414.542105
531,417.523912
532,417.524505
533,442.242213
534,445.344588
535,20082.787615
536,15231.160935
537,12845.159771
538,10302.641738
539,8967.824005
540,12882.462144
541,6568.869821
542,6749.487202
543,6340.128139
544,5964.230331
545,10602.969693
546,556.149634
547,556.149399
548,500.747435
549,497.644415
550,445.225442
551,417.523738
552,415.415255
553,416.650392
554,417.52431
555,417.523785
556,414.542173
557,445.224333
558,445.346836
559,19400.123689
560,9635.73469
561,8480.267579
562,7468.078033
563,6617.854673
564,11567.932862
565,4884.888743
566,4925.019017
567,4692.883387
568,4712.478662
569,11133.123921
570,556.147877
571,556.149698
572,500.747766
573,500.626768
574,445.225427
575,414.541169
576,417.524231
577,417.524013
578,414.541573
579,417.524592
580,417.524065
581,443.884234
582,445.396892
583,19327.326463
584,10660.293648
585,9071.01013
586,8149.77063
587,7495.777207
588,13082.640404
589,6146.585289
590,6392.879639
591,6213.940368
592,6146.789285
593,12839.898487
594,556.150409
595,556.150231
596,500.748274
597,500.626803
598,442.243198
599,417.523486
600,417.524265
601,414.541436
602,417.524035
603,417.524626
604,414.541475
605,445.225365
606,445.343215
607,19121.329585
608,10746.832723
609,8992.214156
610,7930.744556
611,6873.496567
612,12199.650626
613,5510.783065
614,5363.163763
615,5070.682348
616,4931.376287
617,10932.18597
618,556.148797
619,556.150552
620,500.826539
621,500.55106
622,445.225155
623,416.982332
624,415.083247
625,417.523614
626,417.524027
627,414.542292
628,417.523796
629,445.225357
630,445.345385
631,18689.866092
632,9412.379282
633,7798.102535
634,6870.09305
635,6615.314678
636,12433.412553
637,5181.951407
638,5811.650275
639,5737.849449
640,5864.74671
641,13823.345802
642,556.146822
643,556.148199
644,500.746313
645,500.627099
