hours,kW
0,501.150593
1,500.31979
2,414.626483
3,414.593688
4,447.9306
5,509.960993
6,932.783289
7,1141.020626
8,1284.893977
9,1004.188529
10,774.773435
11,751.49471
12,749.647167
13,658.228935
14,658.575737
15,658.568685
16,849.49387
17,1034.859623
18,1337.292444
19,1350.739747
20,1451.236403
21,1315.446978
22,977.031076
23,656.592136
24,446.910546
25,410.967673
26,372.3986
27,372.368618
28,405.639594
29,541.925212
30,1130.542597
31,1361.442176
32,1124.727662
33,966.387789
34,747.768421
35,750.318163
36,714.996516
37,667.471921
38,667.275361
39,667.690827
40,857.65474
41,1111.872421
42,1347.673484
43,1372.272646
44,1496.822254
45,1379.436294
46,975.810289
47,637.650251
48,448.214906
49,411.329815
50,372.557423
51,372.447506
52,408.927787
53,545.251094
54,1142.377125
55,1366.51155
56,1134.01251
57,991.166527
58,747.818629
59,749.950537
60,744.500209
61,694.669603
62,693.785955
63,693.622514
64,886.073002
65,1111.74725
66,1370.665893
67,1400.406597
68,1524.76995
69,1406.129179
70,986.593437
71,633.73175
72,446.599873
73,410.574456
74,371.969369
75,371.933451
76,405.229692
77,541.568539
78,1134.866777
79,1362.088139
80,1124.410891
81,982.360412
82,739.80307
83,743.138723
84,739.233919
85,689.881077
86,689.761289
87,689.730442
88,880.750529
89,1101.214771
90,1360.985169
91,1396.585738
92,1524.105964
93,1406.082707
94,1004.564353
95,669.546357
96,482.396561
97,446.433628
98,407.917875
99,407.915655
100,441.261752
101,542.769118
102,1130.910561
103,1353.015266
104,1122.147463
105,982.35615
106,740.13839
107,747.178433
108,743.197839
109,690.989587
110,693.861632
111,693.853186
112,883.001773
113,1102.048872
114,1365.352622
115,1397.450342
116,1521.926248
117,1403.075891
118,1005.36159
119,670.414335
120,483.285056
121,447.354039
122,408.856257
123,408.918334
124,445.954851
125,582.634986
126,1137.410521
127,1360.188997
128,1126.774873
129,983.088983
130,740.973127
131,748.000244
132,743.868607
133,694.450607
134,694.360195
135,694.282405
136,884.354887
137,1104.242018
138,1365.509944
139,1395.260878
140,1519.679331
141,1401.222258
142,1005.15249
143,670.195049
144,494.299175
145,494.075854
146,408.520521
147,408.50081
148,441.816753
149,503.825572
150,971.618798
151,1129.529537
152,1316.237347
153,1082.575353
154,812.878133
155,772.036105
156,767.642701
157,718.238735
158,718.140006
159,718.060238
160,909.20599
161,1092.427282
162,1414.289265
163,1382.378975
164,1439.511932
165,1388.576915
166,1055.863349
167,692.596028
168,537.081546
169,536.829538
170,451.272056
171,451.250252
172,484.557348
173,546.568469
174,973.822497
175,1175.321382
176,1316.035371
177,1034.995105
178,808.469363
179,789.21678
180,788.075334
181,697.253522
182,696.078529
183,693.73249
184,884.836997
185,1066.347396
186,1368.240399
187,1381.246601
188,1481.667331
189,1345.904503
190,1012.50565
191,692.43991
192,482.416499
193,446.501731
194,407.96882
195,407.975507
196,441.299026
197,577.819798
198,1134.645607
199,1356.901695
200,1125.95983
201,986.161824
202,743.81752
203,747.24261
204,743.144832
205,693.848532
206,693.880719
207,693.827964
208,884.876795
209,1105.372444
210,1365.152014
211,1397.086636
212,1521.383393
213,1402.401293
214,1004.84223
215,669.934835
216,482.776433
217,446.849465
218,408.347672
219,408.394487
220,445.007944
221,581.654239
222,1139.676903
223,1362.523421
224,1129.933408
225,986.553029
226,744.197935
227,747.527697
228,743.449956
229,694.168666
230,693.667474
231,691.667542
232,881.803025
233,1105.453648
234,1365.125164
235,1394.828043
236,1519.243308
237,1400.723767
238,1004.67377
239,669.729265
240,482.55089
241,446.5838
242,408.056043
243,408.058113
244,441.37478
245,577.896075
246,1132.571782
247,1357.183766
248,1123.251579
249,982.770197
250,739.985548
251,743.238534
252,739.268694
253,689.927124
254,689.874881
255,689.792271
256,880.83332
257,1101.295658
258,1365.125002
259,1398.007577
260,1521.943823
261,1403.132047
262,1004.521459
263,669.509992
264,482.387538
265,446.434888
266,407.876098
267,407.857644
268,441.166834
269,577.692304
270,1131.123998
271,1357.887673
272,1122.451199
273,982.145222
274,739.839458
275,743.150973
276,739.229374
277,689.857029
278,692.928015
279,696.155496
280,882.587051
281,1101.218152
282,1364.943483
283,1396.837022
284,1521.122868
285,1402.163099
286,1004.644968
287,669.654362
288,482.411704
289,446.456285
290,407.923779
291,407.946537
292,444.582364
293,581.247096
294,1134.737354
295,1360.974039
296,1129.420964
297,987.110801
298,746.39956
299,749.71434
300,745.71711
301,696.305487
302,696.256747
303,696.07333
304,887.017793
305,1106.58945
306,1364.873382
307,1394.595399
308,1519.019573
309,1400.499359
310,1004.564479
311,669.630404
312,493.77982
313,493.592131
314,408.059142
315,407.997122
316,441.292615
317,503.307326
318,969.493891
319,1131.105194
320,1317.428009
321,1083.652191
322,815.745936
323,772.141855
324,767.836431
325,718.396625
326,718.179128
327,719.53998
328,890.531417
329,1093.747007
330,1414.369807
331,1382.19956
332,1439.287029
333,1388.472499
334,1055.889616
335,692.696941
336,537.275854
337,537.04243
338,451.481008
339,451.497798
340,484.826074
341,546.839813
342,970.205786
343,1173.560717
344,1316.090339
345,1034.954265
346,808.460213
347,789.268033
348,786.609101
349,694.356781
350,694.247874
351,693.951589
352,863.589916
353,1066.328865
354,1368.245156
355,1381.256865
356,1481.678172
357,1345.973915
358,1012.597621
359,692.521437
360,537.031785
361,536.806307
362,451.289263
363,451.251236
364,484.53343
365,546.547494
366,973.364438
367,1138.909156
368,1279.510152
369,998.495991
370,773.897775
371,756.378383
372,753.862465
373,661.349713
374,661.146838
375,660.915857
376,830.389153
377,1031.723572
378,1331.862579
379,1344.774766
380,1446.473449
381,1310.282687
382,976.242523
383,656.227004
384,446.259759
385,410.32413
386,371.781925
387,371.76577
388,408.38559
389,544.861281
390,1138.155482
391,1361.675685
392,1130.648432
393,987.755207
394,743.160772
395,745.47826
396,742.703521
397,693.006167
398,692.631289
399,692.59793
400,862.464844
401,1107.326189
402,1365.704794
403,1395.42584
404,1519.875171
405,1401.387412
406,1004.53425
407,669.512141
408,482.419497
409,446.475135
410,407.916487
411,407.878351
412,441.213322
413,541.921432
414,1131.016138
415,1356.181057
416,1124.777768
417,982.389106
418,743.867953
419,747.311827
420,743.303828
421,694.085971
422,694.041757
423,694.105035
424,863.904826
425,1105.641352
426,1365.417063
427,1397.412441
428,1521.792332
429,1402.845104
430,1005.162741
431,670.221639
432,483.079653
433,447.140178
434,408.578399
435,408.608633
436,441.907398
437,578.448104
438,1132.675565
439,1354.410467
440,1123.102412
441,984.815054
442,744.606136
443,747.89729
444,743.764165
445,694.349643
446,694.247747
447,694.160974
448,863.955146
449,1105.731379
450,1365.525635
451,1397.47303
452,1521.806816
453,1402.916355
454,1005.261809
455,670.273619
456,483.065808
457,447.149368
458,408.56596
459,408.431681
460,445.015163
461,581.641326
462,1138.942171
463,1362.670963
464,1129.981912
465,986.548919
466,744.224271
467,747.613093
468,743.559675
469,694.134355
470,694.038131
471,694.071577
472,863.840161
473,1105.509273
474,1365.211701
475,1394.96857
476,1519.442629
477,1400.963081
478,1004.976679
479,670.018031
480,494.076761
481,493.828396
482,408.274233
483,408.216448
484,441.509592
485,503.516472
486,974.214107
487,1132.339232
488,1317.798063
489,1082.355905
490,812.620721
491,772.954434
492,770.328249
493,721.367904
494,721.420686
495,721.116649
496,890.559476
497,1093.850472
498,1414.548301
499,1383.00114
500,1440.221073
501,1389.321581
502,1055.700149
503,692.366277
504,536.912867
505,536.668561
506,451.252114
507,451.410746
508,484.841174
509,546.978947
510,970.60581
511,1172.793474
512,1316.568047
513,1035.463753
514,809.069277
515,789.943965
516,787.192396
517,694.608491
518,694.568738
519,694.56945
520,864.489015
521,1067.315924
522,1369.1645
523,1382.179681
524,1482.631087
525,1346.893952
526,1013.325657
527,693.389871
528,483.272854
529,447.208578
530,408.570063
531,408.525185
532,441.841435
533,578.314395
534,1135.30663
535,1336.570668
536,1126.760278
537,986.711818
538,744.300106
539,745.695798
540,739.596962
541,690.170717
542,692.369891
543,692.3261
544,862.048978
545,1105.972803
546,1365.607541
547,1397.746161
548,1522.127839
549,1403.019547
550,1004.520647
551,669.637963
552,482.419319
553,446.479978
554,408.096785
555,408.179154
556,444.8625
557,581.514646
558,1135.458015
559,1339.162469
560,1126.034743
561,982.703715
562,740.330113
563,743.597602
564,739.485962
565,691.839553
566,693.074105
567,693.877818
568,861.668231
569,1101.554006
570,1365.078393
571,1394.968551
572,1519.422039
573,1400.955139
574,1004.922924
575,669.980452
576,482.800358
577,446.872588
578,408.329534
579,408.307505
580,441.631969
581,578.186323
582,1132.121247
583,1332.361258
584,1122.664789
585,982.905964
586,740.627833
587,744.071303
588,740.003117
589,690.720961
590,690.728062
591,690.635714
592,860.370224
593,1101.996412
594,1361.641626
595,1393.506867
596,1517.757906
597,1398.761652
598,1005.009226
599,670.067291
600,482.888273
601,446.921782
602,408.313415
603,408.270527
604,441.587086
605,578.105839
606,1132.165219
607,1332.455653
608,1122.700875
609,982.885883
610,740.562238
611,743.750988
612,739.723387
613,690.445827
614,690.258286
615,690.120324
616,859.846656
617,1101.587894
618,1361.292102
619,1393.172224
620,1517.455648
621,1398.466833
622,1004.832215
623,669.909258
624,482.758866
625,446.796442
626,408.227735
627,408.204846
628,444.827653
629,581.496018
630,1135.473851
631,1337.154614
632,1125.997167
633,982.531233
634,740.233715
635,743.798714
636,739.743106
637,690.44484
638,690.592819
639,690.516925
640,839.065203
641,1102.103155
642,1361.847467
643,1391.58796
644,1516.047356
645,1397.570609
646,1005.40254
647,670.492684
648,494.641349
649,494.489013
650,409.209397
651,409.448033
652,442.791645
653,504.851916
654,973.634958
655,1110.042644
656,1315.754893
657,1079.664512
658,809.674515
659,768.781225
660,764.346014
661,714.940462
662,714.879564
663,714.758291
664,863.317981
