hours,kW
0,2126.709629
1,2667.98259
2,2642.206326
3,3044.811178
4,2796.577358
5,3347.193146
6,4272.672338
7,4855.776682
8,5894.067905
9,4927.765886
10,4080.867532
11,3171.146815
12,2656.409659
13,2292.939646
14,2120.314878
15,2114.03879
16,2389.783495
17,2578.33176
18,2940.654825
19,3330.714099
20,3430.592455
21,2863.008739
22,3358.743477
23,2347.804832
24,1314.122537
25,1333.051484
26,1362.214372
27,1823.15643
28,1612.658538
29,2343.655514
30,4151.98842
31,4928.240593
32,3859.341908
33,3065.41804
34,2598.117495
35,2402.216733
36,2177.243922
37,2013.365438
38,1967.624037
39,1981.178707
40,2238.255297
41,2493.132437
42,3289.550722
43,2850.759862
44,3081.724747
45,3479.804166
46,2451.60753
47,1584.940636
48,1004.09844
49,1026.131636
50,1526.524923
51,1344.49392
52,1650.617697
53,2616.187963
54,4440.539296
55,5047.456305
56,4350.515004
57,3695.25041
58,3755.087789
59,3217.35534
60,3087.321109
61,2917.709282
62,2841.150845
63,3204.516032
64,3567.805718
65,4022.687864
66,5342.940733
67,4502.719444
68,4697.802259
69,5533.109887
70,3728.310929
71,2965.253671
72,2635.540556
73,2986.380642
74,2621.044939
75,2626.866679
76,2693.106873
77,3435.040027
78,5867.838832
79,5950.239053
80,5136.159755
81,4344.034866
82,4058.282361
83,3840.750919
84,3792.67074
85,3706.034224
86,3560.371662
87,3652.646837
88,3462.136674
89,4023.007859
90,5645.507967
91,5222.917313
92,5384.740172
93,5750.859945
94,4455.09475
95,3604.550453
96,3475.680592
97,3082.163502
98,3290.564399
99,3205.797866
100,3864.404234
101,3401.321089
102,6440.30838
103,6484.863789
104,5505.695987
105,5238.587631
106,4546.699416
107,4466.352141
108,4449.533041
109,4306.365349
110,4400.148057
111,4766.118362
112,4531.33418
113,5442.739913
114,6387.48262
115,6546.970956
116,6937.789904
117,7578.669324
118,6023.19559
119,5113.478762
120,4908.291295
121,4832.460878
122,4899.672058
123,5165.472324
124,5204.061221
125,5634.26637
126,7902.122154
127,8562.100821
128,7249.030052
129,6497.470289
130,5779.569356
131,5857.303841
132,5627.149201
133,5402.665503
134,5296.852487
135,5381.520987
136,5587.775086
137,5796.0198
138,6808.065002
139,6549.492721
140,6654.633477
141,7180.747664
142,5763.822857
143,4948.066089
144,4461.869252
145,4516.615969
146,4854.388855
147,4490.428201
148,4542.555971
149,5039.622448
150,7201.547037
151,6964.425648
152,7803.708894
153,6631.481425
154,5772.990637
155,5303.641918
156,4712.62676
157,4449.747899
158,4320.590299
159,4386.705974
160,4927.631028
161,5532.352668
162,5620.71982
163,5909.278494
164,5804.773286
165,5584.239396
166,4983.861637
167,4504.158959
168,3537.307071
169,3921.329176
170,3491.510785
171,3500.206769
172,3569.382972
173,4019.275396
174,5932.736485
175,6115.124547
176,6513.988109
177,5681.974041
178,4873.011965
179,4713.356873
180,3870.185362
181,3810.733851
182,3925.124004
183,3953.377592
184,4077.395857
185,4585.537935
186,5127.481553
187,4898.14477
188,5266.984861
189,5152.70439
190,5106.701687
191,3780.410748
192,3586.870625
193,3396.902041
194,3294.526679
195,3514.895517
196,3863.080334
197,3894.437429
198,6323.191108
199,6605.436116
200,5858.684464
201,5139.345722
202,4868.47118
203,4561.267812
204,4270.128243
205,4386.919781
206,4391.061614
207,4603.06231
208,4406.051379
209,5419.035732
210,6205.663211
211,5937.269019
212,6038.945221
213,6356.274949
214,5248.133593
215,4097.785205
216,4310.899331
217,3982.145846
218,4086.503081
219,4218.277511
220,4647.902063
221,4708.894416
222,7451.882951
223,7883.380445
224,6457.990144
225,6151.266031
226,5131.018449
227,4940.083437
228,4760.757926
229,4881.878003
230,4799.230193
231,4549.502313
232,4698.420379
233,5220.470084
234,5890.249141
235,5705.122585
236,5779.929127
237,6219.636145
238,4840.722131
239,4040.925564
240,3513.619749
241,3500.699006
242,3695.067978
243,4004.250608
244,3678.761734
245,4501.186313
246,5937.692403
247,7230.498794
248,5733.738614
249,4510.174114
250,3834.143307
251,3704.803766
252,3187.641916
253,3387.800883
254,3116.668512
255,3369.872801
256,3843.630666
257,3973.727237
258,5259.032846
259,4467.044642
260,5208.895243
261,5211.053783
262,4480.654213
263,3292.72403
264,2852.546147
265,3199.361949
266,3182.051777
267,2956.119664
268,2795.884549
269,3720.131439
270,5167.043647
271,5812.151659
272,5043.143875
273,4334.401461
274,4225.650046
275,3767.478011
276,3906.153391
277,3724.100524
278,3468.066835
279,3445.91828
280,3899.763417
281,4180.155938
282,5869.146735
283,5229.239373
284,4916.343216
