hours,kW
0,204.063731
1,204.063731
2,226.835427
3,229.102679
4,201.692034
5,226.835427
6,229.102679
7,201.692034
8,226.835427
9,229.102679
10,201.692034
11,226.835427
12,229.102679
13,201.692034
14,219.456335
15,229.102679
16,209.071126
17,219.456335
18,229.102679
19,209.071126
20,219.456335
21,229.102679
22,209.071126
23,219.456335
24,229.102679
25,209.071126
26,219.456335
27,229.102679
28,209.071126
29,239.930514
30,266.338972
31,573.315999
32,986.858061
33,986.858061
34,986.858061
35,1001.998034
36,971.499388
37,986.858061
38,986.858061
39,986.858061
40,986.858061
41,714.587871
42,287.037495
43,249.241641
44,208.293282
45,206.02603
46,167.344922
47,166.902296
48,212.077243
49,201.692034
50,229.102679
51,219.456335
52,209.071126
53,249.576858
54,256.692628
55,573.315999
56,986.858061
57,986.858061
58,986.858061
59,1001.998034
60,971.499388
61,986.858061
62,986.858061
63,986.858061
64,986.858061
65,714.587871
66,304.167377
67,333.845274
68,292.896915
69,263.219018
70,251.948556
71,231.474376
72,201.796479
73,232.660225
74,232.660225
75,201.796479
76,232.660225
77,253.134404
78,239.032772
79,573.315999
80,986.858061
81,986.858061
82,986.858061
83,1001.998034
84,971.499388
85,986.858061
86,986.858061
87,986.858061
88,986.858061
89,714.587871
90,304.167377
91,335.031123
92,294.082764
93,263.219018
94,253.134404
95,232.660225
96,201.796479
97,232.660225
98,308.0137
99,277.149954
100,308.0137
101,328.487879
102,314.386247
103,573.315999
104,986.858061
105,986.858061
106,986.858061
107,1001.998034
108,971.499388
109,986.858061
110,986.858061
111,986.858061
112,986.858061
113,714.587871
114,379.520852
115,410.384598
116,369.436239
117,376.24923
118,366.164617
119,308.0137
120,314.826692
121,345.690437
122,308.0137
123,314.826692
124,345.690437
125,328.487879
126,352.062985
127,573.315999
128,986.858061
129,986.858061
130,986.858061
131,1001.998034
132,971.499388
133,986.858061
134,986.858061
135,986.858061
136,986.858061
137,714.587871
138,379.520852
139,448.061335
140,407.112976
141,338.572493
142,366.164617
143,345.690437
144,277.149954
145,345.690437
146,345.690437
147,277.149954
148,345.690437
149,345.690437
150,280.394234
151,348.934718
152,364.074691
153,295.534208
154,364.074691
155,326.397954
156,295.534208
157,326.397954
158,326.397954
159,295.534208
160,311.25798
161,308.0137
162,277.149954
163,308.0137
164,308.0137
165,277.149954
166,308.0137
167,308.0137
168,277.149954
169,308.0137
170,308.0137
171,277.149954
172,308.0137
173,308.0137
174,280.394234
175,311.25798
176,326.397954
177,295.534208
178,326.397954
179,326.397954
180,257.85747
181,326.397954
182,288.721216
183,295.534208
184,311.25798
185,308.0137
186,277.149954
187,308.0137
188,308.0137
189,277.149954
190,308.0137
191,308.0137
192,277.149954
193,308.0137
194,308.0137
195,277.149954
196,308.0137
197,328.487879
198,314.386247
199,573.315999
200,986.858061
201,986.858061
202,986.858061
203,1001.998034
204,971.499388
205,986.858061
206,986.858061
207,986.858061
208,986.858061
209,714.587871
210,379.520852
211,448.061335
212,407.112976
213,338.572493
214,366.164617
215,345.690437
216,277.149954
217,345.690437
218,345.690437
219,277.149954
220,345.690437
221,366.164617
222,314.386247
223,573.315999
224,986.858061
225,986.858061
226,986.858061
227,1001.998034
228,971.499388
229,986.858061
230,986.858061
231,986.858061
232,986.858061
233,714.587871
234,379.520852
235,410.384598
236,369.436239
237,338.572493
238,328.487879
239,308.0137
240,277.149954
241,308.0137
242,308.0137
243,277.149954
244,308.0137
245,328.487879
246,314.386247
247,573.315999
248,986.858061
249,986.858061
250,986.858061
251,1001.998034
252,971.499388
253,986.858061
254,986.858061
255,986.858061
256,986.858061
257,714.587871
258,341.844114
259,410.384598
260,369.436239
261,338.572493
262,328.487879
263,308.0137
264,277.149954
265,308.0137
266,308.0137
267,277.149954
268,308.0137
269,328.487879
270,314.386247
271,573.315999
272,986.858061
273,986.858061
274,986.858061
275,1001.998034
276,971.499388
277,986.858061
278,986.858061
279,986.858061
280,986.858061
281,714.587871
282,379.520852
283,410.384598
284,369.436239
285,338.572493
286,328.487879
287,308.0137
288,277.149954
289,308.0137
290,308.0137
291,277.149954
292,308.0137
293,328.487879
294,314.386247
295,573.315999
296,986.858061
297,986.858061
298,986.858061
299,1001.998034
300,971.499388
301,986.858061
302,986.858061
303,986.858061
304,986.858061
305,714.587871
306,379.520852
307,410.384598
308,369.436239
309,338.572493
310,328.487879
311,308.0137
312,277.149954
313,308.0137
314,308.0137
315,277.149954
316,308.0137
317,308.0137
318,280.394234
319,311.25798
320,326.397954
321,295.534208
322,326.397954
323,251.044479
324,220.180733
325,251.044479
326,288.721216
327,295.534208
328,311.25798
329,308.0137
330,277.149954
331,308.0137
332,308.0137
333,277.149954
334,308.0137
335,345.690437
336,277.149954
337,345.690437
338,345.690437
339,277.149954
340,365.11317
341,365.11317
342,299.816966
343,368.35745
344,383.497423
345,295.534208
346,326.397954
347,326.397954
348,295.534208
349,326.397954
350,326.397954
351,295.534208
352,311.25798
353,308.0137
354,277.149954
355,308.0137
356,308.0137
357,277.149954
358,308.0137
359,308.0137
360,277.149954
361,308.0137
362,308.0137
363,314.826692
364,345.690437
365,308.0137
366,314.826692
367,345.690437
368,308.0137
369,277.149954
370,308.0137
371,308.0137
372,277.149954
373,308.0137
374,308.0137
375,277.149954
376,308.0137
377,308.0137
378,277.149954
379,308.0137
380,308.0137
381,277.149954
382,308.0137
383,308.0137
384,277.149954
385,308.0137
386,308.0137
387,277.149954
388,308.0137
389,328.487879
390,314.386247
391,573.315999
392,986.858061
393,986.858061
394,986.858061
395,1001.998034
396,971.499388
397,986.858061
398,986.858061
399,986.858061
400,986.858061
401,714.587871
402,379.520852
403,410.384598
404,369.436239
405,338.572493
406,328.487879
407,308.0137
408,277.149954
409,308.0137
410,308.0137
411,277.149954
412,308.0137
413,328.487879
414,314.386247
415,573.315999
416,986.858061
417,986.858061
418,986.858061
419,1001.998034
420,971.499388
421,986.858061
422,986.858061
423,986.858061
424,986.858061
425,714.587871
426,379.520852
427,448.061335
428,426.535708
429,367.706591
430,395.298715
431,365.11317
432,306.284053
433,374.824536
434,365.11317
435,306.284053
436,374.824536
437,385.587349
438,343.520346
439,573.315999
440,986.858061
441,986.858061
442,986.858061
443,1001.998034
444,971.499388
445,986.858061
446,986.858061
447,986.858061
448,986.858061
449,714.587871
450,389.232218
451,477.195434
452,426.535708
453,367.706591
454,395.298715
455,365.11317
456,306.284053
457,374.824536
458,365.11317
459,306.284053
460,374.824536
461,385.587349
462,343.520346
463,573.315999
464,986.858061
465,986.858061
466,986.858061
467,1001.998034
468,971.499388
469,986.858061
470,986.858061
471,986.858061
472,986.858061
473,714.587871
474,379.520852
475,448.061335
476,426.535708
477,367.706591
478,395.298715
479,365.11317
480,306.284053
481,374.824536
482,365.11317
483,306.284053
484,374.824536
485,365.11317
486,309.528333
487,378.068816
488,383.497423
489,324.668306
490,383.497423
491,336.10932
492,295.534208
493,326.397954
494,326.397954
495,295.534208
496,311.25798
497,308.0137
498,277.149954
499,308.0137
500,308.0137
501,277.149954
502,308.0137
503,308.0137
504,277.149954
505,308.0137
506,327.436432
507,334.249424
508,327.436432
509,374.824536
510,347.20507
511,330.680712
512,393.20879
513,362.345044
514,345.820686
515,393.20879
516,362.345044
517,345.820686
518,393.20879
519,362.345044
520,330.680712
521,374.824536
522,343.96079
523,327.436432
524,374.824536
525,343.96079
526,327.436432
527,374.824536
528,343.96079
529,327.436432
530,374.824536
531,343.96079
532,327.436432
533,395.298715
534,381.197083
535,573.315999
536,986.858061
537,986.858061
538,986.858061
539,1001.998034
540,971.499388
541,986.858061
542,986.858061
543,986.858061
544,986.858061
545,714.587871
546,379.520852
547,410.384598
548,369.436239
549,338.572493
550,328.487879
551,317.725066
552,286.86132
553,327.436432
554,365.11317
555,334.249424
556,337.147798
557,395.298715
558,371.485717
559,573.315999
560,986.858061
561,986.858061
562,986.858061
563,1001.998034
564,971.499388
565,986.858061
566,986.858061
567,986.858061
568,986.858061
569,714.587871
570,379.520852
571,467.484067
572,426.535708
573,357.995225
574,395.298715
575,374.824536
576,296.572686
577,374.824536
578,374.824536
579,296.572686
580,374.824536
581,395.298715
582,333.80898
583,573.315999
584,986.858061
585,986.858061
586,986.858061
587,1001.998034
588,971.499388
589,986.858061
590,986.858061
591,986.858061
592,986.858061
593,714.587871
594,398.943584
595,467.484067
596,436.247074
597,367.706591
598,385.587349
599,374.824536
600,306.284053
601,365.11317
602,374.824536
603,306.284053
604,365.11317
605,395.298715
606,343.520346
607,573.315999
608,986.858061
609,986.858061
610,986.858061
611,1001.998034
612,971.499388
613,986.858061
614,986.858061
615,986.858061
616,986.858061
617,714.587871
618,389.232218
619,467.484067
620,436.247074
621,357.995225
622,395.298715
623,374.824536
624,296.572686
625,374.824536
626,374.824536
627,296.572686
628,374.824536
629,395.298715
630,333.80898
631,573.315999
632,986.858061
633,986.858061
634,986.858061
635,1001.998034
636,971.499388
637,986.858061
638,986.858061
639,986.858061
640,986.858061
641,714.587871
642,398.943584
643,467.484067
644,436.247074
645,367.706591
646,385.587349
647,374.824536
648,306.284053
649,365.11317
650,374.824536
651,306.284053
652,365.666471
653,375.377837
654,310.081634
655,368.910751
656,393.762091
657,325.221608
658,384.050725
659,393.762091
660,324.668306
661,383.497423
662,393.20879
663,324.668306
664,368.35745
665,374.824536
666,306.284053
667,365.11317
668,374.824536
669,306.284053
670,365.38982
671,375.101187
672,306.837354
673,365.666471
674,375.377837
675,306.837354
676,365.666471
677,375.377837
678,310.081634
679,368.910751
680,394.038742
681,325.498258
682,384.050725
683,393.762091
684,325.221608
685,384.050725
686,393.762091
687,325.221608
688,368.910751
689,375.377837
690,307.114005
691,365.943122
692,375.377837
693,307.114005
694,365.943122
695,375.377837
696,307.114005
697,365.943122
698,375.377837
699,307.114005
700,365.943122
701,395.852017
702,344.350298
703,573.315999
704,986.858061
705,986.858061
706,986.858061
707,1001.998034
708,971.499388
709,986.858061
710,986.858061
711,986.858061
712,986.858061
713,714.587871
714,448.347488
715,478.025386
716,388.226424
717,407.399129
718,396.128668
719,326.803885
720,345.976591
721,375.654488
722,326.803885
723,345.976591
724,375.654488
725,347.278064
726,383.212884
727,573.315999
728,986.858061
729,986.858061
730,986.858061
731,1001.998034
732,971.499388
733,986.858061
734,986.858061
735,986.858061
736,986.858061
737,714.587871
738,400.682734
739,478.025386
740,435.891178
741,359.734375
742,396.128668
743,374.468639
744,298.311836
745,375.654488
746,374.468639
747,298.311836
748,375.654488
749,394.942819
750,335.54813
751,573.315999
752,986.858061
753,986.858061
754,986.858061
755,1001.998034
756,971.499388
757,986.858061
758,986.858061
759,986.858061
760,986.858061
761,714.587871
762,400.682734
763,477.748735
764,435.614527
765,360.011026
766,396.128668
767,374.191989
768,298.588487
769,375.654488
770,374.191989
771,298.588487
772,375.654488
773,394.666168
774,335.82478
775,573.315999
776,986.858061
777,986.858061
778,986.858061
779,1001.998034
780,971.499388
781,986.858061
782,986.858061
783,986.858061
784,986.858061
785,714.587871
786,410.3941
787,478.025386
788,426.179812
789,369.445741
790,396.128668
791,364.757273
792,308.023203
793,375.654488
794,364.757273
795,308.023203
796,375.654488
797,385.231453
798,345.259496
799,573.315999
800,986.858061
801,986.858061
802,986.858061
803,1001.998034
804,971.499388
805,986.858061
806,986.858061
807,986.858061
808,986.858061
809,714.587871
810,448.347488
811,478.025386
812,388.226424
813,407.399129
814,396.128668
815,326.803885
816,345.976591
817,375.654488
818,326.803885
819,345.976591
820,375.654488
821,326.803885
822,349.220871
823,378.898768
824,345.188139
825,364.360844
826,394.038742
827,345.188139
828,364.360844
829,394.038742
830,345.188139
831,364.360844
832,378.898768
833,326.803885
834,345.976591
835,375.654488
836,326.803885
837,345.976591
838,375.654488
839,326.803885
840,345.976591
841,375.654488
842,326.803885
843,345.976591
844,375.654488
845,326.803885
846,349.220871
847,378.898768
848,345.188139
849,364.360844
850,394.038742
851,345.188139
852,364.360844
853,393.762091
854,344.911488
855,364.084194
856,378.622117
857,326.803885
858,345.69994
859,375.654488
860,327.080536
861,345.69994
862,375.654488
