hours,kW
0,204.608276
1,204.608276
2,227.440738
3,229.71404
4,202.230249
5,227.440738
6,229.71404
7,202.230249
8,227.440738
9,229.71404
10,202.230249
11,227.440738
12,229.71404
13,202.230249
14,220.041955
15,229.71404
16,209.629033
17,220.041955
18,229.71404
19,209.629033
20,220.041955
21,229.71404
22,209.629033
23,220.041955
24,229.71404
25,209.629033
26,220.041955
27,229.71404
28,209.629033
29,240.57077
30,267.049698
31,574.845895
32,989.491494
33,989.491494
34,989.491494
35,1004.671869
36,974.091837
37,989.491494
38,989.491494
39,989.491494
40,989.491494
41,716.494751
42,287.803456
43,249.906743
44,208.849113
45,206.575811
46,167.791483
47,167.347676
48,212.643172
49,202.230249
50,229.71404
51,220.041955
52,209.629033
53,250.242855
54,257.377613
55,574.845895
56,989.491494
57,989.491494
58,989.491494
59,1004.671869
60,974.091837
61,989.491494
62,989.491494
63,989.491494
64,989.491494
65,716.494751
66,304.979048
67,334.736141
68,293.678511
69,263.921418
70,252.620881
71,232.092066
72,202.334974
73,233.281079
74,233.281079
75,202.334974
76,233.281079
77,253.809894
78,239.670632
79,574.845895
80,989.491494
81,989.491494
82,989.491494
83,1004.671869
84,974.091837
85,989.491494
86,989.491494
87,989.491494
88,989.491494
89,716.494751
90,304.979048
91,335.925154
92,294.867524
93,263.921418
94,253.809894
95,233.281079
96,202.334974
97,233.281079
98,308.835635
99,277.88953
100,308.835635
101,329.36445
102,315.225188
103,574.845895
104,989.491494
105,989.491494
106,989.491494
107,1004.671869
108,974.091837
109,989.491494
110,989.491494
111,989.491494
112,989.491494
113,716.494751
114,380.533604
115,411.47971
116,370.42208
117,377.253252
118,367.141728
119,308.835635
120,315.666808
121,346.612913
122,308.835635
123,315.666808
124,346.612913
125,329.36445
126,353.002466
127,574.845895
128,989.491494
129,989.491494
130,989.491494
131,1004.671869
132,974.091837
133,989.491494
134,989.491494
135,989.491494
136,989.491494
137,716.494751
138,380.533604
139,449.256988
140,408.199358
141,339.475974
142,367.141728
143,346.612913
144,277.88953
145,346.612913
146,346.612913
147,277.88953
148,346.612913
149,346.612913
150,281.142467
151,349.865851
152,365.046226
153,296.322842
154,365.046226
155,327.268948
156,296.322842
157,327.268948
158,327.268948
159,296.322842
160,312.088573
161,308.835635
162,277.88953
163,308.835635
164,308.835635
165,277.88953
166,308.835635
167,308.835635
168,277.88953
169,308.835635
170,308.835635
171,277.88953
172,308.835635
173,308.835635
174,281.142467
175,312.088573
176,327.268948
