hours,kW
0,665.279125
1,665.279125
2,665.279125
3,665.279125
4,665.279125
5,665.279125
6,665.279125
7,665.279125
8,665.279125
9,665.279125
10,665.279125
11,665.279125
12,665.279125
13,665.279125
14,665.279125
15,665.279125
16,665.279125
17,665.279125
18,665.279125
19,665.279125
20,665.279125
21,665.279125
22,665.279125
23,665.279125
24,665.279125
25,665.279125
26,665.279125
27,665.279125
28,665.279125
29,710.106675
30,710.106675
31,1024.056654
32,2714.251057
33,2711.53207
34,2710.78072
35,2710.262952
36,2522.781214
37,2722.286245
38,2722.147681
39,2721.971499
40,2716.710688
41,1572.541967
42,889.416875
43,889.416875
44,799.761775
45,799.761775
46,710.106675
47,665.279125
48,665.279125
49,665.279125
50,665.279125
51,665.279125
52,665.279125
53,710.106675
54,710.106675
55,1014.616665
56,2710.19764
57,2709.760956
58,2709.541966
59,2709.406066
60,2520.694074
61,2709.242035
62,2709.166001
63,2709.148377
64,2717.364378
65,1594.176004
66,889.416875
67,889.416875
68,799.761775
69,799.761775
70,710.106675
71,665.279125
72,665.279125
73,665.279125
74,665.279125
75,665.279125
76,665.279125
77,710.106675
78,710.106675
79,1051.799306
80,2736.788856
81,2732.613714
82,2731.291306
83,2730.132635
84,2547.649719
85,2730.969517
86,2728.489829
87,2728.289761
88,2728.213884
89,1599.857114
90,889.416875
91,889.416875
92,799.761775
93,799.761775
94,710.106675
95,665.279125
96,665.279125
97,665.279125
98,665.279125
99,665.279125
100,665.279125
101,710.106675
102,710.106675
103,1055.710674
104,2718.585895
105,2716.21071
106,2714.718327
107,2713.840747
108,2532.879758
109,2713.409458
110,2712.962741
111,2712.853432
112,2713.09241
113,1589.4487
114,889.416875
115,889.416875
116,799.761775
117,799.761775
118,710.106675
119,665.279125
120,665.279125
121,665.279125
122,665.279125
123,665.279125
124,665.279125
125,710.106675
126,710.106675
127,1101.673055
128,2746.583428
129,2723.524352
130,2719.312196
131,2717.348517
132,2550.050503
133,2715.155647
134,2714.61583
135,2714.374157
136,2714.504415
137,1598.830087
138,889.416875
139,889.416875
140,799.761775
141,799.761775
142,710.106675
143,665.279125
144,665.279125
145,665.279125
146,665.279125
147,665.279125
148,665.279125
149,665.279125
150,665.279125
151,665.279125
152,665.279125
153,665.279125
154,665.279125
155,665.279125
156,665.279125
157,665.279125
158,665.279125
159,665.279125
160,665.279125
161,665.279125
162,665.279125
163,665.279125
164,665.279125
165,665.279125
166,665.279125
167,665.279125
168,665.279125
169,665.279125
170,665.279125
171,665.279125
172,665.279125
173,665.279125
174,665.279125
175,665.279125
176,665.279125
177,665.279125
178,665.279125
179,665.279125
180,665.279125
181,665.279125
182,665.279125
183,665.279125
184,665.279125
185,665.279125
186,665.279125
187,665.279125
188,665.279125
189,665.279125
190,665.279125
191,665.279125
192,665.279125
193,665.279125
194,665.279125
195,665.279125
196,665.279125
197,710.106675
198,710.106675
199,1099.893341
200,2730.420917
201,2719.303406
202,2717.352381
203,2716.434415
204,2537.247663
205,2714.584428
206,2714.237867
207,2713.871037
208,2713.791367
209,1590.690435
210,889.416875
211,889.416875
212,799.761775
213,799.761775
214,710.106675
215,665.279125
216,665.279125
217,665.279125
218,665.279125
219,665.279125
220,665.279125
221,710.106675
222,710.106675
223,1101.036469
224,2731.324524
225,2720.005891
226,2717.938684
227,2716.813564
228,2538.235877
229,2715.450414
230,2714.895957
231,2714.516232
232,2714.34286
233,1589.393889
234,889.416875
235,889.416875
236,799.761775
237,799.761775
238,710.106675
239,665.279125
240,665.279125
241,665.279125
242,665.279125
243,665.279125
244,665.279125
245,710.106675
246,710.106675
247,1077.852694
248,2722.061494
249,2728.870414
250,2736.361904
251,2734.990444
252,2529.366118
253,2714.545602
254,2713.929038
255,2713.562894
256,2717.699278
257,1601.314779
258,889.416875
259,889.416875
260,799.761775
261,799.761775
262,710.106675
263,665.279125
264,665.279125
265,665.279125
266,665.279125
267,665.279125
268,665.279125
269,710.106675
270,710.106675
271,1060.369132
272,2739.777632
273,2734.924969
274,2733.320325
275,2732.243656
276,2549.856438
277,2732.324633
278,2729.642598
279,2729.136302
280,2724.836258
281,1583.424709
282,889.416875
283,889.416875
284,799.761775
285,799.761775
286,710.106675
287,665.279125
288,665.279125
289,665.279125
290,665.279125
291,665.279125
292,665.279125
293,710.106675
294,710.106675
295,1058.263732
296,2718.290501
297,2725.504316
298,2732.42604
299,2731.050845
300,2547.837568
301,2731.710126
302,2729.428168
303,2728.750731
304,2728.548316
305,1595.731845
306,889.416875
307,889.416875
308,799.761775
309,799.761775
310,710.106675
311,665.279125
312,665.279125
313,665.279125
314,665.279125
315,665.279125
316,665.279125
317,665.279125
318,665.279125
319,665.279125
320,665.279125
321,665.279125
322,665.279125
