hours,kW
0,380.059692
1,380.059692
2,324.448878
3,380.059692
4,380.059692
5,328.850612
6,384.461426
7,295.766201
8,216.459289
9,272.070104
10,267.66837
11,216.459289
12,272.070104
13,267.66837
14,216.459289
15,272.070104
16,323.864031
17,328.850612
18,384.461426
19,380.059692
20,328.850612
21,384.461426
22,380.059692
23,328.850612
24,411.312618
25,406.910884
26,355.701803
27,411.312618
28,406.910884
29,367.180688
30,482.80405
31,444.426097
32,688.330841
33,688.330841
34,688.330841
35,688.330841
36,661.479649
37,688.330841
38,688.330841
39,688.330841
40,744.526502
41,601.486319
42,528.719588
43,528.719588
44,505.761819
45,505.761819
46,353.975488
47,398.107417
48,398.107417
49,342.496603
50,398.107417
51,398.107417
52,342.496603
53,413.988035
54,482.80405
55,444.426097
56,688.330841
57,688.330841
58,688.330841
59,688.330841
60,661.479649
61,688.330841
62,688.330841
63,688.330841
64,744.526502
65,601.486319
66,528.719588
67,528.719588
68,505.761819
69,505.761819
70,362.778955
71,406.910884
72,406.910884
73,351.30007
74,411.312618
75,411.312618
76,351.30007
77,422.791502
78,482.80405
79,444.426097
80,688.330841
81,688.330841
82,688.330841
83,688.330841
84,661.479649
85,688.330841
86,688.330841
87,688.330841
88,744.526502
89,601.486319
90,528.719588
91,528.719588
92,505.761819
93,505.761819
94,362.778955
95,411.312618
96,411.312618
97,351.30007
98,411.312618
99,411.312618
100,351.30007
101,422.791502
102,482.80405
103,444.426097
104,688.330841
105,688.330841
106,688.330841
107,688.330841
108,661.479649
109,688.330841
110,688.330841
111,688.330841
112,744.526502
113,601.486319
114,528.719588
115,528.719588
116,505.761819
117,505.761819
118,362.778955
119,411.312618
120,411.312618
121,351.30007
122,411.312618
123,411.312618
124,351.30007
125,422.791502
126,482.80405
127,444.426097
128,688.330841
129,688.330841
130,688.330841
131,688.330841
132,661.479649
133,688.330841
134,688.330841
135,688.330841
136,744.526502
137,601.486319
138,528.719588
139,528.719588
140,505.761819
141,505.761819
142,362.778955
143,411.312618
144,384.461426
145,324.448878
146,384.461426
147,384.461426
148,324.448878
149,384.461426
150,482.80405
151,398.510558
152,443.179458
153,443.179458
154,443.179458
155,443.179458
156,368.466016
157,368.466016
158,368.466016
159,368.466016
160,424.661677
161,444.473973
162,324.448878
163,384.461426
164,384.461426
165,324.448878
166,384.461426
167,384.461426
168,324.448878
169,384.461426
170,384.461426
171,324.448878
172,384.461426
173,384.461426
174,324.448878
175,300.167934
176,272.070104
177,212.057556
178,272.070104
179,272.070104
180,212.057556
181,272.070104
182,272.070104
183,212.057556
184,328.265765
185,384.461426
186,324.448878
187,384.461426
188,384.461426
189,324.448878
190,384.461426
191,384.461426
192,351.30007
193,411.312618
194,411.312618
195,351.30007
196,411.312618
197,422.791502
198,482.80405
199,444.426097
200,688.330841
201,688.330841
202,688.330841
203,688.330841
204,661.479649
205,688.330841
206,688.330841
207,688.330841
208,744.526502
209,601.486319
210,528.719588
211,528.719588
212,505.761819
213,505.761819
214,362.778955
215,411.312618
216,411.312618
217,351.30007
218,411.312618
219,411.312618
220,351.30007
221,422.791502
222,482.80405
223,444.426097
224,688.330841
225,688.330841
226,688.330841
227,688.330841
228,661.479649
229,688.330841
230,688.330841
231,688.330841
232,744.526502
233,601.486319
234,528.719588
235,528.719588
236,505.761819
237,505.761819
238,362.778955
239,411.312618
240,411.312618
241,351.30007
242,411.312618
243,411.312618
244,351.30007
245,422.791502
246,482.80405
247,444.426097
248,688.330841
249,688.330841
250,688.330841
251,688.330841
252,661.479649
253,688.330841
254,688.330841
255,688.330841
256,744.526502
257,601.486319
258,528.719588
259,528.719588
260,505.761819
261,505.761819
262,362.778955
263,411.312618
264,411.312618
265,351.30007
266,411.312618
267,411.312618
268,351.30007
269,422.791502
270,482.80405
271,444.426097
272,688.330841
273,688.330841
274,688.330841
275,688.330841
276,661.479649
277,688.330841
278,688.330841
279,688.330841
280,744.526502
281,601.486319
282,528.719588
283,528.719588
284,505.761819
285,505.761819
286,362.778955
287,411.312618
288,411.312618
289,351.30007
290,411.312618
291,411.312618
292,351.30007
293,422.791502
294,482.80405
295,444.426097
296,688.330841
297,688.330841
298,688.330841
299,688.330841
300,661.479649
301,688.330841
302,688.330841
303,688.330841
304,744.526502
305,601.486319
306,528.719588
307,528.719588
308,505.761819
309,505.761819
310,362.778955
311,411.312618
312,384.461426
313,324.448878
314,384.461426
315,384.461426
316,324.448878
317,384.461426
318,482.80405
319,398.510558
320,443.179458
321,443.179458
322,443.179458
323,443.179458
324,368.466016
325,368.466016
326,368.466016
327,368.466016
328,396.563847
329,444.473973
330,324.448878
331,384.461426
332,384.461426
333,324.448878
334,384.461426
335,384.461426
336,324.448878
337,384.461426
338,384.461426
339,324.448878
340,384.461426
341,384.461426
342,324.448878
343,300.167934
344,272.070104
345,212.057556
346,272.070104
347,272.070104
348,212.057556
349,272.070104
350,272.070104
351,212.057556
352,300.167934
353,384.461426
354,324.448878
355,384.461426
356,384.461426
357,324.448878
358,384.461426
359,384.461426
360,324.448878
361,384.461426
362,384.461426
363,324.448878
364,384.461426
365,384.461426
366,324.448878
367,300.167934
368,272.070104
369,212.057556
370,272.070104
371,272.070104
372,212.057556
373,272.070104
374,272.070104
375,212.057556
376,300.167934
377,384.461426
378,324.448878
379,384.461426
380,384.461426
381,324.448878
382,384.461426
383,384.461426
384,351.30007
385,411.312618
386,411.312618
387,351.30007
388,411.312618
389,422.791502
390,482.80405
391,444.426097
392,688.330841
393,688.330841
394,688.330841
395,688.330841
396,661.479649
397,688.330841
398,688.330841
399,688.330841
400,716.428671
401,601.486319
402,528.719588
403,528.719588
404,505.761819
