hours,kW
0,109.115371
1,108.790673
2,108.73433
3,108.700216
4,108.629148
5,108.761565
6,113.119787
7,127.43587
8,198.037656
9,176.646626
10,175.898487
11,144.107158
12,144.221072
13,144.571485
14,144.689902
15,144.669205
16,145.388061
17,145.32697
18,180.691087
19,164.550015
20,194.772863
21,194.808761
22,211.631262
23,185.597648
24,110.067835
25,109.989759
26,109.967918
27,109.9442
28,110.051571
29,110.232261
30,121.316404
31,181.343958
32,200.31734
33,139.949548
34,139.342218
35,107.490841
36,107.293211
37,107.782902
38,107.782938
39,107.970219
40,108.57003
41,107.694934
42,182.021195
43,204.668266
44,254.153185
45,254.511593
46,232.735227
47,187.103657
48,111.79314
49,111.622323
50,111.409074
51,111.085013
52,110.848381
53,110.819553
54,121.789227
55,182.335077
56,200.867301
57,140.248863
58,139.465508
59,107.446852
60,106.977473
61,107.15166
62,107.101339
63,107.041756
64,107.72579
65,107.212262
66,180.755932
67,203.119379
68,252.497227
69,252.621272
70,230.809334
71,185.03798
72,109.694623
73,109.491238
74,109.428907
75,109.393177
76,109.525407
77,109.857822
78,121.106041
79,181.496718
80,200.105156
81,138.991907
82,138.619188
83,106.772104
84,106.354328
85,106.561198
86,106.567369
87,106.556073
88,107.360792
89,107.016455
90,179.585808
91,202.755107
92,252.204538
93,252.271231
94,230.256447
95,183.820169
96,108.871099
97,108.737634
98,108.620603
99,108.541754
100,108.632535
101,108.863145
102,119.976343
103,181.254628
104,199.144953
105,138.827163
106,138.639809
107,107.199984
108,106.884248
109,106.746174
110,106.928662
111,106.8342
112,107.57537
113,107.487954
114,179.385163
115,201.775707
116,251.004406
117,251.364666
118,228.579539
119,183.059306
120,108.528102
121,108.535036
122,108.563664
123,108.588293
124,108.768134
125,108.782048
126,119.972496
127,180.483669
128,198.215575
129,139.086213
130,138.926148
131,107.154642
132,106.875426
133,107.195964
134,107.121777
135,106.918626
136,107.705421
137,107.727073
138,179.368695
139,201.81259
140,251.128395
141,251.193831
142,228.821071
143,183.025102
144,108.643057
145,108.633383
146,108.642108
147,108.650661
148,108.657065
149,108.650719
150,112.929555
151,137.512524
152,177.804022
153,156.880943
154,137.607378
155,106.229543
156,106.596559
157,106.72952
158,106.683061
159,106.36726
160,106.641213
161,107.188902
162,179.848576
163,182.930241
164,212.893821
165,212.941675
166,229.430731
167,222.657871
168,108.930762
169,108.820926
170,108.776378
171,108.736922
172,108.702049
173,108.883675
174,113.190198
175,128.060157
176,197.733991
177,176.570632
178,176.229684
179,144.917905
180,144.982232
181,145.035907
182,144.973413
183,144.879006
184,145.69394
185,146.126628
186,180.185433
187,163.749832
188,193.763378
189,193.786016
190,210.452308
191,184.289758
192,109.132831
193,109.019539
194,108.92863
195,108.857933
196,108.985906
197,109.169202
198,120.275879
199,180.748638
200,199.087134
201,139.664375
202,139.252691
203,107.340316
204,107.452463
205,107.640709
206,107.29678
207,107.202046
208,107.679546
209,107.399101
210,179.930597
211,202.035743
212,251.174773
213,251.635969
214,229.347936
215,183.52561
216,108.735026
217,108.584062
218,108.477546
219,108.407527
220,108.563552
221,108.667542
222,119.81835
223,180.577783
224,198.542942
225,138.935552
226,138.751696
227,106.993463
228,106.594164
229,106.802626
230,106.794635
231,106.7853
232,107.601934
233,107.392145
234,179.173642
235,201.515389
236,250.987856
237,251.593428
238,228.908466
239,183.02515
240,108.388488
241,108.320841
242,108.303119
243,108.30094
244,108.488517
245,108.574742
246,119.712943
247,180.239434
248,198.463593
249,138.922781
250,138.785109
251,106.906911
252,106.474029
253,106.669745
254,106.647336
255,106.634319
256,107.451082
257,107.083969
258,179.303375
259,202.365077
260,252.054952
261,252.402473
262,230.124895
263,183.884152
264,108.635156
265,108.548014
266,108.516666
267,108.508444
268,108.694245
269,109.05662
270,120.368905
271,181.36265
272,199.780086
273,138.81334
274,138.640729
275,106.826655
276,106.452224
277,106.664051
278,106.753735
279,106.829215
280,107.480733
281,107.144442
