hours,kW
0,202.468853
1,213.452213
2,206.144593
3,206.023968
4,209.903338
5,217.438674
6,254.657196
7,662.894793
8,763.96889
9,293.969421
10,270.714523
11,214.75792
12,204.080243
13,197.018665
14,189.355224
15,186.069278
16,185.509471
17,184.596646
18,664.064932
19,212.802545
20,246.108952
21,689.45476
22,263.517307
23,237.136068
24,161.092508
25,163.961284
26,167.295466
27,172.022755
28,180.628219
29,628.560244
30,191.278159
31,891.4993
32,626.748969
33,259.289877
34,173.36309
35,127.980358
36,117.231381
37,116.376246
38,115.475359
39,115.038688
40,115.582213
41,205.993169
42,188.773256
43,654.499206
44,259.76337
45,374.178297
46,563.636709
47,193.17467
48,120.975672
49,143.690773
50,163.979918
51,182.782045
52,202.325338
53,208.456924
54,667.603267
55,1009.260871
56,309.592616
57,677.561366
58,225.12812
59,186.372408
60,181.691616
61,180.385448
62,179.562162
63,184.568436
64,191.211847
65,506.881618
66,315.914815
67,359.162409
68,862.534626
69,431.490642
70,391.377386
71,769.798974
72,247.816723
73,239.846936
74,235.639227
75,235.140201
76,234.011795
77,244.311223
78,728.451275
79,736.455203
80,831.97078
81,277.181834
82,263.43577
83,236.540726
84,240.963415
85,243.667381
86,242.52274
87,245.83088
88,250.56049
89,609.966741
90,775.139355
91,402.332404
92,921.255869
93,483.891496
94,433.368449
95,352.63062
96,257.382218
97,250.970924
98,252.814881
99,252.491642
100,256.955834
101,714.553867
102,309.428335
103,1351.559939
104,889.845979
105,367.936085
106,359.008699
107,330.875923
108,334.155636
109,321.923975
110,327.172265
111,340.370355
112,355.476494
113,898.750892
114,441.270645
115,946.428894
116,586.324529
117,1072.303543
118,517.291116
119,468.284723
120,410.543376
121,421.283998
122,435.622283
123,448.201244
124,456.735411
125,460.386527
126,979.155501
127,1756.468391
128,579.037145
129,986.887811
130,531.667437
131,469.456091
132,454.895034
133,447.699318
134,436.683684
135,423.529268
136,434.363943
137,1022.699222
138,489.696577
139,553.786565
140,1010.307667
141,591.619584
142,959.193256
143,450.242492
144,385.699959
145,390.752635
146,395.53979
147,400.778377
148,404.682009
149,399.385602
150,900.626264
151,1097.117324
152,944.885748
153,473.354548
154,881.598736
155,400.443102
156,396.796109
157,384.124651
158,373.079065
159,357.306619
160,348.71578
161,854.982521
162,441.229219
163,453.555274
164,922.421794
165,471.114675
166,447.392514
167,434.54712
168,311.239224
169,301.24732
170,298.477263
171,296.448658
172,294.669843
173,740.374806
174,323.655453
175,1223.084014
176,851.42102
177,403.050471
178,395.338299
179,363.321601
180,338.619923
181,325.876447
182,329.313165
183,330.466048
184,340.373107
185,748.305136
186,369.816831
187,793.988599
188,384.694619
189,830.638978
190,386.07743
191,356.080836
192,279.018807
193,281.663749
194,280.540464
195,285.200232
196,287.823468
197,736.559695
198,332.477116
199,1351.564143
200,437.515615
201,842.364505
202,385.290204
203,339.425071
204,345.667923
205,351.423076
206,339.507334
207,342.162208
208,335.1452
209,821.666431
210,438.332868
211,906.27976
212,511.941888
213,531.49596
214,916.154902
215,422.831941
216,338.130506
217,335.337883
218,337.406211
219,342.820023
220,346.956292
221,355.352146
222,859.366679
223,1544.683897
224,502.89593
225,887.188064
226,431.48079
227,379.916354
228,361.057094
229,358.621521
230,356.306314
231,348.591509
232,355.786461
233,805.902449
234,392.642425
235,408.083296
236,911.902914
237,488.61375
238,422.687396
239,794.298886
240,279.5222
241,276.550749
242,281.170177
243,283.629494
244,286.821613
245,286.742134
246,418.610387
247,1212.764308
248,856.648538
249,341.839642
250,326.083923
251,274.862109
252,242.79287
253,232.444655
254,220.972028
255,219.272693
256,233.151803
257,557.377373
258,733.555452
259,337.194014
260,429.533967
261,874.529358
262,385.685493
263,305.418761
264,212.416369
265,214.468522
266,217.433998
267,219.324708
268,216.858411
269,665.750871
270,256.181002
271,1151.60895
272,818.943327
273,286.126594
274,285.387951
275,253.47867
276,259.020877
277,258.842741
278,249.791623
279,248.153691
280,259.266026
281,648.654505
282,345.016648
283,841.308878
284,474.495682
285,722.755374
286,652.606724
287,361.129004
288,260.895039
289,259.363022
290,258.629199
291,261.963076
292,264.090832
293,274.684733
294,761.469891
295,1358.964498
296,434.549141
297,790.821398
298,329.885929
299,288.303931
300,273.260054
301,260.73343
302,255.767072
303,263.143095
304,262.94045
305,642.909893
306,363.381748
307,407.271163
308,922.685165
309,484.444899
310,431.817313
311,813.401152
312,285.174151
313,285.201627
314,286.973117
315,285.118713
316,287.719986
317,292.758508
318,762.661808
319,787.509377
320,849.898243
321,364.163941
322,315.7817
323,246.918148
324,232.190852
325,229.286168
326,227.325496
327,228.648138
328,240.09569
329,600.044368
330,780.159041
331,375.051287
332,874.88774
333,447.358926
334,438.66522
335,450.053562
336,314.340844
337,306.364937
338,310.455723
339,315.98815
340,321.513782
341,774.354721
342,373.588314
343,1387.918592
344,944.894457
345,466.500954
346,456.31067
347,396.806552
348,373.813949
349,364.796515
350,352.078969
351,354.257742
352,359.871266
353,792.759023
354,389.078755
355,823.012211
356,418.056953
357,873.426513
358,421.349295
359,387.907313
360,317.623222
361,312.286083
