hours,kW
0,149.43928
1,148.994588
2,148.917424
3,148.870703
4,148.773371
5,148.954724
6,154.923539
7,174.530173
8,271.223059
9,241.926909
10,240.902293
11,197.362385
12,197.518397
13,197.998306
14,198.160483
15,198.132138
16,199.11665
17,199.032982
18,247.466013
19,225.35996
20,266.751751
21,266.800915
22,289.840222
23,254.185808
24,150.743729
25,150.636801
26,150.606888
27,150.574405
28,150.721454
29,150.968919
30,166.14924
31,248.360154
32,274.345205
33,191.668318
34,190.836547
35,147.2144
36,146.943735
37,147.614393
38,147.614442
39,147.870933
40,148.692407
41,147.493916
42,249.287666
43,280.30403
44,348.076247
45,348.567105
46,318.743219
47,256.248367
48,153.106626
49,152.872683
50,152.580627
51,152.136808
52,151.812728
53,151.773246
54,166.796797
55,249.717544
56,275.098406
57,192.078246
58,191.005399
59,147.154155
60,146.511315
61,146.749873
62,146.680956
63,146.599353
64,147.536174
65,146.832871
66,247.554822
67,278.182747
68,345.808324
69,345.978211
70,316.105607
71,253.419313
72,150.232595
73,149.95405
74,149.868683
75,149.81975
76,150.000846
77,150.456105
78,165.861136
79,248.569367
80,274.054609
81,190.356778
82,189.846319
83,146.230052
84,145.657885
85,145.941204
86,145.949655
87,145.934185
88,147.03629
89,146.564703
90,245.952275
91,277.683857
92,345.407471
93,345.498811
94,315.348399
95,251.751456
96,149.104736
97,148.921948
98,148.761669
99,148.65368
100,148.77801
101,149.093843
102,164.313955
103,248.237813
104,272.73956
105,190.131152
106,189.87456
107,146.816056
108,146.383639
109,146.194538
110,146.444466
111,146.315095
112,147.330166
113,147.210445
114,245.67748
115,276.342517
116,343.763827
117,344.257223
118,313.051784
119,250.709415
120,148.634983
121,148.64448
122,148.683687
123,148.717419
124,148.96372
125,148.982776
126,164.308687
127,247.181943
128,271.466728
129,190.485934
130,190.266717
131,146.753957
132,146.371557
133,146.810549
134,146.708946
135,146.43072
136,147.508279
137,147.537931
138,245.654927
139,276.39303
140,343.933637
141,344.023255
142,313.382576
143,250.662571
144,148.79242
145,148.779171
146,148.79112
147,148.802835
148,148.811604
149,148.802913
150,154.663006
151,188.330685
152,243.512025
153,214.856761
154,188.460592
155,145.486985
156,145.989633
157,146.17173
158,146.108102
159,145.675596
160,146.050789
161,146.800878
162,246.31215
163,250.532652
164,291.569362
165,291.634901
166,314.217537
167,304.941746
168,149.186448
169,149.036022
170,148.97501
171,148.920973
172,148.873214
173,149.12196
174,155.01997
175,175.385167
176,270.807173
177,241.822832
178,241.355886
179,198.472745
180,198.560845
181,198.634355
182,198.548767
183,198.419472
184,199.535567
185,200.128156
186,246.773493
187,224.264067
188,265.369208
189,265.400212
190,288.225581
191,252.394583
192,149.463192
193,149.308032
194,149.183528
195,149.086704
196,149.26197
197,149.513004
198,164.724186
199,247.544832
200,272.660373
201,191.277758
202,190.713935
203,147.008248
204,147.161839
205,147.419652
206,146.948622
207,146.81888
208,147.47284
209,147.088756
210,246.424482
211,276.69865
212,343.997153
213,344.628787
214,314.104145
215,251.348042
216,148.918377
217,148.711623
218,148.565745
219,148.46985
220,148.683534
221,148.825954
222,164.097576
223,247.310837
224,271.915074
225,190.279596
226,190.027795
227,146.533214
228,145.986353
229,146.271853
230,146.260908
231,146.248124
232,147.366547
233,147.07923
234,245.387791
235,275.985998
236,343.741161
237,344.570525
238,313.502268
239,250.662636
240,148.443775
241,148.351128
242,148.326857
243,148.323873
244,148.58077
245,148.698859
246,163.953216
247,246.84745
248,271.806401
249,190.262106
250,190.073557
251,146.414677
252,145.821821
253,146.089865
254,146.059175
255,146.041348
256,147.159947
257,146.657166
258,245.565468
259,277.14969
260,345.202605
261,345.678554
262,315.168232
263,251.839084
264,148.7816
265,148.662253
266,148.619321
267,148.608061
268,148.862525
269,149.358817
270,164.851591
271,248.385754
272,273.609409
273,190.11222
274,189.87582
275,146.304762
276,145.791959
277,146.082067
278,146.204893
279,146.308267
280,147.200556
281,146.739987
282,246.016245
283,277.392078
284,345.283026
285,345.490113
286,314.94595
287,251.439221
288,148.9853
289,148.8692
290,148.777131
291,148.69908
292,148.899232
293,149.17812
294,164.3819
295,248.2899
296,273.390493
297,191.387792
298,191.321352
299,147.923334
300,146.912112
301,146.836368
302,146.745647
303,146.760535
304,147.558442
305,146.921147
306,246.819299
307,277.688698
308,345.433566
309,345.489266
310,315.169588
311,252.180423
312,149.515489
313,149.225826
314,149.098403
315,149.066685
316,149.074123
317,149.328248
318,154.993917
319,189.012963
320,245.097666
321,216.164606
322,189.793584
323,146.150174
324,146.101104
