hours,kW
0,277.291816
1,292.334111
2,282.325938
3,282.160736
4,287.473738
5,297.79378
6,348.766517
7,907.869526
8,1046.295854
9,402.606691
10,370.757877
11,294.122345
12,279.498701
13,269.827496
14,259.332007
15,254.831731
16,254.065045
17,252.814883
18,909.472094
19,291.444355
20,337.059244
21,944.244807
22,360.900908
23,324.770404
24,220.624721
25,224.553661
26,229.120001
27,235.594274
28,247.379912
29,860.846543
30,261.965569
31,1220.955505
32,858.365905
33,355.111218
34,237.429933
35,175.275878
36,160.554585
37,159.383432
38,158.14962
39,157.551576
40,158.295962
41,282.118554
42,258.534971
43,896.371325
44,355.759692
45,512.456994
46,771.930323
47,264.562941
48,165.68259
49,196.792123
50,224.579182
51,250.329691
52,277.095265
53,285.492797
54,914.318031
55,1382.236214
56,424.003484
57,927.956175
58,308.324884
59,255.246883
60,248.83629
61,247.047425
62,245.919891
63,252.776248
64,261.874751
65,694.20122
66,432.66207
67,491.891941
68,1181.28685
69,590.949286
70,536.012057
71,1054.280464
72,339.398127
73,328.483082
74,322.720401
75,322.036958
76,320.491546
77,334.597158
78,997.6526
79,1008.614403
80,1139.428045
81,379.615201
82,360.789239
83,323.955051
84,330.012159
85,333.715383
86,332.147737
87,336.67841
88,343.155861
89,835.381756
90,1061.594398
91,551.015535
92,1261.708703
93,662.715031
94,593.521042
95,482.94631
96,352.498579
97,343.717972
98,346.243369
99,345.800676
100,351.914623
101,978.619364
102,423.778493
103,1851.032915
104,1218.691195
105,503.907955
106,491.681427
107,453.1521
108,457.64384
109,440.891933
110,448.079744
111,466.155228
112,486.843885
113,1230.886944
114,604.343518
115,1296.184493
116,803.002494
117,1468.576491
118,708.45758
119,641.340728
120,562.260896
121,576.970747
122,596.607788
123,613.83534
124,625.523335
125,630.52373
126,1341.005315
127,2405.576484
128,793.022036
129,1351.595122
130,728.146712
131,642.944979
132,623.002841
133,613.147926
134,598.061432
135,580.045763
136,594.884423
137,1400.640747
138,670.665397
139,758.440029
140,1383.669856
141,810.254352
142,1313.665963
143,616.630938
144,528.23652
145,535.156428
146,541.71269
147,548.887212
148,554.233443
149,546.979734
150,1233.455366
151,1502.560278
152,1294.071073
153,648.284122
154,1207.396158
155,548.428036
156,543.433285
157,526.079053
158,510.951538
159,489.350338
160,477.584729
161,1170.943843
162,604.286783
163,621.167968
164,1263.305498
165,645.216498
166,612.727742
167,595.135294
168,426.2586
169,412.574159
170,408.780419
171,406.002137
172,403.565955
173,1013.982507
174,443.263284
175,1675.078332
176,1166.066178
177,551.998966
178,541.436737
179,497.588174
180,463.757919
181,446.305052
182,451.01182
183,452.590754
184,466.158996
185,1024.843513
186,506.483735
187,1087.409436
188,526.859654
189,1137.604071
190,528.753487
191,487.671563
192,382.131033
193,385.753421
194,384.215023
195,390.596822
196,394.189482
197,1008.75751
198,455.345018
199,1851.038673
200,599.200806
201,1153.662802
202,527.675339
203,464.86061
204,473.410527
205,481.292514
206,464.973275
207,468.609265
208,458.999101
209,1125.315692
210,600.320077
211,1241.198128
212,701.131528
213,727.911865
214,1254.722658
215,579.090737
216,463.087636
217,459.262991
218,462.095675
219,469.510178
220,475.175017
221,486.673583
222,1176.948179
223,2115.526404
224,688.742609
225,1215.051039
226,590.935793
227,520.315568
228,494.486812
229,491.151165
230,487.980367
231,477.414533
232,487.268401
233,1103.726085
234,537.744595
235,558.891686
236,1248.899335
237,669.182407
238,578.892774
239,1087.834391
240,382.820457
241,378.750897
242,385.077449
243,388.445613
244,392.817389
245,392.708538
246,573.309095
247,1660.944948
248,1173.225542
249,468.167494
250,446.589202
251,376.438215
252,332.517694
253,318.345265
254,302.632896
255,300.305565
256,319.313742
257,763.357831
258,1004.643041
259,461.80506
260,588.269515
261,1197.714271
262,528.216709
263,418.287168
264,290.915467
265,293.725999
266,297.787376
267,300.376803
268,296.999079
269,911.781076
270,350.85345
271,1577.189447
272,1121.586257
273,391.865523
274,390.853912
275,347.152463
276,354.742809
277,354.498842
278,342.102857
279,339.859622
280,355.078554
281,888.366697
282,472.518571
283,1152.217064
284,649.846965
285,989.851762
286,893.77947
287,494.585296
288,357.309573
289,355.211395
290,354.206385
291,358.772306
292,361.686381
293,376.195289
294,1042.873343
295,1861.173851
296,595.138063
297,1083.071786
298,451.796251
299,394.847502
300,374.244116
301,357.088241
