hours,kW
0,106.127113
1,105.811307
2,105.756507
3,105.723328
4,105.654205
5,105.782996
6,110.021863
7,123.945883
8,192.614152
9,171.808941
10,171.081291
11,140.160607
12,140.271402
13,140.612218
14,140.727391
15,140.707261
16,141.406431
17,141.347013
18,175.74264
19,160.043611
20,189.438769
21,189.473684
22,205.835481
23,180.514829
24,107.053492
25,106.977555
26,106.956312
27,106.933243
28,107.037674
29,107.213415
30,117.994006
31,176.377631
32,194.831404
33,136.116858
34,135.526161
35,104.547073
36,104.354855
37,104.831135
38,104.83117
39,105.013322
40,105.596707
41,104.745577
42,177.036321
43,199.063175
44,247.192888
45,247.541481
46,226.361487
47,181.979594
48,108.731548
49,108.565409
50,108.358
51,108.042813
52,107.812662
53,107.784623
54,118.45388
55,177.341607
56,195.366303
57,136.407976
58,135.646074
59,104.504289
60,104.047764
61,104.217181
62,104.168238
63,104.110286
64,104.775587
65,104.276123
66,175.80571
67,197.556706
68,245.582281
69,245.702929
70,224.488338
71,179.970488
72,106.690501
73,106.492687
74,106.432062
75,106.397311
76,106.52592
77,106.849231
78,117.789403
79,176.526208
80,194.625031
81,135.185443
82,134.822931
83,103.848019
84,103.441685
85,103.642889
86,103.648891
87,103.637904
88,104.420585
89,104.085678
90,174.66763
91,197.20241
92,245.297607
93,245.362474
94,223.950592
95,178.786028
96,105.889531
97,105.75972
98,105.645895
99,105.569205
100,105.6575
101,105.881795
102,116.690643
103,176.290748
104,193.691125
105,135.025211
106,134.842987
107,104.264181
108,103.957092
109,103.822799
110,104.00029
111,103.908415
112,104.629286
113,104.544264
114,174.47248
115,196.249832
116,244.130342
117,244.480737
118,222.319608
119,178.046003
120,105.555927
121,105.562671
122,105.590515
123,105.61447
124,105.789386
125,105.802919
126,116.686902
127,175.540902
128,192.787199
129,135.277166
130,135.121485
131,104.220081
132,103.948512
133,104.260271
134,104.188115
135,103.990528
136,104.755776
137,104.776835
138,174.456463
139,196.285704
140,244.250936
141,244.31458
142,222.554526
143,178.012735
144,105.667733
145,105.658325
146,105.66681
147,105.67513
148,105.681358
149,105.675185
150,109.836841
151,133.746575
152,172.934641
153,152.584566
154,133.838831
155,103.320316
156,103.677282
157,103.806601
158,103.761415
159,103.454262
160,103.720712
161,104.253402
162,174.923202
163,177.920472
