hours,kW
0,111.895997
1,111.895997
2,111.895997
3,114.281285
4,116.16602
5,116.477589
6,115.558206
7,114.393654
8,283.526751
9,282.31623
10,282.709521
11,282.918936
12,282.770814
13,282.224291
14,282.300907
15,282.683983
16,149.62004
17,122.535301
18,121.641457
19,116.768727
20,116.768727
21,116.768727
22,116.768727
23,111.895997
24,136.59034
25,136.59034
26,136.59034
27,138.975628
28,240.212065
29,240.523634
30,396.197985
31,931.792955
32,1109.029069
33,1192.726048
34,1192.494595
35,1192.704895
36,1084.576088
37,1192.590119
38,1191.558236
39,1191.967135
40,1191.979684
41,1127.620468
42,572.432293
43,576.805605
44,433.512278
45,342.158073
46,146.335799
47,136.59034
48,136.59034
49,136.59034
50,136.59034
51,138.975628
52,240.212065
53,240.523634
54,396.197985
55,932.24604
56,1109.428972
57,1193.228931
58,1192.958674
59,1193.172481
60,1085.034134
61,1193.011569
62,1191.983579
63,1192.404656
64,1192.382749
65,1127.959514
66,572.432293
67,576.805605
68,433.512278
69,342.158073
70,146.335799
71,136.59034
72,136.59034
73,136.59034
74,136.59034
75,138.975628
76,240.212065
77,240.523634
78,396.197985
79,932.194852
80,1109.399556
81,1193.234131
82,1192.962748
83,1193.149484
84,1084.993816
85,1192.982519
86,1191.932595
87,1192.323853
88,1192.26579
89,1127.913707
90,572.432293
91,576.805605
92,433.512278
93,342.158073
94,146.335799
95,136.59034
96,136.59034
97,136.59034
98,136.59034
99,138.975628
100,240.212065
101,240.523634
102,396.197985
103,932.146409
104,1109.431142
105,1193.374151
106,1193.06308
107,1193.253177
108,1085.117763
109,1193.158683
110,1192.079387
111,1192.40977
112,1192.386026
113,1128.0068
114,572.432293
115,576.805605
116,433.512278
117,342.158073
118,146.335799
119,136.59034
120,136.59034
121,136.59034
122,136.59034
123,138.975628
124,240.212065
125,240.523634
126,396.197985
127,931.903741
128,1109.224322
129,1193.089573
130,1192.869295
131,1193.093336
132,1084.967054
133,1192.985087
134,1191.948694
135,1192.343587
136,1192.313159
137,1127.934429
138,572.432293
139,576.805605
140,433.512278
141,342.158073
142,146.335799
143,136.59034
144,136.59034
145,136.59034
146,136.59034
147,138.975628
148,141.547063
149,141.858631
150,157.794603
151,390.749392
152,417.664159
153,557.054649
154,552.121194
155,552.330609
156,480.404044
157,479.290002
158,479.366617
159,430.361008
160,430.315039
161,312.846157
162,245.687501
163,245.687501
164,147.022499
165,146.335799
166,146.335799
167,146.335799
168,111.895997
169,111.895997
170,111.895997
171,114.281285
172,116.16602
173,116.477589
174,132.41356
175,131.249009
176,300.382105
177,299.171584
178,299.564876
179,299.774291
180,299.626168
181,299.079646
182,299.156261
183,299.539337
184,166.475394
185,122.535301
186,121.641457
187,116.768727
188,116.768727
189,116.768727
190,116.768727
191,111.895997
192,136.59034
193,136.59034
194,136.59034
195,138.975628
196,240.212065
197,240.523634
198,396.197985
199,931.692416
200,1109.078565
201,1193.083864
202,1192.886716
203,1193.150626
204,1085.016986
205,1192.970981
206,1191.928053
207,1192.280605
208,1192.242627
209,1127.850167
210,572.432293
211,576.805605
212,433.512278
213,342.158073
214,146.335799
215,136.59034
216,136.59034
217,136.59034
218,136.59034
219,138.975628
220,240.212065
221,240.523634
222,396.197985
223,931.903382
224,1109.178772
225,1193.039481
226,1192.831653
227,1193.186019
228,1085.156035
229,1193.149254
230,1192.047261
231,1192.503331
232,1192.449452
233,1128.052789
234,572.432293
235,576.805605
236,433.512278
237,342.158073
238,146.335799
239,136.59034
240,136.59034
241,136.59034
242,136.59034
243,138.975628
244,240.212065
245,240.523634
246,396.197985
247,932.009483
248,1109.383395
249,1193.41495
250,1192.869191
251,1193.067406
252,1084.921224
253,1192.917032
254,1191.863257
255,1192.247011
256,1192.199989
257,1127.854842
258,572.432293
259,576.805605
260,433.512278
261,342.158073
262,146.335799
263,136.59034
264,136.59034
265,136.59034
266,136.59034
267,138.975628
268,240.212065
269,240.523634
270,396.197985
271,932.13936
272,1109.335654
273,1193.250397
274,1192.980253
275,1193.174604
276,1085.024808
277,1193.02237
278,1191.988343
279,1192.409556
280,1192.397514
281,1128.020494
282,572.432293
283,576.805605
284,433.512278
285,342.158073
286,146.335799
287,136.59034
288,136.59034
289,136.59034
290,136.59034
291,138.975628
292,240.212065
293,240.523634
294,396.197985
295,932.170656
296,1109.542771
297,1193.484057
298,1193.100507
299,1193.311435
300,1085.160462
301,1193.138002
302,1192.070958
303,1192.462923
304,1192.44539
305,1128.078075
306,572.432293
307,576.805605
308,433.512278
309,342.158073
310,146.335799
311,136.59034
312,136.59034
313,136.59034
314,136.59034
315,138.975628
316,141.547063
317,141.858631
318,157.794603
319,390.749392
320,417.664159
321,557.054649
322,552.121194
323,552.330609
324,480.404044
325,479.290002
326,479.366617
327,430.361008
328,430.315039
329,312.846157
330,245.687501
331,245.687501
332,147.022499
333,146.335799
334,146.335799
335,146.335799
336,111.895997
337,111.895997
338,111.895997
339,114.281285
340,116.16602
341,116.477589
342,132.41356
