hours,kW
0,175.182246
1,174.66095
2,174.570493
3,174.515724
4,174.401625
5,174.614218
6,181.611244
7,204.59539
8,317.944951
9,283.602138
10,282.401018
11,231.360764
12,231.54365
13,232.10623
14,232.296345
15,232.263116
16,233.417224
17,233.319144
18,290.095429
19,264.181304
20,312.703399
21,312.761033
22,339.769176
23,297.972801
24,176.711405
25,176.586056
26,176.550991
27,176.512912
28,176.685293
29,176.975386
30,194.770726
31,291.143597
32,321.604931
33,224.685815
34,223.710761
35,172.5741
36,172.256809
37,173.042997
38,173.043054
39,173.34373
40,174.306713
41,172.901767
42,292.230886
43,328.590245
44,408.037155
45,408.612571
46,373.651111
47,300.390663
48,179.481343
49,179.2071
50,178.864733
51,178.34446
52,177.964553
53,177.91827
54,195.529833
55,292.734817
56,322.487881
57,225.166358
58,223.9087
59,172.503477
60,171.749899
61,172.029552
62,171.948763
63,171.853103
64,172.951304
65,172.126848
66,290.199536
67,326.103541
68,405.378552
69,405.577704
70,370.559134
71,297.074267
72,176.112221
73,175.785692
74,175.68562
75,175.628257
76,175.840549
77,176.374233
78,194.432993
79,291.388851
80,321.264275
81,223.148344
82,222.549952
83,171.420184
84,170.749454
85,171.081579
86,171.091485
87,171.07335
88,172.365308
89,171.812483
90,288.320928
91,325.518711
92,404.908646
93,405.015721
94,369.671486
95,295.119098
96,174.790073
97,174.575797
98,174.387907
99,174.261316
100,174.407063
101,174.777303
102,192.619288
103,291.000181
104,319.722691
105,222.883851
106,222.583058
107,172.107136
108,171.600228
109,171.378553
110,171.671534
111,171.519878
112,172.709808
113,172.569464
114,287.998797
115,323.946307
116,402.981862
117,403.560252
118,366.979249
119,293.897551
120,174.239398
121,174.25053
122,174.296492
123,174.336034
124,174.624765
125,174.647103
126,192.613113
127,289.762424
128,318.230596
129,223.29975
130,223.042769
131,172.03434
132,171.586065
133,172.100681
134,171.981575
135,171.655421
136,172.918603
137,172.953364
138,287.972358
139,324.00552
140,403.180924
141,403.28598
142,367.367023
143,293.842637
144,174.423956
145,174.408425
146,174.422431
147,174.436164
148,174.446445
149,174.436256
150,181.305831
151,220.773229
152,285.460312
153,251.868785
154,220.925514
155,170.549114
156,171.13835
157,171.351816
158,171.277227
159,170.770216
160,171.210041
161,172.089343
162,288.742796
163,293.690339
164,341.796185
165,341.873014
166,368.345819
167,357.472145
168,174.88586
169,174.709521
170,174.637999
171,174.574654
172,174.518667
173,174.810263
174,181.724287
175,205.597668
176,317.457423
177,283.480133
178,282.932748
179,232.662398
180,232.765674
181,232.851848
182,232.751516
183,232.599948
184,233.908305
185,234.602976
186,289.283612
187,262.896629
188,311.082695
