hours,kW
0,325.059136
1,342.692672
2,330.960454
3,330.766793
4,336.995033
5,349.092844
6,408.846334
7,1064.262506
8,1226.534669
9,471.961217
10,434.626007
11,344.788954
12,327.646187
13,316.308984
14,304.005503
15,298.729992
16,297.831234
17,296.365714
18,1066.141138
19,341.649644
20,395.122323
21,1106.903929
22,423.07104
23,380.716562
24,258.630355
25,263.23611
26,268.589064
27,276.178619
28,289.994496
29,1009.139169
30,307.092732
31,1431.28184
32,1006.231208
33,416.283997
34,278.330496
35,205.469552
36,188.212314
37,186.839414
38,185.393062
39,184.691997
40,185.564613
41,330.717345
42,303.071166
43,1050.783583
44,417.044179
45,600.734741
46,904.905911
47,310.137537
48,194.223689
49,230.692266
50,263.266026
51,293.452414
52,324.828726
53,334.672847
54,1071.821854
55,1620.345363
56,497.043901
57,1087.809356
58,361.438075
59,299.21666
60,291.701755
61,289.604732
62,288.282966
63,296.320424
64,306.986269
65,813.786904
66,507.194047
67,576.627076
68,1384.779716
69,692.748407
70,628.347487
71,1235.894736
72,397.86411
73,385.068799
74,378.313417
75,377.512242
76,375.700611
77,392.236109
78,1169.511947
79,1182.36207
80,1335.710157
81,445.009127
82,422.940134
83,379.760752
84,386.86128
85,391.202436
86,389.364741
87,394.675884
88,402.269166
89,979.287723
90,1244.468596
91,645.935519
92,1479.055335
93,776.876786
94,695.763183
95,566.140437
96,413.221295
97,402.928107
98,405.888539
99,405.369586
100,412.536745
101,1147.199974
102,496.780151
103,2169.898727
104,1428.627472
105,590.713013
106,576.380298
107,531.213766
108,536.47927
109,516.841617
110,525.267627
111,546.456861
112,570.709422
113,1442.924106
114,708.44998
115,1519.470053
116,941.330689
117,1721.558938
118,830.499117
119,751.820467
120,659.118048
121,676.361873
122,699.381663
123,719.576899
124,733.27831
125,739.140092
126,1572.011876
127,2819.970034
128,929.630961
129,1584.425924
130,853.579972
131,753.701072
132,730.323627
133,718.771068
134,701.085718
135,679.966603
136,697.361426
137,1641.920329
138,786.196712
139,889.091729
140,1622.02597
141,949.83178
142,1539.962946
143,722.854076
144,619.232507
145,627.344464
146,635.030132
147,643.440564
148,649.707757
149,641.204496
150,1445.934974
151,1761.396899
152,1516.992568
153,759.959956
154,1415.38671
155,642.902288
156,637.047123
157,616.703387
158,598.969949
159,573.647646
160,559.855251
161,1372.654983
162,708.383471
163,728.172672
164,1480.9272
165,756.363891
166,718.278501
167,697.655513
168,499.687491
169,483.645717
170,479.198453
171,475.941575
172,473.085727
173,1188.654903
174,519.621465
175,1963.633553
176,1366.937073
177,647.088361
178,634.706643
179,583.304562
180,543.646582
181,523.18722
182,528.704793
183,530.55572
184,546.461278
185,1201.386868
186,593.732506
187,1274.730628
188,617.618458
189,1333.571978
190,619.838529
191,571.67968
192,447.958346
193,452.20474
194,450.401332
195,457.882483
196,462.094028
197,1182.529829
198,533.784444
199,2169.905477
200,702.421365
201,1352.397045
202,618.574655
203,544.939227
204,554.961985
205,564.201752
206,545.0713
207,549.33364
208,538.067993
209,1319.166758
210,703.733445
211,1455.011532
212,821.911052
213,853.304669
214,1470.865849
215,678.84706
216,542.860834
217,538.377341
218,541.697994
219,550.389747
220,557.030432
221,570.509784
222,1379.693649
223,2479.954848
224,807.387972
225,1424.360249
226,692.732589
227,609.947062
228,579.668949
229,575.758691
230,572.04168
231,559.655735
232,571.207068
233,1293.858044
234,630.378478
235,655.168446
236,1464.039378
237,784.458257
238,678.614996
239,1275.228788
240,448.766532
241,443.995935
242,451.412322
243,455.360698
244,460.485573
245,460.357971
246,672.069452
247,1947.065501
248,1375.329736
249,548.815767
250,523.520319
251,441.284862
252,389.798428
253,373.184604
254,354.765563
255,352.037318
256,374.319914
257,894.85669
258,1177.706587
259,541.357317
260,689.60701
261,1404.036985
262,619.209283
263,490.34287
264,341.029647
265,344.324332
266,349.085337
267,352.120828
268,348.161245
269,1068.847874
