hours,kW
0,220.068528
1,224.232281
2,216.555601
3,216.428884
4,220.504175
5,228.420072
6,267.518257
7,701.288755
8,825.529363
9,324.90709
10,300.960022
11,233.950458
12,222.6111
13,215.374896
14,207.423504
15,203.953436
16,203.28568
17,202.260389
18,710.614124
19,239.141464
20,282.388652
21,751.34629
22,340.566833
23,311.374727
24,183.117629
25,184.293135
26,187.338168
27,191.937399
28,200.345
29,673.037979
30,207.645673
31,958.71103
32,685.286942
33,286.623948
34,203.975624
35,136.813909
36,127.675357
37,129.971422
38,128.974722
39,129.315335
40,126.862078
41,219.80294
42,224.161709
43,741.54155
44,353.463249
45,502.032436
46,715.872268
47,294.710827
48,155.954126
49,175.516128
50,195.447254
51,212.960295
52,230.980934
53,240.014983
54,715.568036
55,1091.692879
56,360.769828
57,726.534914
58,252.480294
59,198.055216
60,192.362284
61,190.873726
62,189.816659
63,194.966947
64,201.900223
65,533.39755
66,336.869927
67,394.978828
68,938.275378
69,493.284672
70,467.344047
71,861.881039
72,268.505833
73,259.182545
74,255.162954
75,254.629445
76,253.57624
77,264.499324
78,766.723746
79,785.632844
80,886.845238
81,301.606953
82,287.681839
83,249.100755
84,253.375656
85,256.21468
86,255.012431
87,258.467513
88,263.364634
89,640.859939
90,814.286546
91,422.651568
92,967.782444
93,508.329673
94,455.255039
95,370.439674
96,270.380901
97,263.645815
98,265.582898
99,265.243334
100,269.932983
101,750.641283
102,325.055526
103,1419.818343
104,934.786248
105,386.518117
106,377.139868
107,347.58629
108,351.031639
109,338.182238
110,343.695585
111,357.560224
112,373.429274
113,944.140889
114,463.556323
115,994.226793
116,615.935925
117,1126.458542
118,543.416089
119,491.934704
120,431.277222
121,442.560282
122,457.6227
123,470.836941
124,479.802113
125,483.637622
126,1028.606206
127,1845.176058
128,608.280503
129,1036.729024
130,558.518463
131,493.165231
132,477.868791
133,470.309666
134,458.737705
135,444.918946
136,456.300809
137,1074.349033
138,514.427931
139,581.754682
140,1061.331663
141,621.498398
142,1007.635799
143,472.981279
144,405.179127
145,410.486981
146,415.515903
147,421.019057
148,425.119836
149,419.555942
150,946.110974
151,1152.525504
152,992.605713
153,497.260573
154,926.12249
155,420.666849
156,416.835671
157,403.524261
158,391.920835
159,375.351826
160,366.327121
161,898.162066
162,463.512805
163,476.461368
164,969.007252
165,494.907579
166,469.987367
167,456.493237
168,326.95787
169,316.461341
170,313.551386
171,311.42033
172,309.551678
173,777.766268
174,340.001161
175,1284.853943
176,894.420696
177,423.4059
178,415.304236
179,381.670585
180,369.038365
181,364.496143
182,358.487147
183,347.155714
184,357.563114
185,786.097107
186,388.493846
187,834.087741
188,404.123014
189,872.58909
190,405.575662
191,374.064137
192,293.110212
193,295.888732
194,294.708718
195,299.60382
196,302.359538
197,773.758481
198,349.268349
199,1419.822759
200,459.611652
201,884.906796
202,404.748678
203,356.567199
204,363.125336
205,369.171144
206,356.653617
207,359.442571
208,352.07118
209,863.163398
210,460.470178
211,952.04999
212,537.796706
213,558.338325
214,962.423861
215,444.186402
216,355.207255
217,352.273594
218,354.44638
219,360.133608
220,364.478773
221,373.298646
222,902.767638
223,1622.695722
224,528.293896
225,931.994098
226,453.272047
227,399.103431
228,379.291713
229,376.733135
230,374.301003
231,366.196573
232,373.754896
233,846.603282
234,412.472211
235,428.692899
236,957.957133
237,513.290417
238,444.034556
239,834.413699
240,293.639028
241,290.517509
242,295.370234
243,297.953754
244,301.307086
245,301.223593
246,439.751645
247,1274.013058
248,899.912222
249,370.870183
250,362.367521
251,295.123261
252,259.661167
253,248.063588
254,235.421706
255,233.106889
256,247.131927
257,586.876202
258,771.813888
259,357.224894
260,466.065985
261,941.963328
262,450.18743
263,374.111453
264,232.725688
265,233.148133
266,235.480351
267,237.259102
268,235.053941
269,706.952774
270,270.665669
271,1214.346612
272,870.379527
273,311.5421
274,311.808495
275,267.748816
276,272.55856
277,272.343493
278,263.578512
279,262.215156
280,272.925057
281,681.413778
282,362.44117
283,883.797856
284,498.459338
285,759.256995
286,685.565597
287,379.367255
288,274.071132
289,272.461743
290,271.690859
291,275.193108
292,277.428323
293,288.557252
294,799.926727
295,1427.596857
296,456.495361
297,842.380442
298,368.319174
299,310.607437
300,291.854251
301,277.707658
