hours,kW
0,212.694223
1,224.232281
2,216.555601
3,216.428884
4,220.504175
5,228.420072
6,267.518257
7,696.373249
8,802.551934
9,308.815884
10,284.386533
11,225.60393
12,214.386994
13,206.968782
14,198.918311
15,195.466414
16,194.878334
17,193.919408
18,697.602485
19,223.549802
20,258.538297
21,724.274585
22,276.825833
23,249.112252
24,169.228231
25,172.24189
26,175.74446
27,180.710493
28,189.750563
29,660.304688
30,200.938361
31,936.523066
32,658.401937
33,272.384903
34,182.11852
35,134.443804
36,123.151967
37,122.253644
38,121.30726
39,120.848536
40,121.41951
41,216.396529
42,198.306951
43,687.553657
44,272.882309
45,393.075582
46,592.102292
47,202.930652
48,127.085358
49,150.947649
50,172.261465
51,192.013164
52,212.54346
53,218.984712
54,701.319518
55,1060.232
56,325.228103
57,711.780535
58,236.497861
59,195.784852
60,190.867664
61,189.495531
62,188.630666
63,193.889774
64,200.8687
65,532.480875
66,331.869595
67,377.301341
68,906.095577
69,453.282396
70,411.143284
71,808.676457
72,260.332316
73,251.960028
74,247.539815
75,247.015586
76,245.830191
77,256.649776
78,765.240558
79,773.648712
80,873.988153
81,291.180465
82,276.740178
83,248.486842
84,253.132893
85,255.973418
86,254.770969
87,258.246181
88,263.214653
89,640.77215
90,814.286546
91,422.651568
92,967.782444
93,508.329673
94,455.255039
95,370.439674
96,270.380901
97,263.645815
98,265.582898
99,265.243334
100,269.932983
101,750.641283
102,325.055526
103,1419.818343
104,934.786248
105,386.518117
106,377.139868
107,347.58629
108,351.031639
109,338.182238
110,343.695585
111,357.560224
112,373.429274
113,944.140889
114,463.556323
115,994.226793
116,615.935925
117,1126.458542
118,543.416089
119,491.934704
120,431.277222
121,442.560282
122,457.6227
123,470.836941
124,479.802113
125,483.637622
126,1028.606206
127,1845.176058
128,608.280503
129,1036.729024
130,558.518463
131,493.165231
132,477.868791
133,470.309666
134,458.737705
135,444.918946
136,456.300809
137,1074.349033
138,514.427931
139,581.754682
140,1061.331663
141,621.498398
142,1007.635799
143,472.981279
144,405.179127
145,410.486981
146,415.515903
147,421.019057
148,425.119836
149,419.555942
150,946.110974
151,1152.525504
152,992.605713
153,497.260573
154,926.12249
155,420.666849
156,416.835671
157,403.524261
158,391.920835
159,375.351826
160,366.327121
161,898.162066
162,463.512805
163,476.461368
164,969.007252
165,494.907579
166,469.987367
167,456.493237
168,326.95787
169,316.461341
170,313.551386
171,311.42033
172,309.551678
173,777.766268
174,340.001161
175,1284.853943
176,894.420696
177,423.4059
178,415.304236
179,381.670585
180,355.721389
181,342.334323
182,345.944607
183,347.155714
184,357.563114
185,786.097107
186,388.493846
187,834.087741
188,404.123014
189,872.58909
190,405.575662
191,374.064137
192,293.110212
193,295.888732
194,294.708718
195,299.60382
196,302.359538
197,773.758481
198,349.268349
199,1419.822759
200,459.611652
201,884.906796
202,404.748678
203,356.567199
204,363.125336
205,369.171144
206,356.653617
207,359.442571
208,352.07118
209,863.163398
210,460.470178
211,952.04999
212,537.796706
213,558.338325
214,962.423861
215,444.186402
216,355.207255
217,352.273594
218,354.44638
219,360.133608
220,364.478773
221,373.298646
222,902.767638
223,1622.695722
224,528.293896
225,931.994098
226,453.272047
227,399.103431
228,379.291713
229,376.733135
230,374.301003
231,366.196573
232,373.754896
233,846.603282
234,412.472211
235,428.692899
236,957.957133
237,513.290417
238,444.034556
239,834.413699
240,293.639028
241,290.517509
242,295.370234
243,297.953754
244,301.307086
245,301.223593
246,439.751645
247,1274.013058
248,899.912222
249,359.103714
250,342.552277
251,288.743586
252,255.054741
253,244.183905
254,232.131872
255,230.346714
256,244.926767
257,585.526839
258,770.602514
259,354.223466
260,451.226902
261,918.696084
262,405.163931
263,320.843453
264,223.144123
265,225.299916
266,228.41516
267,230.401357
268,227.810503
269,699.373569
270,269.11902
271,1209.769145
272,860.302768
273,300.576966
274,299.801019
275,266.280211
276,272.102318
277,271.915185
278,262.406955
279,260.686302
280,272.359848
281,681.413778
282,362.44117
283,883.797856
284,498.459338
285,759.256995
286,685.565597
287,379.367255
288,274.071132
289,272.461743
290,271.690859
291,275.193108
292,277.428323
293,288.557252
294,799.926727
295,1427.596857
296,456.495361
297,830.760586
298,346.546298
299,302.864267
300,287.060622
301,273.901361
302,268.684185
303,276.432722
304,276.219843
305,675.379044
306,381.73377
307,427.839751
308,969.283924
309,508.911025
310,453.625565
311,854.480695
312,299.576422
313,299.605286
314,301.466242
315,299.518184
316,302.25083
317,307.543814
318,801.17884
319,827.281296
320,892.821013
321,382.555466
322,331.729757
323,259.38836
324,243.917285
325,240.865905
326,238.806211
327,240.195652
328,252.221345
329,630.348663
330,819.559743
331,393.992661
332,919.072566
333,469.952083
334,460.819315
335,472.782808
336,330.216133
337,321.837415
338,326.134799
339,331.946634
340,337.751328
341,813.462285
342,392.455803
343,1458.013232
344,992.614862
345,490.060849
346,479.355921
347,416.846641
348,392.692833
349,383.219988
350,369.860162
351,372.14897
352,378.045997
353,832.796067
354,408.728564
355,864.577145
356,439.17026
357,917.537542
358,442.628877
359,407.49796
360,333.664283
361,328.057599
362,328.77472
363,322.949315
364,321.694763
365,325.186411
366,804.319393
367,834.111856
368,446.524975
369,885.881667
370,384.832352
371,327.539794
372,313.70717
373,308.153861
374,303.685126
375,300.764223
376,307.166001
377,313.368353
378,368.406466
379,460.123728
380,760.87389
381,398.756273
382,881.399493
383,387.053282
384,302.610334
385,298.291258
386,295.324179
387,294.069892
388,292.982013
389,299.196506
390,787.607793
391,811.739867
392,881.85849
393,326.004265
394,774.637579
395,276.06207
396,264.179914
397,259.847384
398,256.858021
399,254.674801
400,260.467379
401,621.828195
402,349.906849
403,403.860067
404,939.749095
405,476.916494
406,430.005809
407,361.732633
408,272.971379
409,269.404436
410,270.651083
411,272.588107
412,279.077927
413,754.142697
414,328.83008
415,1441.935252
416,958.495952
417,393.263843
418,398.955165
419,382.45949
420,387.480079
421,377.481467
422,384.027777
423,384.345099
424,396.865924
425,1004.51247
426,489.831807
427,1013.771699
428,627.366685
429,1118.673423
430,557.375559
431,472.888543
432,394.948397
433,400.995946
434,407.987157
435,419.701458
436,424.401637
437,891.989399
438,493.348702
439,1744.166768
440,581.125019
441,1001.195523
442,529.255558
443,485.243035
444,490.010491
445,484.563143
446,473.175101
447,452.826737
448,429.868078
449,1024.045384
450,529.922598
451,1042.704799
452,635.272007
453,641.373287
454,1042.164576
455,498.020314
456,410.922233
457,412.810827
458,414.287537
459,408.402811
460,404.163348
461,400.92077
462,915.104782
463,1607.615697
464,552.766936
465,941.613706
466,468.883071
467,423.424417
468,429.363966
469,415.666842
470,404.284047
471,383.149
472,372.354261
473,894.104671
474,472.818857
475,498.515508
476,1019.363644
477,554.475674
478,521.994778
479,918.188758
480,367.182155
481,360.971336
482,359.322027
483,354.686135
484,353.517707
485,356.666355
486,548.301533
487,1213.968434
488,923.936882
489,420.249744
490,389.872659
491,333.127294
492,325.184314
493,308.76859
494,297.899921
495,300.277244
496,293.45211
497,663.461058
498,829.78237
499,358.836077
500,392.633762
501,860.951244
502,391.658403
503,374.840774
504,262.100727
505,271.475633
506,289.643137
507,306.730429
508,315.488233
509,796.885463
510,397.912745
511,1586.239247
512,1041.008996
513,589.4734
514,590.800108
515,555.521601
516,546.180914
517,537.446823
518,539.660527
519,555.940958
520,555.39114
521,1206.762688
522,590.137966
523,1045.868419
524,606.408306
525,968.090396
526,650.724951
527,523.776688
528,443.328972
529,437.310942
530,432.742636
531,429.180395
532,427.013938
533,419.732535
534,931.838439
535,1611.768798
536,545.487093
537,948.418831
538,456.327431
539,400.492901
540,373.934211
541,353.796436
542,335.165598
543,327.796617
544,324.913941
545,698.078554
546,372.929803
547,375.851805
548,886.76426
549,442.145355
550,394.833319
551,812.214557
552,260.323048
553,268.741747
554,286.690516
555,297.37726
556,310.256284
557,318.110976
558,841.487256
559,1038.639661
560,965.530014
561,449.734821
562,449.656538
563,391.604392
564,373.662575
565,356.299403
566,349.1042
567,345.711726
568,353.543006
569,893.612051
570,899.196147
571,482.352808
572,1007.996545
573,557.796949
574,497.614401
575,426.715658
576,343.920197
577,346.26254
578,351.214974
579,356.211469
580,362.281852
581,831.170543
582,415.05985
583,1542.997543
584,975.424641
585,475.791656
586,487.007933
587,448.823726
588,439.666428
589,444.474416
590,447.009356
591,449.548555
592,459.672876
593,1033.739221
594,497.897039
595,950.528804
596,533.296041
597,1006.307429
598,476.46012
599,439.701884
600,368.983174
601,368.859427
602,365.940115
603,364.451629
604,364.452191
605,358.306309
606,864.857396
607,1461.444257
608,473.851773
609,916.353329
610,460.127698
611,405.640358
612,389.860244
613,387.754662
614,375.974296
615,371.158157
616,367.778132
617,872.936328
618,429.987306
619,635.271256
620,811.884951
621,523.457082
622,928.928727
623,405.379111
624,324.480762
625,323.686941
626,326.2095
627,328.902505
628,331.67621
629,335.621426
630,846.301359
631,983.430828
632,945.836919
633,426.608266
634,884.83691
635,404.046103
636,399.773403
637,405.676553
638,422.168768
639,437.14617
640,461.111335
641,1141.760366
642,531.202964
643,561.172924
644,1102.714734
645,655.096519
646,554.42974
647,515.427737
648,455.950094
649,469.372001
650,481.881105
651,496.585559
652,507.814218
653,977.471321
654,591.987347
655,1875.759472
656,1103.167101
657,626.963016
658,588.900992
659,520.797587
660,490.957669
661,471.492057
662,464.424634
663,461.385119
664,467.449777
665,1074.356329
666,521.188149
667,993.117341
668,561.221425
669,1032.695404
670,546.619439
671,535.953326
672,448.499238
673,457.31108
674,464.768005
675,471.394322
676,480.296336
677,939.765224
678,525.620625
679,1723.149495
680,579.530602
681,1049.083389
682,604.903798
683,558.980989
684,555.419119
685,558.26658
686,556.88279
687,562.432293
688,572.870191
689,1293.303085
690,617.146604
691,1077.766937
692,648.300223
693,649.266153
694,1080.190689
695,600.193957
696,538.230715
697,562.19461
698,578.628638
699,593.858323
700,607.153672
701,603.194512
702,1165.546125
703,2095.170662
704,734.802
705,1200.595119
706,741.515982
707,712.276292
708,712.83988
709,703.737123
710,687.415882
711,682.085004
712,698.830686
713,1613.131862
714,753.992773
715,754.172172
716,1276.46397
717,804.132905
718,743.695255
719,1200.609603
720,677.881782
721,690.392861
722,692.363727
723,705.975116
724,701.786851
725,688.611865
726,1014.269436
727,1975.568282
728,1273.684619
729,816.133107
730,812.160181
731,754.99255
732,726.960973
