hours,kW
0,523.141027
1,551.519944
2,532.638442
3,532.326771
4,542.350324
5,561.820201
6,657.985787
7,1712.794134
8,1973.950386
9,759.561104
10,699.474867
11,554.893641
12,527.304555
13,509.058779
14,489.257903
15,480.767645
16,479.321209
17,476.962642
18,1715.817551
19,549.841324
20,635.898749
21,1781.420039
22,680.878629
23,612.714523
24,416.232417
25,423.644789
26,432.259683
27,444.474099
28,466.708982
29,1624.080186
30,494.226402
31,2303.464723
32,1619.400195
33,669.955752
34,447.937269
35,330.676916
36,302.903603
37,300.694096
38,298.366377
39,297.238103
40,298.642467
41,532.24719
42,487.754208
43,1691.101533
44,671.179168
45,966.80559
46,1456.330113
47,499.126627
48,312.578141
49,371.269643
50,423.692936
51,472.274059
52,522.770212
53,538.613064
54,1724.959936
55,2607.738238
56,799.92847
57,1750.689771
58,581.688268
59,481.550874
60,469.456597
61,466.081708
62,463.954494
63,476.889753
64,494.055064
65,1309.685746
66,816.263829
67,928.007392
68,2228.625513
69,1114.889796
70,1011.244767
71,1989.014216
72,640.311305
73,619.71889
74,608.84697
75,607.55758
76,604.641993
77,631.253758
78,1882.179622
79,1902.860249
80,2149.654345
81,716.185168
82,680.667952
83,611.17627
84,622.60366
85,629.590194
86,626.632659
87,635.180264
88,647.400677
89,1576.038109
90,2002.812744
91,1039.550451
92,2380.350042
93,1250.283642
94,1119.741692
95,911.130491
96,665.026726
97,648.46116
98,653.225594
99,652.390406
100,663.92503
101,1846.271361
102,799.503998
103,3492.17396
104,2299.192858
105,950.676902
106,927.610234
107,854.920489
108,863.394642
109,831.790356
110,845.35094
111,879.452296
112,918.483687
113,2322.201459
114,1140.159465
115,2445.392352
116,1514.951126
117,2770.628517
118,1336.581912
119,1209.958706
120,1060.766042
121,1088.517769
122,1125.565171
123,1158.066815
124,1180.117481
125,1189.551269
126,2529.951684
127,4538.380431
128,1496.121913
129,2549.930503
130,1373.727591
131,1212.9853
132,1175.362297
133,1156.769934
134,1128.30763
135,1094.31912
136,1122.313858
137,2642.460381
138,1265.282868
139,1430.879213
140,2610.442959
141,1528.632542
142,2478.373037
143,1163.341011
144,996.575374
145,1009.63053
146,1021.999627
147,1035.53514
148,1045.621384
149,1031.936476
150,2327.047064
151,2834.74261
152,2441.405157
153,1223.058171
154,2277.883548
155,1034.668854
156,1025.245717
157,992.50508
158,963.965384
159,923.212382
160,901.015289
161,2209.11231
162,1140.052428
163,1171.900611
164,2383.36257
165,1217.270765
166,1155.97721
167,1122.787153
168,804.182989
169,778.36581
170,771.208508
171,765.96698
172,761.370859
173,1912.987758
174,836.264166
175,3160.216592
176,2199.910066
177,1041.405801
178,1021.479013
179,938.753951
180,874.929513
181,842.002791
182,850.882619
183,853.861448
184,879.459406
185,1933.478223
186,955.536391
187,2051.515608
188,993.977768
189,2146.213221
190,997.550689
191,920.045192
192,720.931559
193,727.765585
194,724.863231
195,736.903185
196,743.681128
197,1903.130236
198,859.057666
199,3492.184823
200,1130.457181
201,2176.509754
202,995.516646
203,877.009861
204,893.140204
205,908.010425
206,877.222414
207,884.082104
208,865.951489
209,2123.029864
210,1132.568807
211,2341.654622
212,1322.760521
213,1373.284527
214,2367.170113
215,1092.517359
216,873.664953
217,866.449345
218,871.79351
219,885.781773
220,896.469105
221,918.162395
222,2220.44014
223,3991.169557
224,1299.387485
225,2292.325309
226,1114.864339
227,981.63164
228,932.902897
229,926.609838
230,920.627785
231,900.694194
232,919.284584
233,2082.298733
234,1014.513387
235,1054.409663
236,2356.183783
237,1262.485047
238,1092.143881
239,2052.317332
240,722.23223
241,714.554565
242,726.49029
243,732.844696
244,741.092525
245,740.887166
246,1081.609666
247,3133.552435
248,2213.416981
249,883.248654
250,842.538871
251,710.19144
252,627.330623
253,600.592802
254,570.949716
255,566.558955
256,602.419939
257,1440.157179
258,1895.367845
259,871.245234
260,1109.834119
261,2259.61762
262,996.537999
263,789.144019
264,548.843519
265,554.145892
266,561.808119
267,566.693354
268,560.320912
269,1720.173696
270,661.923011
271,2975.538615
272,2115.993881
273,739.296728
274,737.388214
275,654.940699
276,669.260708
277,668.800438
278,645.41407
279,641.181965
280,669.894128
281,1675.999936
282,891.457433
283,2173.782214
284,1226.006643
285,1867.462497
286,1686.211718
287,933.088698
288,674.103187
289,670.144747
290,668.248687
291,676.862791
292,682.360509
293,709.733134
294,1967.493449
295,3511.305934
296,1122.792377
297,2043.332162
298,852.362532
299,744.922554
300,706.052035
301,673.68562
302,660.853495
303,679.911736
304,679.388139
305,1661.156952
306,938.90936
307,1052.311266
308,2384.043071
309,1251.71353
310,1115.733851
311,2101.673956
312,736.835798
313,736.906791
314,741.483982
315,736.692556
316,743.413751
317,756.432332
318,1970.573136
319,2034.774529
320,2195.9755
321,940.930398
322,815.919885
323,637.989557
324,599.937024
325,592.431873
326,587.365868
327,590.783325
328,620.361624
329,1550.400583
330,2015.782659
331,969.061232
332,2260.543611
333,1155.890424
334,1133.427541
335,1162.852853
336,812.196988
337,791.588758
338,802.158572
339,816.453313
340,830.730494
341,2000.785399
342,965.281188
343,3586.117807
344,2441.427659
345,1205.349787
346,1179.02003
347,1025.2727
348,965.864185
349,942.564851
350,909.705127
351,915.334663
352,929.838943
353,2048.338618
354,1005.305542
355,2126.507105
356,1080.179696
357,2256.768078
358,1088.686483
