hours,kW
0,481.423607
1,503.102892
2,510.322801
3,533.689341
4,583.031531
5,612.506365
6,708.178831
7,1821.422986
8,2037.416652
9,768.961111
10,804.194154
11,670.912768
12,621.168838
13,559.172156
14,521.409819
15,503.411649
16,498.313896
17,493.520362
18,1811.414751
19,570.117213
20,648.410078
21,1863.508557
22,757.519443
23,685.381473
24,397.630239
25,402.23671
26,408.214931
27,415.458009
28,428.374691
29,1646.950576
30,460.884665
31,2561.689604
32,1665.666343
33,683.480617
34,482.105991
35,359.482599
36,355.291134
37,352.367271
38,348.242208
39,348.379961
40,341.972479
41,669.150714
42,583.720232
43,1912.848564
44,860.551607
45,1239.323766
46,1795.203191
47,730.316248
48,387.3332
49,364.251123
50,383.142498
51,415.413766
52,453.647727
53,472.145316
54,1757.448069
55,2965.457392
56,799.046842
57,1798.379811
58,589.755902
59,486.680275
60,479.125467
61,478.230611
62,478.752889
63,491.68063
64,515.516318
65,1728.610065
66,832.471303
67,930.124605
68,2306.640843
69,1146.338139
70,1025.286257
71,2066.648706
72,557.621395
73,542.289877
74,542.407608
75,557.575348
76,573.380872
77,580.29267
78,1919.507164
79,2319.418688
80,2214.801077
81,887.986426
82,914.491281
83,838.00353
84,855.598422
85,865.898891
86,857.597729
87,875.659762
88,890.817534
89,2286.92245
90,2236.972587
91,998.837438
92,2333.199568
93,1162.090284
94,977.768076
95,887.208842
96,731.165664
97,742.045498
98,758.592456
99,772.707172
100,795.333822
101,2022.306312
102,983.717295
103,4123.104305
104,2421.504667
105,1178.345387
106,1195.123734
107,1099.924202
108,1095.065557
109,1122.958813
110,1107.869325
111,1149.599929
112,1221.855938
113,3329.678569
114,1391.694277
115,2629.473686
116,1584.94853
117,2834.508455
118,1434.734634
119,1409.797052
120,1292.687415
121,1337.547064
122,1372.092118
123,1398.259969
124,1429.876014
125,1444.196478
126,3003.854916
127,5986.61236
128,1881.952587
129,3079.054307
130,1859.846805
131,1720.251635
132,1650.627478
133,1594.655707
134,1564.807669
135,1563.282528
136,1606.193127
137,3880.163354
138,1613.66258
139,1612.747226
140,2783.183761
141,1614.917562
142,2648.915314
143,1403.501923
144,1287.776161
145,1321.859095
146,1340.66697
147,1345.963468
148,1359.133924
149,1333.6723
150,2815.743126
151,4059.354895
152,2873.118545
153,1626.296725
154,2786.954792
155,1436.449584
156,1349.079056
157,1279.086904
158,1242.781488
159,1234.64321
160,1287.836196
161,3289.359247
162,1361.362497
163,1273.619242
164,2543.520283
165,1305.915045
166,1192.664052
167,1130.328755
168,928.541557
169,933.279658
170,937.276038
171,943.605405
172,945.548607
173,2132.375302
174,1040.562632
175,3967.300822
176,2373.621283
177,1164.313743
178,1191.335164
179,1063.086886
180,991.502315
181,945.426668
182,941.778747
183,943.859413
184,974.494752
185,2555.561433
186,1096.252689
187,2257.085024
188,1123.365347
189,2344.518844
190,1037.77155
191,952.108896
192,767.792797
193,776.947445
194,788.337767
195,810.109379
196,831.200102
197,2037.833943
198,996.894955
199,4289.180005
200,1269.061722
201,2377.267056
202,1180.122149
203,1111.624407
204,1054.08346
205,1054.814763
206,1085.434009
207,1113.096383
208,1159.946074
209,3081.009923
210,1280.079434
211,2544.587755
212,1470.715648
213,1479.297725
214,2449.775657
215,1128.3758
216,972.93447
217,1000.99322
218,1042.576406
219,1089.975328
220,1111.276557
221,1109.442004
222,2588.816659
223,4987.719486
224,1482.269411
225,2660.173408
226,1447.63403
227,1328.892584
228,1280.822848
229,1277.913644
230,1283.309704
231,1260.731111
232,1273.031134
233,3022.831409
234,1299.852309
235,1234.893941
236,2518.352442
237,1273.346289
238,1135.650616
239,2271.452676
240,921.099705
241,926.933905
242,946.547375
243,962.48781
244,966.517481
245,948.425383
246,1380.632272
247,3960.401333
248,2481.644748
249,1173.604292
250,1146.427291
251,991.128787
252,894.458144
253,853.008571
254,822.032218
255,812.224502
256,850.264943
257,2099.805487
258,2184.040926
259,920.116968
260,1034.690959
261,2212.067714
262,990.520273
263,948.728983
264,698.506712
265,711.93591
266,724.112309
267,732.59437
268,728.330208
269,1918.656673
270,796.992114
271,3426.855977
272,2213.227372
273,944.805649
274,992.943299
275,901.155578
276,911.21499
277,913.45795
278,878.785885
279,864.153435
280,915.655674
281,2437.445505
282,1067.491775
283,2237.535708
284,1111.19363
285,1756.049792
286,1577.342287
287,933.689151
288,764.028446
289,769.94951
290,781.402955
291,797.470453
292,808.683461
293,807.725853
294,2205.961827
295,4136.934906
296,1132.66519
297,2234.479032
298,1009.198074
299,866.653769
300,854.200534
301,846.260541
302,834.720058
303,843.776306
304,869.99524
305,2359.098751
306,1029.394789
307,1039.219646
308,2386.822304
309,1186.362072
310,1020.955434
311,2110.586811
312,761.310464
313,795.020977
314,824.441048
315,834.84505
316,845.05283
317,833.834387
318,2189.537933
319,2658.743551
320,2331.711821
321,1036.003499
322,950.805731
323,763.79079
324,711.858286
325,690.923329
326,700.924026
327,723.725925
328,766.331443
329,2170.465958
330,2184.339264
331,995.018321
332,2332.086794
333,1171.359542
334,1086.858351
335,1076.363023
336,875.243993
337,908.797851
338,940.641022
339,982.268021
340,1012.545623
341,2221.50325
342,1193.669438
343,4538.144412
344,2566.02645
345,1289.288046
346,1278.270609
347,1158.072016
348,1113.328594
349,1083.600635
350,1046.245706
351,1035.20423
352,1041.798093
353,2693.209207
354,1179.295969
355,2341.072729
356,1200.350995
357,2436.170704
358,1118.182724
359,1023.403278
360,843.601097
361,842.291635
362,853.381314
363,856.245691
364,862.124184
365,856.199084
366,2088.515981
367,2150.878468
368,1048.344396
369,2208.830093
370,1017.020843
371,895.14044
372,863.450714
373,841.299901
374,820.626104
375,808.446756
376,816.290518
377,824.547547
378,930.709733
379,1152.024029
380,1960.37114
381,1001.54448
382,2213.37007
383,939.486877
384,755.46482
385,752.073232
386,752.318197
387,752.747645
388,753.694926
389,746.131332
390,2052.858449
391,2471.771768
392,2290.064966
393,973.457597
394,2211.514059
395,917.138872
396,871.92916
397,855.550359
398,849.250329
399,845.623015
400,860.549797
401,2194.188348
402,994.401325
403,969.114244
404,2309.527651
405,1104.062037
406,1045.793141
407,938.078812
408,709.738424
409,725.24243
