hours,kW
0,291.59666
1,291.350481
2,291.437439
3,291.577183
4,291.712665
5,291.749274
6,307.597707
7,361.778888
8,524.383561
9,442.504235
10,441.301057
11,367.798814
12,367.681827
13,367.772959
14,367.688877
15,367.567112
16,369.345747
17,369.313924
18,503.153694
19,466.833865
20,536.808041
21,537.025088
22,553.853345
23,483.128207
24,291.882681
25,291.725846
26,291.693937
27,291.661346
28,292.344606
29,292.736341
30,335.256453
31,507.087777
32,528.94705
33,357.190597
34,355.660987
35,282.802357
36,282.32487
37,283.132329
38,283.084248
39,283.299914
40,284.605076
41,282.754137
42,506.266163
43,559.436555
44,674.571733
45,675.462754
46,602.893901
47,485.8294
48,295.639223
49,294.581831
50,294.019476
51,293.627771
52,294.046108
53,294.45888
54,337.114443
55,508.252305
56,529.860276
57,357.960766
58,356.142752
59,282.656164
60,281.245185
61,281.680462
62,281.601791
63,281.515274
64,283.298037
65,282.956903
66,503.94876
67,556.908277
68,671.09875
69,671.445073
70,597.72305
71,480.577944
72,291.220742
73,290.985687
74,290.968286
75,290.93731
76,291.657918
77,291.820549
78,334.38538
79,507.275039
80,527.193933
81,357.231597
82,356.086523
83,282.731874
84,281.466585
85,281.972973
86,281.959367
87,281.986439
88,283.862975
89,283.802275
90,502.163227
91,553.100645
92,667.589759
93,668.847183
94,594.086741
95,478.720016
96,291.120573
97,291.084065
98,291.018949
99,290.970954
100,291.755644
101,291.819998
102,334.382928
103,505.66431
104,525.846792
105,357.570436
106,356.444991
107,283.345849
108,282.070869
109,282.542347
110,282.505495
111,282.53707
112,284.459568
113,285.938007
114,502.783924
115,553.743977
116,667.44722
117,667.517474
118,594.871986
119,479.711042
120,292.203833
121,292.28141
122,292.271942
123,292.31597
124,293.184647
125,293.224344
126,336.011287
127,510.669347
128,527.147227
129,359.024361
130,357.794072
131,284.681498
132,283.254737
133,283.607499
134,283.480801
135,283.414791
136,285.295981
137,287.249241
138,503.261944
139,553.976094
140,667.512852
141,667.476944
142,594.862672
143,479.711236
144,293.018451
145,293.073679
146,293.043315
