hours,kW
0,1068.915324
1,1117.050314
2,1133.080836
3,1184.962073
4,1294.517613
5,1359.961229
6,1572.38489
7,4044.145146
8,4523.720589
9,1707.341111
10,1785.569803
11,1489.642238
12,1379.194708
13,1241.542124
14,1157.697582
15,1117.735854
16,1106.417201
17,1095.774014
18,4021.923644
19,1265.843672
20,1439.679026
21,4137.588656
22,1681.936927
23,1521.76742
24,882.867084
25,893.094931
26,906.368506
27,922.45047
28,951.129661
29,3656.760253
30,1023.312264
31,5687.77525
32,3698.315277
33,1517.546907
34,1070.430437
35,798.167047
36,788.860646
37,782.36873
38,773.209764
39,773.515618
40,759.288946
41,1485.729912
42,1296.04675
43,4247.139349
44,1910.701485
45,2751.697563
46,3985.928764
47,1621.537079
48,860.004345
49,808.754706
50,850.699638
51,922.352238
52,1007.243934
53,1048.314534
54,3902.100244
55,6584.269667
56,1774.141115
57,3992.981882
58,1309.44788
59,1080.586819
60,1063.812714
61,1061.825847
62,1062.985471
63,1091.689217
64,1144.612115
65,3838.070595
66,1848.354175
67,2065.175928
68,5121.484926
69,2545.23955
70,2276.465418
71,4588.625155
72,1238.098934
73,1204.058031
74,1204.319431
75,1237.996695
76,1273.090045
77,1288.436461
78,4261.923584
79,5149.855855
80,4917.571093
81,1971.615611
82,2030.464919
83,1860.637497
84,1899.703821
85,1922.574176
86,1904.142925
87,1944.246452
88,1977.901583
89,5077.70375
90,4966.798981
91,2217.740529
92,5180.453844
93,2580.214381
94,2170.959765
95,1969.889125
96,1623.423055
97,1647.579789
98,1684.31936
99,1715.658572
100,1765.897016
101,4490.170772
102,2184.168947
103,9154.618335
104,5376.519579
105,2616.305941
106,2653.559269
107,2442.185675
108,2431.397919
109,2493.329923
110,2459.826403
111,2552.481773
112,2712.913364
113,7392.957883
114,3090.009129
115,5838.277724
116,3519.095758
117,6293.520888
118,3185.572571
119,3130.203116
120,2870.182037
121,2969.784892
122,3046.486029
123,3104.587077
124,3174.784872
125,3206.580909
126,6669.524527
127,13292.205875
128,4178.540339
129,6836.491373
130,4129.458389
131,3819.512191
132,3664.924158
133,3540.648814
134,3474.376566
135,3470.990262
136,3566.2656
137,8615.211246
138,3582.85019
139,3580.817808
140,6179.563552
141,3585.636653
142,5881.444394
143,3116.225904
144,2859.277473
145,2934.952553
146,2976.712088
147,2988.472018
148,3017.714668
149,2961.18167
150,6251.855819
151,9013.07413
152,6379.247713
153,3610.902058
154,6187.936455
155,3189.380313
156,2995.389625
157,2839.984526
158,2759.37482
159,2741.305223
160,2859.410768
161,7303.436015
162,3022.662818
163,2827.844557
164,5647.43351
165,2899.551631
166,2648.097984
167,2509.693567
168,2061.661052
169,2072.181162
170,2081.054411
171,2095.107643
172,2099.422177
173,4734.559349
174,2310.383887
175,8808.684467
176,5270.203057
177,2585.151176
178,2645.147426
179,2360.39498
180,2201.454195
181,2099.151433
182,2091.051873
183,2095.671623
184,2163.691933
185,5674.168738
186,2434.033734
187,5011.455063
188,2494.23256
189,5205.586279
190,2304.186787
191,2113.98813
192,1704.747078
193,1725.073343
194,1750.363523
195,1798.703507
196,1845.531699
197,4524.647109
198,2213.427593
199,9523.359831
200,2817.725395
201,5278.297847
202,2620.250924
203,2468.163895
204,2340.404475
205,2342.028204
206,2410.012782
207,2471.432154
208,2575.453545
209,6840.83347
210,2842.18826
211,5649.803641
212,3265.462
213,3284.516973
214,5439.290275
215,2505.357378
216,2160.227605
217,2222.527058
218,2314.855114
219,2420.095972
220,2467.391556
221,2463.318257
222,5748.00604
223,11074.34226
224,3291.115074
225,5906.440985
226,3214.213382
227,2950.569162
228,2843.838879
229,2837.379511
230,2849.3605
231,2799.228757
232,2826.538767
233,6711.658448
234,2886.090406
235,2741.861926
236,5591.552805
237,2827.238512
238,2521.509809
239,5043.355874
240,2045.137746
241,2058.091548
242,2101.639762
243,2137.032658
244,2145.979823
245,2105.809546
246,3065.44792
247,8793.365381
248,5510.049912
249,2605.779182
250,2545.437495
251,2200.624844
252,1985.984907
253,1893.953518
254,1825.176047
255,1803.399761
256,1887.861782
257,4662.243878
258,4849.27366
259,2042.955754
260,2297.346884
261,4911.502149
262,2199.273747
263,2106.483634
264,1550.909673
265,1580.726815
266,1607.762339
267,1626.595244
268,1617.127431
269,4260.035221
270,1769.578959
271,7608.723
272,4914.076963
273,2097.772572
274,2204.653645
275,2000.855366
276,2023.190499
277,2028.170592
278,1951.187451
279,1918.698702
280,2033.050245
281,5411.91337
282,2370.175249
283,4968.049291
284,2467.207431
285,3898.995619
286,3502.207452
287,2073.090368
288,1696.389008
289,1709.535675
290,1734.966009
291,1770.641025
292,1795.537509
293,1793.411313
294,4897.945115
295,9185.326718
296,2514.881204
297,4961.262485
298,2240.744475
299,1924.250248
300,1896.600058
301,1878.970721
302,1853.347133
303,1873.454919
304,1931.669389
305,5237.958364
306,2285.587682
307,2307.402025
308,5299.513572
309,2634.10556
310,2266.849598
311,4686.181889
312,1690.354212
313,1765.202399
314,1830.524423
315,1853.624656
316,1876.289212
317,1851.380659
318,4861.478785
319,5903.266243
320,5177.150566
321,2300.261144
322,2111.094683
323,1695.861334
324,1580.554465
325,1534.072123
326,1556.276889
327,1606.904442
328,1701.502403
329,4819.132862
330,4849.936067
331,2209.260861
332,5177.983126
333,2600.795117
334,2413.175281
335,2389.872274
336,1943.323309
337,2017.823673
338,2088.525759
339,2180.951091
340,2248.17711
341,4932.452074
342,2650.330264
343,10076.140928
344,5697.404444
345,2862.634343
346,2838.172089
347,2571.292532
348,2471.947738
349,2405.942103
350,2323.00214
351,2298.48651
352,2313.127008
353,5979.791091
354,2618.416538
355,5197.934795
356,2665.165472
357,5409.0829
358,2482.725468
359,2272.284598
360,1873.065899
361,1870.158472
362,1894.781126
363,1901.140965
364,1914.193112
365,1901.037483
366,4637.177544
367,4775.642332
368,2327.661907
369,4904.313588
370,2258.11354
371,1987.499826
372,1917.138435
373,1867.956503
374,1822.05402
375,1795.01195
376,1812.427625
377,1830.760887
378,2066.4751
379,2557.864056
380,4352.654761
381,2223.751034
382,4914.393797
383,2085.963186
384,1677.375002
385,1669.844585
386,1670.388486
387,1671.342
388,1673.445269
389,1656.651655
390,4558.006348
391,5488.128718
392,5084.681147
393,2161.389116
394,4910.272855
395,2036.343423
396,1935.963314
397,1899.597104
398,1885.60901
399,1877.555206
400,1910.697466
401,4871.804203
402,2207.890932
403,2151.745473
404,5127.894569
405,2451.372998
406,2321.997299
407,2082.836827
408,1575.847688
409,1610.271571
410,1632.426744
411,1663.773804
412,1713.181796
413,4464.228582
414,2172.658348
415,9273.574167
416,5424.859307
417,2674.054228
418,2772.601185
419,2583.15324
420,2549.313035
421,2638.867219
422,2654.271683
423,2810.552754
424,2946.680148
425,7913.905689
426,3210.048087
427,5875.890681
428,3509.768877
429,6258.52589
430,3052.189611
431,2940.209129
432,2656.127866
433,2728.338603
434,2781.853404
435,2824.85927
436,2847.797184
437,5530.705589
438,3504.258708
439,12376.906586
440,3876.476022
441,6573.448955
442,3901.705448
443,3580.835162
444,3413.768335
445,3279.803175
446,3212.770995
447,3217.137916
448,3301.907213
449,8277.157182
450,3441.898527
451,6039.820038
452,3658.362552
453,3729.833972
454,5889.617876
455,3103.465197
456,2789.6162
457,2869.919017
458,2910.876544
459,2856.671409
460,2805.550565
461,2704.874573
462,5860.03255
463,10995.725785
464,3403.044732
465,6060.229586
466,3420.027238
467,3173.363758
468,3059.239635
469,2906.837046
470,2811.924801
471,2892.328545
472,2943.987799
473,7238.832217
474,2998.741114
475,2925.904234
476,5945.797793
477,3320.299242
478,2837.653833
479,5323.176934
480,2346.877543
481,2361.109412
482,2395.443421
483,2396.665617
484,2400.646463
485,2332.040889
486,3616.865412
487,8528.356217
488,5631.923208
489,2912.04423
490,2868.656155
491,2475.423804
492,2274.729189
493,2116.80766
494,2032.97931
495,2056.438809
496,2111.497847
497,5209.167973
498,4988.272219
499,2234.635623
500,2435.052749
501,5141.523945
502,2430.426067
503,2352.666099
504,1606.132984
505,1625.416018
506,1736.590388
507,1909.653283
508,2077.854004
509,4889.427726
510,2845.41706
511,11350.07617
512,6058.579933
513,3433.317324
514,3588.667116
515,3373.758587
516,3311.860216
517,3283.943594
518,3284.352997
519,3363.94979
520,3518.388081
521,9144.472129
522,3616.366375
523,6226.61206
524,3759.11509
525,5913.926844
526,4037.241361
527,3430.125148
528,3070.574517
529,3063.344332
530,3035.770575
531,2995.375237
532,2981.817562
533,2881.706618
534,6012.783994
535,11045.506149
536,3523.726916
537,6255.978145
538,3465.079733
539,3183.767739
540,3020.947262
541,2857.214912
542,2713.216374
543,2646.504672
544,2615.140791
545,5668.214194
546,2576.210998
547,2360.63075
548,5213.263795
549,2491.948928
550,2395.618463
551,4841.49186
552,1789.627777
553,1829.089712
554,1946.8235
555,2063.485324
556,2167.915045
557,2191.147865
558,5427.216255
559,7700.074069
560,5904.354456
561,3209.057638
562,3271.042084
563,2998.421596
564,2875.11766
565,2761.872822
566,2701.676857
567,2681.949783
568,2758.49527
569,7160.62003
570,5628.649768
571,2873.15487
572,5783.781849
573,3077.55676
574,2747.741486
575,2647.598282
576,2331.187906
577,2388.846137
578,2446.995924
579,2465.957658
580,2494.399223
581,5183.400176
582,3000.095659
583,10677.340902
584,6064.819511
585,3455.325488
586,3580.413728
587,3444.06848
588,3395.088992
589,3419.122239
590,3464.959644
591,3494.728997
592,3588.142681
593,8330.089094
594,3530.828879
595,6059.442159
596,3538.859559
597,6135.765628
598,3072.291792
599,2967.430942
600,2640.234223
601,2675.121071
602,2648.813245
603,2624.894667
604,2627.266462
605,2556.217171
606,5671.907056
607,10359.938212
608,3318.872024
609,6077.944957
610,3495.477227
611,3207.517988
612,3163.729791
613,3151.095236
614,3029.398108
615,3016.073156
616,3006.139331
617,7120.350851
618,3037.670707
619,3898.470853
620,4759.752082
621,2996.105648
622,5347.176182
623,2581.226922
624,2263.226952
625,2284.940217
626,2317.629043
627,2333.284341
628,2337.072405
629,2312.347584
630,5469.068978
631,7310.321897
632,5827.90207
633,3074.427809
634,5835.756658
635,3164.361936
636,3147.220979
637,3198.061533
638,3355.666623
639,3440.484161
640,3596.631515
641,9170.766426
642,3747.430545
643,3620.922126
644,6574.174078
645,3857.470054
646,3421.61087
647,3410.784198
648,3215.702333
649,3364.186243
650,3444.954559
651,3522.195459
652,3617.00561
653,6317.730368
654,4414.903158
655,13695.722116
656,7263.007946
657,4708.192392
658,4533.483864
659,4171.232442
660,3996.409602
661,3850.135799
662,3795.097899
663,3759.844666
664,3817.626468
665,8806.070425
666,3786.611187
667,6318.752735
668,3805.175603
669,6558.864707
670,3625.208544
671,3527.074526
672,3262.106282
673,3362.503047
674,3384.399459
675,3411.194234
676,3487.385126
677,6097.820226
678,3925.267429
679,12564.885328
680,3910.779495
681,6946.784683
682,4550.628538
683,4287.240439
684,4263.105413
685,4319.631442
686,4286.267782
687,4336.718362
688,4416.093363
689,10345.043199
690,4498.905506
691,7151.28822
692,4647.621754
693,4657.028992
694,6928.295859
695,4244.580944
696,4062.377387
697,4244.779543
698,4347.235519
699,4457.534208
700,4563.385591
701,4516.479967
702,8114.630108
703,15413.949158
704,5341.263533
705,8491.292461
706,5854.144235
707,5741.095922
708,5718.371722
709,5628.538314
710,5507.37035
711,5478.831347
712,5658.142465
713,13182.644883
714,5817.805856
715,5624.580836
716,8450.413479
717,5657.48991
718,5191.508921
719,8004.771538
720,5122.583308
721,5159.749314
722,5172.364413
723,5289.060141
724,5299.267637
725,5251.989197
726,7515.374884
727,15177.517985
728,8713.294792
729,6327.761835
730,6270.338043
731,5927.830975
732,5758.520122
733,5602.142162
734,5447.620913
735,5361.80206
736,5330.164444
737,10976.691364
738,7758.134039
739,4729.690524
740,4722.718455
741,7264.367885
742,4261.252212
743,4387.805305
744,4125.349321
745,4173.693142
746,4235.023148
747,4296.552089
748,4321.139622
749,6917.323319
750,4852.444568
751,13623.484425
752,7582.530196
753,5259.801789
754,5351.229193
755,5057.104389
756,4901.12298
757,4751.407182
758,4686.137004
759,4680.696019
760,4793.041808
761,10432.02918
762,4698.338261
763,7133.932434
764,4603.061943
765,7270.62157
766,4277.428423
767,4484.965385
768,4259.895553
769,4327.662227
770,4414.988687
771,4493.846806
772,4574.043608
773,4560.976677
774,8129.342187
775,15447.555131
776,5632.528707
777,8777.982689
778,6208.069471
779,6006.601159
780,5945.797566
781,5863.720493
782,5769.072751
783,5703.976232
784,5825.072342
785,12732.443826
786,5723.418074
787,5452.941831
788,8257.541181
789,5550.593326
790,5123.462546
791,7960.534161
792,5085.267964
793,5172.313387
794,5267.740647
795,5355.785411
796,5449.822574
797,5448.675239
798,9178.283635
799,14664.833695
800,9029.836797
801,6557.283905
802,6474.961775
803,6093.800358
804,5864.186676
805,5646.477535
806,5519.376482
807,5526.013837
808,5629.481237
809,12539.212144
810,8207.187193
811,5298.895066
812,8165.801009
813,5457.215732
814,4968.641487
815,5185.23744
816,5011.751152
817,5078.092127
818,5164.015314
819,5241.37962
820,5315.75821
821,7996.510209
822,6323.176453
823,16963.495204
824,8866.196076
825,6264.14176
826,6202.332691
827,5789.959532
828,5535.391456
829,5333.909255
830,5212.432232
831,5244.130662
832,5377.574089
833,12351.200468
834,5442.338477
835,7913.527489
836,5274.214637
837,7938.429178
838,4712.617821
839,4533.589533
840,4253.871525
841,4205.707382
842,4174.446248
843,4130.978892
844,4079.445087
845,3931.422
846,7057.259185
847,12446.924557
848,3997.715901
849,6938.35749
850,4410.879483
851,3983.741215
852,3687.586952
853,3449.453962
854,3291.616084
855,3213.859375
856,3289.644601
857,8199.841136
858,3631.108213
859,5051.697367
860,4898.760685
861,3911.068116
862,6329.51391
863,3549.098089
864,3212.060233
865,3238.069818
866,3288.158858
867,3338.189484
868,3382.954953
869,3336.058336
870,6583.687529
871,9140.915245
872,6513.778989
873,3688.820197
874,6099.564634
875,3020.580449
876,2842.506007
877,2697.036283
878,2598.482177
879,2550.481497
880,2626.06219
881,6074.139649
882,2668.137467
883,2523.572634
884,5450.206718
885,2713.427056
886,2442.894788
887,2298.892479
888,1909.949368
889,1917.394402
890,1863.797694
891,1815.621545
892,1767.273187
893,4378.211096
894,1852.002337
895,7480.324675
896,4937.052
897,2124.739929
898,2216.98859
899,1969.088839
900,1900.260279
901,1863.345034
902,1871.545302
903,1907.321654
904,1906.895957
905,4519.89786
906,2097.41327
907,4647.852711
908,2137.390798
909,4767.296986
910,2039.647379
911,1889.131983
912,1303.69978
913,1288.760691
914,1272.73267
915,1260.402757
916,1248.255531
917,3904.48882
918,1338.96142
919,6444.71367
920,1756.700166
921,4274.091085
922,1636.23767
923,1338.489253
924,1168.265832
925,1070.355258
926,1111.2194
927,1169.871935
928,1269.257158
929,3787.232894
930,1862.73974
931,4591.217455
932,2192.05963
933,2253.297696
934,4755.921003
935,1914.428912
936,1373.473564
937,1409.883473
938,1445.642464
939,1468.616009
940,1518.600401
941,1537.201214
942,4622.301361
943,8433.695533
944,2264.515398
945,4666.885376
946,1887.324979
947,1529.92735
948,1352.400264
949,1173.839794
950,1069.505568
951,1026.705246
952,1086.784059
953,3484.610679
954,1766.846485
955,1918.219163
956,4943.251572
957,2288.753579
958,2108.417449
959,4515.34324
960,1208.331117
961,1182.630767
962,1174.656911
963,1171.44001
964,1171.024694
965,1168.99649
966,3111.377939
967,4872.045691
968,4437.304983
969,1254.087459
970,1155.631226
971,863.769685
972,818.131813
973,798.389186
974,798.069371
975,805.211707
976,946.525922
977,3150.752884
978,4380.48451
979,1938.700248
980,2430.323392
981,5200.028082
982,2204.754439
983,1904.435193
984,1218.919206
985,1184.032989
986,1178.47797
987,1189.608433
988,1205.445237
989,3918.561467
990,1459.802273
991,7523.658053
992,4794.485588
993,2003.263188
994,2057.644145
995,1886.801649
996,1909.140344
997,1939.445907
998,1951.64113
999,1984.916556
1000,2051.238285
1001,5457.417986
1002,2351.66612
1003,4895.465024
1004,2369.086836
1005,5085.72859
1006,2223.196509
1007,2108.422748
1008,1643.38968
1009,1675.432451
