hours,kW
0,1067.467181
1,1115.536958
2,1131.545762
3,1183.356712
4,1292.763828
5,1358.118782
6,1570.254656
7,4038.666224
8,4517.591949
9,1705.028042
10,1783.150751
11,1487.624103
12,1377.326204
13,1239.860109
14,1156.129158
15,1116.221569
16,1104.918251
17,1094.289483
18,4016.474827
19,1264.128734
20,1437.728579
21,4131.983139
22,1679.658274
23,1519.705762
24,881.670994
25,891.884985
26,905.140577
27,921.200754
28,949.841091
29,3651.806152
30,1021.925903
31,5680.069573
32,3693.304878
33,1515.490966
34,1068.98024
35,797.085708
36,787.791914
37,781.308794
38,772.162236
39,772.467676
40,758.260278
41,1483.717077
42,1294.290893
43,4241.385415
44,1908.112907
45,2747.969621
46,3980.528712
47,1619.340255
48,858.83923
49,807.659023
50,849.547129
51,921.102655
52,1005.879342
53,1046.8943
54,3896.813761
55,6575.349438
56,1771.737547
57,3987.572275
58,1307.673868
59,1079.122863
60,1062.371483
61,1060.387308
62,1061.545361
63,1090.21022
64,1143.061419
65,3832.870858
66,1845.850064
67,2062.378072
68,5114.546448
69,2541.791313
70,2273.381311
71,4582.408583
72,1236.421584
73,1202.426798
74,1202.687844
75,1236.319483
76,1271.36529
77,1286.690914
78,4256.14962
79,5142.87894
80,4910.908872
81,1968.944508
82,2027.714089
83,1858.116745
84,1897.130143
85,1919.969514
86,1901.563233
87,1941.612428
88,1975.221964
89,5070.824585
90,4960.070067
91,2214.735981
92,5173.435475
93,2576.718761
94,2168.018595
95,1967.220361
96,1621.223676
97,1645.347683
98,1682.03748
99,1713.334235
100,1763.504616
101,4484.087584
102,2181.209881
103,9142.215852
104,5369.235585
105,2612.761425
106,2649.964283
107,2438.877054
108,2428.103912
109,2489.952013
110,2456.493883
111,2549.023725
112,2709.237967
113,7382.942061
114,3085.82285
115,5830.36815
116,3514.328162
117,6284.99456
118,3181.256825
119,3125.962383
120,2866.293575
121,2965.76149
122,3042.358714
123,3100.381049
124,3170.483741
125,3202.236702
126,6660.488797
127,13274.197877
128,4172.879341
129,6827.22944
130,4123.863887
131,3814.337597
132,3659.958996
133,3535.852019
134,3469.669554
135,3466.287838
136,3561.4341
137,8603.539541
138,3577.996221
139,3575.966593
140,6171.19161
141,3580.778909
142,5873.476338
143,3112.004108
144,2855.403784
145,2930.976342
146,2972.679302
147,2984.4233
148,3013.626332
149,2957.169924
150,6243.385938
151,9000.863409
152,6370.605244
153,3606.010084
154,6179.553171
155,3185.059409
156,2991.331535
157,2836.136976
158,2755.636478
159,2737.591361
160,2855.536899
161,7293.541475
162,3018.567779
163,2824.013453
164,5639.782487
165,2895.62338
166,2644.510397
167,2506.293487
168,2058.867957
169,2069.373815
170,2078.235042
171,2092.269236
172,2096.577924
173,4728.145069
174,2307.253828
175,8796.750648
176,5263.063098
177,2581.648868
178,2641.563836
179,2357.197167
180,2198.471711
181,2096.307547
182,2088.218961
183,2092.832452
184,2160.76061
185,5666.481495
186,2430.736157
187,5004.66565
188,2490.853426
189,5198.533861
190,2301.065124
191,2111.124144
192,1702.437523
193,1722.73625
194,1747.992167
195,1796.266662
196,1843.031412
197,4518.517213
198,2210.428888
199,9510.457785
200,2813.908
201,5271.146922
202,2616.701063
203,2464.820079
204,2337.233745
205,2338.855274
206,2406.747748
207,2468.08391
208,2571.964375
209,6831.565654
210,2838.337724
211,5642.149408
212,3261.038022
213,3280.067179
214,5431.92124
215,2501.963173
216,2157.300974
217,2219.516025
218,2311.718997
219,2416.817278
220,2464.048786
221,2459.981006
222,5740.218764
223,11059.338977
224,3286.656341
225,5898.439064
226,3209.858834
227,2946.571793
228,2839.986106
229,2833.53549
230,2845.500247
231,2795.436422
232,2822.709432
233,6702.565636
234,2882.180392
235,2738.147309
236,5583.977488
237,2823.40823
238,2518.093721
239,5036.523242
240,2042.367037
241,2055.303289
242,2098.792505
243,2134.137451
244,2143.072495
245,2102.95664
246,3061.294916
247,8781.452317
248,5502.585013
249,2602.248928
250,2541.98899
251,2197.643485
252,1983.294337
253,1891.38763
254,1822.703337
255,1800.956554
256,1885.304147
257,4655.927569
258,4842.703967
259,2040.188001
260,2294.234487
261,4904.84815
262,2196.294218
263,2103.629815
264,1548.808534
265,1578.585279
266,1605.584176
267,1624.391567
268,1614.936581
269,4254.263816
270,1767.181571
271,7598.414864
272,4907.419476
273,2094.930554
274,2201.666827
275,1998.14465
276,2020.449524
277,2025.422869
278,1948.544023
279,1916.09929
280,2030.295912
281,5404.581424
282,2366.964186
283,4961.318683
284,2463.864911
285,3893.713343
286,3497.462736
287,2070.28179
288,1694.090776
289,1707.219632
290,1732.615514
291,1768.242198
292,1793.104953
293,1790.981638
294,4891.309483
295,9172.882633
296,2511.474096
297,4954.541072
298,2237.708762
299,1921.643315
300,1894.030585
301,1876.425131
302,1850.836258
303,1870.916802
304,1929.052405
305,5230.862089
306,2282.491216
307,2304.276006
308,5292.333904
309,2630.53693
310,2263.778518
311,4679.833149
312,1688.064156
313,1762.81094
314,1828.044468
315,1851.113404
316,1873.747255
317,1848.872448
318,4854.892557
319,5895.268623
320,5170.136673
321,2297.144799
322,2108.234617
323,1693.563817
324,1578.413163
325,1531.993794
326,1554.168478
327,1604.727442
328,1699.197243
329,4812.604003
330,4843.365477
331,2206.267801
332,5170.968104
333,2597.271615
334,2409.905962
335,2386.634526
336,1940.690536
337,2015.089968
338,2085.696269
339,2177.996385
340,2245.131328
341,4925.769693
342,2646.739653
343,10062.489986
344,5689.685721
345,2858.756107
346,2834.326993
347,2567.809
348,2468.598795
349,2402.682584
350,2319.854986
351,2295.37257
352,2309.993232
353,5971.689797
354,2614.869162
355,5190.892743
356,2661.554762
357,5401.75479
358,2479.361924
359,2269.206155
360,1870.528309
361,1867.624821
362,1892.214117
363,1898.56534
364,1911.599804
365,1898.461998
366,4630.895194
367,4769.172393
368,2324.508441
369,4897.669328
370,2255.054295
371,1984.807203
372,1914.541137
373,1865.425835
374,1819.58554
375,1792.580106
376,1809.972186
377,1828.280611
378,2063.675484
379,2554.398716
380,4346.757877
381,2220.738343
382,4907.73588
383,2083.137167
384,1675.10253
385,1667.582315
386,1668.125479
387,1669.077701
388,1671.178121
389,1654.407259
390,4551.831258
391,5480.693517
392,5077.792529
393,2158.460912
394,4903.620522
395,2033.584628
396,1933.340512
397,1897.023571
398,1883.054427
399,1875.011535
400,1908.108893
401,4865.203986
402,2204.899728
403,2148.830334
404,5120.947406
405,2448.05193
406,2318.851507
407,2080.015044
408,1573.712763
409,1608.090009
410,1630.215167
411,1661.519759
412,1710.860814
413,4458.18054
414,2169.714877
415,9261.010526
416,5417.509823
417,2670.431476
418,2768.844924
419,2579.653639
420,2545.85928
421,2635.292138
422,2650.675732
423,2806.745077
424,2942.688049
425,7903.184098
426,3205.699182
427,5867.930149
428,3505.013917
429,6250.046973
430,3048.05457
431,2936.225796
432,2652.5294
433,2724.642308
434,2778.084609
435,2821.032211
436,2843.939049
437,5523.212707
438,3499.511213
439,12360.138616
440,3871.224254
441,6564.543386
442,3896.419501
443,3575.983922
444,3409.143434
445,3275.359768
446,3208.418402
447,3212.779406
448,3297.433859
449,8265.943465
450,3437.235516
451,6031.637419
452,3653.40628
453,3724.780872
454,5881.638747
455,3099.260689
456,2785.836887
457,2866.030911
458,2906.93295
459,2852.801251
460,2801.749664
461,2701.210066
462,5852.093502
463,10980.82901
464,3398.434359
465,6052.019316
466,3415.393857
467,3169.064552
468,3055.095042
469,2902.898925
470,2808.115265
471,2888.410079
472,2939.999347
473,7229.025201
474,2994.678483
475,2921.940281
476,5937.742553
477,3315.800971
478,2833.80944
479,5315.965207
480,2343.698043
481,2357.910631
482,2392.198125
483,2393.418665
484,2397.394118
485,2328.881489
486,3611.965359
487,8516.802181
488,5624.293198
489,2908.099055
490,2864.769761
491,2472.070153
492,2271.647434
493,2113.939854
494,2030.225073
495,2053.652789
496,2108.637234
497,5202.110703
498,4981.514214
499,2231.608186
500,2431.753791
501,5134.558317
502,2427.133377
503,2349.478757
504,1603.957029
505,1623.213939
506,1734.237693
507,1907.066125
508,2075.038972
509,4882.803633
510,2841.562149
511,11334.699328
512,6050.371898
513,3428.665939
514,3583.805266
515,3369.18789
516,3307.373378
517,3279.494577
518,3279.903425
519,3359.392382
520,3513.621444
521,9132.083392
522,3611.466999
523,6218.176378
524,3754.022321
525,5905.914782
526,4031.771793
527,3425.478087
528,3066.414568
529,3059.194179
530,3031.657777
531,2991.317166
532,2977.777859
533,2877.802544
534,6004.638002
535,11030.541932
536,3518.953046
537,6247.502679
538,3460.385316
539,3179.454438
540,3016.854547
541,2853.344018
542,2709.540566
543,2642.919244
544,2611.597854
545,5660.535018
546,2572.720802
547,2357.432617
548,5206.200976
549,2488.572888
550,2392.372931
551,4834.932709
552,1787.203227
553,1826.6117
554,1944.185985
555,2060.689758
556,2164.977999
557,2188.179344
558,5419.863578
559,7689.642172
560,5896.355362
561,3204.710075
562,3266.610545
563,2994.359399
564,2871.222511
565,2758.131096
566,2698.016683
567,2678.316335
568,2754.75812
569,7150.918975
570,5621.024193
571,2869.262381
572,5775.946104
573,3073.387351
574,2744.018904
575,2644.011372
576,2328.029663
577,2385.609779
578,2443.680786
579,2462.616831
580,2491.019864
581,5176.377815
582,2996.031193
583,10662.875467
584,6056.603022
585,3450.644287
586,3575.563059
587,3439.40253
588,3390.489397
589,3414.490085
590,3460.265391
591,3489.994412
592,3583.281541
593,8318.803667
594,3526.045387
595,6051.232955
596,3534.065187
597,6127.453023
598,3068.129517
599,2963.41073
600,2636.657289
601,2671.496874
602,2645.224689
603,2621.338515
604,2623.707097
605,2552.754063
606,5664.222877
607,10345.902788
608,3314.375687
609,6069.710686
610,3490.741629
611,3203.172511
612,3159.443637
613,3146.8262
614,3025.293944
