hours,kW
0,646.561283
1,646.015428
2,646.20824
3,646.518096
4,646.818503
5,646.899675
6,682.040624
7,802.177301
8,1162.722877
9,981.170723
10,978.502899
11,815.525365
12,815.265968
13,815.468038
14,815.281602
15,815.011611
16,818.955403
17,818.88484
18,1115.649602
19,1035.117146
20,1190.271848
21,1190.753109
22,1228.066634
23,1071.246815
24,647.19548
25,646.847729
26,646.776977
27,646.704712
28,648.219712
29,649.088314
30,743.368741
31,1124.372699
32,1172.841566
33,792.003622
34,788.611996
35,627.061553
36,626.002815
37,627.793206
38,627.686595
39,628.164795
40,631.058748
41,626.954636
42,1122.550922
43,1240.446364
44,1495.737176
45,1497.712848
46,1336.804933
47,1077.236207
48,655.524913
49,653.180343
50,651.933425
51,651.064892
52,651.992478
53,652.907723
54,747.488488
55,1126.954822
56,1174.866473
57,793.711327
58,789.68022
59,626.737398
60,623.608815
61,624.57396
62,624.399522
63,624.207686
64,628.160632
65,627.404232
66,1117.412514
67,1234.840378
68,1488.036482
69,1488.804391
70,1325.339535
71,1065.592081
72,645.727755
73,645.206564
74,645.16798
75,645.099298
76,646.69711
77,647.057714
78,741.437299
79,1124.787917
80,1168.954354
81,792.094531
82,789.555542
83,626.905271
84,624.099729
85,625.22255
86,625.192379
87,625.252407
88,629.413276
89,629.278685
90,1113.453427
91,1226.397663
92,1480.255949
93,1483.044053
94,1317.276697
95,1061.472471
96,645.505647
97,645.424698
98,645.280315
99,645.173895
100,646.913801
101,647.056492
102,741.431863
103,1121.216426
104,1165.96732
105,792.845843
106,790.350378
107,628.266647
108,625.439615
109,626.485031
110,626.403317
111,626.473329
112,630.736109
113,634.014273
114,1114.829705
115,1227.824132
116,1479.939895
117,1480.095671
118,1319.017832
119,1063.669887
120,647.907575
121,648.079589
122,648.058594
123,648.156219
124,650.082349
125,650.17037
126,745.042445
127,1132.314164
128,1168.850793
129,796.069651
130,793.341715
131,631.228198
132,628.064622
133,628.846807
134,628.565876
135,628.419513
136,632.590701
137,636.92169
138,1115.889627
139,1228.338808
140,1480.085422
141,1480.005804
142,1318.997179
143,1063.670318
144,649.713838
145,649.836296
146,649.768972
147,649.558209
148,649.592921
149,649.469597
150,685.282717
151,863.688585
152,1064.010492
153,885.728289
154,785.505457
155,623.345778
156,622.960607
157,622.661659
158,622.471859
159,622.278601
160,626.41167
161,633.374623
162,1114.860156
163,1129.894958
164,1284.150178
165,1284.041631
166,1321.349479
167,1262.311662
168,647.968597
169,647.991462
170,648.034033
171,648.064517
172,647.967374
173,647.655583
174,682.857796
175,807.865156
176,1159.376455
177,981.032621
178,978.639049
179,816.532576
180,816.528426
181,816.538977
182,816.219673
183,816.188586
184,820.184692
185,825.123533
186,1115.17718
187,1034.009436
188,1188.338253
189,1188.540841
190,1224.598286
191,1067.590261
192,645.855653
193,645.636916
194,645.632149
195,645.723817
196,647.521698
197,647.461526
198,741.782679
199,1124.070013
200,1168.61015
201,793.061523
202,790.498141
203,628.534202
204,625.522338
205,626.626272
206,626.736357
207,626.845781
208,631.131301
209,633.338363
210,1114.877608
211,1230.192163
212,1482.893842
213,1483.726673
214,1319.846228
215,1062.422174
216,646.446595
217,646.50752
218,646.702433
219,646.942384
220,648.760459
221,648.595559
222,743.080105
223,1125.647398
224,1167.060461
225,794.046501
226,791.39778
227,629.40587
228,626.381761
229,627.444287
230,627.366348
231,627.137271
232,631.19492
233,632.510728
234,1114.440682
235,1227.082824
236,1478.87595
237,1479.000908
238,1317.707162
239,1062.144632
240,646.134814
241,646.098426
242,646.18782
243,646.211132
244,647.740936
245,647.529948
246,741.844155
247,1121.541299
248,1166.140677
249,793.005054
250,790.513504
251,627.963714
252,624.587905
253,625.408195
254,625.230976
255,625.145998
256,629.399887
257,628.74135
258,1113.223308
259,1225.974204
260,1478.23335
261,1478.402092
262,1318.464666
263,1063.279375
264,645.296076
265,645.028431
266,645.042355
267,645.069792
268,646.754517
269,646.661992
270,740.679125
271,1118.099453
272,1165.342669
273,792.294821
274,789.808715
275,627.14238
276,624.258236
277,625.373474
278,625.264272
279,625.215269
280,629.540791
281,629.986687
282,1113.581721
283,1226.396009
284,1478.406503
285,1479.806057
286,1317.265678
287,1061.675273
288,645.620517
289,645.530398
290,645.572785
291,645.477503
292,647.061182
293,646.989705
294,741.440003
295,1121.271737
296,1165.871932
297,792.654268
298,790.061042
299,627.467144
300,624.550164
301,625.507653
302,625.434735
303,625.477002
304,629.593914
305,629.692444
306,1113.532946
307,1228.900547
308,1482.191965
309,1483.248318
310,1319.537916
311,1061.914247
312,647.378345
313,647.410902
314,647.524514
315,647.551889
316,647.537711
317,647.399121
318,682.698245
319,856.471724
320,1062.868082
321,883.936628
322,783.532682
323,621.201147
324,620.888219
325,620.546767
326,620.156291
327,620.143752
328,624.346031
329,628.526664
330,1115.113749
331,1132.294787
332,1286.63817
333,1286.678683
334,1322.538717
335,1263.641367
336,647.843023
337,647.882745
338,648.000318
339,648.160081
340,648.165516
341,647.97839
342,683.429003
343,810.75338
344,1162.787154
345,982.493318
346,979.424835
347,818.157291
348,818.772396
349,819.002439
350,818.686702
351,817.651731
352,821.26706
353,826.359326
354,1117.608387
355,1036.026331
356,1190.006586
357,1189.894795
358,1225.818173
359,1068.882211
360,648.511983
361,648.134622
362,647.860686
363,647.761767
364,647.714874
365,647.903086
366,683.387616
367,803.833928
368,1163.844542
369,982.048622
370,979.091188
371,818.032075
372,818.987892
373,818.905557
374,818.054645
375,817.665122
376,820.893666
377,820.2969
378,1116.964318
379,1035.647307
380,1190.47451
381,1190.411722
382,1226.263286
383,1069.219239
384,647.374848
385,647.059141
386,646.874427
387,646.701669
388,648.265914
389,648.496454
390,742.491447
391,1123.628357
392,1168.596481
393,792.608918
394,790.042618
395,627.559054
396,624.441213
397,625.401168
398,625.305318
399,625.228419
400,629.339756
401,628.939107
402,1113.321379
403,1227.887143
404,1481.48625
405,1482.702787
406,1320.296257
407,1062.887045
408,645.397497
409,645.139877
410,644.979649
411,645.00443
412,646.808949
413,646.987675
414,741.408903
415,1121.724889
416,1166.283983
417,792.939492
418,790.558085
419,628.600037
420,625.791033
421,626.975478
422,626.95866
423,627.070396
424,631.338907
425,635.349892
426,1115.088424
427,1227.958473
428,1480.436598
429,1481.218953
430,1318.705454
431,1063.26223
432,647.43311
433,647.597842
434,647.667012
435,647.563813
436,649.297799
437,649.243832
438,744.01876
439,1129.252344
440,1168.191079
441,795.44754
442,792.79694
443,630.689851
444,627.527914
445,628.339597
446,628.196381
447,628.175041
448,632.286769
449,636.159772
450,1115.65869
451,1228.268154
452,1480.702013
453,1481.21298
454,1319.030532
455,1063.718958
456,647.902755
457,648.022585
458,648.092727
459,647.882468
460,649.290174
461,648.957543
462,743.353491
463,1125.216042
464,1167.253273
465,794.394075
466,791.846812
467,629.830197
468,626.812299
469,627.614713
470,627.437151
471,627.575275
472,631.724548
473,633.88964
474,1114.859148
475,1228.017134
476,1480.834623
477,1481.935001
478,1318.481587
479,1062.729225
480,648.605046
481,648.649633
482,648.722194
483,648.708689
484,648.696016
485,648.389357
486,683.698587
487,858.056154
488,1062.40603
489,884.338229
490,784.254011
491,622.053679
492,621.746084
493,621.454885
494,621.285208
495,621.295341
496,625.353185
497,629.444719
498,1114.143501
499,1131.304493
500,1286.110355
501,1286.475737
502,1323.918622
503,1265.953842
504,647.320163
505,646.956358
506,646.966742
507,647.246081
508,647.631033
509,647.880415
510,683.818847
511,814.115246
512,1161.516565
513,982.562906
514,980.306947
515,818.43931
516,818.366296
517,818.386605
518,818.137343
519,818.059263
520,822.377639
521,832.763421
522,1116.055906
523,1034.158109
524,1188.5372
525,1188.52161
526,1225.840586
527,1069.662081
528,648.516903
529,648.465046
530,648.333611
531,648.002379
532,649.554975
533,649.309799
534,743.658413
535,1125.290363
536,1167.538622
537,794.804376
538,791.895313
539,629.872621
540,626.705773
541,627.347495
542,626.946579
543,626.705383
544,630.708325
545,630.459255
546,1113.892606
547,1226.432957
548,1479.009
549,1479.800857
550,1318.809186
551,1062.17625
552,645.786909
553,645.630223
554,645.547056
555,645.763541
556,647.722691
557,647.749884
558,742.340742
559,1123.873859
560,1166.84838
561,794.01935
562,791.471727
563,629.480213
564,626.335255
565,627.104891
566,626.888104
567,626.802738
568,630.977107
569,633.520085
570,1114.644636
571,1227.340962
572,1479.213599
573,1479.267946
574,1318.152667
575,1062.662231
576,646.757758
577,646.886878
578,647.003919
579,646.819172
580,648.476106
581,648.445878
582,742.99474
583,1124.432151
584,1167.133959
585,794.546219
586,792.126064
587,630.450007
588,627.357649
589,628.329466
590,628.414984
591,628.504304
592,632.839072
593,636.342166
594,1115.81518
595,1228.197585
596,1479.903317
597,1479.765868
598,1318.679938
599,1063.306018
600,647.490819
601,647.506815
602,647.159018
603,646.96725
604,648.687347
605,648.538241
606,742.942609
607,1123.565614
608,1167.046778
609,794.470488
610,792.088847
611,629.982246
612,626.987925
613,627.875944
614,627.60743
615,627.510746
616,631.560103
617,633.540306
618,1114.835635
619,1227.36819
620,1479.168657
621,1479.041648
622,1317.995389
623,1062.518081
624,646.637923
625,646.680193
626,646.768289
627,646.627439
628,648.186543
629,648.041127
630,742.504461
631,1122.93672
632,1166.701705
633,793.789211
634,791.455258
635,629.807271
636,626.966177
637,628.152976
638,628.329535
639,628.426806
640,632.793953
641,638.658686
642,1116.275115
643,1228.729887
644,1480.556925
645,1480.501722
646,1319.46694
647,1064.432667
648,650.526024
649,650.898503
650,650.979399
651,651.050162
652,651.327811
653,651.361497
654,687.503541
655,870.233127
656,1066.02629
657,888.453989
658,788.075956
659,625.743484
660,625.14336
661,624.590362
662,624.382525
663,624.284621
664,628.560417
665,637.145658
666,1116.325933
667,1131.450257
668,1285.82615
669,1285.948078
670,1323.441103
671,1264.530936
672,650.619912
673,650.907846
674,650.778365
675,650.729111
676,650.938501
677,650.726528
