hours,kW
0,1023.919532
1,1115.536958
2,1131.545762
3,1183.356712
4,1292.763828
5,1358.118782
6,1570.254656
7,4007.283474
8,4436.492539
9,1624.826413
10,1704.009472
11,1435.106814
12,1324.855803
13,1185.141273
14,1101.416421
15,1061.521711
16,1050.225787
17,1039.601374
18,3959.18503
19,1205.3732
20,1355.957995
21,4035.902699
22,1396.390351
23,1239.106394
24,820.48606
25,833.400896
26,846.637215
27,862.919946
28,891.949493
29,3593.395526
30,1014.274512
31,5639.538659
32,3642.176621
33,1464.361727
34,986.224856
35,778.230791
36,749.97009
37,734.694022
38,726.594429
39,720.721278
40,723.450444
41,1457.048745
42,1186.460914
43,3985.097542
44,1543.683931
45,2235.836725
46,3357.629723
47,1128.569316
48,710.671172
49,721.875196
50,775.832624
51,857.308498
52,945.096837
53,984.987098
54,3883.947697
55,6482.753648
56,1680.21326
57,3930.782474
58,1246.104322
59,1072.185608
60,1056.67263
61,1054.997382
62,1056.452639
63,1085.806548
64,1140.541719
65,3832.780045
66,1838.341228
67,2035.558681
68,5045.784572
69,2444.685242
70,2052.796809
71,4332.975142
72,1189.55899
73,1157.03597
74,1155.441114
75,1188.046196
76,1223.103682
77,1237.983991
78,4250.946805
79,5134.071532
80,4879.862428
81,1937.839279
82,1991.937937
83,1857.408454
84,1897.130143
85,1919.969514
86,1901.563233
87,1941.612428
88,1975.221964
89,5070.824585
90,4960.070067
91,2214.735981
92,5173.435475
93,2576.718761
94,2168.018595
95,1967.220361
96,1621.223676
97,1645.347683
98,1682.03748
99,1713.334235
100,1763.504616
101,4484.087584
102,2181.209881
103,9142.215852
104,5369.235585
105,2612.761425
106,2649.964283
107,2438.877054
108,2428.103912
109,2489.952013
110,2456.493883
111,2549.023725
112,2709.237967
113,7382.942061
114,3085.82285
115,5830.36815
116,3514.328162
117,6284.99456
118,3181.256825
119,3125.962383
120,2866.293575
121,2965.76149
122,3042.358714
123,3100.381049
124,3170.483741
125,3202.236702
126,6660.488797
127,13274.197877
128,4172.879341
129,6827.22944
130,4123.863887
131,3814.337597
132,3659.958996
133,3535.852019
134,3469.669554
135,3466.287838
136,3561.4341
137,8603.539541
138,3577.996221
139,3575.966593
140,6171.19161
141,3580.778909
142,5873.476338
143,3112.004108
144,2855.403784
145,2930.976342
146,2972.679302
147,2984.4233
148,3013.626332
149,2957.169924
150,6243.385938
151,9000.863409
152,6370.605244
153,3606.010084
154,6179.553171
155,3185.059409
156,2991.331535
157,2836.136976
158,2755.636478
159,2737.591361
160,2855.536899
161,7293.541475
162,3018.567779
163,2824.013453
164,5639.782487
165,2895.62338
166,2644.510397
167,2506.293487
168,2058.867957
169,2069.373815
170,2078.235042
171,2092.269236
172,2096.577924
173,4728.145069
174,2307.253828
175,8796.750648
176,5263.063098
177,2581.648868
178,2641.563836
179,2357.197167
180,2188.785178
181,2085.132754
182,2084.009713
183,2092.832452
184,2160.76061
185,5666.481495
186,2430.736157
187,5004.66565
188,2490.853426
189,5198.533861
190,2301.065124
191,2111.124144
192,1702.437523
193,1722.73625
194,1747.992167
195,1796.266662
196,1843.031412
197,4518.517213
198,2210.428888
199,9510.457785
200,2813.908
201,5271.146922
202,2616.701063
203,2464.820079
204,2337.233745
205,2338.855274
206,2406.747748
207,2468.08391
208,2571.964375
209,6831.565654
210,2838.337724
211,5642.149408
212,3261.038022
213,3280.067179
214,5431.92124
215,2501.963173
216,2157.300974
217,2219.516025
218,2311.718997
219,2416.817278
220,2464.048786
221,2459.981006
222,5740.218764
223,11059.338977
224,3286.656341
225,5898.439064
226,3209.858834
227,2946.571793
228,2839.986106
229,2833.53549
230,2845.500247
231,2795.436422
232,2822.709432
233,6702.565636
234,2882.180392
235,2738.147309
236,5583.977488
237,2823.40823
238,2518.093721
239,5036.523242
240,2042.367037
241,2055.303289
242,2098.792505
243,2134.137451
244,2143.072495
245,2102.95664
246,3061.294916
247,8781.452317
248,5502.585013
249,2571.93638
250,2493.416811
251,2194.142961
252,1982.065294
253,1890.172724
254,1821.497413
255,1799.75688
256,1884.400657
257,4655.927569
258,4842.703967
259,2040.188001
260,2266.897417
261,4869.826254
262,1996.338791
263,1864.362651
264,1506.335007
265,1540.180637
266,1567.911046
267,1586.093688
268,1575.78775
269,4214.277135
270,1767.181571
271,7598.414864
272,4882.404882
273,2061.97062
274,2163.630555
275,1996.950178
276,2020.444767
