hours,kW
0,1070.464501
1,1118.669253
2,1134.723008
3,1186.679437
4,1296.393755
5,1361.932218
6,1574.663744
7,4050.006318
8,4530.276809
9,1709.815558
10,1788.157626
11,1491.801174
12,1381.193572
13,1243.341488
14,1159.375431
15,1119.355786
16,1108.02073
17,1097.362118
18,4027.752611
19,1267.678257
20,1441.76555
21,4143.585256
22,1684.374555
23,1523.972915
24,884.146622
25,894.389292
26,907.682104
27,923.787376
28,952.508132
29,3662.059989
30,1024.795349
31,5696.018533
32,3703.675239
33,1519.746285
34,1071.98181
35,799.323829
36,790.00394
37,783.502616
38,774.330376
39,774.636673
40,760.389383
41,1487.883178
42,1297.925108
43,4253.294721
44,1913.470661
45,2755.685593
46,3991.705563
47,1623.887169
48,861.250748
49,809.926833
50,851.932556
51,923.689001
52,1008.703731
53,1049.833854
54,3907.755551
55,6593.812237
56,1776.712375
57,3998.768904
58,1311.345661
59,1082.152912
60,1065.354496
61,1063.364749
62,1064.526054
63,1093.2714
64,1146.270999
65,3843.633103
66,1851.032992
67,2068.168984
68,5128.907485
69,2548.928361
70,2279.764696
71,4595.275441
72,1239.893309
73,1205.80307
74,1206.064849
75,1239.790921
76,1274.935132
77,1290.303789
78,4268.100382
79,5157.319532
80,4924.69812
81,1974.47307
82,2033.407668
83,1863.334116
84,1902.457059
85,1925.36056
86,1906.902596
87,1947.064244
88,1980.768153
89,5085.062857
90,4973.997354
91,2220.954696
92,5187.961866
93,2583.953881
94,2174.106133
95,1972.744081
96,1625.77588
97,1649.967624
98,1686.760441
99,1718.145073
100,1768.456327
101,4496.678368
102,2187.334459
103,9167.886106
104,5384.311759
105,2620.097748
106,2657.405067
107,2445.72513
108,2434.921739
109,2496.943502
110,2463.391425
111,2556.18108
112,2716.845184
113,7403.672483
114,3094.487474
115,5846.73913
116,3524.195977
117,6302.642076
118,3190.189416
119,3134.739714
120,2874.341787
121,2974.088995
122,3050.901295
123,3109.08655
124,3179.386082
125,3211.228201
126,6679.190657
127,13311.470245
128,4184.59629
129,6846.399487
130,4135.443206
131,3825.047804
132,3670.235726
133,3545.78027
134,3479.411973
135,3476.020762
136,3571.434183
137,8627.697256
138,3588.042808
139,3586.007481
140,6188.519582
141,3590.83331
142,5889.968361
143,3120.742245
144,2863.421418
145,2939.206174
146,2981.026232
147,2992.803205
148,3022.088236
149,2965.473305
150,6260.916623
151,9026.136762
152,6388.493145
153,3616.135331
154,6196.904621
155,3194.002677
156,2999.730838
157,2844.100511
158,2763.373977
159,2745.278192
160,2863.554907
161,7314.020871
162,3027.043558
163,2831.942947
164,5655.618325
165,2903.753946
166,2651.935867
167,2513.330861
168,2064.649014
169,2075.184371
170,2084.070479
171,2098.144079
172,2102.464865
173,4741.421138
174,2313.732322
175,8821.450877
176,5277.841153
177,2588.897831
178,2648.981033
179,2363.815896
180,2204.644758
181,2102.19373
182,2094.082431
183,2098.708876
184,2166.827768
185,5682.392301
186,2437.561374
187,5018.718155
188,2497.847446
189,5213.130726
190,2307.526241
191,2117.051929
192,1707.217765
193,1727.573488
194,1752.900321
195,1801.310365
196,1848.206425
197,4531.204672
198,2216.635509
199,9537.162019
200,2821.809119
201,5285.947675
202,2624.048449
203,2471.741
204,2343.796419
205,2345.422501
206,2413.505609
207,2475.013996
208,2579.186145
209,6850.747878
210,2846.307439
211,5657.991892
212,3270.194629
213,3289.277217
214,5447.173428
215,2508.988388
216,2163.358418
217,2225.748162
218,2318.210029
219,2423.603413
220,2470.967542
221,2466.88834
222,5756.336615
223,11090.392285
224,3295.884881
225,5915.001179
226,3218.871736
227,2954.845416
228,2847.960449
229,2841.49172
230,2853.490073
231,2803.285675
232,2830.635264
233,6721.385642
234,2890.273211
235,2745.835701
236,5599.656632
237,2831.336024
238,2525.164229
239,5050.6652
240,2048.10176
241,2061.074336
242,2104.685664
243,2140.129855
244,2149.089988
245,2108.861492
246,3069.890668
247,8806.10959
248,5518.035617
249,2609.555733
250,2549.126593
251,2203.814206
252,1988.863192
253,1896.698422
254,1827.821271
255,1806.013426
256,1890.597857
257,4669.00086
258,4856.301704
259,2045.916607
260,2300.676425
261,4918.62038
262,2202.46115
263,2109.536557
264,1553.157404
265,1583.017759
266,1610.092466
267,1628.952666
268,1619.471131
269,4266.209282
270,1772.143606
271,7619.750308
272,4921.198926
273,2100.81287
274,2207.848845
275,2003.755202
276,2026.122705
277,2031.110016
278,1954.015303
279,1921.479469
280,2035.996741
281,5419.756846
282,2373.61034
283,4975.249476
284,2470.78315
285,3904.646426
286,3507.283195
287,2076.094895
288,1698.847582
289,1712.013302
290,1737.480492
291,1773.207212
292,1798.139779
293,1796.010501
294,4905.043698
295,9198.638996
296,2518.526017
297,4968.452834
298,2243.991982
299,1927.039061
300,1899.348798
301,1881.693909
302,1856.033186
303,1876.170113
304,1934.468954
305,5245.549728
306,2288.90018
307,2310.746138
308,5307.194147
309,2637.923165
310,2270.134939
311,4692.973564
312,1692.80404
313,1767.760703
314,1833.177399
315,1856.311111
316,1879.008515
317,1854.063861
318,4868.524517
319,5911.821836
320,5184.653801
321,2303.594909
322,2114.154289
323,1698.319142
324,1582.84516
325,1536.295451
326,1558.532398
327,1609.233326
328,1703.968387
329,4826.117222
330,4856.965071
331,2212.462738
332,5185.487567
333,2604.564445
334,2416.672691
335,2393.335912
336,1946.139764
337,2020.748101
338,2091.552656
339,2184.11194
340,2251.435389
341,4939.600668
342,2654.171383
343,10090.74426
344,5705.661682
345,2866.783154
346,2842.285446
347,2575.019102
348,2475.530327
349,2409.429031
350,2326.368863
351,2301.817703
352,2316.479418
353,5988.457591
354,2622.211404
355,5205.468152
356,2669.028091
357,5416.922274
358,2486.323677
359,2275.577816
360,1875.78053
361,1872.868889
362,1897.527229
363,1903.896285
364,1916.967349
365,1903.792653
366,4643.898197
367,4782.563662
368,2331.035384
369,4911.421401
370,2261.386219
371,1990.380306
372,1919.916941
373,1870.663729
374,1824.69472
375,1797.613458
376,1815.054373
377,1833.414205
378,2069.470039
379,2561.571164
380,4358.963056
381,2226.973912
382,4921.516219
383,2088.986368
384,1679.806018
385,1672.264688
386,1672.809377
387,1673.764273
388,1675.87059
389,1659.052638
390,4564.612259
391,5496.082653
392,5092.050366
393,2164.521613
394,4917.389305
395,2039.294692
396,1938.769102
397,1902.350187
398,1888.34182
399,1880.276344
400,1913.466636
401,4878.8649
402,2211.090824
403,2154.863994
404,5135.326417
405,2454.925769
406,2325.362566
407,2085.855479
408,1578.131561
409,1612.605335
410,1634.792617
411,1666.185108
412,1715.664708
413,4470.698581
414,2175.807178
415,9287.014341
416,5432.721546
417,2677.92973
418,2776.619511
419,2586.896999
420,2553.00775
421,2642.691725
422,2658.118514
423,2814.626083
424,2950.950767
425,7925.375298
426,3214.700404
427,5884.406598
428,3514.855579
429,6267.596361
430,3056.613144
431,2944.470369
432,2659.977387
433,2732.29278
434,2785.88514
435,2828.953334
