hours,kW
0,648.37675
1,647.829362
2,648.022716
3,648.333442
4,648.634692
5,648.716092
6,683.955713
7,804.429719
8,1165.987665
9,983.925734
10,981.250419
11,817.815263
12,817.555138
13,817.757775
14,817.570816
15,817.300066
16,821.254932
17,821.184171
18,1118.782213
19,1038.023632
20,1193.613989
21,1194.096602
22,1231.514899
23,1074.254749
24,649.012728
25,648.664001
26,648.59305
27,648.520582
28,650.039836
29,650.910877
30,745.456032
31,1127.529804
32,1176.134765
33,794.227474
34,790.826325
35,628.822267
36,627.760556
37,629.555974
38,629.449064
39,629.928607
40,632.830686
41,628.71505
42,1125.702911
43,1243.92939
44,1499.937028
45,1501.918248
46,1340.558522
47,1080.260958
48,657.365549
49,655.014395
50,653.763977
51,652.893005
52,653.823195
53,654.74101
54,749.587347
55,1130.119177
56,1178.165358
57,795.939974
58,791.897548
59,628.497202
60,625.359835
61,626.327689
62,626.152761
63,625.960387
64,629.924432
65,629.165908
66,1120.550075
67,1238.307663
68,1492.214712
69,1492.984777
70,1329.06093
71,1068.584137
72,647.540882
73,647.018227
74,646.979535
75,646.91066
76,648.512958
77,648.874575
78,743.519167
79,1127.946188
80,1172.236639
81,794.318638
82,791.77252
83,628.665546
84,625.852127
85,626.9781
86,626.947845
87,627.008041
88,631.180594
89,631.045625
90,1116.579871
91,1229.841241
92,1484.412331
93,1487.208265
94,1320.975453
95,1064.45296
96,647.318151
97,647.236974
98,647.092185
99,646.985466
100,648.730258
101,648.87335
102,743.513716
103,1124.364669
104,1169.241217
105,795.07206
106,792.569588
107,630.030745
108,627.195775
109,628.244126
110,628.162183
111,628.232391
112,632.507141
113,635.794509
114,1117.960014
115,1231.271716
116,1484.095391
117,1484.251604
118,1322.721477
119,1066.656545
120,649.726823
121,649.899319
122,649.878266
123,649.976164
124,651.907702
125,651.995971
126,747.134435
127,1135.493567
128,1172.132786
129,798.30492
130,795.569324
131,633.000611
132,629.828153
133,630.612534
134,630.330814
135,630.18404
136,634.36694
137,638.71009
138,1119.022912
139,1231.787837
140,1484.241326
141,1484.161484
142,1322.700767
143,1066.656978
144,651.538157
145,651.660959
146,651.593445
147,651.382091
148,651.4169
149,651.293231
150,687.206909
151,866.11372
152,1066.998107
153,888.215308
154,787.711062
155,625.096059
156,624.709806
157,624.410018
158,624.219686
159,624.025885
160,628.17056
161,635.153063
162,1117.990551
163,1133.067568
164,1287.755919
165,1287.647067
166,1325.059671
167,1265.856083
168,649.788016
169,649.810945
170,649.853636
171,649.884205
172,649.786789
173,649.474123
174,684.775179
175,810.133545
176,1162.631846
177,983.787244
178,981.386951
179,818.825303
180,818.821141
181,818.831721
182,818.511521
183,818.480346
184,822.487673
185,827.440381
186,1118.308465
187,1036.912812
188,1191.674965
189,1191.878123
190,1228.036812
191,1070.587927
192,647.669139
193,647.449788
194,647.445008
195,647.536933
196,649.339862
197,649.279521
198,743.865517
199,1127.226268
200,1171.891469
201,795.288346
202,792.717766
203,630.299052
204,627.278731
205,628.385764
206,628.496159
207,628.60589
208,632.903443
209,635.116702
210,1118.008052
211,1233.646396
212,1487.057632
213,1487.892801
214,1323.552199
215,1065.405329
216,648.26174
217,648.322836
218,648.518297
219,648.758921
220,650.582102
221,650.416738
222,745.166586
223,1128.808082
224,1170.337428
225,796.276089
226,793.61993
227,631.173167
228,628.140567
229,629.206075
230,629.127918
231,628.898197
232,632.96724
233,634.286743
234,1117.569899
235,1230.528326
236,1483.028458
237,1483.153767
238,1321.407127
239,1065.127008
240,647.949083
241,647.912594
242,648.002238
243,648.025616
244,649.559715
245,649.348135
246,743.927165
247,1124.690454
248,1169.415061
249,795.231718
250,792.733172
251,629.726961
252,626.341674
253,627.164266
254,626.98655
255,626.901333
256,631.167167
257,630.506781
258,1116.349106
259,1229.416594
260,1482.384054
261,1482.55327
262,1322.166758
263,1066.264937
264,647.107991
265,646.839594
266,646.853558
267,646.881071
268,648.570527
269,648.477742
270,742.758864
271,1121.238944
272,1168.614812
273,794.51949
274,792.026404
275,628.903322
276,626.011078
277,627.129448
278,627.01994
279,626.970799
280,631.308467
281,631.755615
282,1116.708526
283,1229.839583
284,1482.557693
285,1483.961176
286,1320.964403
287,1064.656331
288,647.433342
289,647.342971
290,647.385477
291,647.289927
292,648.878052
293,648.806375
294,743.521878
295,1124.420134
296,1169.145562
297,794.879947
298,792.279439
299,629.228997
300,626.303827
301,627.264004
302,627.190881
303,627.233267
304,631.361738
305,631.460545
306,1116.659614
307,1232.351154
308,1486.353783
309,1487.413102
310,1323.243021
311,1064.895976
312,649.196106
313,649.228755
314,649.342686
315,649.370138
316,649.355919
317,649.21694
318,684.615181
319,858.876594
320,1065.852489
321,886.418617
322,785.732749
323,622.945406
324,622.631599
325,622.289189
326,621.897616
327,621.885042
328,626.099121
329,630.291492
330,1118.244855
331,1135.474136
332,1290.250897
333,1290.291524
334,1326.252248
335,1267.189522
336,649.662089
337,649.701922
338,649.819826
339,649.980037
340,649.985488
341,649.797837
342,685.34799
343,813.029879
344,1166.052121
345,985.252043
346,982.174943
347,820.454579
348,821.071411
349,821.3021
350,820.985477
351,819.9476
352,823.57308
353,828.679645
354,1120.746499
355,1038.935369
356,1193.347983
357,1193.235878
358,1229.260124
359,1071.883505
360,650.332927
361,649.954507
362,649.679802
363,649.580605
364,649.533581
365,649.72232
366,685.306487
367,806.090998
368,1167.112479
369,984.806097
370,981.84036
371,820.329011
372,821.287513
373,821.204946
374,820.351645
375,819.961028
376,823.198638
377,822.600196
378,1120.10062
379,1038.555281
380,1193.817221
381,1193.754257
382,1229.706487
383,1072.221479
384,649.1926
385,648.876006
386,648.690773
387,648.51753
388,650.086168
389,650.317355
390,744.576274
391,1126.783372
392,1171.87776
393,794.834469
394,792.260963
395,629.321165
396,626.19457
397,627.15722
398,627.061101
399,626.983986
400,631.106868
401,630.705093
402,1116.447453
403,1231.334904
404,1485.646087
405,1486.86604
406,1324.003492
407,1065.871505
408,647.209696
409,646.951353
410,646.790675
411,646.815526
412,648.625112
413,648.80434
414,743.490691
415,1124.874559
416,1169.55877
417,795.165972
418,792.777878
419,630.365071
420,627.54818
421,628.73595
422,628.719085
423,628.831135
424,633.111632
425,637.133879
426,1118.219459
427,1231.406435
428,1484.593488
429,1485.378039
430,1322.408222
431,1066.247743
432,649.251025
433,649.416219
434,649.485584
435,649.382095
436,651.12095
437,651.066831
438,746.107876
439,1132.42315
440,1171.47122
441,797.681062
442,795.02302
443,632.460753
444,629.289938
445,630.103899
446,629.960282
447,629.938882
448,634.062155
449,637.946033
450,1118.791327
451,1231.716985
452,1484.859648
453,1485.372049
454,1322.734213
455,1066.705754
456,649.721989
457,649.842155
458,649.912495
459,649.701645
460,651.113304
461,650.779739
462,745.440739
463,1128.375515
464,1170.530782
465,796.624639
466,794.070223
467,631.598685
468,628.572313
469,629.37698
470,629.19892
471,629.337432
472,633.498355
473,635.669526
474,1117.98954
475,1231.46526
476,1484.99263
477,1486.096098
478,1322.183727
479,1065.713242
480,650.426252
481,650.470964
482,650.543728
483,650.530186
484,650.517477
485,650.209957
486,685.618332
487,860.465474
488,1065.38914
489,886.821345
490,786.456103
491,623.800331
492,623.491873
493,623.199856
494,623.029703
495,623.039865
496,627.109103
497,631.212125
498,1117.271883
499,1134.481061
500,1289.7216
501,1290.088008
502,1327.636028
503,1269.508489
504,649.137761
505,648.772934
506,648.783347
507,649.063471
508,649.449504
509,649.699587
510,685.738929
511,816.401184
512,1164.777965
513,985.321825
514,983.059533
515,820.73739
516,820.664171
517,820.684537
518,820.434576
519,820.356276
520,824.686777
521,835.101722
522,1119.189658
523,1037.061902
524,1191.874471
525,1191.858837
526,1229.282601
527,1072.665564
528,650.337862
529,650.285858
530,650.154055
531,649.821893
532,651.378848
533,651.132983
534,745.746517
535,1128.450044
536,1170.816931
537,797.036092
538,794.118861
539,631.641228
540,628.465488
541,629.109012
542,628.706971
543,628.465097
544,632.479279
545,632.229509
546,1117.020284
547,1229.876635
548,1483.161882
549,1483.955962
550,1322.512245
551,1065.158715
552,647.600202
553,647.443076
554,647.359676
555,647.576768
556,649.54142
557,649.568688
558,744.425147
559,1127.029563
560,1170.124752
561,796.248862
562,793.694085
563,631.247719
564,628.093929
565,628.865727
566,628.648331
567,628.562725
568,632.748815
569,635.298934
570,1117.774425
571,1230.787189
572,1483.367055
573,1483.421554
574,1321.853883
575,1065.64606
576,648.573777
577,648.703259
578,648.820629
579,648.635363
580,650.29695
581,650.266637
582,745.080981
583,1127.589422
584,1170.411132
585,796.77721
586,794.350259
587,632.220236
588,629.119195
589,630.09374
590,630.179498
591,630.269069
592,634.616009
593,638.128939
594,1118.948257
595,1231.646218
596,1484.058709
597,1483.920875
598,1322.382634
599,1066.291655
600,649.308896
601,649.324937
602,648.976163
603,648.783857
604,650.508783
605,650.359259
606,745.028703
607,1126.720453
608,1170.323707
609,796.701266
610,794.312938
611,631.751162
612,628.748433
613,629.638945
614,629.369677
615,629.272721
616,633.333449
617,635.319212
618,1117.965961
619,1230.814493
620,1483.321987
621,1483.194621
622,1321.696164
623,1065.501506
624,648.453605
625,648.495994
626,648.584337
627,648.443092
628,650.006574
629,649.860749
630,744.589326
631,1126.089792
632,1169.977665
633,796.018077
634,793.677571
635,631.575695
636,628.726624
637,629.916754
638,630.093809
639,630.191353
640,634.570763
641,640.451963
642,1119.409483
643,1232.180014
644,1484.714153
645,1484.658794
646,1323.171846
647,1067.421468
648,652.352623
649,652.726149
650,652.807272
651,652.878234
652,653.156662
653,653.190442
654,689.433969
655,872.676638
656,1069.019565
657,890.948662
658,790.28878
659,627.500498
660,626.898688
661,626.344138
662,626.135717
663,626.037537
664,630.32534
665,638.934687
666,1119.460443
667,1134.627235
668,1289.436597
669,1289.558867
670,1327.157169
671,1268.081589
672,652.446776
673,652.735518
674,652.605673
675,652.556281
676,652.766259
677,652.55369
678,688.184089
679,819.753255
680,1165.062756
681,987.194521
682,985.326503
683,822.746881
684,822.414152
685,822.504056
686,822.417086
687,822.528463
688,826.832105
689,838.395061
690,1121.119574
691,1038.850283
692,1193.586131
693,1193.739574
694,1231.220903
695,1074.8003
696,652.957965
697,653.223292
698,653.55177
699,653.937541
700,656.040198
701,655.907799
702,751.161144
703,1144.075856
704,1175.309915
705,803.284746
706,800.908522
707,638.578877
708,635.587601
709,636.291039
710,635.869118
711,635.723198
712,640.414582
713,654.735234
714,1124.6464
715,1237.026579
716,1489.074444
717,1488.988281
718,1328.018051
719,1073.136689
720,656.618327
721,656.692736
722,656.754906
723,657.246501
724,659.06276
725,658.787651
726,753.945317
727,1148.994723
728,1177.173275
729,805.511775
730,802.85603
731,639.635127
732,636.128236
733,636.60403
734,636.003152
735,635.650654
736,639.625004
737,645.940916
738,1122.595488
739,1234.751999
740,1486.47818
741,1486.394578
742,1325.204724
743,1069.850456
744,652.81932
745,652.809357
746,653.000741
747,653.20134
748,655.020347
749,654.716805
750,749.483957
751,1136.108309
752,1173.826766
753,801.511389
754,799.246493
755,636.256329
756,632.924292
757,633.536993
758,633.348482
759,633.338939
760,637.782677
761,644.042663
762,1121.56857
763,1234.090626
764,1486.220933
765,1486.371127
766,1325.294686
767,1070.16213
768,653.290028
769,653.373158
770,653.66374
771,653.941092
772,655.960713
773,655.920633
774,751.147143
775,1143.684012
776,1175.838456
777,804.222093
778,802.156957
779,639.518999
780,636.542064
781,637.324275
782,636.930324
783,636.604695
784,641.181862
785,652.641342
786,1124.379308
787,1236.564469
788,1488.421612
789,1488.631987
790,1327.720185
791,1072.902821
792,656.351366
793,656.678143
794,657.101439
795,657.501379
796,659.633357
797,659.612073
798,755.024857
799,1153.911034
800,1178.115985
801,806.209945
802,803.278142
803,639.881072
804,636.220311
805,636.585675
806,636.150975
807,636.125117
808,640.519788
809,651.812481
810,1124.017698
811,1236.311994
812,1488.354953
813,1488.403972
814,1327.379728
815,1072.641397
816,657.945401
817,658.115593
818,658.460059
819,658.785382
820,659.113835
821,659.047095
822,695.62477
823,887.42523
824,1073.694974
825,896.007578
826,795.717421
827,632.333188
828,631.454523
829,630.794921
830,630.35679
831,630.339992
832,634.790524
833,650.640466
834,1123.707884
835,1138.504531
836,1292.79704
837,1292.927631
838,1330.153091
839,1270.905701
840,655.278235
841,654.915584
842,654.771341
843,654.595436
844,654.40302
845,653.932485
846,689.301065
847,819.11673
848,1165.212564
