hours,kW
0,1026.794576
1,1118.669253
2,1134.723008
3,1186.679437
4,1296.393755
5,1361.932218
6,1574.663744
7,4018.535449
8,4448.949682
9,1629.388732
10,1708.794128
11,1439.136424
12,1328.57584
13,1188.469009
14,1104.509067
15,1064.502338
16,1053.174696
17,1042.520451
18,3970.301951
19,1208.757744
20,1359.765363
21,4047.235034
22,1400.311249
23,1242.585658
24,822.789887
25,835.740986
26,849.014471
27,865.342923
28,894.453981
29,3603.485353
30,1017.122474
31,5655.373812
32,3652.40342
33,1468.473481
34,988.994058
35,780.415971
36,752.075917
37,736.756955
38,728.63462
39,722.744977
40,725.481807
41,1461.139965
42,1189.792355
43,3996.287222
44,1548.018412
45,2242.114689
46,3367.057548
47,1131.738204
48,712.666652
49,723.902136
50,778.011069
51,859.715718
52,947.750557
53,987.752824
54,3894.85336
55,6500.956449
56,1684.931099
57,3941.819644
58,1249.603235
59,1075.196178
60,1059.639641
61,1057.959689
62,1059.419033
63,1088.855363
64,1143.744224
65,3843.542035
66,1843.503072
67,2041.274287
68,5059.952534
69,2451.549628
70,2058.560818
71,4345.14162
72,1192.89913
73,1160.28479
74,1158.685455
75,1191.382088
76,1226.538011
77,1241.460103
78,4262.882957
79,5148.487393
80,4893.564501
81,1943.280501
82,1997.531061
83,1862.623836
84,1902.457059
85,1925.36056
86,1906.902596
87,1947.064244
88,1980.768153
89,5085.062857
90,4973.997354
91,2220.954696
92,5187.961866
93,2583.953881
94,2174.106133
95,1972.744081
96,1625.77588
97,1649.967624
98,1686.760441
99,1718.145073
100,1768.456327
101,4496.678368
102,2187.334459
103,9167.886106
104,5384.311759
105,2620.097748
106,2657.405067
107,2445.72513
108,2434.921739
109,2496.943502
110,2463.391425
111,2556.18108
112,2716.845184
113,7403.672483
114,3094.487474
115,5846.73913
116,3524.195977
117,6302.642076
118,3190.189416
119,3134.739714
120,2874.341787
121,2974.088995
122,3050.901295
123,3109.08655
124,3179.386082
125,3211.228201
126,6679.190657
127,13311.470245
128,4184.59629
129,6846.399487
130,4135.443206
131,3825.047804
132,3670.235726
133,3545.78027
134,3479.411973
135,3476.020762
136,3571.434183
137,8627.697256
138,3588.042808
139,3586.007481
140,6188.519582
141,3590.83331
142,5889.968361
143,3120.742245
144,2863.421418
145,2939.206174
146,2981.026232
147,2992.803205
148,3022.088236
149,2965.473305
150,6260.916623
151,9026.136762
152,6388.493145
153,3616.135331
154,6196.904621
155,3194.002677
156,2999.730838
157,2844.100511
158,2763.373977
159,2745.278192
160,2863.554907
161,7314.020871
162,3027.043558
163,2831.942947
164,5655.618325
165,2903.753946
166,2651.935867
167,2513.330861
168,2064.649014
169,2075.184371
170,2084.070479
171,2098.144079
172,2102.464865
173,4741.421138
174,2313.732322
175,8821.450877
176,5277.841153
177,2588.897831
178,2648.981033
179,2363.815896
180,2194.931026
181,2090.987559
182,2089.861365
183,2098.708876
184,2166.827768
185,5682.392301
186,2437.561374
187,5018.718155
188,2497.847446
189,5213.130726
190,2307.526241
191,2117.051929
192,1707.217765
193,1727.573488
194,1752.900321
195,1801.310365
196,1848.206425
197,4531.204672
198,2216.635509
199,9537.162019
200,2821.809119
201,5285.947675
202,2624.048449
203,2471.741
204,2343.796419
205,2345.422501
206,2413.505609
207,2475.013996
208,2579.186145
209,6850.747878
210,2846.307439
211,5657.991892
212,3270.194629
213,3289.277217
214,5447.173428
215,2508.988388
216,2163.358418
217,2225.748162
218,2318.210029
219,2423.603413
220,2470.967542
221,2466.88834
222,5756.336615
223,11090.392285
224,3295.884881
225,5915.001179
226,3218.871736
227,2954.845416
228,2847.960449
229,2841.49172
230,2853.490073
231,2803.285675
232,2830.635264
233,6721.385642
234,2890.273211
235,2745.835701
236,5599.656632
237,2831.336024
238,2525.164229
239,5050.6652
240,2048.10176
241,2061.074336
242,2104.685664
243,2140.129855
244,2149.089988
245,2108.861492
246,3069.890668
247,8806.10959
248,5518.035617
249,2579.158071
250,2500.418029
251,2200.303854
252,1987.630698
253,1895.480104
254,1826.611961
255,1804.810383
256,1889.69183
257,4669.00086
258,4856.301704
259,2045.916607
260,2273.262595
261,4883.500146
262,2001.944273
263,1869.59756
264,1510.564617
265,1544.505281
266,1572.313553
267,1590.54725
268,1580.212375
269,4226.110324
270,1772.143606
271,7619.750308
272,4896.114094
273,2067.760388
274,2169.705773
275,2002.557376
276,2026.117935
277,2031.110016
278,1953.04814
279,1920.510803
280,2035.996741
281,5419.756846
282,2373.61034
283,4975.249476
284,2470.78315
285,3904.646426
286,3507.283195
287,2076.094895
288,1698.847582
289,1712.013302
290,1737.480492
291,1773.207212
292,1798.139779
293,1796.010501
294,4905.043698
295,9198.638996
296,2518.526017
297,4932.732442
298,2180.205791
299,1915.98911
300,1897.112461
301,1880.456412
302,1854.805961
303,1874.949796
304,1933.258692
305,5244.652721
306,2288.90018
307,2310.746138
308,5307.194147
309,2637.923165
310,2270.134939
311,4692.973564
312,1692.80404
313,1767.760703
314,1833.177399
315,1856.311111
316,1879.008515
317,1854.063861
318,4868.524517
319,5911.821836
320,5184.653801
321,2265.718462
322,2047.394385
323,1680.535224
324,1572.016692
325,1529.626403
326,1557.309709
327,1608.021085
328,1702.762047
329,4824.916232
330,4852.786014
331,2211.095392
332,5185.487567
333,2604.564445
334,2416.672691
335,2393.335912
336,1946.139764
337,2020.748101
338,2091.552656
339,2184.11194
340,2251.435389
341,4939.600668
342,2654.171383
343,10090.74426
344,5705.661682
345,2866.783154
346,2842.285446
347,2575.019102
348,2475.530327
349,2409.429031
350,2326.368863
351,2301.817703
352,2316.479418
353,5988.457591
354,2622.211404
355,5205.468152
356,2669.028091
357,5416.922274
358,2486.323677
359,2275.577816
360,1875.78053
361,1872.868889
362,1897.527229
363,1903.896285
364,1916.967349
365,1903.792653
366,4643.898197
367,4782.563662
368,2331.035384
369,4911.421401
370,2193.065371
371,1913.801003
372,1851.29636
373,1806.060828
374,1764.387581
375,1739.516793
376,1757.34648
377,1790.147758
378,2069.470039
379,2561.571164
380,4265.287115
381,2153.257841
382,4921.516219
383,2088.986368
384,1679.806018
385,1672.264688
386,1672.809377
387,1673.764273
388,1675.87059
389,1659.052638
390,4564.612259
391,5496.082653
392,5048.39086
393,2119.486614
394,4869.056835
395,2036.363149
396,1937.53572
397,1901.130721
398,1887.131695
399,1879.072042
400,1912.27958
401,4878.8649
402,2210.630735
403,2151.260401
404,5102.149442
405,2414.925326
406,2107.509081
407,1906.470544
408,1578.131561
409,1612.605335
410,1634.792617
411,1666.185108
412,1715.664708
413,4470.698581
414,2175.807178
415,9287.014341
416,5432.721546
417,2677.92973
418,2776.619511
419,2586.896999
420,2553.00775
421,2642.691725
422,2658.118514
423,2814.626083
424,2950.950767
425,7925.375298
426,3214.700404
427,5884.406598
428,3514.855579
429,6267.596361
430,3056.613144
431,2944.470369
432,2659.977387
433,2732.29278
434,2785.88514
435,2828.953334
436,2851.924491
437,5538.721231
438,3509.337424
439,12394.844415
440,3882.094191
441,6582.975843
442,3907.360183
443,3586.02486
444,3418.715903
445,3284.556588
446,3217.427259
447,3221.800508
448,3306.692661
449,8289.153251
450,3446.886864
451,6048.573539
452,3663.66461
453,3735.239614
454,5898.153689
455,3107.963044
456,2793.659186
457,2874.078385
458,2915.095272
459,2860.811577
460,2809.616644
461,2708.794743
462,5868.525485
463,11011.661871
464,3407.976758
465,6069.012666
466,3424.983877
467,3177.962908
468,3063.673386
469,2911.04992
470,2816.000119
471,2896.520391
472,2948.254515
473,7249.323444
474,3003.087184
475,2930.144742
476,5954.415027
477,3325.111346
478,2841.76644
479,5330.891804
480,2350.278868
481,2364.531363
482,2398.915133
483,2400.1391
484,2404.125716
485,2335.420711
486,3622.107328
487,8540.716348
488,5640.085544
489,2916.264651
490,2872.813693
491,2467.255794
