hours,kW
0,299.246722
1,329.508404
2,311.666538
3,342.555051
4,342.21675
5,318.114872
6,355.179515
7,289.988555
8,224.679806
9,267.860771
10,266.116146
11,194.659629
12,208.999076
13,203.389178
14,172.532965
15,195.415447
16,246.348228
17,286.988284
18,299.861963
19,301.395898
20,286.736611
21,304.048835
22,296.10349
23,286.406986
24,343.220396
25,336.518444
26,323.880251
27,338.146609
28,340.022931
29,349.015851
30,2752.740374
31,3072.32648
32,2697.642287
33,2473.008526
34,2341.202646
35,2473.782481
36,2992.526224
37,2640.488019
38,2530.143183
39,2399.017887
40,2342.021241
41,2560.829022
42,2111.273223
43,2108.589339
44,1999.897118
45,2041.110246
46,413.083262
47,416.528861
48,404.876963
49,334.16083
50,335.881105
51,324.215006
52,317.576587
53,350.627884
54,1657.99068
55,2227.794029
56,1736.250227
57,1638.657664
58,1590.435693
59,1584.25562
60,2360.974741
61,1552.699089
62,1502.859867
63,1493.027373
64,1778.419728
65,2865.823076
66,1738.373067
67,1595.228746
68,1565.974592
69,1570.041461
70,406.786483
71,430.204133
72,435.729487
73,387.995092
74,432.764016
75,432.062176
76,387.852082
77,452.181928
78,2286.415852
79,3005.267568
80,2238.917074
81,2087.73224
82,2071.229704
83,2062.011232
84,3127.270161
85,2055.473203
86,1892.831317
87,1926.637393
88,2024.54463
89,3047.010621
90,1627.498737
91,1307.725285
92,1248.359156
93,1245.883615
94,334.449784
95,349.482314
96,349.117165
97,334.638126
98,360.289561
99,352.920131
100,340.497278
101,390.798391
102,1844.797275
103,3200.201076
104,2119.69195
105,1945.954688
106,1743.223827
107,1656.816433
108,2923.173121
109,1689.780519
110,1560.804316
111,1593.319044
112,1814.756474
113,3314.105717
114,1769.190225
115,1731.729613
116,1782.872325
117,1874.184723
118,358.685345
119,394.853707
120,399.409624
121,370.906741
122,416.938078
123,411.062454
124,379.779885
125,449.021062
126,2859.451889
127,4992.919029
128,2945.320326
129,2616.579117
130,2425.253952
131,2270.074327
132,3744.389693
133,2029.719395
134,1927.853795
135,1920.750182
136,2099.513078
137,3704.538189
138,1961.496235
139,1812.999178
140,1751.795456
141,1780.069773
142,354.839924
143,387.531466
144,349.297054
145,323.370274
146,364.119933
147,355.618497
148,328.785085
149,371.128897
150,2431.357822
151,2430.543356
152,2166.144343
153,1903.551232
154,1724.042761
155,1577.015896
156,1434.878707
157,1311.751956
158,1124.979747
159,1140.98196
160,1338.806045
161,1498.728826
162,291.774985
163,329.174473
164,328.361934
165,305.946012
166,334.010355
167,324.827477
168,305.865762
169,337.321443
170,332.471287
171,304.339836
172,340.823068
173,335.776445
174,311.347921
175,259.252569
176,223.421841
177,201.994841
178,231.039909
179,220.207367
180,235.396453
181,279.011776
182,271.055433
183,232.128711
184,274.72364
185,328.741778
186,302.804304
187,338.856373
188,333.660742
189,309.83858
190,336.224865
191,335.71512
192,350.939651
193,383.565931
194,379.937857
195,349.682452
196,390.706551
197,405.722485
198,3043.559434
199,4287.186286
200,2855.491392
201,2516.290831
202,2357.236639
203,2290.636837
204,3305.935008
205,1993.29471
206,1966.423306
207,1920.443859
208,2027.535496
209,3384.193548
210,1946.317475
211,1802.596733
212,1743.005543
213,1726.591284
214,347.089327
215,372.111451
216,375.122417
217,353.3453
218,391.260116
219,386.160069
220,363.844631
221,423.358631
222,2589.862175
223,4264.555699
224,2659.58781
225,2389.037865
226,2194.203086
227,2053.213076
228,3164.088962
229,1900.77296
230,1861.248662
231,1808.643251
232,1879.006821
233,3094.796008
234,1683.446357
235,1545.377234
236,1485.220086
237,1481.220799
238,340.97445
239,360.32375
240,360.277888
241,342.174817
242,371.727523
243,364.500389
244,347.873472
245,399.270906
246,2084.299264
247,3400.263504
248,2215.519374
249,2157.802588
250,2174.011115
251,2143.551399
252,2541.479919
253,1721.688136
254,1655.302358
255,1641.557486
256,1823.981692
257,3001.103971
258,1827.212448
259,1681.637023
260,1594.340424
261,1585.596406
262,404.79867
263,433.165056
264,438.868773
265,389.60918
266,436.600398
267,436.155352
268,390.274924
269,454.345892
270,2302.808288
271,2967.410604
272,2263.107227
273,2104.442199
274,2035.914662
275,2018.6511
276,3061.049889
277,1971.466101
278,1792.513408
279,1766.293701
280,1929.403745
281,3085.450854
282,1380.717311
283,1274.721295
284,1213.650103
285,1240.06306
286,336.480683
287,353.614861
288,393.829763
289,334.558071
290,360.404519
291,352.068024
292,340.406163
293,389.063095
294,1793.942208
295,3118.576366
296,1835.82463
297,1867.764046
298,1837.366257
299,1833.19443
300,2930.471676
301,1948.231412
302,1843.66425
303,1783.393116
304,1911.591845
305,3032.414597
306,1306.375706
307,1195.963335
308,1135.750993
309,1145.478091
310,334.739525
311,350.215819
312,312.253999
313,298.484975
314,329.09589
315,320.451646
316,303.948071
317,332.841462
318,1645.852514
319,1541.07487
320,1372.750543
321,1467.336048
322,1450.388389
323,1152.347496
324,1125.753843
325,1103.135886
326,1042.433598
327,1202.29237
328,1360.05038
329,1409.286577
330,348.510164
331,368.651137
332,308.500962
333,296.666825
334,326.069106
335,322.612276
336,308.591624
337,345.100867
338,342.098858
339,311.943807
340,355.088953
341,351.425976
342,322.397489
343,276.333122
344,239.34057
345,209.753425
346,240.044716
347,226.185959
348,191.737338
349,227.37346
350,209.63135
351,192.866947
352,251.581533
353,331.78696
354,304.863486
355,342.030909
356,336.899933
357,312.545917
358,342.392061
359,341.516953
360,314.282235
361,349.538116
362,340.377748
363,318.64332
364,353.261611
365,347.479526
366,313.913736
367,272.237349
368,238.043539
369,207.187732
370,266.86468
371,277.033044
372,227.851311
373,264.683653
374,268.155922
375,225.806415
376,292.990611
377,378.342944
378,311.407549
379,357.279428
380,381.732008
381,339.545726
382,380.16985
383,384.563865
384,379.361885
385,413.999261
386,423.440008
387,378.574546
388,418.816794
389,442.760533
390,3633.034906
391,4358.682601
392,3398.453303
393,3117.452288
394,2979.031549
395,2827.28302
396,3626.645731
397,2567.845125
398,2447.727729
399,2381.405396
400,2386.403664
401,3337.548861
402,2147.746094
403,1967.630887
404,1887.916064
405,1857.45444
406,398.585622
407,419.133434
408,350.286355
409,331.859689
410,363.647941
411,359.526977
412,341.219135
413,391.584585
414,2318.803144
415,3611.220257
416,2404.131287
417,2239.738176
418,2066.127255
419,1960.934788
420,3238.143919
421,1914.000829
422,1821.836855
423,1904.400975
424,2024.369715
425,3619.234684
426,1973.746905
427,1841.167914
428,1851.132953
429,1870.90067
430,359.455176
431,386.243026
432,389.596186
433,358.897713
434,405.179711
