hours,kW
0,299.246722
1,329.508404
2,311.666538
3,342.555051
4,342.21675
5,318.114872
6,355.179515
7,261.155212
8,198.738231
9,234.286433
10,222.644657
11,194.659629
12,208.999076
13,203.389178
14,171.755714
15,192.624738
16,240.718481
17,284.118309
18,296.97845
19,295.428844
20,283.706463
21,301.022657
22,290.055016
23,283.316
24,340.113358
25,334.860727
26,323.880251
27,338.146609
28,340.022931
29,349.015851
30,2752.740374
31,3072.32648
32,2697.642287
33,2473.008526
34,2325.220351
35,2212.15795
36,2414.283334
37,1963.824424
38,1853.258018
39,1721.778643
40,1778.890043
41,2064.916221
42,1540.526215
43,1456.193306
44,1363.69222
45,1321.939176
46,332.534452
47,329.183886
48,329.183888
49,317.576577
50,329.183899
51,324.215006
52,317.576587
53,350.627884
54,1657.99068
55,2227.794029
56,1736.250227
57,1638.657664
58,1590.435693
59,1584.25562
60,2360.974741
61,1552.699089
62,1502.859867
63,1493.027373
64,1593.490222
65,2482.55984
66,1417.494585
67,1299.836189
68,1281.081782
69,1302.687867
70,332.534452
71,338.290996
72,336.846833
73,327.356384
74,349.128182
75,340.07753
76,331.092711
77,373.729945
78,1871.635626
79,2766.884625
80,1979.474706
81,1840.958112
82,1806.50353
83,1787.141058
84,2818.802043
85,1758.789539
86,1616.077953
87,1644.453559
88,1728.628135
89,2714.767126
90,1488.125342
91,1307.725285
92,1248.359156
93,1245.883615
94,334.449784
95,349.482314
96,349.117165
97,334.638126
98,360.289561
99,352.920131
100,340.497278
101,390.798391
102,1844.797275
103,3200.201076
104,2119.69195
105,1945.954688
106,1743.223827
107,1656.816433
108,2923.173121
109,1689.780519
110,1560.804316
111,1593.319044
112,1814.756474
113,3314.105717
114,1769.190225
115,1731.729613
116,1782.872325
117,1874.184723
118,358.685345
119,394.853707
120,399.409624
121,370.906741
122,416.938078
123,411.062454
124,379.779885
125,449.021062
126,2859.451889
127,4992.919029
128,2945.320326
129,2616.579117
130,2425.253952
131,2270.074327
132,3744.389693
133,2029.719395
134,1927.853795
135,1920.750182
136,2099.513078
137,3704.538189
138,1961.496235
139,1812.999178
140,1751.795456
141,1780.069773
142,354.839924
143,387.531466
144,349.297054
145,323.370274
146,364.119933
147,355.618497
148,328.785085
149,371.128897
150,2431.357822
151,2430.543356
152,2166.144343
153,1903.551232
154,1724.042761
155,1577.015896
156,1434.878707
157,1311.751956
158,1124.979747
159,1140.98196
160,1338.806045
161,1498.728826
162,291.774985
163,329.174473
164,328.361934
165,305.946012
166,334.010355
167,324.827477
168,305.865762
169,337.321443
170,332.471287
171,304.339836
172,340.823068
173,335.776445
174,311.347921
175,259.252569
176,223.421841
177,201.994841
178,231.039909
179,220.207367
180,188.690764
181,219.818493
182,202.486566
183,190.398012
184,274.72364
185,328.741778
186,302.804304
187,338.856373
188,333.660742
189,309.83858
190,336.224865
191,335.71512
192,350.939651
193,383.565931
194,379.937857
195,349.682452
196,390.706551
197,405.722485
198,3043.559434
199,4287.186286
200,2855.491392
201,2516.290831
202,2357.236639
203,2290.636837
204,3305.935008
205,1993.29471
206,1966.423306
207,1920.443859
208,2027.535496
209,3384.193548
210,1946.317475
211,1802.596733
212,1743.005543
213,1726.591284
214,347.089327
215,372.111451
216,375.122417
217,353.3453
218,391.260116
219,386.160069
220,363.844631
221,423.358631
222,2589.862175
223,4264.555699
224,2659.58781
225,2389.037865
226,2194.203086
227,2053.213076
228,3164.088962
229,1900.77296
230,1861.248662
231,1808.643251
232,1879.006821
233,3094.796008
234,1683.446357
235,1545.377234
236,1485.220086
237,1481.220799
238,340.97445
239,360.32375
240,360.277888
241,342.174817
242,371.727523
243,364.500389
244,347.873472
245,399.270906
246,2084.299264
247,3400.263504
248,2215.519374
249,2007.934416
250,1904.310086
251,1833.129314
252,2541.479919
253,1721.688136
254,1655.302358
255,1641.557486
256,1733.995477
257,2617.005903
258,1527.472534
259,1403.274527
260,1348.273199
261,1337.699058
262,332.534452
263,342.881756
264,340.364128
265,328.728791
266,352.520079
267,343.476964
268,332.727232
269,373.826791
270,1882.869246
271,2714.93598
272,1973.767695
273,1829.78686
274,1759.875378
275,1731.550193
276,2739.876042
277,1670.665142
278,1508.123453
279,1467.630863
280,1633.17908
281,2755.657251
282,1380.717311
283,1274.721295
284,1213.650103
285,1240.06306
286,336.480683
287,353.614861
288,352.036403
289,334.558071
290,360.404519
291,352.068024
292,340.406163
293,389.063095
294,1793.942208
295,3118.576366
296,1835.82463
297,1640.717928
298,1561.087499
299,1528.467819
300,2566.586838
301,1597.081344
302,1520.380292
303,1472.081186
304,1591.212387
305,2677.419293
306,1306.375706
307,1195.963335
308,1135.750993
309,1145.478091
310,334.739525
311,350.215819
312,312.253999
313,298.484975
314,329.09589
315,320.451646
316,303.948071
317,332.841462
318,1645.852514
319,1541.07487
320,1372.750543
321,1294.639252
322,1200.889248
323,1152.347496
324,1125.753843
325,1103.135886
326,1042.433598
327,1058.685622
328,1098.385544
329,1181.625015
330,277.781965
331,304.453675
332,308.500962
333,296.666825
334,326.069106
335,322.612276
336,308.591624
337,345.100867
338,342.098858
339,311.943807
340,355.088953
341,351.425976
342,322.397489
343,276.333122
344,239.34057
345,209.753425
346,240.044716
347,226.185959
348,191.737338
349,227.37346
350,209.63135
351,192.866947
352,251.581533
353,331.78696
354,304.863486
355,342.030909
356,336.899933
357,312.545917
358,342.392061
359,341.516953
360,314.282235
361,349.538116
362,340.377748
363,318.64332
364,353.261611
365,347.479526
366,313.913736
367,272.237349
368,238.043539
369,207.187732
370,232.342921
371,224.145693
372,196.426701
373,223.170144
374,216.055155
375,194.566552
376,251.735882
377,327.517796
378,311.407549
379,345.428196
380,332.18689
381,310.886204
382,343.998511
383,338.4312
384,352.670401
385,380.311514
386,379.395936
387,353.318381
388,387.002868
389,400.79041
390,3393.025153
391,4190.0822
392,3229.037732
393,2946.703011
394,2802.221305
395,2639.643467
396,3389.445278
397,2324.114448
398,2201.208653
399,2125.418343
400,2133.521874
401,3071.157893
402,1915.66389
403,1760.85773
404,1689.042163
405,1661.531623
406,339.559565
407,348.54916
408,350.286355
409,331.859689
410,363.647941
411,359.526977
412,341.219135
413,391.584585
414,2318.803144
415,3611.220257
416,2404.131287
417,2239.738176
418,2066.127255
419,1960.934788
420,3238.143919
421,1914.000829
422,1821.836855
423,1904.400975
424,2024.369715
425,3619.234684
426,1973.746905
427,1841.167914
428,1851.132953
429,1870.90067
430,359.455176
431,386.243026
432,389.596186
433,358.897713
434,405.179711
