hours,kW
0,644.4304
1,643.275405
2,643.358594
3,643.45217
4,643.343634
5,643.84282
6,679.546248
7,800.647792
8,1161.852101
9,979.513121
10,974.965769
11,812.448054
12,812.58489
13,813.529722
14,813.420857
15,813.081978
16,816.948439
17,816.870575
18,1116.15665
19,1035.319468
20,1190.382792
21,1190.548098
22,1228.395955
23,1071.575865
24,647.344494
25,646.950755
26,646.795783
27,646.660138
28,648.08379
29,649.092031
30,743.168354
31,1121.773088
32,1170.603651
33,790.880545
34,786.809022
35,625.19696
36,624.386952
37,626.514718
38,626.300401
39,626.914138
40,629.599097
41,625.233975
42,1122.723935
43,1240.378816
44,1493.448452
45,1495.210869
46,1334.637228
47,1076.941044
48,655.418189
49,653.365778
50,652.205019
51,651.136519
52,651.461015
53,651.80495
54,745.927087
55,1126.930856
56,1173.903581
57,792.826113
58,787.976688
59,624.694589
60,621.503001
61,622.405216
62,622.102093
63,621.820338
64,625.375364
65,624.147543
66,1116.955268
67,1232.054207
68,1484.947854
69,1485.438536
70,1324.250555
71,1066.797285
72,646.777517
73,645.933688
74,645.566027
75,645.308402
76,646.766896
77,647.73416
78,742.625216
79,1124.256763
80,1170.184486
81,788.496367
82,784.745988
83,622.053496
84,619.09929
85,620.198992
86,620.216837
87,620.232665
88,624.374163
89,624.223649
90,1112.431537
91,1230.792732
92,1483.489412
93,1483.714788
94,1321.02342
95,1061.180024
96,643.303026
97,642.850591
98,642.486976
99,642.140074
100,643.590179
101,644.149455
102,738.964646
103,1124.868647
104,1166.774547
105,787.936828
106,785.281206
107,623.477172
108,620.604492
109,621.603329
110,621.560356
111,621.727584
112,626.100063
113,629.215427
114,1111.102621
115,1226.750895
116,1480.383319
117,1481.988115
118,1315.911631
119,1058.488584
120,642.611265
121,642.734631
122,642.949026
123,643.11636
124,644.858008
125,644.855172
126,739.465547
127,1127.591834
128,1164.25187
129,790.27969
130,787.478497
131,625.347295
132,622.234012
133,623.086102
134,622.973087
135,622.965267
136,627.232645
137,631.491707
138,1111.523041
139,1226.985668
140,1479.546849
141,1479.911679
142,1316.329906
143,1058.707362
144,644.107776
145,644.151011
146,644.232587
147,644.293858
148,644.342378
149,644.276604
150,679.886489
151,858.583686
152,1059.577818
153,880.284958
154,779.861673
155,617.932246
156,618.235698
157,618.423979
158,618.141423
159,617.443189
160,621.189908
161,628.1685
162,1112.698466
163,1129.965413
164,1283.965883
165,1284.042897
166,1320.303402
167,1261.607204
168,644.658276
169,644.342499
170,644.199715
171,644.072619
172,643.966334
173,644.517116
174,680.201287
175,806.477083
176,1159.246838
177,979.110144
178,975.741561
179,815.029737
180,816.079422
181,816.092764
182,815.059746
183,814.696821
184,817.930065
185,822.532679
186,1114.170499
187,1032.023059
188,1185.98239
189,1186.180317
190,1222.970581
191,1065.836772
192,644.017563
193,643.535259
194,643.349557
195,643.148555
196,644.796279
197,645.420066
198,739.889543
199,1122.704267
200,1166.220461
201,790.784055
202,786.817944
203,623.97049
204,622.657643
205,623.438971
206,622.389543
207,622.407384
208,625.904184
209,627.968363
210,1113.587441
211,1227.763849
212,1479.685189
213,1481.490662
214,1318.026184
215,1060.696727
216,643.450417
217,643.009242
218,642.710652
219,642.461778
220,644.164901
221,644.713093
222,739.371346
223,1125.129934
224,1165.074423
225,788.736472
226,786.134763
227,623.891762
228,620.892235
229,621.955815
230,621.965159
231,621.888381
232,626.036777
233,627.461761
234,1110.578168
235,1226.158204
236,1478.939648
237,1481.004748
238,1316.221172
239,1058.312828
240,641.495912
241,641.311666
242,641.262047
243,641.238513
244,643.023393
245,643.402531
246,737.84663
247,1121.135161
248,1163.853483
249,788.21959
250,785.56393
251,622.822486
252,619.644268
253,620.583085
254,620.473509
255,620.434196
256,624.655842
257,623.774306
258,1109.813458
