hours,kW
0,196.959917
1,196.959917
2,196.959917
3,196.959917
4,196.959917
5,196.959917
6,196.959917
7,196.959917
8,196.959917
9,196.959917
10,196.959917
11,196.959917
12,196.959917
13,196.959917
14,196.959917
15,196.959917
16,196.959917
17,196.959917
18,196.959917
19,196.959917
20,196.959917
21,196.959917
22,196.959917
23,196.959917
24,196.959917
25,196.959917
26,196.959917
27,196.959917
28,196.959917
29,208.276483
30,208.276483
31,287.502841
32,774.535912
33,774.646833
34,775.303296
35,779.305042
36,724.265257
37,785.349825
38,785.832939
39,786.246109
40,784.537376
41,451.599577
42,253.542751
43,253.542751
44,230.909617
45,230.909617
46,208.276483
47,196.959917
48,196.959917
49,196.959917
50,196.959917
51,196.959917
52,196.959917
53,208.276483
54,208.276483
55,285.627501
56,776.570399
57,777.420752
58,777.752115
59,777.946507
60,720.410807
61,778.235467
62,778.439567
63,778.575912
64,781.775159
65,456.580844
66,253.542751
67,253.542751
68,230.909617
69,230.909617
70,208.276483
71,196.959917
72,196.959917
73,196.959917
74,196.959917
75,196.959917
76,196.959917
77,208.276483
78,208.276483
79,299.543226
80,781.346345
81,781.536072
82,782.133883
83,782.467885
84,727.971867
85,783.22768
86,783.111431
87,783.317552
88,783.499748
89,458.166098
90,253.542751
91,253.542751
92,230.909617
93,230.909617
94,208.276483
95,196.959917
96,196.959917
97,196.959917
98,196.959917
99,196.959917
100,196.959917
101,208.276483
102,208.276483
103,304.70743
104,775.653887
105,775.238257
106,774.991141
107,775.065394
108,725.942234
109,775.701859
110,776.13413
111,776.418023
112,776.647828
113,463.662418
114,253.542751
115,253.542751
116,230.909617
117,230.909617
118,208.276483
119,196.959917
120,196.959917
121,196.959917
122,196.959917
123,196.959917
124,196.959917
125,208.276483
126,208.276483
127,318.450689
128,782.583883
129,777.224095
130,776.317601
131,775.85476
132,742.246278
133,775.355807
134,775.199962
135,775.121617
136,775.12225
137,473.174698
138,253.542751
139,253.542751
140,230.909617
141,230.909617
142,208.276483
143,196.959917
144,196.959917
145,196.959917
146,196.959917
147,196.959917
148,196.959917
149,196.959917
150,196.959917
151,196.959917
152,196.959917
153,196.959917
154,196.959917
155,196.959917
156,196.959917
157,196.959917
158,196.959917
159,196.959917
160,196.959917
161,196.959917
162,196.959917
163,196.959917
164,196.959917
165,196.959917
166,196.959917
167,196.959917
168,196.959917
169,196.959917
170,196.959917
171,196.959917
172,196.959917
173,196.959917
174,196.959917
175,196.959917
176,196.959917
177,196.959917
178,196.959917
179,196.959917
180,196.959917
181,196.959917
182,196.959917
183,196.959917
184,196.959917
185,196.959917
186,196.959917
187,196.959917
188,196.959917
189,196.959917
190,196.959917
191,196.959917
192,196.959917
193,196.959917
194,196.959917
195,196.959917
196,196.959917
197,208.276483
198,208.276483
199,317.112786
200,777.71135
201,776.269011
202,775.794885
203,775.514411
204,726.54929
205,775.096229
206,775.012301
207,774.93793
208,774.917192
209,460.667328
210,253.542751
211,253.542751
212,230.909617
213,230.909617
214,208.276483
