hours,kW
0,409.072685
1,422.257588
2,434.542933
3,491.83635
4,667.34465
5,667.030195
6,741.637201
7,695.718883
8,663.652311
9,634.492412
10,718.038737
11,616.164254
12,608.443542
13,631.647254
14,540.857879
15,654.620098
16,664.390795
17,606.610162
18,592.059278
19,495.326086
20,420.533422
21,460.79431
22,428.181254
23,418.209103
24,444.408877
25,418.911258
26,451.008215
27,522.1004
28,659.542635
29,633.672729
30,746.141052
31,1810.297307
32,1840.038455
33,1781.14238
34,1847.860686
35,1855.179022
36,1887.358178
37,1865.267387
38,1777.837159
39,1860.382524
40,1955.998839
41,1900.80176
42,658.941949
43,578.609429
44,452.503315
45,380.398992
46,389.534127
47,364.887565
48,327.719582
49,349.275031
50,398.565941
51,383.750158
52,598.13791
53,669.644343
54,739.538944
55,1844.075038
56,1849.357738
57,1784.390959
58,1833.236094
59,1840.029413
60,1854.716636
61,1830.102011
62,1742.570548
63,1824.16444
64,1921.571723
65,1866.990044
66,611.821816
67,455.531707
68,341.758416
69,327.632069
70,392.22054
71,457.704734
72,366.798707
73,416.854284
74,486.435221
75,449.314812
76,662.093485
77,697.496675
78,730.845824
79,1797.497372
80,1823.09333
81,1761.811652
82,1826.697464
83,1836.755015
84,1847.968817
85,1823.183712
86,1735.702313
87,1818.207747
88,1916.926902
89,1863.679695
90,589.847524
91,475.398678
92,378.449367
93,388.37878
94,406.851389
95,452.411123
96,385.846242
97,398.410954
98,481.095159
99,468.89055
100,643.66122
101,692.130658
102,750.909051
103,1795.997185
104,1821.620099
105,1760.321966
106,1824.361564
107,1835.959452
108,1846.439048
109,1821.608199
110,1734.158235
111,1816.68611
112,1915.344551
113,1862.000399
114,589.754442
115,465.584033
116,452.736401
117,414.398538
118,393.629969
119,456.302574
120,394.681877
121,385.179782
122,484.734957
123,477.688929
124,662.291896
125,751.603485
126,820.176807
127,1833.519011
128,1839.760502
129,1772.826522
130,1824.281086
131,1835.959451
132,1846.451869
133,1821.542194
134,1734.096773
135,1816.628305
136,1915.29305
137,1861.95218
138,589.666684
139,461.388991
140,434.556145
141,385.148389
142,408.939009
143,456.30587
144,379.498962
145,400.492557
146,484.776446
147,462.443084
148,645.762573
149,717.348351
150,766.545975
151,705.001686
152,730.703941
153,621.88175
154,712.09425
155,721.744515
156,709.016136
157,698.223694
158,643.390203
159,689.724017
160,791.950185
161,805.223253
162,646.995858
163,505.887342
164,449.245634
165,406.946327
166,396.471039
167,456.317301
168,390.910464
169,389.243078
170,484.882046
171,473.868996
172,634.531233
173,717.464913
174,777.975882
175,693.886668
176,730.938139
177,633.430698
178,700.998782
179,733.123142
180,698.37427
181,710.477346
182,632.686607
183,690.374101
184,783.152262
185,774.337405
186,647.719231
187,516.905993
188,438.153908
189,407.583413
190,407.371345
191,445.002009
192,391.493046
193,400.137463
194,473.641686
195,474.472135
196,645.381682
197,707.352758
198,779.718281
199,1795.885066
200,1821.602306
201,1760.310451
202,1824.351572
203,1835.959452
204,1846.451557
205,1821.603654
206,1734.152779
207,1816.67916
208,1915.340304
209,1862.019325
210,589.774969
211,465.62171
212,424.285832
213,414.450998
214,422.244215
215,427.775528
216,394.816311
217,413.801535
218,456.283462
219,477.75945
220,690.831977
221,723.063405
222,820.176807
223,1833.746825
224,1839.795282
225,1772.995828
226,1824.316337
227,1835.959452
228,1846.467503
229,1821.569256
230,1734.122445
231,1816.654907
232,1915.324625
233,1862.013723
234,593.523778
235,439.084632
236,392.206734
237,385.221946
238,413.200255
239,452.157331
240,379.630586
241,404.773424
242,480.731268
243,462.539111
244,650.041761
245,714.491897
246,745.157876
247,1795.877958
248,1821.601213
249,1760.730192
250,1827.350577
251,1838.532333
252,1854.369729
253,1830.237185
254,1743.089029
255,1825.25768
256,1921.850629
257,1866.796794
258,593.638446
259,479.371714
260,365.297359
261,364.372129
262,398.087036
263,453.439426
264,399.962885
265,389.164798
266,482.238595
267,481.606321
268,634.765746
269,705.997357
270,753.158172
271,1798.848672
272,1824.44129
273,1763.132786
274,1827.155584
275,1837.317801
276,1848.352103
277,1823.081423
278,1736.181283
279,1819.290828
280,1916.505217
281,1862.251703
282,589.562289
283,441.451773
284,378.404461
285,387.826175
286,424.567403
287,452.40479
288,368.124723
289,416.147905
290,481.095162
291,451.161857
292,692.978004
293,724.984081
294,770.76148
295,1834.158418
296,1839.857135
297,1773.95409
298,1826.306055
299,1837.272852
300,1849.178812
301,1824.375333
302,1736.884216
303,1818.546459
304,1916.772492
305,1862.701159
306,589.499818
307,421.956985
308,360.152478
309,373.815864
310,407.34878
311,452.403197
312,385.377658
313,398.900194
314,481.017552
315,468.280555
316,644.151244
317,690.918577
318,749.729009
319,691.68235
320,715.796921
321,640.297109
322,714.000639
323,692.982486
324,634.919773
325,677.403078
326,610.407964
327,676.518322
328,779.760198
329,796.237447
330,622.217899
331,532.814742
332,449.53689
333,380.564463
334,422.992444
335,456.329116
336,364.276115
337,415.695341
338,484.870394
339,447.346224
340,660.949029
341,717.427128
342,751.44386
343,720.235382
344,730.837031
345,606.795064
346,727.314267
347,722.299896
348,693.39985
349,713.907263
350,643.447035
351,674.046402
352,787.973439
353,785.595664
354,631.424059
355,521.608383
356,449.37402
357,391.315255
358,412.168582
359,456.329999
360,375.302148
361,404.939529
362,484.929649
363,458.221494
364,650.216186
365,717.5098
366,742.610929
367,689.858932
368,711.266832
369,598.04158
370,697.428423
371,714.646387
372,653.849183
373,696.43234
374,626.545367
375,657.693451
376,789.404834
377,786.2383
378,632.100806
379,521.209837
380,450.358979
381,392.432296
382,411.717231
383,456.354785
384,375.917813
385,404.523536
386,485.064257
387,458.894311
388,681.327682
389,740.26633
390,766.057836
391,1834.279775
392,1840.737884
393,1775.202807
394,1825.875123
395,1837.253471
396,1850.146588
397,1825.865049
398,1738.417544
399,1820.945388
400,1919.004149
401,1865.012922
402,591.64284
403,423.173136
