hours,kW
0,2569.502849
1,4082.044095
2,2927.045239
3,3676.046399
4,4408.510669
5,3104.325498
6,2580.939785
7,3163.315372
8,2740.17482
9,3194.905287
10,3408.876275
11,1591.003442
12,1211.053583
13,1475.711319
14,1318.247717
15,1430.25988
16,1197.320789
17,1059.154352
18,1232.818321
19,1517.724688
20,1503.270366
21,1870.931631
22,1867.03013
23,1677.799973
24,1964.221972
25,1992.036829
26,1705.590654
27,2196.93931
28,2363.691753
29,1652.269046
30,1447.773539
31,5174.175266
32,4930.16049
33,4695.099703
34,4076.678011
35,3331.807492
36,3764.18937
37,3882.932535
38,3497.95867
39,3241.050815
40,3203.894325
41,3697.387706
42,1459.556325
43,1780.517186
44,1666.776398
45,1011.762852
46,1132.252526
47,1118.352536
48,719.037396
49,1087.221933
50,1159.382042
51,1100.838168
52,1636.235595
53,1939.649008
54,1437.266405
55,5598.39553
56,5825.376607
57,5688.925207
58,5055.277219
59,5151.601045
60,6630.217249
61,6829.488295
62,5761.115047
63,5203.019849
64,5527.105989
65,6792.92862
66,3671.880967
67,4684.705557
68,5769.580507
69,3676.744711
70,4552.70778
71,4976.354113
72,2717.157485
73,3480.412916
74,3747.06538
75,2840.667024
76,3565.154637
77,3336.197636
78,2303.69518
79,7736.562167
80,7686.65467
81,7444.608719
82,6294.830914
83,6682.08583
84,8504.851768
85,8604.806493
86,7275.08369
87,6246.895891
88,6422.281478
89,7583.348057
90,4146.266466
91,5887.862929
92,7606.046327
93,4749.442643
94,5370.93345
95,6078.807104
96,3375.658657
97,3690.650915
98,4548.718501
99,3498.014675
100,3963.247207
101,4275.229169
102,3174.205734
103,9282.401
104,9269.165058
105,9014.054998
106,7462.800715
107,8147.091725
108,10173.222569
109,10229.920329
110,8607.582405
111,7505.701712
112,8102.896934
113,9921.097214
114,5909.773474
115,8749.785401
116,12802.26998
117,7951.453839
118,8434.748384
119,10180.502604
120,5550.626065
121,5579.429645
122,7631.757796
123,5668.998444
124,5798.859966
125,7555.880017
126,5846.016213
127,14196.747436
128,13501.393808
129,12316.063222
130,9662.806525
131,10433.442607
132,12462.869634
133,11975.95826
134,9902.251287
135,8335.794763
136,8917.179859
137,10758.840472
138,6202.39614
139,8837.380054
140,11779.283324
141,6846.236293
142,8020.538324
143,9289.875064
144,4739.803043
145,5494.576136
146,6874.350922
147,4695.884261
148,5522.846151
149,6520.966025
150,4604.892484
151,7495.071345
152,10793.621992
153,6510.877119
154,6772.426262
155,6948.548819
156,5220.28179
157,6370.606333
158,7876.634783
159,4976.465882
160,5511.295109
161,7763.553104
162,6988.876153
163,8425.996755
164,10512.924674
165,6455.405326
166,6973.905363
167,8328.228561
168,4371.212433
169,4393.210592
170,5757.45388
171,4133.719099
172,4323.865292
173,5300.47661
174,3725.389697
175,5302.656017
176,8319.34427
177,5605.526135
178,5482.639822
179,5900.270821
180,4232.579436
181,5516.204329
182,6677.988642
183,4511.336287
184,5027.486662
185,6287.655803
186,5841.916273
187,7263.608884
188,8834.424372
189,5817.566771
190,6583.493728
191,7343.01756
192,4023.786191
193,4300.950555
194,5172.653593
195,4028.900354
196,4444.908043
197,4874.679738
198,3776.569247
199,9545.946814
200,9490.019214
201,9029.837398
202,7425.619544
203,8064.725416
204,9745.677961
205,9810.6858
206,8423.881122
207,7267.865749
208,7571.166456
209,9316.050114
210,5438.281869
211,7712.059033
212,10171.24339
213,6443.525877
214,6994.127092
215,7669.518112
216,4668.317898
217,5000.010327
218,5762.741098
219,4883.151429
220,5378.250292
221,5758.291673
222,4933.809921
223,11552.552834
224,10841.075672
225,10016.380071
226,7996.880565
227,8312.220264
228,9991.345929
229,10085.114208
230,8652.673898
231,7228.483264
232,7485.748644
233,8955.801193
234,4896.142309
235,6737.486686
236,8960.481024
237,5322.082831
238,6266.924303
239,7038.891289
240,3672.772716
241,4375.947087
242,5268.782395
243,3734.4518
244,4542.583747
245,5040.397148
246,3101.879665
247,9585.928892
248,9151.115485
249,8169.074331
250,6436.169292
251,6261.350213
252,7040.938736
253,7056.6007
254,6036.333694
255,5341.152419
256,5719.652772
257,6999.82813
258,3627.644529
