hours,kW
0,3505.330733
1,5568.748297
2,3993.09214
3,5014.883879
4,6014.115897
5,4234.938901
6,3520.933067
7,4315.41323
8,3738.162427
9,4358.508376
10,4650.408843
11,2176.491961
12,1655.810245
13,2016.385062
14,1802.587923
15,1965.004309
16,1660.05307
17,1444.904527
18,1685.447389
19,2073.676777
20,2050.770177
21,2554.22225
22,2547.013363
23,2288.864482
24,2679.603039
25,2717.548229
26,2326.776691
27,2999.367129
28,3228.864695
29,2258.428795
30,1975.061083
31,8085.086943
32,8239.299376
33,8001.196338
34,7281.913045
35,6527.502376
36,7191.039016
37,7313.775769
38,6762.67424
39,6487.237746
40,6564.727731
41,7208.510621
42,2282.233752
43,2577.144244
44,2367.80124
45,1413.260314
46,1578.123281
47,1525.663035
48,980.914998
49,1483.194485
50,1581.635725
51,1501.769831
52,2232.162116
53,2646.080459
54,1960.727189
55,8752.909745
56,9470.08002
57,9322.455
58,8517.998847
59,8829.372096
60,10806.734927
61,10981.833062
62,9532.942293
63,8805.093313
64,9292.037911
65,10969.065835
66,5120.924964
67,6390.902569
68,7870.895287
69,5015.836521
70,6212.43859
71,6788.771226
72,3706.762045
73,4747.999544
74,5111.768386
75,3875.254478
76,4863.604693
77,4554.023705
78,3148.586043
79,11441.301377
80,11679.519294
81,11417.504052
82,9970.699899
83,10692.649316
84,13127.012193
85,13173.770399
86,11384.103324
87,10042.79611
88,10355.210021
89,11916.730885
90,5740.542187
91,8044.436441
92,10376.21264
93,6481.321615
94,7327.058653
95,8292.744009
96,4605.093175
97,5034.807445
98,6205.388237
99,4772.011966
100,5406.684892
101,5832.292499
102,4330.269925
103,13491.615821
104,13624.821276
105,13341.531046
106,11324.869912
107,12492.681476
108,15232.209212
109,15223.610966
110,13024.94555
111,11543.605729
112,12368.709909
113,14802.148405
114,8062.147348
115,11936.508137
116,17464.931172
117,10847.419577
118,11506.732807
119,13888.300867
120,7572.196363
121,7611.490375
122,10411.288376
123,7733.680652
124,7910.838495
125,10307.775469
126,7975.169321
127,19855.890269
128,19159.179525
129,17666.205854
130,14153.026553
131,15327.125595
132,18113.155874
133,17446.641228
134,14628.114075
135,12529.913766
136,13335.122529
137,15834.587789
138,8461.34489
139,12056.005273
140,16069.366826
141,9339.675373
142,10941.665033
143,12673.301597
144,6466.066881
145,7495.732724
146,9378.029512
147,6406.152622
148,7534.298843
149,8895.93978
150,6282.021111
151,10224.819925
152,14724.721903
153,8882.176436
154,9238.983299
155,9479.250715
156,7121.538782
157,8690.818215
158,10745.350985
159,6788.923703
160,7518.540845
161,10591.084302
162,9534.265499
163,11494.793783
164,14341.792989
165,8806.501493
166,9513.84226
167,11361.417844
168,5963.233426
169,5993.243443
170,7854.352072
171,5639.243639
172,5898.642181
173,7230.941021
174,5082.979504
175,7233.914182
176,11349.297843
177,7647.091358
178,7479.449136
179,8049.183773
180,5774.109485
181,7525.238031
182,9110.150949
183,6154.391204
184,6858.526547
185,8577.656618
186,7969.57616
187,9909.057488
188,12051.973115
189,7936.358427
190,8981.240437
191,10017.387266
192,5489.272526
193,5867.381764
194,7056.564118
195,5496.249297
196,6063.769406
197,6650.066452
198,5152.999583
199,13674.20654
200,13821.060733
201,13294.621477
202,11210.21147
203,12287.909166
204,14591.268365
205,14617.392922
206,12740.005502
207,11203.332216
208,11669.317705
209,13999.832534
210,7418.935758
211,10520.83579
212,13875.669394
213,8790.29548
214,9541.42886
215,10462.801219
216,6368.54643
217,6821.043171
218,7861.564925
219,6661.623583
220,7337.040331
221,7855.494993
222,6730.732192
223,16354.535147
224,15632.985146
225,14627.710757
226,11994.40296
227,12615.057679
228,14932.976994
229,14990.936317
230,13049.369111
231,11189.986398
232,11604.267334
233,13580.164857
234,6715.335804
235,9191.318526
236,12223.940332
237,7260.416354
238,8549.374586
239,9602.496438
240,5010.417902
241,5969.692469
242,7187.703589
243,5094.560867
244,6197.01917
245,6876.139108
246,4232.482645
247,13862.102968
248,13461.158489
249,12261.506901
250,10107.927386
251,10143.819723
252,11263.044785
253,11224.544251
254,9863.34015
255,8967.786295
256,9507.572025
257,11181.75549
258,5048.298375
259,6744.067596
260,8748.410513
261,5668.756576
262,6232.299975
263,7406.088258
264,4287.640274
265,4423.032341
266,5739.945426
267,4333.671347
268,4562.838028
269,4979.579621
270,3258.747681
271,11205.699329
272,11561.121123
273,11379.368992
274,10005.971343
275,10594.552711
276,13087.559222
277,13206.785363
278,11225.941854
279,9814.190458
280,10444.954302
281,12358.479212
282,5933.425174
283,8044.277612
284,10565.314443
285,6717.995117
286,8022.06668
287,8745.555901
288,4628.601898
289,5339.778759
290,6077.205293
291,4647.555936
292,5755.299085
293,5785.676886
294,4270.95597
295,13848.76254
296,12943.510863
297,11735.007484
298,9908.499113
299,10398.965179
300,12656.369395
301,12748.949205
302,11105.34828
303,9925.017215
304,10344.011058
305,12179.786695
306,5927.826708
307,7952.846264
308,10595.608206
309,6534.457741
310,7427.083572
311,8594.467094
312,4867.186481
313,5493.391816
314,6941.890495
315,5099.255243
316,5612.843817
317,5899.010356
318,4215.616694
319,6802.42366
320,9908.55818
321,6688.173078
322,6084.542233
323,4859.315735
324,3553.48613
325,5046.263779
326,6352.125906
327,4666.963076
328,5063.96483
329,6987.428258
330,6630.563885
331,9576.35131
332,11766.171214
333,7784.854757
334,10141.025613
335,11353.382968
336,5893.070691
337,7317.631486
338,8066.343123
339,5864.203172
340,7417.396904
341,7816.952004
342,5669.441314
343,9379.407506
344,12800.396152
345,8086.344987
346,8902.946365
347,8410.406753
348,6609.95549
349,8656.249889
350,10042.498442
351,6523.77001
352,7413.882006
353,9074.2707
354,8024.568376
355,10535.28879
356,12533.722021
357,8306.778055
358,9855.22764
359,10820.300968
360,5680.210136
361,6312.370891
362,7451.928793
363,5563.93908
364,6099.593636
365,6875.267448
366,4194.716257
367,4835.391079
368,6467.088049
369,4875.737042
370,5116.397642
371,3818.199148
372,2525.476761
373,3772.295978
374,4845.530961
375,3781.511282
376,3896.82028
377,4928.389398
378,4366.722468
379,5071.997359
380,5742.952286
381,4425.145081
382,5114.025855
383,6136.991176
384,4608.304647
385,5208.368393
386,6033.732296
387,4724.355532
388,5355.060231
389,5645.423239
390,3562.507836
391,12167.787048
392,11962.249842
393,11645.666434
394,10241.372549
395,10725.808581
396,12488.044573
397,12405.67479
398,10862.020616
399,9649.49368
400,9996.529913
401,11599.380571
402,5327.584908
403,7230.008099
404,9447.453703
405,5963.60325
406,7003.940902
407,7725.660323
408,4486.894011
409,5517.157254
410,5998.454911
411,4501.784031
412,5552.502293
413,5695.158176
414,4234.063657
415,13953.082889
416,13982.951035
417,13686.328452
418,11780.850593
419,13094.954913
420,15745.153168
421,15894.229892
422,13574.252736
423,12117.210585
424,12938.237845
425,15425.334979
426,8323.908037
427,11771.921172
428,16666.481169
429,10070.764044
430,10659.945181
431,12761.055056
432,6997.168905
433,7176.308613
434,9546.808983
435,7053.93946
436,7343.817793
437,9260.586953
438,7119.261087
439,18521.639775
440,18111.952397
441,16827.275771
442,13695.354592
443,14920.663188
444,17466.639465
445,16794.10791
446,14104.995399
447,12115.980629
448,12915.12704
449,15567.929701
450,8555.005956
451,12396.519024
452,16845.430789
453,9924.146951
454,11480.278214
455,13072.200731
456,6603.433558
457,7626.758752
458,9532.990876
459,6299.684973
460,7253.312341
461,8417.964539
462,5999.830195
463,16443.420799
464,15833.978523
465,14834.47276
466,12400.124212
467,13613.389622
468,16334.619205
469,15602.570031
470,13073.060912
471,11540.882817
472,12043.896028
473,14286.268373
474,7494.296219
475,10485.057089
476,14036.269551
477,8753.817117
478,10168.017063
479,10925.077382
480,6062.730317
481,6985.981399
482,7724.296426
483,5847.844476
484,6806.990458
485,7148.767364
486,5054.291286
487,7930.339819
488,11709.782341
489,7736.130453
490,7873.153545
491,7521.43025
492,5089.19734
493,6933.844593
494,8093.078874
495,5332.890175
496,5683.205503
497,7343.083393
