hours,kW
0,3505.330733
1,5568.748297
2,3993.09214
3,5014.883879
4,6014.115897
5,4234.938901
6,3520.933067
7,4315.41323
8,3738.162427
9,4358.508376
10,4650.408843
11,2170.456149
12,1652.126341
13,2013.173964
14,1798.361203
15,1951.168847
16,1633.391984
17,1444.904527
18,1681.817924
19,2070.488847
20,2050.770177
21,2552.335813
22,2547.013363
23,2288.864482
24,2679.603039
25,2717.548229
26,2326.776691
27,2997.077386
28,3224.562037
29,2254.035043
30,1975.061083
31,7058.639993
32,6725.753617
33,6405.082324
34,5561.427855
35,4545.27116
36,5135.129034
37,5297.119149
38,4771.935564
39,4421.460374
40,4370.771274
41,5043.997815
42,1991.135229
43,2428.991901
44,2273.826056
45,1380.252768
46,1544.625481
47,1525.663035
48,980.914998
49,1483.194485
50,1581.635725
51,1501.769831
52,2232.162116
53,2646.080459
54,1960.727189
55,7637.363745
56,7947.012651
57,7760.864857
58,6896.438587
59,7027.84411
60,9044.980937
61,9316.827656
62,7859.346657
63,7097.989941
64,7540.110138
65,9266.952735
66,5009.201373
67,6390.902569
68,7870.895287
69,5015.836521
70,6210.830435
71,6788.771226
72,3706.762045
73,4747.999544
74,5111.768386
75,3875.254478
76,4863.604693
77,4551.26022
78,3142.714365
79,10554.263108
80,10486.17901
81,10155.978516
82,8587.444947
83,9115.740356
84,11602.368251
85,11738.727068
86,9924.711486
87,8522.05171
88,8761.313748
89,10345.247528
90,5656.360829
91,8032.256854
92,10376.21264
93,6479.217279
94,7327.058653
95,8292.744009
96,4605.093175
97,5034.807445
98,6205.388237
99,4772.011966
100,5406.684892
101,5832.292499
102,4330.269925
103,12663.105435
104,12645.048886
105,12297.026259
106,10180.796143
107,11114.309919
108,13878.369402
109,13955.716815
110,11742.513983
111,10239.321933
112,11054.019128
113,13534.418526
114,8062.147348
115,11936.508137
116,17464.931172
117,10847.419577
118,11506.732807
119,13888.300867
120,7572.196363
121,7611.490375
122,10411.288376
123,7733.680652
124,7910.838495
125,10307.775469
126,7975.169321
127,19367.285429
128,18418.679965
129,16801.645084
130,13182.056865
131,14233.363092
132,17001.919245
133,16337.671917
134,13508.708803
135,11371.739702
136,12164.86863
137,14677.272752
138,8461.34489
139,12056.005273
140,16069.366826
141,9339.675373
142,10941.665033
143,12673.301597
144,6466.066881
145,7495.732724
146,9378.029512
147,6406.152622
148,7534.298843
149,8895.93978
150,6282.021111
151,10224.819925
152,14724.721903
153,8882.176436
154,9238.983299
155,9479.250715
156,7121.538782
157,8690.818215
158,10745.350985
159,6788.923703
160,7518.540845
161,10591.084302
162,9534.265499
163,11494.793783
164,14341.792989
165,8806.501493
166,9513.84226
167,11361.417844
168,5963.233426
169,5993.243443
170,7854.352072
171,5639.243639
172,5898.642181
173,7230.941021
174,5082.198293
175,7233.914182
176,11349.297843
177,7647.091358
178,7479.449136
179,8049.183773
180,5774.109485
181,7525.238031
182,9110.150949
183,6154.391204
184,6858.526547
185,8577.656618
186,7969.57616
187,9909.057488
188,12051.973115
189,7936.358427
190,8981.240437
191,10017.387266
192,5489.272526
193,5867.381764
194,7056.564118
195,5496.249297
196,6063.769406
197,6650.066452
198,5152.017733
199,13022.636169
200,12946.339411
201,12318.556701
202,10130.073373
203,11001.945322
204,13295.110561
205,13383.794633
206,11491.907624
207,9914.864728
208,10328.629317
209,12709.009753
210,7418.935758
211,10520.83579
212,13875.669394
213,8790.29548
214,9541.42886
215,10462.801219
216,6368.54643
217,6821.043171
218,7861.564925
219,6661.623583
220,7337.040331
221,7855.494993
222,6730.732192
223,15760.059773
224,14789.45849
225,13664.403954
226,10909.390982
227,11339.579233
228,13630.252232
229,13758.171463
230,11804.02806
231,9861.138913
232,10212.101841
233,12217.556079
234,6679.345817
235,9191.318526
236,12223.940332
237,7260.416354
238,8549.374586
239,9602.496438
240,5010.417902
241,5969.692469
242,7187.703589
243,5094.560867
244,6197.01917
245,6876.139108
246,4231.602281
247,13077.179951
248,12484.004973
249,11144.298719
250,8780.259585
251,8541.77038
252,9605.289578
253,9626.65572
254,8234.801536
255,7286.431197
256,7802.78358
257,9549.20625
258,4948.853767
259,6744.067596
260,8748.410513
261,5666.116467
262,6232.299975
263,7406.088258
264,4287.640274
265,4423.032341
266,5739.945426
267,4333.671347
268,4562.838028
269,4977.110594
270,3253.082543
271,10217.372033
272,10379.069018
273,10107.838054
274,8619.105227
275,8996.142782
276,11546.403498
277,11760.451841
278,9734.849428
279,8237.022581
280,8841.896135
281,10822.0857
282,5859.47906
283,8044.277612
284,10565.314443
285,6717.995117
286,8022.06668
287,8745.555901
288,4628.601898
289,5339.778759
290,6077.205293
291,4647.555936
292,5755.299085
293,5785.676886
294,4269.920631
295,13074.159689
296,11916.33238
297,10549.043756
298,8540.019958
299,8779.107501
300,11053.86341
301,11242.109183
302,9590.558454
303,8369.456574
304,8730.051401
305,10622.498017
306,5850.516614
307,7952.846264
308,10595.608206
309,6534.457741
310,7427.083572
311,8594.467094
312,4867.186481
313,5493.391816
314,6941.890495
315,5099.255243
316,5612.843817
317,5899.010356
318,4214.497375
319,6802.42366
320,9908.55818
321,6688.173078
322,6084.542233
323,4856.58615
324,3551.763875
325,5043.396056
326,6348.96649
327,4661.465133
328,5059.104003
329,6987.428258
330,6630.563885
331,9576.35131
332,11766.171214
333,7784.854757
334,10141.025613
335,11353.382968
336,5893.070691
337,7317.631486
338,8066.343123
339,5864.203172
340,7417.396904
341,7816.952004
342,5669.100371
343,9379.407506
344,12800.396152
345,8086.344987
346,8902.946365
347,8410.056769
348,6609.95549
349,8656.249889
350,10042.498442
351,6523.77001
352,7413.882006
353,9074.2707
354,8024.568376
355,10535.28879
356,12533.722021
357,8306.778055
358,9855.22764
359,10820.300968
360,5680.210136
361,6312.370891
362,7451.928793
363,5563.93908
364,6099.593636
365,6875.267448
366,4193.936074
367,4835.391079
368,6467.088049
369,4875.737042
370,5116.397642
371,3757.7117
372,2525.074165
373,3772.295978
374,4845.530961
375,3781.511282
376,3896.82028
377,4928.389398
378,4366.722468
379,5071.997359
380,5742.952286
381,4425.145081
382,5114.025855
383,6136.991176
384,4608.304647
385,5208.368393
386,6033.732296
387,4724.355532
388,5355.060231
389,5645.423239
390,3562.507836
391,11412.795201
392,10985.47402
393,10549.213779
394,9016.852538
395,9260.996256
396,11010.298538
397,10979.544047
398,9407.414106
399,8128.961741
400,8412.453444
401,10052.810192
402,5253.009197
403,7230.008099
404,9447.453703
405,5961.992022
406,7003.940902
407,7725.660323
408,4486.894011
409,5517.157254
410,5998.454911
411,4501.784031
412,5552.502293
413,5695.158176
414,4234.063657
415,13200.026843
416,13021.182791
417,12664.411896
418,10691.514309
419,11817.448047
420,14473.763065
421,14716.336737
422,12391.667359
423,10918.907382
424,11702.721237
425,14248.739555
426,8323.908037
427,11771.921172
428,16666.481169
429,10070.764044
430,10659.945181
431,12761.055056
432,6997.168905
433,7176.308613
434,9546.808983
435,7053.93946
436,7343.817793
437,9260.586953
438,7119.261087
439,17978.151999
440,17336.727969
441,15941.189165
442,12708.703192
443,13802.992789
444,16327.979525
445,15665.380759
446,12960.444726
447,10929.982671
448,11685.509871
449,14403.82334
450,8555.005956
451,12396.519024
452,16845.430789
453,9924.146951
454,11480.278214
455,13072.200731
456,6603.433558
457,7626.758752
458,9532.990876
459,6299.684973
460,7253.312341
461,8417.964539
462,5999.830195
463,15820.152715
464,14985.27041
465,13872.712374
466,11327.684815
467,12388.098518
468,15107.62647
469,14387.993629
470,11799.700036
471,10237.393166
472,10698.804021
473,12980.615142
474,7483.417742
475,10485.057089
476,14036.269551
477,8753.817117
478,10168.017063
479,10925.077382
480,6062.730317
481,6985.981399
482,7724.296426
483,5847.844476
484,6806.990458
485,7148.767364
486,5053.75926
487,7930.339819
488,11709.782341
489,7736.130453
490,7873.153545
491,7521.43025
492,5089.19734
493,6933.844593
494,8093.078874
495,5332.890175
496,5683.205503
497,7343.083393
