hours,kW
0,802.222511
1,844.687726
2,845.031594
3,856.173826
4,878.073674
5,904.718996
6,1072.809913
7,2942.021583
8,3410.856731
9,1232.253111
10,1185.774751
11,945.229627
12,882.056384
13,831.860792
14,790.972191
15,776.738098
16,774.903415
17,770.603878
18,2961.839491
19,942.185327
20,1081.995998
21,3071.612039
22,1246.748526
23,1126.40921
24,645.970479
25,656.439961
26,671.714452
27,690.476688
28,723.254934
29,2727.054358
30,788.754109
31,4316.138135
32,2756.944495
33,1089.033581
34,755.260059
35,555.960097
36,568.453903
37,574.98139
38,569.934918
39,573.343571
40,555.696995
41,1109.348442
42,1006.974279
43,3213.210804
44,1496.502506
45,2117.025222
46,3017.587837
47,1255.730912
48,671.380342
49,615.702703
50,647.522093
51,716.030566
52,793.131786
53,836.078529
54,2947.820136
55,5001.924144
56,1378.444387
57,2977.184739
58,991.505439
59,816.183551
60,798.533458
61,792.554493
62,788.481988
63,808.564916
64,840.343874
65,2835.084254
66,1420.552788
67,1598.563444
68,3856.025857
69,1951.623257
70,1745.928168
71,3479.170916
72,1029.668345
73,1004.510755
74,986.069419
75,978.481482
76,973.650284
77,993.755966
78,3215.483683
79,3979.153954
80,3675.235385
81,1286.022596
82,1233.834579
83,1085.2375
84,1110.987037
85,1130.014954
86,1132.587852
87,1162.830266
88,1190.274341
89,3464.042553
90,3549.441495
91,1781.092539
92,4032.189381
93,2073.94187
94,1743.271114
95,1480.093331
96,1101.56895
97,1075.186596
98,1088.415637
99,1097.714174
100,1118.427369
101,3144.027192
102,1467.694549
103,6943.977661
104,3983.640473
105,1703.95457
106,1679.57397
107,1546.878507
108,1552.663733
109,1587.54731
110,1568.637287
111,1636.396252
112,1755.466182
113,5194.934216
114,2085.353868
115,4294.515973
116,2739.030803
117,4921.122578
118,2274.948442
119,2006.399242
120,1771.898162
121,1826.631672
122,1898.921729
123,1956.410238
124,1988.303031
125,2000.031755
126,4517.116726
127,9459.352571
128,2757.905124
129,4595.695078
130,2558.864013
131,2331.596585
132,2227.42251
133,2149.254434
134,2115.428524
135,2118.982735
136,2181.773697
137,5896.224482
138,2358.456052
139,2561.738132
140,4553.781389
141,2684.870999
142,4226.875439
143,1997.650857
144,1721.882127
145,1747.806755
146,1776.679693
147,1800.675683
148,1818.824233
149,1797.429514
150,4194.913997
151,6285.548251
152,4395.38496
153,2249.701037
154,4098.102959
155,1913.572346
156,1820.662511
157,1747.224339
158,1696.782496
159,1663.134652
160,1715.735494
161,4978.155887
162,2093.420538
163,2098.326424
164,4170.228121
165,2133.425075
166,1904.430899
167,1810.155589
168,1367.879396
169,1338.442041
170,1331.718843
171,1327.618676
172,1325.879557
173,3308.293565
174,1539.288567
175,6402.27046
176,3833.08742
177,1804.542041
178,1786.235935
179,1642.267701
180,1594.405144
181,1534.920177
182,1516.717758
183,1504.574771
184,1522.874397
185,4105.064073
186,1743.634164
187,3629.513136
188,1753.410027
189,3747.491616
190,1622.915525
191,1484.877752
192,1178.095402
193,1186.188977
194,1196.765463
195,1218.648205
196,1237.714119
197,3234.153251
198,1542.619913
199,6991.896151
200,1962.641175
201,3789.262326
202,1759.16622
203,1588.040517
204,1572.813123
205,1583.784983
206,1570.538537
207,1594.500214
208,1614.899053
209,4729.341584
210,2046.350953
211,4093.385732
212,2280.428585
213,2336.247964
214,3953.349205
215,1807.253261
216,1480.637864
217,1482.265219
218,1509.420913
219,1542.187337
220,1559.565352
221,1597.257238
222,4031.810853
223,8193.86644
224,2316.350998
225,4046.767858
226,2021.373541
227,1817.768398
228,1742.918749
229,1734.627021
230,1742.059569
231,1712.56259
232,1728.179477
233,4592.89368
234,1902.91201
235,1927.398518
236,4105.378718
237,2153.144633
238,1810.18424
239,3533.428125
240,1256.168663
241,1247.197029
242,1264.694154
243,1278.959781
244,1293.243718
245,1291.734127
246,2002.116995
247,6424.106349
248,3901.180759
249,1651.811736
250,1592.343126
251,1346.153544
252,1205.18182
253,1143.89885
254,1098.990126
255,1086.0331
256,1143.693978
257,3172.807455
258,3387.812555
259,1478.412707
260,1837.680708
261,3871.227991
262,1699.123008
263,1478.295803
264,964.77763
265,962.262287
266,972.366123
267,980.467782
268,974.826494
269,2954.102197
270,1150.389041
271,5738.648104
272,3622.862913
273,1363.952188
274,1379.775365
275,1230.024147
276,1250.819374
277,1257.683063
278,1212.360887
279,1196.050722
280,1269.856968
281,3748.24319
282,1606.807766
283,3737.302438
284,2021.85188
285,3137.918835
286,2731.524321
287,1504.724517
288,1112.301903
289,1094.148736
290,1097.427708
291,1114.594597
292,1132.348633
293,1161.508055
294,3467.983597
295,6962.816189
296,1913.454712
297,3569.087172
298,1517.513594
299,1300.335753
300,1250.431724
301,1220.433915
302,1204.426526
303,1227.130096
304,1249.605708
305,3660.104469
306,1655.17572
307,1775.366662
308,4019.250862
309,2070.967243
310,1743.111896
311,3495.183656
312,1190.437153
313,1194.09395
314,1218.381006
315,1221.275779
316,1230.664186
317,1240.403537
318,3459.457722
319,4383.0514
320,3792.272475
321,1641.151091
322,1467.099019
323,1146.462065
324,1058.785172
325,1027.695129
326,1029.453936
327,1053.585001
328,1112.713211
329,3383.876812
330,3529.141755
331,1650.724292
332,3866.112043
333,1968.570828
334,1809.76016
335,1814.496821
336,1350.069218
337,1334.364928
338,1359.508274
339,1396.487217
340,1429.372404
341,3450.208441
342,1787.222301
343,7372.558273
344,4209.778272
345,2101.520442
346,2067.075617
347,1859.712319
348,1761.397867
349,1700.970066
350,1648.218901
351,1652.832936
352,1650.970535
353,4348.620733
354,1816.942791
355,3741.504161
356,1885.244797
357,3919.014986
358,1766.104392
359,1610.087862
360,1300.650678
361,1290.846828
362,1306.489571
363,1301.877816
364,1298.402849
365,1298.423649
366,3330.295762
367,3467.277214
368,1698.176088
369,3587.628939
370,1575.297242
371,1372.837457
372,1326.032163
373,1297.842791
374,1270.088541
375,1245.822709
376,1248.669185
377,1257.180546
378,1472.960505
379,1860.169375
380,3217.978463
381,1641.492095
382,3597.141704
383,1490.815113
384,1164.627132
385,1147.119328
386,1142.627244
387,1141.175407
388,1139.901895
389,1142.644217
390,3310.557269
391,4116.060896
392,3743.496287
393,1456.21772
394,3387.470308
395,1247.465243
396,1196.551696
397,1176.209958
398,1168.276972
399,1163.643561
400,1185.71675
401,3353.652698
402,1541.8498
403,1671.522602
404,3952.351125
405,2027.6963
406,1813.32122
407,1561.342855
408,1080.446864
409,1070.727403
410,1077.608795
411,1085.088707
412,1109.892385
413,3134.493123
414,1461.786446
415,7036.409793
416,4051.449797
417,1748.84546
418,1767.015181
419,1674.199085
420,1669.531582
421,1678.215067
422,1696.433598
423,1788.555589
424,1874.380978
425,5507.265279
426,2191.528284
427,4361.432886
428,2726.803355
429,4803.915688
430,2273.052198
431,1977.162294
432,1656.10597
433,1673.966112
434,1705.873446
435,1756.980164
436,1779.896604
437,3772.267037
438,2237.734197
439,8948.482072
440,2624.688209
441,4421.083893
442,2404.392262
443,2198.176358
444,2118.639806
445,2060.993215
446,2018.302232
447,1984.346253
448,2013.90471
449,5680.726248
450,2388.441011
451,4515.065962
452,2742.086928
453,2771.097724
454,4344.915058
455,2106.021792
456,1756.954052
457,1761.59167
458,1771.467859
459,1748.015026
460,1731.142283
461,1714.905807
462,4071.182787
463,8100.463618
464,2424.4494
465,4136.702581
466,2132.820421
467,1949.977725
