hours,kW
0,475.958375
1,475.105328
2,475.166769
3,475.235881
4,475.15572
5,475.524405
6,501.893964
7,591.336197
8,858.111656
9,723.441155
10,720.082608
11,600.051542
12,600.152606
13,600.850433
14,600.770028
15,600.519741
16,603.375402
17,603.317893
18,824.362267
19,764.658172
20,879.183631
21,879.305722
22,907.259096
23,791.436138
24,478.110644
25,477.819839
26,477.705381
27,477.605198
28,478.656667
29,479.401326
30,548.883482
31,828.510412
32,864.575307
33,584.12238
34,581.115266
35,461.753091
36,461.154842
37,462.726351
38,462.568062
39,463.021351
40,465.004387
41,461.780429
42,829.212681
43,916.109304
44,1103.019501
45,1104.321173
46,985.725947
47,795.39871
48,484.07365
49,482.557797
50,481.700492
51,480.911328
52,481.150992
53,481.405012
54,550.921006
55,832.319796
56,867.012544
57,585.559322
58,581.977672
59,461.382054
60,459.024836
61,459.691186
62,459.467308
63,459.259212
64,461.884855
65,460.978021
66,824.952104
67,909.960979
68,1096.741195
69,1097.1036
70,978.054638
71,787.906812
72,477.69189
73,477.068661
74,476.797118
75,476.606843
76,477.684046
77,478.39844
78,548.482336
79,830.344785
80,864.265724
81,582.361492
82,579.591566
83,459.431416
84,457.249521
85,458.061731
86,458.07491
87,458.086601
88,461.145396
89,461.03423
90,821.611002
91,909.02929
92,1095.664031
93,1095.830487
94,975.671167
95,783.758059
96,475.125728
97,474.791572
98,474.523016
99,474.266804
100,475.337811
101,475.750877
102,545.778741
103,830.796705
104,861.747238
105,581.948232
106,579.986864
107,460.482903
108,458.361222
109,459.098935
110,459.067196
111,459.190706
112,462.420097
113,464.721019
114,820.629501
115,906.044101
116,1093.369957
117,1094.555215
118,971.895741
119,781.770236
120,474.614812
121,474.705927
122,474.864273
123,474.987862
124,476.274195
125,476.2721
126,546.148692
127,832.807976
128,859.884059
129,583.678605
130,581.609722
131,461.864124
132,459.56474
133,460.19407
134,460.1106
135,460.104825
136,463.256591
137,466.402216
138,820.940012
139,906.217498
140,1092.752163
141,1093.021617
142,972.204668
143,781.93182
144,475.720094
145,475.752026
146,475.812276
147,475.857529
148,475.893364
149,475.844786
150,502.145256
151,634.126037
152,782.574715
153,650.153993
154,575.984148
155,456.387575
156,456.611696
157,456.750755
158,456.542067
159,456.026371
160,458.793594
161,463.947788
162,821.808148
163,834.561035
164,948.3015
165,948.35838
166,975.139381
167,931.788001
168,476.126678
169,475.893453
170,475.787998
171,475.694127
172,475.615629
173,476.022421
174,502.377758
175,595.641549
176,856.187481
177,723.143528
178,720.655586
179,601.958302
180,602.73357
181,602.743424
182,601.980466
183,601.712419
184,604.100403
185,607.499766
186,822.895351
187,762.223536
188,875.933617
189,876.0798
190,903.252066
191,787.197404
192,475.653465
193,475.297248
194,475.160095
195,475.01164
196,476.228603
197,476.689315
198,546.461843
199,829.198155
200,861.338005
201,584.051115
202,581.121856
203,460.847254
204,459.877622
205,460.454689
206,459.679611
207,459.692788
208,462.275427
209,463.799972
210,822.46472
211,906.79224
212,1092.854337
213,1094.18781
214,973.457491
215,783.40111
216,475.234586
217,474.908747
218,474.688217
219,474.504406
220,475.762284
221,476.167164
222,546.079118
223,830.989685
224,860.491573
225,582.538827
226,580.617278
227,460.789108
228,458.57374
229,459.359271
230,459.366172
231,459.309467
232,462.373356
233,463.42581
234,820.242155
235,905.606355
236,1092.303702
237,1093.828927
238,972.12436
239,781.640428
240,473.791043
241,473.654965
242,473.618318
243,473.600936
244,474.919199
245,475.19922
246,544.953005
247,828.039256
248,859.589821
249,582.157073
250,580.195676
251,459.99937
252,457.652027
253,458.345411
254,458.264481
255,458.235446
256,461.353436
257,460.702358
258,819.677361
259,906.481461
260,1094.444336
261,1095.792834
262,974.78991
263,783.555926
264,473.955135
265,473.742257
266,473.585242
267,473.527969
268,474.800431
269,475.448921
270,545.610614
271,828.927612
272,862.263685
273,581.613872
274,579.702756
275,459.724195
276,457.557934
277,458.371493
278,458.37161
279,458.328455
280,461.392971
281,461.543849
282,820.537024
283,907.822717
284,1095.065368
285,1095.854944
286,974.64166
287,782.83019
288,474.618851
289,474.391231
290,474.20465
291,474.088927
292,475.35377
293,475.862085
294,545.749649
295,830.75492
296,862.902524
297,583.627524
298,581.518077
299,461.491246
300,458.35162
301,458.82954
302,458.96168
303,459.142563
304,461.771376
305,461.609102
306,822.338653
307,908.334547
308,1095.314114
309,1095.845584
310,975.247286
311,784.32382
312,476.621372
313,476.137278
314,475.993454
315,475.982481
316,476.03416
317,476.508797
318,502.467716
319,633.171703
320,785.340958
321,652.201472
322,577.77854
323,457.895828
324,457.431623
325,456.973879
326,456.022879
327,455.750426
328,458.629241
329,461.267126
330,823.040167
331,835.964695
332,950.034172
333,950.171993
334,976.653705
335,933.292928
336,476.266698
337,475.946069
338,475.856446
339,475.720414
340,475.665553
341,476.110419
342,502.502136
343,597.698982
344,858.901233
345,725.006417
346,722.623699
347,603.139096
348,603.031744
349,602.949525
350,602.876808
351,602.564585
352,605.01905
353,608.617718
354,823.341897
355,763.374969
356,877.267168
357,877.392706
358,904.033833
359,788.122138
360,477.403889
361,476.993863
362,476.770734
363,476.648329
364,476.611137
365,477.017075
366,503.407995
367,593.002923
368,859.444076
369,724.843593
370,721.722928
371,602.948469
372,603.278831
373,603.172299
374,602.860819
375,602.466824
376,604.829847
377,604.337862
378,824.124481
379,764.312463
380,878.816292
381,878.857287
382,905.132544
383,788.925177
384,476.932648
385,476.565914
386,476.415867
387,476.287712
388,477.444426
389,478.168202
390,548.086034
391,830.625333
392,863.94482
393,582.732468
394,579.98777
395,459.87504
396,457.765799
397,458.518362
398,458.458809
399,458.372766
400,461.391143
401,460.994283
402,821.959132
403,908.979923
404,1096.16975
405,1096.777849
406,976.959995
407,785.036688
408,475.172039
409,474.88823
410,474.738128
411,474.576989
412,475.678622
413,476.065424
414,546.005875
415,831.014631
416,862.331274
417,581.992408
418,580.322204
419,461.219143
420,459.087229
421,459.265458
422,459.431068
423,459.465923
424,462.650761
425,465.39442
426,821.165752
427,906.742836
428,1093.964242
429,1094.922066
430,972.948754
431,782.356462
432,474.447274
433,474.392276
434,474.422618
435,474.52458
436,475.86372
437,475.933694
438,545.665912
439,831.828239
440,860.158176
441,583.254443
442,581.302431
443,461.770997
444,459.779797
445,460.688366
446,460.508474
447,460.061154
448,462.924168
449,465.908756
450,822.013257
451,907.137501
452,1093.098457
453,1093.168815
454,973.241591
455,782.858713
456,474.906833
457,474.730257
458,474.714171
459,474.705575
460,475.936195
461,476.17033
462,546.094334
463,830.576603
464,861.05281
465,583.026692
466,581.050098
467,461.231984
468,459.394996
469,460.334243
470,460.143531
471,459.46494
472,462.509561
473,464.243226
474,822.172069
475,906.901311
476,1092.612518
477,1092.744729
478,973.426621
479,783.158823
480,476.327374
481,476.097343
482,475.982307
483,475.93968
484,475.875591
485,476.258333
486,502.386119
487,632.492983
488,783.096291
489,649.607069
490,575.326721
491,456.541306
492,457.347597
493,457.507037
494,457.236568
495,456.625149
496,458.931665
497,461.530626
498,822.701718
499,834.238024
500,948.145682
501,948.592169
502,976.814726
503,933.827642
504,476.899894
505,476.429076
506,476.033367
507,475.579947
508,475.2715
509,475.401947
510,501.900705
511,598.869981
512,857.070352
513,724.488967
514,721.931345
515,602.707347
516,603.197896
517,603.37472
518,603.126369
519,602.514943
520,604.666196
521,611.502982
522,822.956573
523,762.570733
524,876.378306
525,876.226108
526,902.67287
527,786.567433
528,475.056968
529,474.988475
530,474.945105
531,474.876436
532,476.07175
533,476.215035
534,546.168752
535,830.378873
536,860.469895
537,582.740591
538,580.676542
539,460.901479
540,458.629878
541,459.250037
542,459.142707
543,459.047703
544,462.040747
545,461.798865
546,820.698424
547,905.842137
548,1092.350558
549,1093.652201
550,973.75477
551,782.483573
552,474.411312
553,474.117521
554,473.798959
555,473.655003
556,474.827465
557,474.953751
558,544.874127
559,828.891149
560,859.800867
561,582.444844
562,580.606638
563,460.806197
564,458.605021
565,459.295972
566,459.239651
567,459.215302
568,462.322791
569,463.991204
570,820.468388
571,905.890397
572,1092.427342
573,1093.390554
574,972.350199
575,781.960089
576,474.140127
577,474.041897
578,474.028326
579,474.029855
580,475.311002
581,475.549264
582,545.329454
583,829.119005
584,859.566405
585,582.650505
586,580.847246
587,461.23402
588,459.113515
589,459.949748
590,459.987471
591,459.997835
592,463.034952
593,465.398719
594,820.084131
595,903.718737
596,1090.413995
597,1091.365825
598,970.585263
599,781.39736
600,474.138005
601,474.117062
602,474.104667
603,474.091581
604,475.367257
605,475.379009
606,544.907893
607,826.815122
608,858.472539
609,582.526727
610,580.71244
611,460.955089
612,458.831387
613,459.643086
614,459.533999
615,459.513051
616,462.539477
617,463.938846
618,819.972599
619,904.771346
620,1091.649341
621,1092.436347
622,971.604258
623,781.350404
624,473.792161
625,473.736281
626,473.760499
627,473.788466
628,475.099696
629,475.226911
630,545.004502
631,828.022564
632,859.367978
633,582.349309
634,580.477914
635,460.934461
636,458.83296
637,459.687971
638,459.87796
639,459.982536
640,463.207272
641,467.438666
642,820.777501
643,905.453704
644,1092.047214
645,1092.665584
646,971.558811
647,782.011362
648,476.171042
649,476.300256
650,476.443022
651,476.595333
652,476.726448
653,476.752135
654,503.22627
655,638.387867
656,782.918068
657,651.33518
658,577.141841
659,457.408541
660,457.191722
661,457.023263
662,456.9502
663,456.92238
664,459.997806
665,466.195099
666,820.589173
667,832.479846
668,946.422024
669,946.458045
670,973.51972
671,930.111332
672,476.161337
673,476.238402
674,476.321674
675,476.38337
676,476.4848
677,476.374773
678,502.598439
679,599.603982
680,855.145667
681,722.74468
682,721.005192
683,601.409011
684,601.41357
685,601.459397
686,601.337674
687,601.25821
688,604.327798
689,612.759725
690,821.249218
691,760.686838
692,874.74299
693,874.737355
694,902.181341
695,786.813988
696,475.969383
697,476.387614
698,476.620516
699,476.695074
700,478.008565
701,477.909286
702,548.06893
703,837.939281
704,860.853512
705,586.071159
706,584.275751
707,464.93744
708,462.78412
709,463.291777
710,463.027758
711,462.954579
712,466.246363
713,476.687697
714,823.260683
715,906.252008
716,1092.16241
717,1092.040429
718,973.131848
719,785.152829
720,478.270359
721,478.485253
722,478.33122
723,478.454301
724,479.782447
725,479.655425
726,549.759401
727,841.286041
728,862.043132
729,587.631902
730,585.73757
731,465.84702
732,463.135493
733,463.50898
734,463.134762
735,462.898907
736,465.830461
737,470.45044
738,822.01285
739,904.808767
740,1090.604152
741,1090.507009
742,971.481888
743,783.056568
744,476.048497
745,476.198195
746,476.117698
747,476.143321
748,477.472082
749,477.294747
750,547.124978
751,832.222693
752,859.996051
753,585.199497
754,583.536929
755,463.871387
756,461.339541
757,461.783206
758,461.622013
759,461.588917
760,464.800462
761,469.352941
762,821.449876
763,904.480275
764,1090.540832
765,1090.55927
766,971.585705
767,783.289809
768,476.407373
769,476.626232
770,476.584249
771,476.636629
772,478.071981
773,478.045858
774,548.169772
775,837.561146
776,861.240486
777,586.943079
778,585.42922
779,465.952068
780,463.502255
781,464.053855
782,463.827002
783,463.64593
784,466.910636
785,475.332483
786,823.22074
787,905.965889
788,1091.81284
789,1091.836837
790,972.953692
791,785.123157
792,478.337061
793,478.484369
794,478.495131
795,478.712308
796,480.216182
797,480.176836
798,550.429666
799,844.612081
800,862.661041
801,588.362321
802,586.395575
803,466.521854
804,463.865329
805,464.12103
806,463.74317
807,463.625935
808,466.786448
809,475.132308
810,823.115373
811,905.991934
812,1091.892448
813,1091.752644
814,972.935253
815,784.933944
816,479.535346
817,479.817109
818,479.798019
819,479.887609
820,480.086148
821,480.012265
822,506.896997
823,648.4044
824,785.78561
825,654.693841
826,580.973111
827,461.063786
828,460.501378
829,459.982305
830,459.623176
831,459.546237
832,462.722905
833,474.397772
834,822.962566
835,833.99169
836,947.857338
837,947.779484
838,975.187331
839,931.502269
840,477.942833
841,477.882321
842,477.746063
843,477.458703
844,477.202431
845,476.891978
846,503.008
847,598.790574
848,854.176153
849,722.680727
850,720.878864
851,601.080973
852,600.776537
853,600.508245
854,600.269093
855,600.069505
856,603.068253
857,608.924026
858,820.190906
859,759.513516
860,873.610304
861,873.796149
862,901.46131
863,785.985272
864,474.960201
865,474.998946
866,475.076155
867,475.134793
868,476.33919
869,476.149216
870,545.875212
871,828.821071
872,858.768758
873,583.019116
874,580.921814
875,460.965867
876,458.803779
877,459.379404
878,459.219975
879,459.144365
880,462.24904
881,462.50261
882,819.260731
883,902.584794
884,1089.463849
885,1090.687181
886,969.906014
887,780.651803
888,473.342128
889,473.548475
890,473.42018
891,473.334026
892,474.528721
893,474.432457
894,543.857855
895,824.658032
896,858.924935
897,581.713862
898,579.737048
899,459.719932
900,457.559823
901,458.30579
902,458.262718
903,458.252978
904,461.253359
905,460.434755
906,818.776974
907,904.185265
908,1091.640391
909,1092.911366
910,972.903374
911,782.808427
912,473.510247
913,473.425974
914,473.368998
915,473.347341
916,474.604577
917,474.940035
918,544.836234
919,826.577418
920,861.520041
921,581.33775
922,579.095717
923,459.155552
924,457.857818
925,458.340847
926,458.014117
927,457.755061
928,460.677539
929,459.705795
930,821.248475
931,907.689152
932,1095.581277
933,1096.346837
934,976.139609
935,784.913004
936,474.975959
937,474.702371
938,474.454611
939,474.273069
940,475.385548
941,475.788944
942,545.929513
943,829.926585
944,863.161274
945,583.068594
946,580.809057
947,460.192588
948,458.361488
949,459.968516
950,460.023579
951,459.583476
952,462.066955
953,460.3598
954,823.565149
955,909.327922
956,1096.266563
957,1096.808808
958,977.764086
959,787.264903
960,477.323924
961,477.114708
962,476.950712
963,476.813862
964,477.961112
965,478.674317
966,548.763448
967,829.36581
968,864.779252
969,584.98039
970,582.306879
971,463.458042
972,461.992866
973,462.215912
974,460.927507
975,460.42238
976,463.013546
977,460.793327
978,825.176051
979,910.035168
980,1096.689445
981,1096.903581
982,977.920303
983,788.180262
984,479.278605
985,478.946588
986,478.662729
987,478.408058
988,478.165358
989,478.757849
990,504.493335
991,633.783683
992,786.621086
993,650.89029
994,575.171627
995,454.885444
996,454.786231
997,454.68121
998,454.566176
999,454.568469
1000,457.685718
1001,461.223984
1002,822.247013
1003,836.44124
1004,950.702626
1005,950.840932
1006,976.722067
1007,933.773932
1008,476.354088
1009,475.982885
1010,475.794649
1011,475.62529
1012,475.520033
1013,476.161165
1014,502.598135
1015,596.625308
1016,859.777348
1017,723.442165
1018,719.269044
1019,599.446233
1020,599.45108
1021,599.500036
1022,599.424816
1023,599.361393
1024,602.356084
1025,606.754207
1026,821.172031
1027,761.922764
1028,876.087846
1029,876.089958
1030,901.950883
1031,785.661286
1032,473.888151
1033,473.700522
1034,473.639517
1035,473.612077
1036,474.94888
1037,475.337317
1038,545.235102
1039,830.396068
1040,861.355165
1041,581.956531
1042,580.012892
1043,460.22984
1044,458.160011
1045,458.793258
1046,458.659426
1047,458.574333
1048,461.580613
1049,461.06435
1050,820.039223
1051,907.798487
1052,1095.450607
1053,1096.246324
1054,975.619273
1055,784.131559
1056,474.202901
1057,473.992649
1058,473.796537
1059,473.588456
1060,474.690278
1061,475.248385
1062,545.580742
1063,830.000577
1064,862.826324
1065,581.983978
1066,579.836567
1067,459.84371
1068,457.590557
1069,458.34944
1070,458.344502
1071,458.332711
1072,461.368424
1073,461.404783
1074,820.502207
1075,908.239972
1076,1095.506655
1077,1095.78963
1078,975.098972
1079,783.059773
1080,474.500154
1081,474.10166
1082,473.853835
1083,473.68485
1084,474.915763
1085,475.342129
1086,545.250452
1087,831.073377
1088,861.914804
1089,581.953865
1090,580.064255
1091,460.368245
1092,458.273803
1093,459.081502
1094,459.06317
1095,459.050629
1096,462.130921
1097,462.84144
1098,819.682883
1099,906.72159
1100,1094.549949
1101,1095.858246
1102,973.372145
1103,781.617601
1104,473.584078
1105,473.507517
1106,473.601627
1107,473.712884
1108,475.158741
1109,475.356947
1110,545.087145
1111,830.349566
1112,860.469758
1113,582.478085
1114,580.510904
1115,460.82553
1116,458.691956
1117,459.453381
1118,459.185989
1119,459.208227
1120,462.327522
1121,463.664078
1122,821.39298
1123,906.896401
1124,1093.667303
1125,1094.643101
1126,973.069953
1127,782.355543
1128,474.51559
1129,474.358793
1130,474.297109
1131,474.237428
1132,475.493069
1133,475.912431
1134,545.75654
1135,829.41238
1136,860.461445
1137,582.055816
1138,580.08502
1139,460.390493
1140,458.235699
1141,458.966532
1142,458.947013
1143,458.931872
1144,462.062642
1145,462.942938
1146,819.929973
1147,905.40877
1148,1092.970183
1149,1094.396389
1150,971.600659
1151,781.32122
1152,475.402245
1153,475.427308
1154,475.512117
1155,475.594277
1156,475.669535
1157,475.770924
1158,502.05333
1159,633.016461
1160,782.050709
1161,649.605419
1162,575.625055
1163,455.870341
1164,455.686493
1165,455.563149
1166,455.518197
1167,455.497479
1168,458.496765
1169,462.070122
1170,819.576072
1171,832.130073
1172,946.4084
1173,946.805534
1174,973.41032
1175,930.388797
1176,475.531234
1177,474.774087
1178,474.540766
1179,474.527546
1180,474.52705
1181,474.715162
1182,501.037941
1183,594.698114
1184,859.010896
1185,724.632478
1186,721.588764
1187,601.896634
1188,602.034618
1189,602.135133
1190,602.268464
1191,602.243066
1192,604.698081
1193,606.131327
1194,824.277764
1195,764.214969
1196,878.414888
1197,878.60275
1198,906.337106
1199,790.709366
1200,478.187345
1201,477.997803
1202,477.82315
1203,477.642478
1204,477.46684
1205,478.068825
1206,504.623966
1207,594.290109
1208,860.603104
1209,726.549412
1210,722.073151
1211,602.61138
1212,602.996969
1213,603.350058
1214,603.718894
1215,604.064321
1216,606.64194
1217,605.992561
1218,825.691426
1219,765.290192
1220,879.600336
1221,879.63333
1222,907.370334
1223,791.623514
1224,478.13427
1225,477.921164
1226,477.719834
1227,477.555836
1228,478.672808
1229,479.350036
1230,549.178166
1231,830.535114
1232,864.679177
1233,582.914701
1234,580.078703
1235,459.903196
1236,457.70427
1237,458.419853
1238,458.317563
1239,458.207276
1240,461.127397
1241,460.503494
1242,823.780431
1243,909.628673
1244,1096.165067
1245,1096.457889
1246,977.604651
1247,787.018569
1248,476.988105
1249,476.73919
1250,476.556919
1251,476.417708
1252,477.574125
1253,478.257787
1254,548.37988
1255,829.827495
1256,864.393082
1257,582.675543
1258,579.727455
1259,459.549034
1260,457.37454
1261,458.175973
1262,458.171991
1263,458.087986
1264,460.91882
1265,459.361482
1266,824.442919
1267,909.685967
1268,1096.417636
1269,1096.830527
1270,977.98002
1271,787.713656
1272,477.896157
1273,477.788117
1274,477.710915
1275,477.702629
1276,478.971738
1277,479.787903
1278,549.94117
1279,828.48396
1280,864.642729
1281,584.877557
1282,582.241497
1283,464.159968
1284,463.277822
1285,464.183816
1286,463.481644
1287,460.836437
1288,462.445185
1289,460.53703
1290,825.625172
1291,910.000213
1292,1097.012555
1293,1098.20181
1294,978.401245
1295,788.565783
1296,478.518916
1297,478.051376
1298,477.653702
1299,477.358557
1300,478.177699
1301,478.622101
1302,548.809902
1303,830.649828
1304,864.988431
1305,585.939491
1306,583.531574
1307,463.940201
1308,462.458304
1309,463.982396
1310,463.937051
1311,463.402062
1312,465.570364
1313,462.573665
1314,826.306984
1315,911.306952
1316,1098.190595
1317,1098.728478
1318,978.711041
1319,789.382107
1320,480.925976
1321,480.755538
1322,480.675332
1323,480.594016
1324,480.51302
1325,480.916197
1326,506.768662
1327,634.182136
1328,788.307561
1329,654.988345
1330,579.831569
1331,460.294155
1332,460.748215
1333,461.3265
1334,461.612615
1335,461.416323
1336,463.773829
1337,463.249053
1338,828.655655
1339,842.161383
1340,956.733841
1341,956.686492
1342,984.373931
1343,941.795209
1344,483.384301
1345,482.928945
1346,482.706282
1347,482.53773
1348,482.316369
1349,482.681781
1350,508.816287
1351,599.671463
1352,865.914424
1353,732.096814
1354,730.755699
1355,613.0542
1356,613.63598
1357,614.322447
1358,614.673689
1359,614.626491
1360,617.960997
1361,617.661898
1362,835.942153
1363,775.754597
1364,888.634917
1365,887.516434
1366,916.193551
1367,800.704092
1368,487.770587
1369,487.701382
1370,487.538337
1371,487.378523
1372,488.436974
1373,488.441217
1374,557.187194
1375,835.528902
1376,872.464696
1377,593.626427
1378,591.178631
1379,469.642593
1380,465.308284
1381,464.827339
1382,463.402471
1383,462.733329
1384,465.263042
1385,464.014053
1386,826.914387
1387,911.736526
1388,1097.988855
1389,1097.661621
1390,976.867376
1391,787.653129
1392,479.83942
1393,479.368899
1394,478.938007
