hours,kW
0,597.411666
1,656.949276
2,657.216717
3,665.882501
4,682.914937
5,703.638127
6,834.369524
7,2268.877445
8,2579.938177
9,905.511774
10,868.344057
11,701.963638
12,653.11082
13,613.633471
14,581.84318
15,570.786887
16,569.451173
17,566.296943
18,2262.048234
19,683.382306
20,772.227539
21,2312.23148
22,794.790486
23,704.580584
24,463.549389
25,475.361113
26,487.551864
27,502.1774
28,527.724043
29,2084.1119
30,602.08935
31,3294.253622
32,2075.71443
33,811.374227
34,532.794336
35,413.508419
36,402.355556
37,397.822221
38,395.430582
39,394.098696
40,396.185724
41,835.777512
42,671.439209
43,2279.990809
44,876.949447
45,1275.683698
46,1920.874005
47,641.58365
48,401.377813
49,407.259909
50,443.183745
51,500.582344
52,564.58322
53,592.744012
54,2258.24711
55,3798.20373
56,978.692081
57,2277.963585
58,730.398573
59,628.807145
60,616.83336
61,612.273704
62,609.119793
63,624.96166
64,650.167833
65,2202.057889
66,1089.958648
67,1188.395522
68,2904.278902
69,1400.343615
70,1192.728361
71,2551.77629
72,769.942582
73,752.444863
74,737.407402
75,730.791531
76,726.227913
77,741.014961
78,2496.185401
79,3060.067798
80,2826.849569
81,973.580093
82,930.931925
83,842.507344
84,863.474307
85,878.422
86,880.008427
87,904.018638
88,925.36457
89,2694.132019
90,2759.945277
91,1385.2308
92,3136.003774
93,1612.992079
94,1355.815482
95,1151.131019
96,856.736641
97,836.217971
98,846.506754
99,853.738619
100,869.848144
101,2445.242573
102,1141.487963
103,5400.624348
104,3098.24524
105,1325.237348
106,1306.275527
107,1203.072667
108,1207.572082
109,1234.702511
110,1219.995389
111,1272.694394
112,1365.300102
113,4040.31948
114,1621.86767
115,3340.02623
116,2130.259798
117,3827.364619
118,1769.323369
119,1560.461327
120,1378.079946
121,1420.648505
122,1476.871532
123,1521.582771
124,1546.387141
125,1555.509064
126,3513.152225
127,7356.937523
128,2144.939153
129,3574.265924
130,1990.136485
131,1813.381019
132,1732.360447
133,1671.565837
134,1645.257999
135,1648.022259
136,1696.857439
137,4585.742503
138,1834.27076
139,1992.371808
140,3541.667881
141,2088.137433
142,3287.419333
143,1553.657339
144,1339.180365
145,1359.343042
146,1381.798744
147,1400.461437
148,1414.57633
149,1397.936755
150,3262.561572
151,4888.536022
152,3418.476296
153,1749.687397
154,3187.267543
155,1488.265935
156,1416.006037
157,1358.890072
158,1319.659323
159,1293.489976
160,1334.39987
161,3871.72183
162,1628.14146
163,1631.956975
164,3243.362325
165,1659.254677
166,1481.156246
167,1407.83436
168,1063.857508
169,1040.962835
170,1035.733921
171,1032.545048
172,1031.192462
173,2572.999461
174,1197.169651
175,4979.315807
176,2981.153779
177,1403.468468
178,1389.231036
179,1277.260868
180,1228.500259
181,1178.033032
182,1171.523528
183,1170.171267
184,1184.403658
185,3192.681495
186,1356.097842
187,2822.825472
188,1363.700943
189,2914.582312
190,1262.209864
191,1154.852065
192,916.254491
193,922.549205
194,930.774984
195,947.794116
196,962.622481
197,2515.337411
198,1199.76058
199,5437.89258
200,1526.428833
201,2947.069155
202,1368.177777
203,1235.086099
204,1223.243112
205,1231.776391
206,1221.474071
207,1240.110078
208,1255.975116
209,3678.20845
210,1591.533458
211,3183.598757
212,1773.585507
213,1816.998593
214,3074.686443
215,1405.577097
216,1151.554526
217,1152.820188
218,1173.940317
219,1199.424147
220,1212.939762
221,1242.254332
222,3135.709376
223,6372.715576
224,1801.523883
225,3147.34207
226,1572.107471
227,1413.755163
228,1355.541434
229,1349.092607
230,1354.873213
231,1331.932168
232,1344.07808
233,3572.087159
234,1479.974942
235,1499.019131
236,3192.926208
237,1674.591408
238,1407.856643
239,2748.096105
240,976.975358
241,969.997741
242,983.605993
243,994.700973
244,1005.810193
245,1004.63612
246,1557.130843
247,4996.298499
248,3034.112842
249,1260.522975
250,1198.423421
251,1037.655345
252,931.93032
253,885.752321
254,852.066363
255,843.089044
256,888.775722
257,2466.941234
