hours,kW
0,54.37101
1,59.869344
2,56.627603
3,62.239827
4,62.17836
5,57.79922
6,64.533603
7,52.688867
8,40.82273
9,48.668405
10,48.351419
11,35.368276
12,37.973652
13,36.954373
14,31.348018
15,35.505603
16,44.759728
17,52.143739
18,54.482795
19,54.7615
20,52.098012
21,55.24352
22,53.799907
23,52.038121
24,62.360716
25,61.143018
26,58.846748
27,61.438844
28,61.779759
29,63.413709
30,500.153433
31,558.219965
32,490.142501
33,449.328137
34,425.379942
35,449.468759
36,543.720824
37,479.757975
38,459.7091
39,435.884562
40,425.528675
41,465.284499
42,383.603394
43,383.115751
44,363.367145
45,370.855278
46,75.054304
47,75.680344
48,73.563277
49,60.714656
50,61.027218
51,58.907571
52,57.701417
53,63.706604
54,301.245166
55,404.774399
56,315.464371
57,297.732494
58,288.970903
59,287.848027
60,428.972392
61,282.114429
62,273.058996
63,271.272501
64,323.126271
65,520.699759
66,315.850076
67,289.841767
68,284.526494
69,285.265415
70,73.910223
71,78.165045
72,79.168962
73,70.495961
74,78.630157
75,78.502638
76,70.469977
77,82.158254
78,415.425569
79,546.035836
80,406.795378
81,379.326164
82,376.32777
83,374.652839
84,568.202843
85,373.464926
86,343.914047
87,350.056371
88,367.845423
89,553.620253
90,295.704996
91,237.604424
92,226.818019
93,226.36823
94,60.767157
95,63.498462
96,63.432117
97,60.801378
98,65.462062
99,64.123089
100,61.865944
101,71.0053
102,335.186601
103,581.453874
104,385.133017
105,353.566187
106,316.731425
107,301.031814
108,531.119856
109,307.021154
110,283.587092
111,289.494787
112,329.728401
113,602.149541
114,321.449336
115,314.643008
116,323.935276
117,340.526093
118,65.170587
119,71.742123
120,72.5699
121,67.391128
122,75.754696
123,74.687137
124,69.003316
125,81.583947
126,519.54216
127,907.178031
128,535.143847
129,475.413897
130,440.651469
131,412.45643
132,680.329092
133,368.785641
134,350.277383
135,348.986707
136,381.466659
137,673.088356
138,356.389976
139,329.409112
140,318.288829
141,323.426073
142,64.471902
143,70.411723
144,63.464801
145,58.754089
146,66.158013
147,64.613363
148,59.737922
149,67.431493
150,441.760499
151,441.612516
152,393.573088
153,345.861779
154,313.246361
155,286.532621
156,260.7073
157,238.336041
158,204.400854
159,207.308343
160,243.251578
161,272.308415
162,53.013449
163,59.808671
164,59.661038
165,55.588224
166,60.687316
167,59.018852
168,55.573643
169,61.288918
170,60.407679
171,55.296393
172,61.925138
173,61.008202
174,56.569712
175,47.104356
176,40.594166
177,36.701032
178,41.978315
179,40.010119
180,42.769869
181,50.694464
182,49.248853
183,42.176143
184,49.91534
185,59.730053
186,55.017398
187,61.567804
188,60.623794
189,56.295476
190,61.089677
191,60.99706
192,63.763249
193,69.691213
194,69.032018
195,63.534825
196,70.988614
197,73.716903
198,552.993197
199,778.951389
200,518.822565
201,457.192225
202,428.293205
203,416.192493
204,600.664981
205,362.167534
206,357.28519
207,348.93105
208,368.388842
209,614.884003
210,353.632103
211,327.519062
212,316.691764
213,313.70941
214,63.063673
215,67.610016
216,68.157087
217,64.200339
218,71.089192
219,70.16255
220,66.107993
221,76.921265
222,470.559618
223,774.839572
224,483.228272
225,434.071263
226,398.671163
227,373.054277
228,574.892559
229,345.356987
230,338.175702
231,328.617671
232,341.402233
233,562.30252
234,305.870282
235,280.7841
236,269.853972
237,269.12733
238,61.952643
239,65.468274
240,65.459941
241,62.170741
242,67.540259
243,66.22714
244,63.206147
245,72.544696
246,378.702417
247,617.8038
248,402.544181
249,392.05745
250,395.002425
251,389.46811
252,461.768904
253,312.818543
254,300.756717
255,298.259371
256,331.404557
257,545.27934
258,331.991563
259,305.541539
260,289.680365
261,288.091639
262,73.549052
263,78.703023
264,79.739348
265,70.789229
266,79.327201
267,79.246339
268,70.91019
269,82.551431
270,418.403959
271,539.157494
272,411.190557
273,382.362245
274,369.911277
275,366.77461
276,556.171089
277,358.20143
278,325.686993
279,320.923058
280,350.558998
281,560.604571
282,250.866558
283,231.607833
284,220.51163
285,225.310677
286,61.136157
287,64.249316
288,71.556079
289,60.786832
290,65.482949
291,63.968267
292,61.849389
293,70.690009
294,325.946596
295,566.623242
296,333.556335
297,339.359501
298,333.836438
299,333.078446
300,532.445952
301,353.979852
302,334.980739
303,324.0299
304,347.322702
305,550.968259
306,237.359215
307,217.298069
308,206.357913
309,208.125258
310,60.819801
311,63.631734
312,56.73434
313,54.232606
314,59.794393
315,58.223795
316,55.225212
317,60.474937
318,299.039747
319,280.002391
320,249.419053
321,266.604569
322,263.5253
323,209.37338
324,204.541501
325,200.431979
326,189.402803
327,218.44801
328,247.111523
329,256.057391
330,63.321829
331,66.981301
332,56.05244
333,53.902261
334,59.244448
335,58.616366
336,56.068913
337,62.702384
338,62.15694
339,56.677981
340,64.517148
341,63.851611
342,58.577341
343,50.207772
344,43.486487
345,38.110712
346,43.614425
347,41.096387
348,34.837317
349,41.312148
350,38.088532
351,35.042559
352,45.710583
353,60.283341
354,55.391537
355,62.144594
356,61.212332
357,56.78738
358,62.210213
359,62.051212
360,57.102857
361,63.5086
362,61.844227
363,57.895235
364,64.185133
365,63.134569
366,57.035903
367,49.463598
368,43.250825
369,37.644544
370,48.487423
371,50.334942
372,41.39897
373,48.091145
374,48.722032
375,41.027427
376,53.234319
377,68.742234
378,56.580546
379,64.915142
380,69.358003
381,61.693054
382,69.07417
383,69.872531
384,68.927368
385,75.220734
386,76.936051
387,68.784314
388,76.096046
389,80.446453
390,660.096716
391,791.941764
392,617.4749
393,566.419005
394,541.268937
395,513.697304
396,658.935848
397,466.559275
398,444.734795
399,432.684497
400,433.592647
401,606.408994
402,390.230257
403,357.504599
404,343.02098
405,337.486319
406,72.420185
407,76.153577
408,63.64455
409,60.296556
410,66.072256
411,65.323506
412,61.997101
413,71.148146
414,421.310111
415,656.133149
416,436.81363
417,406.944566
418,375.400691
419,356.287965
420,588.34782
421,347.760397
422,331.014856
423,346.016172
424,367.813642
425,657.589313
426,358.615836
427,334.527172
428,336.337749
429,339.929403
430,65.31046
431,70.177623
432,70.786868
433,65.209173
434,73.618284
435,73.175559
436,67.420497
437,78.831852
438,499.206094
439,866.672383
440,527.645797
441,466.391113
442,432.288412
443,401.056887
444,652.536476
445,352.042062
446,330.709458
447,327.558734
448,353.476331
449,655.100841
450,357.339509
451,330.909746
452,329.068105
453,337.742527
454,65.858264
455,71.0609
456,70.295791
457,66.184882
458,73.83717
459,72.595924
460,66.334232
461,77.021013
462,445.879012
463,739.612266
464,451.91956
465,395.84294
466,370.13527
467,354.748055
468,590.469656
469,312.091259
470,290.020082
471,309.067429
472,323.619409
473,576.623727
474,303.995724
475,281.531841
476,278.479322
477,283.12392
478,64.214138
479,68.333977
480,60.122637
481,56.81525
482,63.095743
483,62.222262
484,57.256276
485,63.471946
486,360.236511
487,348.110244
488,334.792745
489,314.160521
490,280.363904
491,286.950797
492,277.297682
493,265.820037
494,233.085172
495,228.841356
496,246.11266
497,267.26571
498,62.511627
499,71.013272
500,72.295919
501,63.447738
502,71.647144
503,72.199212
504,63.213287
505,66.783205
506,58.262529
507,55.838271
508,63.058991
509,63.621586
510,58.296489
511,52.472435
512,47.1706
513,39.950915
514,48.582648
515,46.800892
516,40.106545
517,47.364255
518,46.22793
519,40.235972
520,52.726227
521,68.367459
522,61.712367
523,70.493003
524,69.100928
525,62.727512
526,71.971364
527,71.63358
528,70.206197
529,79.995192
530,78.288445
531,70.233454
532,79.423059
533,81.744049
534,698.22694
535,979.115701
536,703.753775
537,633.87233
538,559.997323
539,522.221011
540,695.69175
541,459.326422
542,460.312689
543,447.639277
544,446.29631
545,630.912208
546,403.787279
547,367.306443
548,348.981021
549,342.642805
550,72.012353
551,67.511681
552,72.912477
553,61.202911
554,67.208358
555,67.924109
556,64.246361
557,74.699623
558,461.998241
559,739.95904
560,488.957854
561,450.47047
562,414.996485
563,383.734306
564,591.282026
565,330.230483
566,311.743086
567,304.517621
568,323.428861
569,595.030803
570,325.238392
571,300.769062
572,297.040235
573,301.99982
574,64.005926
575,67.754159
576,67.09906
577,64.031088
578,70.663022
579,70.051907
580,65.171029
581,75.698996
582,446.964701
583,726.202045
584,476.096858
585,447.026071
586,426.065026
587,414.296275
588,653.158192
589,392.332443
590,384.992521
591,381.385299
592,392.964406
593,665.381864
594,363.500578
595,333.405971
596,324.430554
597,322.112449
598,64.52692
599,67.882273
600,68.617866
601,64.506425
602,70.904614
603,69.807787
604,64.386625
605,75.568826
606,428.588276
607,692.599667
608,457.784739
609,422.86167
610,396.221244
611,363.406389
612,595.70667
613,346.617435
614,314.982212
615,303.469576
616,312.377074
617,564.604785
618,303.025833
619,278.651902
620,270.466441
621,270.617607
622,63.326598
623,65.619292
624,66.980361
625,63.312914
626,69.269797
627,68.515337
628,63.169847
629,73.950622
630,391.040147
631,653.276171
632,428.012147
633,372.280618
634,352.875538
635,368.200361
636,615.539596
637,345.152549
638,360.759625
639,357.151939
640,372.953113
641,710.304755
642,377.065255
643,347.887021
644,345.303676
645,349.841799
646,66.163123
647,71.150782
648,65.659181
649,60.455968
650,69.206508
651,68.947101
652,61.449358
653,71.688668
654,501.648498
655,515.710857
656,483.032587
657,462.057141
658,403.846511
659,370.473483
660,345.021063
661,327.139438
662,299.829437
663,292.899347
664,299.053517
665,328.478699
666,54.56243
667,63.182247
668,63.931499
669,59.042585
670,67.125597
671,67.179944
672,60.525168
673,69.014812
674,68.881751
675,61.979142
676,69.982306
677,70.261616
678,62.693075
679,51.798616
680,50.830908
681,42.065114
682,51.868219
683,50.482894
684,42.598977
685,51.365964
686,50.499012
687,42.024932
688,52.38057
689,71.941225
690,64.4771
691,75.290731
692,75.591933
693,66.43974
694,77.525139
695,75.544813
696,74.965097
697,88.496607
698,87.893655
699,77.695865
700,91.66983
701,94.649102
702,793.733302
703,1269.636711
704,896.629799
705,863.187842
706,820.126243
707,801.349297
708,1153.710711
709,738.846437
710,695.326949
711,659.595132
712,659.490903
713,1096.658039
714,660.182442
715,608.290548
716,595.095643
717,587.927868
718,71.645056
719,80.777844
720,82.60622
721,73.990364
722,85.53559
723,85.088901
724,74.784805
725,91.477704
726,758.905422
727,1235.272189
728,802.834502
729,738.593359
730,688.87766
731,654.261434
732,964.925063
733,588.85191
734,558.401388
735,539.698748
736,530.93722
737,856.457318
738,510.483804
739,472.559453
740,459.927518
741,455.768456
742,67.663151
743,73.281979
744,75.022225
745,68.914405
746,78.062964
747,77.749909
748,69.594582
749,83.557637
750,625.360934
751,993.206106
752,649.544945
753,601.824052
754,568.537592
755,538.337362
756,815.090783
757,479.975931
758,463.597784
759,457.521882
760,466.934047
761,800.02079
762,465.428405
763,437.97215
764,440.248225
765,445.833244
766,68.032795
767,74.510192
768,76.518757
769,69.909208
770,79.540373
771,79.216045
772,70.630669
773,85.598896
774,643.11792
775,1099.454619
