hours,kW
0,51.642472
1,51.642474
2,49.533507
3,51.642474
4,51.642474
5,49.533743
6,51.642474
7,36.657
8,29.552875
9,31.661843
10,31.661843
11,29.553032
12,31.661998
13,31.662234
14,29.55303
15,31.661842
16,41.652159
17,49.533507
18,51.642474
19,51.642474
20,49.533507
21,51.642711
22,51.642474
23,49.533506
24,58.880579
25,58.880578
26,56.77161
27,58.880577
28,58.880577
29,60.392399
30,68.548189
31,83.198972
32,172.561934
33,161.305591
34,158.707988
35,161.306308
36,160.563246
37,163.471548
38,158.707597
39,158.707522
40,172.595198
41,167.791018
42,117.185088
43,113.721058
44,92.000984
45,90.268499
46,60.392162
47,58.880578
48,58.880578
49,56.771611
50,58.880578
51,58.880577
52,56.77161
53,62.501366
54,68.548189
55,83.198972
56,172.620302
57,161.305591
58,158.707988
59,161.306308
60,160.682141
61,163.754662
62,158.763806
63,158.851357
64,173.107167
65,168.637946
66,117.185087
67,113.721058
68,92.000985
69,90.268499
70,60.392162
71,58.880578
72,58.880578
73,56.771611
74,58.880578
75,58.880577
76,56.77161
77,62.501366
78,68.548189
79,83.198972
80,173.085396
81,161.338371
82,158.710874
83,161.575808
84,161.090571
85,164.098325
86,159.069104
87,159.120886
88,173.337103
89,168.85442
90,117.185087
91,113.721058
92,92.000985
93,90.268499
94,60.392162
95,58.880578
96,58.880578
97,56.771611
98,58.880578
99,58.880577
100,56.77161
101,62.501366
102,68.548189
103,83.198972
104,176.718314
105,165.461971
106,162.864368
107,165.462687
108,164.719626
109,167.627928
110,162.863977
111,162.863903
112,176.751577
113,171.947398
114,119.070695
115,113.72713
116,92.000985
117,90.268499
118,60.392162
119,58.880578
120,58.880578
121,56.771611
122,58.880578
123,58.880577
124,56.77161
125,62.501366
126,68.548189
127,83.198972
128,176.718314
129,164.254862
130,161.326474
131,165.23785
132,164.719626
133,167.627928
134,162.863977
135,162.863903
136,176.751577
137,171.947398
138,119.009449
139,113.743162
140,92.000985
141,90.268499
142,60.392162
143,58.880578
144,51.642552
145,49.533585
146,51.642551
147,51.642551
148,49.533584
149,51.642788
150,68.548189
151,60.490162
152,90.831863
153,93.862953
154,92.563949
155,95.594886
156,93.862864
157,90.399222
158,52.033281
159,50.301346
160,60.724684
161,60.287285
162,49.53374
163,51.642707
164,51.642707
165,49.533897
166,51.642552
167,51.642551
168,49.533506
169,51.642474
170,51.642474
171,49.533506
172,51.642474
173,51.642711
174,49.533507
175,36.657
176,31.661842
177,29.552875
178,31.661843
179,31.662
180,29.55303
181,31.662235
182,31.661998
183,29.552875
184,41.652159
185,51.642474
186,49.533506
187,51.642474
188,51.642474
189,49.533743
190,51.642474
191,51.642474
192,56.771612
193,58.880578
194,58.880578
195,56.77161
196,58.880578
197,62.501366
198,68.548189
199,83.198972
200,172.618497
201,161.305591
202,158.707988
203,161.427161
204,162.538174
205,165.933839
206,159.99281
207,160.346121
208,175.91648
209,171.947398
210,117.47273
211,113.721058
212,92.000985
213,90.268499
214,60.392162
215,58.880578
216,58.880578
217,56.771611
218,58.880578
219,58.880577
220,56.77161
221,62.501366
222,68.548189
223,83.198972
224,176.085656
225,163.243935
226,160.643276
227,164.879915
228,164.719625
229,167.627928
230,162.863977
231,162.863902
232,176.751577
233,171.947398
234,118.505717
235,113.721058
236,92.000985
237,90.268499
238,60.392162
239,58.880578
240,58.880578
241,56.771611
242,58.880578
243,58.880577
244,56.77161
245,62.501366
246,68.548189
247,83.198972
248,176.718314
249,163.658466
250,159.111718
251,161.933739
252,161.420972
253,164.414851
254,159.350514
255,159.389615
256,173.62177
257,169.143517
258,117.185087
259,113.721058
260,92.000985
261,90.268499
262,60.392162
263,58.880578
264,58.880578
265,56.771611
266,58.880578
267,58.880577
268,56.77161
269,62.501366
270,68.548189
271,83.198972
272,173.434523
273,161.686235
274,159.004056
275,161.854636
276,161.341747
277,164.346606
278,159.306705
279,159.384518
280,173.651427
281,169.155337
282,117.932786
283,113.721058
284,92.000985
285,90.268499
286,60.392162
287,58.880578
288,58.880578
289,56.771611
290,58.880577
291,58.880577
292,56.77161
293,62.501366
294,68.548189
295,83.303456
296,176.718314
297,162.949572
298,159.317581
299,162.168003
300,161.664571
301,164.646455
302,159.56626
303,159.617205
304,173.880014
305,169.387321
306,118.743803
307,114.017915
308,92.000985
309,90.268499
310,60.392162
311,58.880578
312,51.642552
313,49.533585
314,51.642551
315,51.642551
316,49.533584
317,51.642788
318,68.548189
319,60.490162
320,90.831863
321,93.862953
322,92.563949
323,95.594886
324,93.862864
325,90.399222
326,52.033281
327,50.301346
328,55.729526
329,60.287285
330,49.53374
331,51.642707
332,51.642707
333,49.533897
334,51.642552
335,51.642551
336,49.533506
337,51.642474
338,51.642474
339,49.533506
340,51.642474
341,51.642711
342,49.533507
343,36.657
344,31.661842
345,29.552875
346,31.661843
347,31.662
348,29.55303
349,31.662235
350,31.661998
351,29.552875
352,36.657001
353,51.642474
354,49.533506
355,51.642474
356,51.642474
357,49.533743
358,51.642474
359,51.642474
360,49.533507
361,51.642474
362,51.642474
363,49.533507
364,51.642474
365,51.642711
366,49.533506
367,36.657
368,31.661843
369,29.552875
370,31.661842
371,31.662
372,29.55303
373,31.662235
374,31.661998
375,29.552875
376,36.657
377,51.642474
378,49.533507
379,51.642474
380,51.642474
381,49.533743
382,51.642474
383,51.642474
384,56.771611
385,58.880577
386,58.880577
387,56.77161
388,58.880578
389,62.501366
390,68.548189
391,83.198971
392,172.561938
393,161.305589
394,158.707987
395,161.3063
396,160.563246
397,163.471551
398,158.7076
399,158.70752
400,167.600073
401,167.791015
402,117.185089
403,113.721058
404,92.000982
405,90.268499
