hours,kW
0,54.37101
1,59.869344
2,56.627603
3,62.239827
4,62.17836
5,57.79922
6,64.533603
7,47.450053
8,36.109329
9,42.568186
10,40.452958
11,35.368276
12,37.973652
13,36.954373
14,31.206797
15,34.998551
16,43.736843
17,51.622285
18,53.958881
19,53.677329
20,51.547455
21,54.693685
22,52.700942
23,51.476511
24,61.796189
25,60.841823
26,58.846748
27,61.438844
28,61.779759
29,63.413709
30,500.153433
31,558.219965
32,490.142501
33,449.328137
34,422.476072
35,401.933434
36,438.658186
37,356.812991
38,336.723858
39,312.834987
40,323.211724
41,375.180655
42,279.902704
43,264.580012
44,247.77322
45,240.186987
46,60.419155
47,59.810381
48,59.810381
49,57.701415
50,59.810383
51,58.907571
52,57.701417
53,63.706604
54,301.245166
55,404.774399
56,315.464371
57,297.732494
58,288.970903
59,287.848027
60,428.972392
61,282.114429
62,273.058996
63,271.272501
64,289.525889
65,451.063543
66,257.548728
67,236.171031
68,232.763488
69,236.689161
70,60.419155
71,61.465078
72,61.202684
73,59.478337
74,63.434118
75,61.789679
76,60.157201
77,67.904084
78,340.06294
79,502.723343
80,359.656537
81,334.489053
82,328.228899
83,324.710875
84,512.15637
85,319.559605
86,293.62992
87,298.785567
88,314.079491
89,493.253963
90,270.381837
91,237.604424
92,226.818019
93,226.36823
94,60.767157
95,63.498462
96,63.432117
97,60.801378
98,65.462062
99,64.123089
100,61.865944
101,71.0053
102,335.186601
103,581.453874
104,385.133017
105,353.566187
106,316.731425
107,301.031814
108,531.119856
109,307.021154
110,283.587092
111,289.494787
112,329.728401
113,602.149541
114,321.449336
115,314.643008
116,323.935276
117,340.526093
118,65.170587
119,71.742123
120,72.5699
121,67.391128
122,75.754696
123,74.687137
124,69.003316
125,81.583947
126,519.54216
127,907.178031
128,535.143847
129,475.413897
130,440.651469
131,412.45643
132,680.329092
133,368.785641
134,350.277383
135,348.986707
136,381.466659
137,673.088356
138,356.389976
139,329.409112
140,318.288829
141,323.426073
142,64.471902
143,70.411723
144,63.464801
145,58.754089
146,66.158013
147,64.613363
148,59.737922
149,67.431493
150,441.760499
151,441.612516
152,393.573088
153,345.861779
154,313.246361
155,286.532621
156,260.7073
157,238.336041
158,204.400854
159,207.308343
160,243.251578
161,272.308415
162,53.013449
163,59.808671
164,59.661038
165,55.588224
166,60.687316
167,59.018852
168,55.573643
169,61.288918
170,60.407679
171,55.296393
172,61.925138
173,61.008202
174,56.569712
175,47.104356
176,40.594166
177,36.701032
178,41.978315
179,40.010119
180,34.283776
181,39.939464
182,36.790375
183,34.593971
184,49.91534
185,59.730053
186,55.017398
187,61.567804
188,60.623794
189,56.295476
190,61.089677
191,60.99706
192,63.763249
193,69.691213
194,69.032018
195,63.534825
196,70.988614
197,73.716903
198,552.993197
199,778.951389
200,518.822565
201,457.192225
202,428.293205
203,416.192493
204,600.664981
205,362.167534
206,357.28519
207,348.93105
208,368.388842
209,614.884003
210,353.632103
211,327.519062
212,316.691764
213,313.70941
214,63.063673
215,67.610016
216,68.157087
217,64.200339
218,71.089192
219,70.16255
220,66.107993
221,76.921265
222,470.559618
223,774.839572
224,483.228272
225,434.071263
226,398.671163
227,373.054277
228,574.892559
229,345.356987
230,338.175702
231,328.617671
232,341.402233
233,562.30252
234,305.870282
235,280.7841
236,269.853972
237,269.12733
238,61.952643
239,65.468274
240,65.459941
241,62.170741
242,67.540259
243,66.22714
244,63.206147
245,72.544696
246,378.702417
247,617.8038
248,402.544181
249,364.827465
250,345.999658
251,333.066615
252,461.768904
253,312.818543
254,300.756717
255,298.259371
256,315.054699
257,475.491441
258,277.530943
259,254.965045
260,244.971693
261,243.050446
262,60.419155
263,62.299187
264,61.841752
265,59.727693
266,64.050402
267,62.407332
268,60.454182
269,67.921681
270,342.104009
271,493.284642
272,358.619613
273,332.459315
274,319.756894
275,314.610408
276,497.816075
277,303.548026
278,274.015352
279,266.658135
280,296.737074
281,500.683409
282,250.866558
283,231.607833
284,220.51163
285,225.310677
286,61.136157
287,64.249316
288,63.962521
289,60.786832
290,65.482949
291,63.968267
292,61.849389
293,70.690009
294,325.946596
295,566.623242
296,333.556335
297,298.106829
298,283.638544
299,277.711779
300,466.330654
301,290.178371
302,276.242333
303,267.466727
304,289.112023
305,486.468126
306,237.359215
307,217.298069
308,206.357913
309,208.125258
310,60.819801
311,63.631734
312,56.73434
313,54.232606
314,59.794393
315,58.223795
316,55.225212
317,60.474937
318,299.039747
319,280.002391
320,249.419053
321,235.226784
322,218.193073
323,209.37338
324,204.541501
325,200.431979
326,189.402803
327,192.355681
328,199.568875
329,214.692898
330,50.471016
331,55.317077
332,56.05244
333,53.902261
334,59.244448
335,58.616366
336,56.068913
337,62.702384
338,62.15694
339,56.677981
340,64.517148
341,63.851611
342,58.577341
343,50.207772
344,43.486487
345,38.110712
346,43.614425
347,41.096387
348,34.837317
349,41.312148
350,38.088532
351,35.042559
352,45.710583
353,60.283341
354,55.391537
355,62.144594
356,61.212332
357,56.78738
358,62.210213
359,62.051212
360,57.102857
361,63.5086
362,61.844227
363,57.895235
364,64.185133
365,63.134569
366,57.035903
367,49.463598
368,43.250825
369,37.644544
370,42.215063
371,40.725685
372,35.689341
373,40.548435
374,39.255692
375,35.351365
376,45.738627
377,59.507664
378,56.580546
379,62.761857
380,60.356006
381,56.485822
382,62.502093
383,61.490553
384,64.077714
385,69.099909
386,68.933555
387,64.195448
388,70.315681
389,72.820779
390,616.488643
391,761.308265
392,586.69329
393,535.395071
394,509.143768
395,479.604526
396,615.838205
397,422.275137
398,399.944025
399,386.173462
400,387.645816
401,558.007641
402,348.062563
403,319.93538
404,306.887
405,301.88853
406,61.695568
407,63.328914
408,63.64455
409,60.296556
410,66.072256
411,65.323506
412,61.997101
413,71.148146
414,421.310111
415,656.133149
416,436.81363
417,406.944566
418,375.400691
419,356.287965
420,588.34782
421,347.760397
422,331.014856
423,346.016172
424,367.813642
425,657.589313
426,358.615836
427,334.527172
428,336.337749
429,339.929403
430,65.31046
431,70.177623
432,70.786868
433,65.209173
434,73.618284
435,73.175559
436,67.420497
437,78.831852
438,499.206094
439,866.672383
440,527.645797
441,466.391113
442,432.288412
443,401.056887
444,652.536476
445,352.042062
446,330.709458
447,327.558734
448,353.476331
449,655.100841
450,357.339509
451,330.909746
452,329.068105
453,337.742527
454,65.858264
455,71.0609
456,70.295791
457,66.184882
458,73.83717
459,72.595924
460,66.334232
461,77.021013
462,445.879012
463,739.612266
464,451.91956
465,395.84294
466,370.13527
467,354.748055
468,590.469656
469,312.091259
470,290.020082
471,309.067429
472,323.619409
473,576.623727
474,303.995724
475,281.531841
476,278.479322
477,283.12392
478,64.214138
479,68.333977
480,60.122637
481,56.81525
482,63.095743
483,62.222262
484,57.256276
485,63.471946
486,360.236511
487,348.110244
488,334.792745
489,314.160521
490,280.363904
491,256.603022
492,237.3594
493,221.801323
494,189.11351
495,187.889597
496,206.405184
497,229.608281
498,50.639045
499,55.647709
500,55.444221
501,53.014068
502,57.131263
503,55.994524
504,53.163029
505,56.985598
506,58.262529
507,55.838271
508,63.058991
509,63.621586
510,58.296489
511,52.472435
512,47.1706
513,39.950915
514,48.582648
515,46.800892
516,40.106545
517,47.364255
518,46.22793
519,40.235972
520,52.726227
521,68.367459
522,61.712367
523,70.493003
524,69.100928
525,62.727512
526,71.971364
527,71.63358
528,70.206197
529,79.995192
530,78.288445
531,70.233454
532,79.423059
533,81.744049
534,698.22694
535,979.115701
536,703.753775
537,633.87233
538,559.997323
539,522.221011
540,695.69175
541,449.997004
542,427.001726
543,413.366645
544,411.123908
545,589.16476
546,366.46711
547,331.868021
548,313.577486
549,308.917055
550,61.856361
551,63.991343
552,63.538212
553,61.202911
554,67.208358
555,67.924109
556,64.246361
557,74.699623
558,461.998241
559,739.95904
560,488.957854
561,450.47047
562,414.996485
563,383.734306
564,591.282026
565,330.230483
566,311.743086
567,304.517621
568,323.428861
569,595.030803
570,325.238392
571,300.769062
572,297.040235
573,301.99982
574,64.005926
575,67.754159
576,67.09906
577,64.031088
578,70.663022
579,70.051907
580,65.171029
581,75.698996
582,446.964701
583,726.202045
584,476.096858
585,447.026071
586,426.065026
587,414.296275
588,653.158192
589,392.332443
590,384.992521
591,381.385299
592,392.964406
593,665.381864
594,363.500578
595,333.405971
596,324.430554
597,322.112449
598,64.52692
599,67.882273
600,68.617866
601,64.506425
602,70.904614
603,69.807787
604,64.386625
605,75.568826
606,428.588276
607,692.599667
608,457.784739
609,422.86167
610,396.221244
611,363.406389
612,595.70667
613,346.617435
614,314.982212
615,303.469576
616,312.377074
617,564.604785
618,303.025833
619,278.651902
620,270.466441
621,270.617607
622,63.326598
623,65.619292
624,66.980361
625,63.312914
626,69.269797
627,68.515337
628,63.169847
629,73.950622
630,391.040147
631,653.276171
632,428.012147
633,372.280618
634,352.875538
635,368.200361
636,615.539596
637,345.152549
638,360.759625
639,357.151939
640,372.953113
641,710.304755
642,377.065255
643,347.887021
644,345.303676
645,349.841799
646,66.163123
647,71.150782
648,65.659181
649,60.455968
650,69.206508
651,68.947101
652,61.449358
653,71.688668
654,501.648498
655,515.710857
656,483.032587
657,462.057141
658,403.846511
659,370.473483
660,345.021063
661,327.139438
662,299.829437
663,292.899347
664,299.053517
665,328.478699
666,54.56243
667,63.182247
668,63.931499
669,59.042585
670,67.125597
671,67.179944
672,60.525168
673,69.014812
674,68.881751
675,61.979142
676,69.982306
677,70.261616
678,62.693075
679,51.798616
680,50.830908
681,42.065114
682,51.868219
683,50.482894
684,42.598977
685,51.365964
686,50.499012
687,42.024932
688,52.38057
689,71.941225
690,64.4771
691,75.290731
692,75.591933
693,66.43974
694,77.525139
695,75.544813
696,74.965097
697,88.496607
698,87.893655
699,77.695865
700,91.66983
701,94.649102
702,793.733302
703,1269.636711
704,896.629799
705,863.187842
706,820.126243
707,801.349297
708,1153.710711
709,738.846437
710,695.326949
711,659.595132
712,659.490903
713,1096.658039
714,660.182442
715,608.290548
716,595.095643
717,587.927868
718,71.645056
719,80.777844
720,82.60622
721,73.990364
722,85.53559
723,85.088901
724,74.784805
725,91.477704
726,758.905422
727,1235.272189
728,802.834502
729,738.593359
730,688.87766
731,654.261434
732,964.925063
733,588.85191
734,558.401388
735,539.698748
736,530.93722
737,856.457318
738,510.483804
739,472.559453
740,459.927518
741,455.768456
742,67.663151
743,73.281979
744,75.022225
745,68.914405
746,78.062964
747,77.749909
748,69.594582
749,83.557637
750,625.360934
751,993.206106
752,649.544945
753,601.824052
754,568.537592
755,538.337362
756,815.090783
757,479.975931
758,463.597784
759,457.521882
760,466.934047
761,800.02079
762,465.428405
763,437.97215
764,440.248225
765,445.833244
766,68.032795
767,74.510192
768,76.518757
769,69.909208
770,79.540373
771,79.216045
772,70.630669
773,85.598896
774,643.11792
775,1099.454619
