hours,kW
0,4178.621629
1,6479.318294
2,5436.76646
3,5801.494426
4,6998.855223
5,5254.560666
6,3817.152362
7,4733.070006
8,4793.158784
9,4961.308605
10,5406.543793
11,2593.308966
12,2039.519841
13,2168.995473
14,2283.943938
15,1944.559043
16,2268.690575
17,1803.960944
18,1882.446018
19,2387.837535
20,2480.263939
21,2634.623847
22,3110.102839
23,2942.576388
24,2750.806074
25,3341.251177
26,3041.433356
27,3116.119908
28,3964.957403
29,3043.501978
30,1898.440068
31,9821.634348
32,10392.333525
33,10069.760656
34,9171.457728
35,8209.098318
36,9070.418829
37,9239.640381
38,8537.968142
39,8192.987401
40,8291.790328
41,9108.04962
42,2841.669677
43,3219.662644
44,2914.985704
45,1762.663169
46,2032.203647
47,1903.190325
48,1117.380953
49,1694.710882
50,1803.998911
51,1872.444543
52,2610.54058
53,2988.87424
54,2507.906439
55,10895.811813
56,11908.136192
57,11745.007235
58,10724.404271
59,11108.176781
60,13613.374036
61,13858.664771
62,11999.699165
63,11076.766777
64,11696.047488
65,13792.394278
66,6315.831442
67,7747.122531
68,9629.451216
69,6041.704541
70,7421.391259
71,7845.690569
72,4771.760819
73,5587.850043
74,5677.97149
75,4939.385022
76,5761.910207
77,5056.79295
78,3738.013202
79,14035.235708
80,14517.242844
81,14189.757044
82,12374.146167
83,13330.130847
84,16458.691485
85,16484.286209
86,14186.018217
87,12501.685112
88,12947.278241
89,14918.56905
90,7101.26841
91,9850.035695
92,12428.696818
93,7983.868903
94,8988.033905
95,9834.366091
96,5642.810043
97,6098.920785
98,7037.040301
99,5889.961204
100,6533.835052
101,6892.120478
102,5087.219463
103,16857.935356
104,16908.972594
105,16605.788129
106,14112.80424
107,15657.40234
108,19141.367634
109,19084.984195
110,16275.80804
111,14406.280241
112,15464.724156
113,18516.791749
114,9948.172825
115,14918.436419
116,20523.294583
117,13671.95128
118,15231.24003
119,15588.616916
120,9442.176083
121,10379.685005
122,10865.086807
123,9549.817207
124,10709.775773
125,10776.761444
126,9873.034217
127,24404.92677
128,23584.56262
129,21828.935224
130,17460.128138
131,19124.72857
132,22673.794682
133,21780.399628
134,18192.336721
135,15523.620431
136,16556.156255
137,19663.11409
138,10516.333754
139,14506.357405
140,19575.587218
141,12169.919628
142,13083.104098
143,14983.494395
144,8561.699877
145,8637.488804
146,10641.705766
147,8479.345314
148,8699.177353
149,10167.873195
150,8180.550881
151,12286.565613
152,17711.583309
153,11639.000756
154,11072.834982
155,11688.162579
156,9051.721135
157,10913.13762
158,12940.295606
159,8618.684694
160,9338.953679
161,12611.69352
162,12051.748218
163,14372.856306
164,17257.481108
165,11210.871574
166,11905.920449
167,13475.26979
168,7509.191174
169,7359.024525
170,8888.374414
171,7030.667239
172,7197.117
173,8221.71676
174,5760.093968
175,8948.194026
176,13622.012489
177,9683.114852
178,9283.422857
179,9618.738353
180,7076.720414
181,9226.632237
182,11360.021536
183,7848.729182
184,8278.083557
185,10534.227807
186,10047.212593
187,12066.221479
188,14898.337997
189,10121.29523
190,10875.004607
191,12279.764748
192,6950.528255
193,6841.79327
194,8374.932833
195,6887.208035
196,7046.89637
197,7923.237605
198,5844.337925
199,17218.231103
200,17142.181276
201,16563.867566
202,13962.701935
203,15410.253246
204,18348.70076
205,18373.379654
206,15956.106197
207,13983.613085
208,14603.547461
209,17521.418
210,9196.574897
211,12845.799756
212,17382.417858
213,10013.40663
214,12216.638634
215,13201.370235
216,6674.802078
217,8733.870842
218,9817.395726
219,7016.76604
220,9304.565138
221,9708.159961
222,7207.430642
223,21017.300155
224,19338.834774
225,18170.668065
226,14872.232804
227,15738.862427
228,18692.39421
229,18759.285325
230,16281.895512
231,13916.883499
232,14485.098882
233,16971.660088
234,8228.387636
235,10977.705246
236,14761.758812
237,9366.838168
238,10324.835534
239,11214.228964
240,6618.421707
241,6997.213474
242,8037.696014
243,6683.78528
244,7287.489693
245,7233.212698
246,5184.273362
247,17054.515847
248,16631.08072
249,15223.237839
250,12537.024813
251,12621.913003
252,14092.463744
253,14047.434683
254,12282.701702
255,11152.564332
256,11877.720497
257,13979.415865
258,6511.487333
259,8320.611249
260,10627.552765
261,6545.570849
262,7699.14474
263,8873.357951
264,4720.394848
265,5627.044035
266,6766.406586
267,4786.073718
268,5770.814358
269,5452.090599
270,3706.197694
271,13880.549519
272,14422.889225
273,14189.732044
274,12463.911269
275,13240.766027
276,16440.86667
277,16574.005406
278,14039.778533
279,12278.651392
280,13099.848947
281,15476.119177
282,7410.197641
283,10136.153793
284,12685.309815
285,8291.987946
286,9504.841825
287,10552.32274
288,5796.126514
289,6111.633414
290,7152.195872
291,5868.475709
292,6595.257668
293,7072.312772
294,5058.815774
295,17064.206891
296,16067.470731
297,14656.987533
298,12395.800422
299,13060.585153
300,15965.142589
301,16054.276471
302,13887.583219
303,12419.272463
304,12990.829042
305,15288.294451
306,7390.483302
307,9917.024773
308,12725.482218
309,8071.355631
310,8851.207674
311,10385.328064
312,6119.702878
313,6308.065434
314,8178.353158
315,6435.663078
316,6433.551261
317,7196.905595
318,4984.588604
319,8088.054089
320,12435.662859
321,7805.94049
322,7595.6691
323,5628.721234
324,4389.437189
325,5950.949256
326,7552.427765
327,5170.373158
328,5960.857475
329,8044.071463
330,8385.861735
331,11544.515268
332,14602.550453
333,9948.607099
334,12225.812989
335,13968.929508
336,7455.130119
337,8443.150485
338,9574.973678
339,7415.166098
340,8554.506054
341,9338.491299
342,7083.134841
343,11166.419278
344,15776.783204
345,10325.858307
346,10734.008481
347,10764.749383
348,8192.97538
349,10820.157375
350,12486.908101
351,8082.287827
352,9189.069625
353,11143.44813
354,9881.009288
355,13109.259375
356,15511.416972
357,10222.116861
358,12268.506254
359,13290.567278
360,6834.808105
361,7681.345896
362,8900.327211
363,6666.632124
364,7359.044673
365,8151.020499
366,4399.809507
367,5744.041513
368,7625.997714
369,5811.913525
370,6175.261285
371,4563.04421
372,2921.829942
373,4481.254679
374,5834.783106
375,4879.903229
376,3642.71598
377,5270.517894
378,5806.235877
379,5863.413273
380,6104.459785
381,6167.490567
382,5939.384195
383,6533.959783
384,6471.833285
385,6063.119953
386,6420.486696
387,6621.491029
388,6179.663705
389,5870.509362
390,5049.278854
391,15172.435923
392,14682.247674
393,14471.926441
394,12702.022845
395,13342.486531
396,15646.400814
397,15541.87319
398,13549.849195
399,12022.856284
400,12509.500181
401,14521.370005
402,6648.017154
403,9155.543731
404,11357.296903
405,7324.595802
406,8288.057791
407,9348.696915
