hours,kW
0,681.574704
1,725.527436
2,769.786353
3,824.881448
4,1149.88501
5,1133.311696
6,1257.798323
7,1199.193821
8,1165.564123
9,1071.896327
10,1238.602586
11,1070.153574
12,1051.699701
13,1031.529353
14,977.29265
15,1011.550913
16,1178.582037
17,1049.364526
18,963.217837
19,838.485997
20,741.893877
21,727.745504
22,762.437101
23,758.233032
24,699.427406
25,746.383329
26,815.037082
27,833.887496
28,1163.01424
29,1155.012214
30,1185.9665
31,3126.970055
32,3178.476976
33,3076.487189
34,3192.009203
35,3204.647072
36,3260.452308
37,3222.114358
38,3070.747143
39,3213.667479
40,3379.205148
41,3283.633868
42,1135.760576
43,1004.20622
44,786.417065
45,668.506686
46,696.596906
47,652.213583
48,549.279944
49,597.316162
50,685.490829
51,661.531795
52,1028.911122
53,1160.721638
54,1278.506206
55,3185.474137
56,3194.598955
57,3082.194106
58,3166.712061
59,3178.421868
60,3204.009795
61,3161.267173
62,3009.701791
63,3151.009328
64,3319.664756
65,3225.097035
66,1054.78609
67,790.263179
68,579.824124
69,549.777075
70,639.039981
71,730.545863
72,649.526587
73,724.75588
74,809.985225
75,792.354397
76,1149.364476
77,1145.98939
78,1260.614368
79,3104.800451
80,3149.142564
81,3043.017369
82,3155.329585
83,3172.741614
84,3192.200477
85,3149.326475
86,2997.817556
87,3140.629454
88,3311.589087
89,3219.447942
90,1017.108784
91,818.636507
92,622.704077
93,622.502151
94,709.986135
95,776.503728
96,654.515508
97,695.369462
98,826.185567
99,798.266877
100,1119.999687
101,1211.327807
102,1267.335591
103,3102.185717
104,3146.536104
105,3040.403822
106,3151.282936
107,3171.363824
108,3189.51655
109,3146.526137
110,2995.102182
111,3137.993532
112,3308.851523
113,3216.566611
114,1024.2569
115,808.387674
116,715.221322
117,713.488082
118,739.451519
119,721.328962
120,679.395896
121,724.829303
122,770.591288
123,823.083167
124,1204.584473
125,1232.608474
126,1416.033389
127,3167.233465
128,3177.945833
129,3062.149713
130,3151.143871
131,3171.363823
132,3189.531869
133,3146.401873
134,2994.998077
135,3137.893935
136,3308.722966
137,3216.368052
138,1017.613597
139,767.484914
140,710.415057
141,689.313941
142,712.830336
143,748.009172
144,679.570383
145,698.212953
146,797.33905
147,823.149459
148,1122.877869
149,1200.017499
150,1349.676037
151,1225.483262
152,1223.184295
153,1099.231217
154,1237.752251
155,1227.417788
156,1230.638073
157,1233.33889
158,1071.969174
159,1197.050681
160,1395.622886
161,1352.178102
162,1123.07434
163,900.339114
164,735.848844
165,707.426069
166,710.873822
167,748.02799
168,679.694129
169,698.357208
170,797.512624
171,823.293994
172,1123.048204
173,1200.206982
174,1310.81787
175,1225.844718
176,1223.561727
177,1099.570806
178,1238.147041
179,1227.484069
180,1192.802148
181,1234.945341
182,1073.046803
183,1198.11787
184,1360.780658
185,1318.329914
186,1124.286651
187,899.806553
188,736.244002
189,708.484406
190,710.137771
191,748.063318
192,680.659891
193,697.614975
194,797.672051
195,824.298804
196,1122.232515
197,1202.322845
198,1312.902068
199,3102.019345
200,3146.507005
201,3040.384316
202,3151.265723
203,3171.363824
204,3189.536386
205,3146.512622
206,2995.094643
207,3137.981529
208,3308.849855
209,3216.589819
210,1010.699144
211,788.945563
212,734.877868
213,657.599194
214,739.577624
215,777.331225
216,623.63872
217,724.966688
218,826.720453
219,767.219317
220,1204.584473
221,1288.589133
222,1360.05273
223,3167.613735
224,3178.006086
225,3062.431932
226,3151.204978
227,3171.363824
228,3189.559253
229,3146.448678
230,2995.042342
231,3137.939914
232,3308.828877
233,3216.587436
234,1017.166314
235,728.739314
236,625.042528
237,689.432408
238,725.695067
239,735.32882
240,679.786227
241,711.108738
242,784.829754
243,823.306585
244,1135.768589
245,1150.553988
246,1293.378211
247,3102.013738
248,3146.50546
249,3041.111461
250,3156.459483
251,3175.818945
252,3203.280132
253,3161.548363
254,3010.624769
255,3152.838808
256,3320.113603
257,3224.847158
258,1058.759726
259,827.744276
260,612.409065
261,593.73018
262,640.286581
263,776.956092
264,668.67013
265,690.993863
266,826.869114
267,809.952563
268,1116.23443
269,1165.206068
270,1263.573719
271,3107.08139
272,3151.434881
273,3045.289114
274,3156.120074
275,3173.715365
276,3192.859367
277,3149.146402
278,2998.645747
279,3142.503915
280,3310.858094
281,3216.976342
282,1017.515503
283,818.258238
284,623.527699
285,621.829286
286,709.692765
287,777.387662
288,653.906358
289,695.117221
290,827.082578
291,797.642416
292,1174.402313
293,1269.084179
294,1330.825576
295,3168.290891
296,3178.111915
297,3064.042118
298,3154.650095
299,3173.637996
300,3194.287425
301,3151.380383
302,2999.861175
303,3141.214958
304,3311.324378
305,3217.759971
306,1017.411125
307,784.506117
308,591.927134
309,597.572782
310,679.984643
311,777.384818
312,683.668179
313,665.356991
314,826.948744
315,827.181185
316,1089.990871
317,1210.128548
318,1293.437844
319,1174.249966
320,1253.098228
321,1084.065858
322,1232.264216
323,1153.305346
324,1093.111715
325,1104.486441
326,1022.407598
327,1074.557202
328,1285.425503
329,1328.282741
330,1086.145848
331,905.368409
332,771.895932
333,667.729995
334,715.197034
335,783.626901
336,639.568438
337,702.569928
338,833.072789
339,783.370667
340,1127.206556
341,1235.724306
342,1309.890753
343,1229.884711
344,1258.97046
345,1059.469524
346,1242.131021
347,1263.028177
348,1189.967919
349,1237.604933
350,1108.537673
351,1156.291494
352,1365.851726
353,1354.674929
354,1082.528165
355,904.680089
356,772.524295
357,666.758311
358,715.164851
359,784.523854
360,639.064135
361,702.647988
362,834.06694
363,782.601247
364,1127.323567
365,1236.757755
366,1235.986461
367,1195.979609
368,1225.968523
369,1024.708733
370,1209.085437
371,1231.969359
372,1119.963421
373,1163.139572
374,1079.266862
375,1157.838225
376,1277.935516
377,1328.20783
378,1135.065651
379,880.17175
380,746.644344
381,720.066494
382,690.568125
383,756.997402
384,691.506607
385,678.113177
386,806.72586
387,835.139154
388,1157.3522
389,1229.179819
390,1368.275095
391,3168.503087
392,3179.63767
393,3066.206236
394,3153.904765
395,3173.604623
396,3195.968801
397,3153.961972
398,3002.51674
399,3145.371357
400,3315.185572
401,3221.750834
402,1021.103996
403,787.531838
404,594.721994
405,600.062418
406,712.143752
407,777.565608
408,653.848839
409,695.16014
410,827.114986
411,797.645078
412,1119.752098
413,1212.198872
414,1266.664374
415,3102.14158
416,3146.504146
417,3040.373928
418,3151.247707
419,3171.363824
420,3189.433103
421,3146.457278
422,2995.043845
423,3137.932051
424,3308.755403
425,3216.4266
426,1010.518902
427,808.315396
428,721.993239
429,713.506954
430,732.696796
431,728.129956
432,679.528877
433,718.081943
434,777.447311
435,823.135888
436,1142.736347
437,1182.16973
438,1351.702219
439,3101.678938
440,3146.390863
441,3040.275502
442,3151.158547
443,3171.363823
444,3189.529042
445,3146.413284
446,2995.009262
447,3137.905087
448,3308.735719
449,3216.377355
450,1017.627117
451,801.096122
452,748.646377
453,713.500003
454,706.006184
455,754.799153
456,679.533641
457,691.417224
458,804.126318
459,823.158602
460,1171.116722
461,1266.076224
462,1416.033389
463,3167.556358
464,3177.981602
465,3062.395241
466,3151.173847
467,3171.363823
468,3189.535194
469,3146.417743
470,2995.006441
471,3137.901183
472,3308.757122
473,3216.477885
474,1017.020178
475,755.263981
476,680.841625
477,655.884006
478,709.870991
479,784.49461
480,646.188427
481,695.282679
482,833.905911
483,789.764482
484,1119.982631
485,1236.61892
486,1277.308966
487,1203.265549
488,1259.965026
489,1085.48419
490,1215.459157
491,1264.791624
492,1180.820986
493,1217.06865
494,1095.200072
495,1175.369323
496,1336.126478
497,1365.565375
498,1092.318693
499,900.095587
500,775.124354
501,676.469426
502,711.131799
503,786.791515
504,649.631023
505,695.828236
506,834.048162
507,789.803783
508,1119.958076
509,1236.555554
510,1316.23007
511,1222.475879
512,1259.597228
513,1065.637273
514,1234.550551
515,1284.264153
516,1217.140292
517,1229.146613
518,1108.10222
519,1164.178148
520,1357.215314
521,1354.141492
522,1090.209919
523,896.106198
524,771.935827
525,674.684705
526,706.762088
527,784.465194
528,646.825555
529,694.227374
530,833.74303
531,790.530718
532,1118.930505
533,1238.506906
534,1319.137372
535,3101.724092
536,3146.400701
537,3040.285336
538,3151.172106
539,3171.363823
540,3189.555483
541,3146.437688
542,2996.4798
543,3140.246102
544,3311.175574
545,3218.988996
546,1019.488314
547,763.237789
548,647.37186
549,634.182722
550,739.152614
551,747.707073
552,657.320379
553,722.376812
554,797.257978
555,799.935114
556,1201.595528
557,1258.907237
558,1353.713663
559,3167.964513
560,3178.041978
561,3062.687294
562,3151.229614
563,3171.363823
564,3189.528247
565,3146.486173
566,2995.076118
567,3137.966831
568,3308.843695
569,3216.565004
570,1017.076816
571,755.32468
572,680.885903
573,655.897003
574,709.879916
575,784.497453
576,646.145085
577,695.269548
578,833.873982
579,789.72437
580,1119.919229
581,1238.596642
582,1318.293891
583,3101.78586
584,3146.391124
585,3040.269865
586,3151.150208
587,3171.363824
588,3189.507437
589,3146.397982
590,2995.010745
591,3137.921382
592,3308.762933
593,3216.414085
594,1017.687337
595,801.191709
596,722.461367
597,683.878609
598,732.387727
599,758.19554
600,649.967299
601,717.799052
602,807.612281
603,793.556988
604,1142.489129
605,1212.376102
606,1263.636147
607,3101.916901
608,3146.487756
609,3040.369259
610,3151.255756
611,3171.363823
612,3189.592039
613,3146.512587
614,2995.108236
615,3138.003453
616,3308.860914
617,3216.594924
618,1017.164473
619,769.572385
620,676.072661
621,706.498177
