hours,kW
0,4178.621629
1,6479.318294
2,5436.76646
3,5801.494426
4,6998.855223
5,5254.560666
6,3817.152362
7,4733.070006
8,4793.158784
9,4961.308605
10,5406.543793
11,2553.072796
12,2033.801135
13,2163.896641
14,2278.410711
15,1944.559043
16,2202.347829
17,1803.960944
18,1882.446018
19,2383.090733
20,2477.546742
21,2631.516554
22,3104.905833
23,2940.444607
24,2750.806074
25,3341.251177
26,3039.197024
27,3112.491783
28,3957.972926
29,3043.501978
30,1893.256803
31,8481.369433
32,8412.32896
33,8002.623653
34,6946.454541
35,5652.721206
36,6410.051986
37,6636.449266
38,5977.375324
39,5527.0069
40,5459.599033
41,6306.158522
42,2443.725647
43,3008.303419
44,2783.187816
45,1710.631395
46,1993.457425
47,1858.192943
48,1117.380953
49,1694.710882
50,1803.998911
51,1872.444543
52,2610.54058
53,2988.87424
54,2507.906439
55,9430.606252
56,9911.189222
57,9712.466343
58,8613.525248
59,8767.802211
60,11320.530294
61,11679.082596
62,9822.256753
63,8855.468139
64,9403.097989
65,11552.825604
66,6144.219583
67,7737.429382
68,9629.451216
69,6041.704541
70,7421.391259
71,7840.345642
72,4771.760819
73,5587.850043
74,5677.97149
75,4939.385022
76,5761.910207
77,5046.864923
78,3733.291038
79,12750.475416
80,12975.37707
81,12542.585903
82,10560.997491
83,11265.692022
84,14455.676845
85,14595.028868
86,12271.448737
87,10511.510462
88,10855.778688
89,12854.516239
90,6975.994629
91,9850.035695
92,12428.696818
93,7981.279395
94,8988.033905
95,9834.366091
96,5642.810043
97,6098.920785
98,7037.040301
99,5889.961204
100,6533.835052
101,6892.120478
102,5087.219463
103,15834.23663
104,15592.669353
105,15203.186571
106,12573.565828
107,13841.606779
108,17362.420917
109,17408.657837
110,14573.775203
111,12680.811435
112,13716.551677
113,16821.537054
114,9915.144619
115,14918.436419
116,20523.294583
117,13671.95128
118,15231.24003
119,15588.616916
120,9442.176083
121,10379.685005
122,10865.086807
123,9549.817207
124,10709.775773
125,10776.761444
126,9873.034217
127,23743.827308
128,22609.232418
129,20695.910456
130,16193.586226
131,17696.736604
132,21228.136275
133,20340.215356
134,16734.403681
135,14003.88612
136,14980.145997
137,18138.002918
138,10516.333754
139,14506.357405
140,19575.587218
141,12169.919628
142,13083.104098
143,14983.494395
144,8561.699877
145,8637.488804
146,10641.705766
147,8479.345314
148,8699.177353
149,10167.873195
150,8180.550881
151,12286.565613
152,17711.583309
153,11639.000756
154,11072.834982
155,11688.162579
156,9051.721135
157,10913.13762
158,12940.295606
159,8618.684694
160,9338.953679
161,12611.69352
162,12051.748218
163,14372.856306
164,17257.481108
165,11210.871574
166,11905.920449
167,13475.26979
168,7509.191174
169,7359.024525
170,8888.374414
171,7030.667239
172,7197.117
173,8221.71676
174,5758.758368
175,8948.194026
176,13622.012489
177,9683.114852
178,9283.422857
179,9618.738353
180,7076.720414
181,9226.632237
182,11360.021536
183,7848.729182
184,8278.083557
185,10534.227807
186,10047.212593
187,12066.221479
188,14898.337997
189,10121.29523
190,10875.004607
191,12279.764748
192,6950.528255
193,6841.79327
194,8374.932833
195,6887.208035
196,7046.89637
197,7923.237605
198,5844.337925
199,16313.151066
200,16001.273225
201,15298.939927
202,12562.57698
203,13699.61691
204,16631.722581
205,16747.301212
206,14308.812778
207,12276.87368
208,12820.028256
209,15796.969797
210,9177.231764
211,12845.799756
212,17382.417858
213,10013.40663
214,12216.638634
215,13201.370235
216,6674.802078
217,8733.870842
218,9817.395726
219,7016.76604
220,9304.565138
221,9708.159961
222,7207.430642
223,20214.711996
224,18193.802235
225,16900.556242
226,13453.431753
227,14031.475667
228,16955.726823
229,17118.434699
230,14624.333518
231,12150.596481
232,12632.044582
233,15156.314547
234,8159.709798
235,10977.705246
236,14761.758812
237,9366.838168
238,10324.835534
239,11214.228964
240,6618.421707
241,6997.213474
242,8037.696014
243,6683.78528
244,7287.489693
245,7233.212698
246,5184.273362
247,15990.467699
248,15347.258066
249,13721.823236
250,10769.748105
251,10514.005071
252,11915.896331
253,11951.149891
254,10150.774742
255,8952.056879
256,9642.026446
257,11829.617334
258,6355.716138
259,8312.600939
260,10627.552765
261,6545.570849
262,7699.14474
263,8873.357951
264,4720.394848
265,5627.044035
266,6766.406586
267,4786.073718
268,5770.814358
269,5447.520398
270,3701.619427
271,12736.197499
272,12798.427864
273,12481.702181
274,10625.314873
275,11140.745242
276,14413.324928
277,14671.777589
278,12086.223932
279,10219.455698
280,10995.750517
281,13446.321007
282,7293.039775
283,10136.153793
284,12685.309815
285,8291.987946
286,9504.841825
287,10552.32274
288,5796.126514
289,6111.633414
290,7152.195872
291,5868.475709
292,6595.257668
293,7072.312772
294,5058.815774
295,16040.516386
296,14693.271593
297,13074.019943
298,10600.678474
299,10961.189096
300,13887.947959
301,14085.15407
302,11901.135713
303,10382.487862
304,10874.225704
305,13236.487248
306,7271.28413
307,9917.024773
308,12725.482218
309,8069.223431
310,8851.207674
311,10385.328064
312,6119.702878
313,6308.065434
314,8178.353158
315,6435.663078
316,6433.551261
317,7196.905595
318,4984.588604
319,8088.054089
320,12435.662859
321,7805.94049
322,7595.6691
323,5620.677165
324,4389.437189
325,5946.375173
326,7548.825998
327,5166.764887
328,5955.888084
329,8037.99425
330,8385.861735
331,11544.515268
332,14602.550453
333,9948.607099
334,12225.812989
335,13968.929508
336,7455.130119
337,8443.150485
338,9574.973678
339,7415.166098
340,8554.506054
341,9338.491299
342,7083.134841
343,11166.419278
344,15776.783204
345,10325.858307
346,10734.008481
347,10764.749383
348,8192.97538
349,10820.157375
350,12486.908101
351,8082.287827
352,9189.069625
353,11143.44813
354,9881.009288
355,13109.259375
356,15511.416972
357,10222.116861
358,12268.506254
359,13290.567278
360,6834.808105
361,7681.345896
362,8900.327211
363,6666.632124
364,7359.044673
365,8151.020499
366,4398.477002
367,5744.041513
368,7625.997714
369,5811.913525
370,6175.261285
371,4475.840143
372,2921.829942
373,4481.254679
374,5834.783106
375,4879.903229
376,3640.986883
377,5270.517894
378,5806.235877
379,5863.413273
380,6104.459785
381,6167.490567
382,5939.384195
383,6533.959783
384,6471.833285
385,6063.119953
386,6420.486696
387,6621.491029
388,6179.663705
389,5870.509362
390,5049.278854
391,14194.685585
392,13362.227416
393,13003.151025
394,11071.496175
395,11405.949228
396,13695.317332
397,13669.419003
398,11643.292455
399,10030.675395
400,10429.99889
401,12487.152283
402,6533.042523
403,9146.304789
404,11357.296903
405,7322.444451
406,8288.057791
407,9348.696915
