hours,kW
0,264.420502
1,264.420502
2,264.420502
3,264.420502
4,264.420502
5,264.420502
6,266.291406
7,273.775025
8,288.742262
9,277.516834
10,277.516834
11,277.516834
12,277.516834
13,277.516834
14,277.516834
15,277.516834
16,277.516834
17,277.516834
18,296.22588
19,288.742262
20,288.742262
21,288.742262
22,281.258643
23,270.033216
24,241.743493
25,241.743493
26,241.743493
27,241.743493
28,241.743493
29,425.246342
30,456.356813
31,791.47267
32,1117.685591
33,1091.668113
34,1091.826658
35,1092.224095
36,1065.521097
37,1092.63348
38,1092.603596
39,1092.937501
40,1092.608051
41,758.739037
42,397.367807
43,404.851425
44,362.80747
45,362.80747
46,290.82904
47,247.356207
48,241.743493
49,241.743493
50,241.743493
51,241.743493
52,241.743493
53,425.246342
54,456.356813
55,791.527037
56,1117.710035
57,1091.574554
58,1091.596615
59,1091.581384
60,1062.984552
61,1091.584849
62,1091.56815
63,1091.544684
64,1091.33375
65,757.555043
66,397.367807
67,404.851425
68,362.80747
69,362.80747
70,290.82904
71,247.356207
72,241.743493
73,241.743493
74,241.743493
75,241.743493
76,241.743493
77,425.246342
78,456.356813
79,790.832861
80,1116.544689
81,1090.532412
82,1090.669274
83,1090.734765
84,1062.149081
85,1090.824561
86,1091.244614
87,1091.005858
88,1090.80086
89,757.111528
90,397.367807
91,404.851425
92,362.80747
93,362.80747
94,290.82904
95,247.356207
96,241.743493
97,241.743493
98,241.743493
99,241.743493
100,241.743493
101,425.246342
102,456.356813
103,790.403349
104,1115.873246
105,1090.062633
106,1091.474388
107,1093.094288
108,1064.579849
109,1091.451563
110,1091.771508
111,1091.554016
112,1090.689683
113,756.564069
114,397.367807
115,404.851425
116,362.80747
117,362.80747
118,290.82904
119,247.356207
120,241.743493
121,241.743493
122,241.743493
123,241.743493
124,241.743493
125,425.246342
126,456.356813
127,788.920892
128,1114.848353
129,1089.904433
130,1091.033933
131,1091.819944
132,1063.609574
133,1092.236509
134,1091.911512
135,1091.262072
136,1090.321996
137,756.186878
138,397.367807
139,404.851425
140,362.80747
141,362.80747
142,290.82904
143,247.356207
144,264.420502
145,264.420502
146,264.420502
147,264.420502
148,264.420502
149,264.420502
150,331.423559
151,342.648986
152,346.390796
153,295.530973
154,288.047355
155,327.681749
156,327.681749
157,288.047355
158,288.047355
159,288.047355
160,288.047355
161,327.681749
162,300.629702
163,296.22588
164,296.22588
165,296.22588
166,288.742262
167,285.000453
168,264.420502
169,264.420502
170,264.420502
171,264.420502
172,264.420502
173,264.420502
174,331.423559
175,338.907177
176,353.874414
177,303.014592
178,303.014592
179,342.648986
180,342.648986
181,303.014592
182,303.014592
183,342.648986
184,281.920656
185,277.516834
186,296.22588
187,288.742262
188,288.742262
189,288.742262
190,281.258643
191,270.033216
192,241.743493
193,241.743493
194,241.743493
195,241.743493
196,241.743493
197,425.246342
198,456.356813
199,790.452534
200,1116.704203
201,1091.560755
202,1091.879016
203,1091.564955
204,1063.976281
205,1092.49301
206,1091.723509
207,1091.516549
208,1090.916038
209,756.841714
210,397.367807
211,404.851425
212,362.80747
213,362.80747
214,290.82904
215,247.356207
216,241.743493
217,241.743493
218,241.743493
219,241.743493
220,241.743493
221,425.246342
222,456.356813
223,789.634418
224,1115.068896
225,1089.339248
226,1089.781607
227,1090.137478
228,1061.791457
229,1090.44378
230,1090.414291
231,1090.392125
232,1090.263096
233,756.566613
234,397.367807
235,404.851425
236,362.80747
237,362.80747
238,290.82904
239,247.356207
240,241.743493
241,241.743493
242,241.743493
243,241.743493
244,241.743493
245,425.246342
246,456.356813
247,790.180864
248,1115.74855
249,1090.034326
250,1090.494258
251,1090.812457
252,1062.52446
253,1091.249388
254,1091.299224
255,1091.250458
256,1091.055848
257,757.286102
258,397.367807
259,404.851425
260,362.80747
261,362.80747
262,290.82904
263,247.356207
264,241.743493
265,241.743493
266,241.743493
267,241.743493
268,241.743493
269,425.246342
270,456.356813
271,790.798743
272,1116.541448
273,1090.616058
274,1090.82698
275,1090.970726
276,1062.429516
277,1091.325769
278,1092.216623
279,1092.239644
280,1091.450084
281,757.285738
282,397.367807
283,404.851425
284,362.80747
285,362.80747
286,290.82904
287,247.356207
288,241.743493
289,241.743493
290,241.743493
291,241.743493
292,241.743493
293,425.246342
294,456.356813
295,790.468702
296,1116.844334
297,1092.004107
298,1092.931203
299,1094.343375
300,1063.858399
301,1091.931795
302,1091.873849
303,1091.974545
304,1091.499272
305,757.447831
306,397.367807
307,404.851425
308,362.80747
309,362.80747
310,290.82904
311,247.356207
312,264.420502
313,264.420502
314,264.420502
315,264.420502
316,264.420502
317,264.420502
318,331.423559
319,342.648986
320,346.390796
321,295.530973
322,288.047355
323,327.681749
324,327.681749
325,288.047355
326,288.047355
327,288.047355
328,288.047355
329,327.681749
330,300.629702
331,296.22588
332,296.22588
333,296.22588
334,288.742262
335,285.000453
336,264.420502
337,264.420502
338,264.420502
339,264.420502
340,264.420502
341,264.420502
342,331.423559
343,338.907177
344,353.874414
345,303.014592
346,303.014592
347,342.648986
348,342.648986
349,303.014592
350,303.014592
351,342.648986
352,281.920656
353,277.516834
354,296.22588
355,288.742262
356,288.742262
357,288.742262
358,281.258643
359,270.033216
360,264.420502
361,264.420502
362,264.420502
363,264.420502
364,264.420502
365,264.420502
366,266.291406
367,273.775025
368,288.742262
369,277.516834
370,277.516834
371,277.516834
372,277.516834
373,277.516834
374,277.516834
375,277.516834
376,277.516834
377,277.516834
378,296.22588
379,288.742262
380,288.742262
381,288.742262
382,281.258643
383,270.033216
384,241.743493
385,241.743493
386,241.743493
387,241.743493
388,241.743493
389,425.246342
390,456.356813
391,790.734305
392,1116.445282
393,1090.507144
394,1090.61447
395,1090.749547
396,1062.396944
397,1091.10544
398,1091.156954
399,1091.130077
400,1091.018743
401,757.310521
402,397.367807
403,404.851425
404,362.80747
405,362.80747
406,290.82904
407,247.356207
408,241.743493
409,241.743493
410,241.743493
411,241.743493
412,241.743493
413,425.246342
414,456.356813
415,790.378433
416,1116.097246
417,1090.252583
418,1091.603476
419,1092.677856
420,1064.056623
421,1091.645388
422,1091.731349
423,1091.035451
424,1090.461745
425,756.410328
426,397.367807
427,404.851425
428,362.80747
429,362.80747
430,290.82904
431,247.356207
432,241.743493
433,241.743493
434,241.743493
435,241.743493
436,241.743493
437,425.246342
438,456.356813
439,789.099178
440,1114.828798
441,1089.984122
442,1091.281606
443,1092.209064
444,1064.089603
445,1092.770173
446,1092.493684
447,1091.81557
448,1090.868931
449,756.541344
450,397.367807
451,404.851425
452,362.80747
453,362.80747
454,290.82904
455,247.356207
456,241.743493
457,241.743493
458,241.743493
459,241.743493
460,241.743493
461,425.246342
462,456.356813
463,789.69278
464,1115.624279
465,1090.631651
466,1091.533578
467,1091.874654
468,1063.830713
469,1092.578273
470,1092.373206
471,1091.297043
472,1090.748178
473,756.78623
474,397.367807
475,404.851425
476,362.80747
477,362.80747
478,290.82904
479,247.356207
480,264.420502
481,264.420502
482,264.420502
483,264.420502
484,264.420502
485,264.420502
486,331.423559
487,342.648986
488,346.390796
489,295.530973
490,288.047355
491,327.681749
492,327.681749
493,288.047355
494,288.047355
495,288.047355
496,288.047355
497,327.681749
498,300.629702
499,296.22588
500,296.22588
501,296.22588
502,288.742262
503,285.000453
504,264.420502
505,264.420502
506,264.420502
507,264.420502
508,264.420502
509,264.420502
510,331.423559
511,338.907177
512,353.874414
513,303.014592
514,303.014592
515,342.648986
516,342.648986
517,303.014592
518,303.014592
519,342.648986
520,281.920656
521,277.516834
522,296.22588
523,288.742262
524,288.742262
525,288.742262
526,281.258643
527,270.033216
528,241.743493
529,241.743493
530,241.743493
531,241.743493
532,241.743493
533,425.246342
534,456.356813
535,789.411474
536,1114.945372
537,1089.417231
538,1090.407342
539,1090.504447
540,1062.016158
541,1090.730387
542,1090.892519
543,1090.780594
544,1090.662605
545,756.995431
546,397.367807
547,404.851425
548,362.80747
549,362.80747
550,290.82904
551,247.356207
552,241.743493
553,241.743493
554,241.743493
555,241.743493
556,241.743493
557,425.246342
558,456.356813
559,789.858427
560,1115.325118
561,1089.487071
562,1090.036412
563,1090.547761
564,1062.612074
565,1091.738444
566,1091.681316
567,1091.541501
568,1090.950999
569,756.739688
570,397.367807
571,404.851425
572,362.80747
573,362.80747
574,290.82904
575,247.356207
576,241.743493
577,241.743493
578,241.743493
579,241.743493
580,241.743493
581,425.246342
582,456.356813
583,789.691945
584,1115.081104
585,1089.172237
586,1089.416788
587,1089.591015
588,1061.160803
589,1089.770246
590,1089.760779
591,1089.722417
592,1089.59117
593,755.906454
594,397.367807
595,404.851425
596,362.80747
597,362.80747
598,290.82904
599,247.356207
600,241.743493
601,241.743493
602,241.743493
603,241.743493
604,241.743493
605,425.246342
606,456.356813
607,789.776503
608,1115.282193
609,1089.38875
610,1089.862724
611,1091.257917
612,1062.719636
613,1090.867819
614,1091.540256
615,1091.599202
616,1091.019484
617,756.823018
618,397.367807
619,404.851425
620,362.80747
621,362.80747
622,290.82904
623,247.356207
624,241.743493
625,241.743493
626,241.743493
627,241.743493
628,241.743493
629,425.246342
630,456.356813
631,789.93449
632,1115.485318
633,1090.52895
634,1091.323802
635,1090.785976
636,1063.091513
637,1091.759179
638,1090.703919
639,1090.653196
640,1090.146532
641,755.955065
642,397.367807
643,404.851425
644,362.80747
645,362.80747
646,290.82904
647,247.356207
648,264.420502
649,264.420502
650,264.420502
651,264.420502
652,264.420502
653,264.420502
654,331.423559
655,342.648986
656,346.390796
657,295.530973
658,288.047355
659,327.681749
660,327.681749
661,288.047355
662,288.047355
663,288.047355
664,288.047355
665,327.681749
666,300.629702
667,296.22588
668,296.22588
669,296.22588
670,288.742262
671,285.000453
672,264.420502
673,264.420502
674,264.420502
675,264.420502
676,264.420502
677,264.420502
678,331.423559
679,338.907177
680,353.874414
681,303.014592
682,303.014592
683,342.648986
684,342.648986
685,303.014592
686,303.014592
687,342.648986
688,281.920656
689,277.516834
690,296.22588
691,288.742262
692,288.742262
693,288.742262
694,281.258643
695,270.033216
696,241.743493
697,241.743493
698,241.743493
699,241.743493
700,241.743493
701,425.246342
702,456.356813
703,788.729
704,1113.6414
705,1087.490336
706,1087.899176
707,1087.980026
708,1059.474878
709,1088.433581
710,1088.894755
711,1089.158837
712,1088.655276
713,754.411581
714,397.367807
715,404.851425
716,362.80747
717,362.80747
718,290.82904
719,247.356207
720,241.743493
721,241.743493
722,241.743493
723,241.743493
