hours,kW
0,1977.332624
1,4219.275649
2,2842.528149
3,2819.853041
4,4534.066989
5,3101.488408
6,2959.088671
7,2949.998247
8,1944.499474
9,1881.407909
10,2218.093835
11,1642.717084
12,1440.133362
13,1494.432471
14,1190.550707
15,1155.784694
16,1429.448544
17,1329.252929
18,1324.830262
19,1466.887307
20,1296.613861
21,1645.726551
22,2030.825222
23,1695.118731
24,1726.894464
25,2105.062781
26,1792.425078
27,1876.862778
28,2423.083884
29,2014.846526
30,18002.821885
31,16831.706449
32,11983.487831
33,10750.354945
34,9827.794021
35,8311.293622
36,7128.335388
37,6511.919924
38,6259.441589
39,6252.249858
40,6781.336853
41,6687.897525
42,6548.713661
43,4871.847485
44,5144.115878
45,789.006481
46,837.087609
47,952.135721
48,1054.666435
49,1179.721617
50,1569.796142
51,1753.890065
52,1827.451748
53,2338.383115
54,15633.085521
55,16066.077109
56,12094.245466
57,11913.987337
58,12300.680472
59,12028.043816
60,11929.132833
61,12067.17147
62,11905.613056
63,11788.071912
64,12890.631186
65,14342.631803
66,14794.642284
67,10171.935601
68,11437.283369
69,2339.38765
70,2431.397587
71,3732.577433
72,2527.824488
73,2580.598636
74,3989.409522
75,2677.945426
76,2620.458029
77,4040.23049
78,23462.543289
79,21033.59205
80,17808.792035
81,17242.386341
82,16632.216528
83,16026.132074
84,16046.937233
85,16147.691418
86,15629.268763
87,14997.508822
88,15610.650905
89,16631.241833
90,17520.548081
91,12949.309925
92,14492.622375
93,2819.936656
94,2870.589966
95,4414.978227
96,2691.882235
97,2982.609947
98,4576.815531
99,2899.069196
100,3194.833905
101,5081.655719
102,26606.074571
103,26075.748027
104,22216.743873
105,21175.454009
106,20009.716633
107,18685.03989
108,18329.886497
109,18854.510286
110,18419.037391
111,18461.381105
112,20518.442297
113,21992.449203
114,23065.920975
115,18690.477757
116,21911.368578
117,4275.341483
118,4445.078696
119,7177.299802
120,4157.096401
121,4609.016797
122,7443.467274
123,4293.150384
124,4731.218815
125,7574.059369
126,35107.460355
127,35641.578688
128,33762.562294
129,30740.377893
130,28505.856208
131,25879.708478
132,24142.282132
133,23258.055553
134,22520.755474
135,21935.117464
136,23526.013422
137,24936.593883
138,24986.645179
139,19276.930381
140,20959.509001
141,3913.792739
142,4110.69916
143,6712.067541
144,3894.054897
145,4342.526956
146,6905.045734
147,3996.846738
148,4437.44978
149,6979.129831
150,4074.262213
151,3428.226411
152,4237.954128
153,2399.280393
154,2588.009618
155,3352.047686
156,2000.458716
157,2331.099318
158,2756.93967
159,2105.518446
160,2440.814498
161,3363.100292
162,2555.658871
163,2754.75081
164,3413.420581
165,3600.561021
166,3382.848847
167,5275.509361
168,3134.844199
169,3446.179661
170,5309.251889
171,3208.297923
172,3469.073003
173,5342.492147
174,3176.989907
175,2644.321413
176,3314.761536
177,2278.744703
178,2476.810302
179,2736.639796
180,1925.962846
181,2031.347696
182,2501.663614
183,1872.567618
184,2209.700125
185,2956.993666
186,2180.697027
187,2434.402242
188,3023.743217
189,3214.841377
190,3779.214299
191,4203.001405
192,2974.147841
193,3933.100458
194,4397.763468
195,3131.359276
196,4202.921563
197,4610.223216
198,27169.646517
199,29241.069974
200,27248.081825
201,25124.150095
202,23746.776508
203,22424.286733
204,20667.21458
205,20378.791536
206,20333.827867
207,19736.011901
208,21126.898115
209,22455.924685
210,23186.741404
211,18175.211738
212,19646.778416
213,3490.601931
214,3619.496942
215,5754.98501
216,3525.871524
217,3865.040547
218,6310.026742
219,3821.37406
220,4277.859579
221,6662.844326
222,30501.392762
223,31916.815377
224,28517.116616
225,25928.895703
226,23724.669711
227,21580.138138
228,20267.325081
229,20210.329329
230,20099.980834
231,18875.673446
232,19964.329
233,21045.410087
234,21094.104681
235,15985.43412
236,17448.077908
237,3145.882447
238,3276.858238
239,4992.611426
240,3064.92477
241,3320.614576
242,5185.51178
243,3157.707494
244,3531.30322
245,5361.638334
