hours,kW
0,1856.500508
1,1771.518692
2,1515.205502
3,1788.130014
4,1908.422367
5,1616.992758
6,1862.982496
7,1858.231954
8,1564.648677
9,1912.553754
10,2007.14877
11,1283.811755
12,1545.04325
13,1552.261373
14,1138.735249
15,1412.394768
16,1526.909742
17,1192.930552
18,1474.746722
19,1560.515617
20,1195.461867
21,1568.228286
22,1641.120074
23,1263.373642
24,1559.371629
25,1641.145476
26,1318.366221
27,1600.16602
28,1770.964619
29,1370.398669
30,10986.900981
31,9546.969275
32,5701.784115
33,5253.565525
34,4821.071709
35,4457.887604
36,4520.329172
37,4365.89359
38,4266.55983
39,4768.726497
40,4220.135259
41,4570.495362
42,4216.258874
43,4397.660946
44,4388.312586
45,1365.011228
46,1646.625746
47,1670.194799
48,1303.690123
49,1446.882267
50,1568.73302
51,1409.377628
52,1613.335266
53,1737.391027
54,10030.996844
55,10166.356634
56,6139.732966
57,6141.337044
58,6280.160113
59,6075.251125
60,5984.591712
61,6068.440409
62,5989.229559
63,8032.026804
64,7267.83986
65,8484.151298
66,7034.639997
67,7428.524543
68,7535.430732
69,1987.878007
70,2254.701346
71,2337.901361
72,1775.344938
73,2182.865613
74,2315.950374
75,1786.350448
76,2162.050835
77,2311.356009
78,14969.102067
79,14769.700946
80,9950.64031
81,9966.861832
82,9479.563301
83,9088.127143
84,9035.145851
85,9061.37287
86,8734.024583
87,11150.056306
88,9142.293388
89,9878.793205
90,7801.688238
91,7919.070073
92,8002.032185
93,1567.818592
94,1865.226035
95,1955.682108
96,1581.535192
97,1927.346127
98,1975.975424
99,1658.747006
100,1991.853698
101,2141.496612
102,15347.166029
103,16986.950743
104,11926.465254
105,11529.816268
106,10675.168689
107,9696.717678
108,9470.364286
109,9799.225606
110,9535.140069
111,12247.297109
112,11351.119019
113,12360.503204
114,10205.473797
115,11642.256568
116,12432.617076
117,2284.867511
118,2853.953834
119,2960.046966
120,2409.098006
121,2940.003596
122,3051.127735
123,2473.890028
124,2957.445812
125,3114.514681
126,18678.505106
127,21546.971686
128,19789.024429
129,17531.372894
130,15990.974224
131,14122.136503
132,13061.109093
133,12459.237777
134,12065.684915
135,14083.479574
136,13134.483398
137,14076.292778
138,11239.197336
139,11812.977141
140,11796.228449
141,2088.017688
142,2605.102551
143,2728.034865
144,2188.326596
145,2644.111991
146,2726.253175
147,2209.126738
148,2626.513665
149,2724.832618
150,2244.203836
151,2205.433812
152,2049.427529
153,1573.698347
154,1789.572308
155,1707.626147
156,1312.646631
157,1539.013552
158,1503.43664
159,1276.511662
160,1594.515744
161,1781.295696
162,1520.761125
163,1781.911232
164,1788.075861
165,1711.443093
166,2000.653335
167,2081.80912
168,1724.705407
169,2025.168578
170,2097.10939
171,1737.98889
172,2041.840377
173,2108.063843
174,1746.479422
175,1714.501632
176,1712.661092
177,1360.735068
178,1580.540879
179,1491.02035
180,1539.658935
181,1920.391697
182,2080.575636
183,1597.754084
184,1575.347186
185,1625.83031
186,1346.77475
187,1620.093045
188,1626.487509
189,1559.923102
190,1889.860393
191,1933.930028
192,1591.533635
193,1948.890165
194,2036.41332
195,1687.99721
196,2058.406311
197,2105.353177
198,15318.087932
199,18635.108254
200,14842.466744
201,13380.345596
202,12318.713554
203,11403.046344
204,10436.822108
205,10393.611261
206,10433.771298
207,12922.832451
208,11269.616606
209,12435.738048
210,10374.695855
211,10983.172921
212,10963.270593
213,1873.618363
214,2302.463381
215,2427.011953
216,1958.236865
217,2421.877462
218,2528.299592
219,2116.721565
220,2518.128919
221,2640.249539
222,17073.820992
223,19899.46289
224,16500.812106
225,14708.055781
226,13225.10026
227,11590.847153
228,10839.107296
229,10828.999576
230,10755.72122
231,12799.988321
232,10798.23631
233,11693.083651
234,9368.163969
235,9820.946596
236,9773.908711
237,1694.125503
238,2113.123762
239,2143.884507
240,1745.774054
241,2111.040028
242,2163.118646
243,1801.682938
244,2127.478982
245,2207.951343
246,15384.335841
247,18161.278393
248,12807.549211
249,11450.576112
250,10623.335475
251,9351.11334
252,7734.952925
253,7462.004031
254,7131.123403
255,8962.295642
256,8292.173432
257,9758.92733
258,8251.295327
259,8601.29593
260,8966.039504
261,1996.651448
262,2294.746161
263,2386.498089
264,1789.594248
265,2157.094799
266,2364.303796
267,1787.469279
268,2142.491184
269,2282.965894
270,14852.00619
271,15593.845106
272,10571.606528
273,10326.227668
274,9928.498952
275,9336.938646
276,9330.99022
277,9342.02474
278,8707.153288
279,10745.570353
280,9419.976777
281,10610.056867
282,7754.277722
283,8431.429249
284,8500.000835
285,1622.968796
286,1988.394697
287,2073.930377
288,1626.59286
289,1905.382909
290,1985.900513
291,1634.638392
292,2011.149357
293,2075.85243
294,15301.032504
295,17568.344111
296,11456.085464
297,10243.535907
298,9553.135697
299,8617.147226
300,8476.794429
301,8626.471897
302,8519.958926
303,11071.510491
304,9238.927495
305,10362.330115
306,7602.455015
307,8267.430217
308,8352.329125
309,1576.747074
310,1908.503039
311,2026.72975
312,1673.251682
313,2103.424306
314,2168.141764
315,1735.047567
316,2075.018318
317,2093.698306
318,1728.926664
319,1666.31786
320,1532.626442
321,1545.485635
322,1852.703169
323,1688.15484
324,1273.437092
325,1616.124756
326,1689.348738
327,1428.269988
328,1956.918744
329,2136.889399
330,1649.642656
331,1994.481519
332,1646.085058
333,1672.915853
334,2063.093179
335,2236.031567
336,1919.337653
337,2303.28087
338,2385.826845
339,1991.588392
340,2389.546459
341,2481.128294
342,2032.236851
343,1982.082247
344,1880.702874
345,1444.564128
346,1699.793165
347,1591.577615
348,1280.741377
349,1471.615464
350,1474.479101
351,1220.309603
352,1505.941906
353,1619.713727
354,1350.703221
355,1616.997336
356,1667.749228
357,1630.025595
358,1982.501301
359,2054.170255
360,1675.011754
361,2044.309376
362,2130.771724
363,1736.473837
364,2074.007439
365,2112.467402
366,1727.639845
367,1774.285518
368,1683.514449
369,1355.087322
370,1794.044768
371,1999.72661
372,1543.718289
373,1987.933013
374,2037.39854
375,1593.665469
376,2010.419339
377,2184.951203
378,1413.927458
379,1751.107075
380,2121.305073
381,1849.809937
382,2233.937923
383,2371.178173
384,1864.671257
385,2230.255568
386,2387.134149
387,1853.65218
388,2249.989408
389,2393.555914
390,15090.038059
391,18343.01239
392,14174.515052
393,13144.264562
394,12492.315679
395,11373.17096
396,10567.115276
397,10204.136189
398,9843.463304
399,11888.016733
400,10088.451053
401,10991.303765
402,9365.831042
403,9768.062502
404,9738.263161
405,2055.493626
406,2318.279142
407,2448.439147
408,1578.640977
409,1897.753834
410,1963.177289
411,1590.870706
412,1956.363927
413,2056.107658
414,15264.644114
415,18212.322993
416,13502.711177
417,12929.801839
418,12108.871837
419,11290.772433
420,10771.045437
421,11187.873899
422,11084.022447
423,13813.120113
424,12729.72905
425,13863.792845
426,11274.129015
427,12119.20924
428,12508.733819
429,2151.042638
430,2632.648725
431,2758.13354
432,2238.753982
433,2710.270146
434,2811.407415
435,2266.431319
436,2747.671473
437,2831.48056
438,17829.015623
439,20962.073511
440,19157.037411
441,17157.580853
442,15707.836595
443,13960.591998
444,12713.201978
445,12131.755893
446,11693.454828
447,13776.154347
448,12688.499893
449,14080.969558
450,11757.308874
451,12483.9291
452,12732.786301
453,2194.434282
454,2724.280826
455,2809.319005
456,2220.816753
457,2687.827665
458,2777.725082
459,2122.239406
460,2515.538942
461,2573.682084
462,16699.84827
463,19716.473704
464,16546.430313
465,14616.543006
466,13500.348402
467,12205.960705
468,11567.689902
469,10786.195719
470,10219.629978
471,12943.932651
472,11415.450405
473,12417.245453
474,10194.35787
475,10824.635521
476,11077.957907
477,1929.686199
478,2411.360739
479,2496.749145
480,1961.072831
481,2387.718818
482,2413.347466
483,1915.913674
484,2289.853545
485,2331.611208
486,1855.899914
487,1842.707369
488,1764.887923
489,1426.581457
490,1599.859922
491,1808.107628
492,1526.059468
493,1933.822174
494,2013.301602
495,1560.636161
496,2002.866916
497,2157.492619
498,1671.740828
499,2086.228599
500,2166.860625
501,1815.812316
502,2210.636522
503,2295.914239
504,1813.924888
505,2183.258309
506,2103.148974
507,1899.330123
508,2385.218981
509,2598.620574
510,2222.88619
511,2256.510169
512,2223.408464
513,1757.460881
514,2107.179579
515,2025.799389
516,1638.672909
517,1927.639626
518,1979.795035
519,1640.726103
520,2066.191573
521,2222.824201
522,1820.737378
523,2241.664168
524,2334.553625
525,2265.204606
526,2808.065901
527,3017.315096
528,2369.300224
529,2789.297772
530,2786.146762
531,2242.66736
532,2668.121149
533,2743.996965
534,16993.509464
535,19954.74218
536,18389.746323
537,17594.559706
538,15444.014484
539,13773.025621
540,12538.047687
541,11991.606195
542,11895.508366
543,13887.200681
544,11654.721275
545,12292.634213
546,10319.61083
547,10376.054917
548,10073.462443
549,2033.3985
550,2330.672683
551,2182.658986
552,1800.059052
553,1984.858795
554,2180.54305
555,1883.528574
556,2305.705564
557,2431.880732
558,16305.916775
559,19418.541827
560,16226.850834
561,14933.508751
562,13740.757246
563,12031.530307
564,11210.342379
565,10600.208702
566,10183.411903
567,12526.79391
568,10888.980373
569,12638.869917
570,10285.140456
571,10929.214488
572,11055.204139
573,1911.743869
574,2377.245327
575,2468.239322
576,1991.971138
577,2406.171277
578,2516.314058
579,2007.523763
580,2438.389714
581,2530.888891
582,16665.066927
583,19521.802902
584,16516.25266
585,15451.630327
586,14555.942642
587,13715.046047
588,12864.384296
589,13012.619417
590,12900.950598
591,14854.900987
592,13460.36881
593,14256.206641
594,11516.984337
595,11975.580313
596,11928.54512
597,1988.431486
598,2433.296462
599,2536.743931
600,2045.029836
601,2433.952067
602,2475.365302
603,1949.87028
604,2357.711321
605,2408.639263
606,16196.204543
607,19177.092613
608,15765.535998
609,14538.883963
610,13586.488548
611,12196.983038
612,11550.726077
613,11472.882911
614,10954.934121
615,13012.257351
616,10987.447883
617,12096.283212
618,9937.517979
619,10477.478159
620,10492.000146
621,1813.224046
622,2218.477373
623,2340.914723
624,1917.527838
625,2288.665644
626,2359.359494
627,1884.810831
628,2286.093675
629,2367.817334
630,16155.165511
631,18996.572291
632,14812.152777
633,13411.428075
634,12582.910597
635,12531.69812
636,12204.204383
637,12269.083002
638,12730.192809
639,14927.679821
640,14172.29714
641,15459.520834
642,12586.717676
643,13213.297065
644,13467.946731
645,2268.810787
646,2823.939945
647,2998.503731
648,2403.600421
649,2998.310723
650,3075.242433
651,2481.930758
652,3039.400881
653,3141.758196
654,2542.317254
655,2595.491769
656,2484.788675
657,1943.504348
658,2209.814634
659,2137.857091
660,1653.045773
661,1967.057369
662,1941.328146
663,1593.984552
664,1962.673365
665,2059.904552
666,1728.42363
667,2164.799277
668,2205.858789
669,2180.420926
670,2792.223128
671,2913.168086
672,2376.852387
673,2863.341472
674,2974.297869
675,2413.982193
676,2916.313295
677,3010.391401
678,2428.151364
679,2414.011209
680,2392.481569
681,1905.135889
682,2321.897156
683,2271.59067
684,1846.895287
685,2230.853512
686,2273.082335
687,1833.050273
688,2270.960707
689,2428.085541
690,2044.095303
691,2581.518767
692,2652.011301
693,2491.255323
694,3032.397343
695,3189.392149
696,2619.803841
697,3294.638907
698,3341.658568
699,2747.607124
700,3312.338307
701,3389.448842
702,20357.292221
703,23574.707977
704,22590.125927
705,22035.985209
706,21645.187987
707,21108.248722
708,21052.905031
709,21060.170094
710,20345.054159
711,21025.611088
712,21051.516757
713,21650.847757
714,18645.241166
715,18961.584871
716,19002.919959
717,2803.129533
718,3159.242266
719,3214.314355
720,3120.555544
721,3212.063647
722,3238.078891
723,3148.02287
724,3197.33443
725,3272.177361
726,20884.753337
727,24162.647268
728,23091.078867
729,22189.752397
730,21417.44687
731,20417.61113
732,19710.452918
733,18960.850849
734,18068.352797
735,19019.445962
736,18049.021213
737,18557.268886
738,16014.992161
739,16038.843507
740,15910.642938
741,2419.099628
742,2699.602695
743,2903.419468
744,2733.736887
745,2837.771866
746,2976.059442
747,2789.219493
748,2910.447888
749,2974.878446
750,18822.624443
751,21642.556353
752,20572.135816
753,20165.622192
754,19323.193422
755,17787.710034
756,16688.154086
757,16019.225692
758,15460.87156
759,17048.801708
760,16500.159665
761,17485.387028
762,15076.378634
763,15559.645462
764,16007.838008
765,2553.91307
766,2864.466136
767,3032.702349
768,2874.038355
769,2971.876014
770,3085.494958
771,2915.298558
772,3060.687667
773,3140.331289
774,20027.382426
775,23223.301486
776,22732.542661
777,22311.576664
778,22107.509365
779,21207.258156
780,20305.366008
781,19798.487762
782,19134.719671
783,19816.328012
784,19787.271118
785,20597.734175
786,17665.79006
787,18018.282097
788,18337.262658
789,2755.30758
790,3094.647183
791,3219.53737
792,3096.36003
793,3196.495781
794,3259.804968
795,3122.865721
796,3251.895636
797,3267.632048
798,21225.106544
799,24833.514702
800,24004.9761
801,23092.375594
802,22571.47475
803,21346.627966
804,20355.481001
805,19396.979843
806,18593.357977
807,19555.739851
808,19598.479744
809,20642.481843
810,17746.650151
811,18085.118654
812,18286.503001
813,2717.631597
814,3069.566527
815,3211.261236
816,3063.789895
817,3208.032777
818,3227.091771
819,3107.899291
820,3224.396549
821,3249.636863
822,3150.17423
823,2882.242116
824,2826.558164
825,2538.457075
826,2537.457107
827,2550.065516
828,2226.263021
829,2303.150054
830,2320.021066
831,2134.061659
832,2340.75634
833,2551.238077
834,2472.364509
835,2684.633487
836,2689.527293
837,2879.595967
838,2982.542202
839,3049.144665
840,2869.466087
841,2861.79587
842,2949.678741
843,2768.51386
844,2774.939122
845,2889.138894
846,2685.266405
847,2232.041925
848,2265.522103
849,2010.125899
850,2000.679312
851,1927.747677
852,1727.035022
853,1689.634811
854,1713.494353
855,1535.633276
856,1665.830856
857,1980.340146
858,1920.622436
859,2081.415149
860,2193.715232
861,2483.774017
862,2686.177021
863,2832.797892
864,2587.457857
865,2676.720917
866,2779.403311
867,2633.818229
868,2694.142589
869,2875.565105
870,18074.197491
871,20696.499908
872,18896.433482
873,17707.76633
874,15894.40628
875,13850.518025
876,13729.66038
877,13214.247031
878,12625.192516
879,14484.906296
880,13093.281045
881,12765.91958
882,10931.799738
883,11144.375832
884,10945.040414
885,1660.896249
886,2109.788945
887,2068.556192
888,1649.588738
889,2230.670592
890,2335.663093
891,1800.776287
892,2131.21655
893,2283.132038
894,14669.357295
895,17159.129945
896,12558.028239
897,11776.831682
898,11020.766866
899,10222.292847
900,9239.497228
901,9040.711448
902,9049.927385
903,11627.886169
904,9679.709694
905,10486.480656
906,8962.365506
907,9255.030673
908,9207.188898
909,1952.490275
910,2209.298288
911,2291.426517
912,1572.008964
913,1836.520873
914,1968.558389
915,1500.209467
916,1821.053052
917,1931.325474
918,13971.339802
919,13307.864712
920,8985.132779
921,8650.038488
922,8096.090478
923,6945.386421
924,5788.451466
925,5275.944943
926,5683.387783
927,7674.924019
928,7318.521185
929,8875.646129
930,8497.462172
931,9306.81757
932,9339.818247
933,2035.849194
934,2313.303378
935,2440.861591
