hours,kW
0,442.351878
1,441.026835
2,426.567213
3,440.82708
4,442.198035
5,427.798706
6,442.258237
7,397.429044
8,368.654405
9,383.272052
10,383.392156
11,374.214294
12,383.684075
13,384.208076
14,370.097634
15,384.539654
16,413.647693
17,428.920884
18,443.361921
19,444.949824
20,430.454277
21,444.08762
22,442.931988
23,433.386434
24,442.897729
25,442.897141
26,428.345528
27,442.666655
28,444.072152
29,429.437883
30,532.588556
31,928.849884
32,1223.341242
33,1223.191479
34,1250.718754
35,1255.482496
36,1250.630366
37,1223.085066
38,1222.918213
39,1209.936429
40,1237.956039
41,967.219323
42,966.500668
43,968.215345
44,968.131947
45,430.97364
46,440.061243
47,448.952388
48,433.535938
49,439.456549
50,443.261916
51,432.617911
52,445.960017
53,448.631838
54,531.780718
55,931.045185
56,1223.334554
57,1223.305809
58,1251.053183
59,1256.160452
60,1251.120484
61,1223.536647
62,1223.402977
63,1217.877255
64,1239.179377
65,968.752733
66,965.750566
67,965.764028
68,965.79757
69,427.75983
70,441.855598
71,447.091529
72,427.226968
73,441.492996
74,441.450596
75,426.970091
76,442.809638
77,442.727156
78,559.327836
79,952.798808
80,1225.429012
81,1225.237819
82,1252.566225
83,1257.738779
84,1252.507025
85,1224.920924
86,1224.694559
87,1232.825728
88,1240.263973
89,969.618871
90,965.626929
91,966.760879
92,966.645616
93,428.099057
94,441.065663
95,446.333642
96,426.611517
97,440.922094
98,440.809873
99,426.480377
100,442.296217
101,442.039095
102,558.792714
103,965.273461
104,1228.114008
105,1226.379571
106,1253.336293
107,1258.199058
108,1252.765957
109,1225.43037
110,1225.231877
111,1234.65017
112,1242.075645
113,972.320138
114,966.276086
115,968.097336
116,968.364427
117,427.753767
118,440.524992
119,445.774233
120,425.870164
121,440.285169
122,440.070307
123,425.633732
124,447.720778
125,445.953869
126,561.433375
127,990.658033
128,1261.669235
129,1243.852475
130,1266.973634
131,1266.420857
132,1256.97872
133,1228.416066
134,1228.055968
135,1235.316289
136,1243.882196
137,974.503943
138,966.924548
139,966.91159
140,966.880824
141,426.688843
142,440.605038
143,445.867668
144,425.988248
145,440.38777
146,440.194994
147,425.803669
148,441.791675
149,441.475391
150,427.207753
151,396.690545
152,381.879735
153,367.823499
154,382.311066
155,387.304157
156,367.727936
157,382.492559
158,382.350575
159,368.039553
160,411.510746
161,440.984047
162,426.69608
163,442.646695
164,442.332162
165,427.246548
166,440.551347
167,445.666405
168,426.00118
169,440.527379
170,440.301109
171,425.999478
172,442.018271
173,441.677635
174,427.469986
175,396.940895
176,382.040719
177,367.974131
178,382.465489
179,387.421943
180,368.091405
181,382.914938
182,382.946471
183,368.380011
184,411.641782
185,441.13956
186,426.905766
187,442.85273
188,442.535172
189,427.460981
190,440.741451
191,445.801508
192,426.172786
193,440.708762
194,440.474506
195,426.133486
196,442.105454
197,441.73949
198,558.716076
199,990.68369
200,1241.679783
201,1234.335092
202,1258.688301
203,1261.276945
204,1253.110115
205,1225.440719
206,1225.540209
207,1235.18408
208,1241.501103
209,971.66821
