hours,kW
0,451.606825
1,497.276103
2,470.350134
3,516.965392
4,516.454846
5,480.081608
6,536.017545
7,437.634904
8,339.074504
9,404.24086
10,401.607966
11,293.76969
12,315.410002
13,306.94385
14,260.377337
15,294.91033
16,371.775303
17,433.107059
18,452.535313
19,454.850244
20,432.727248
21,458.853911
22,446.863231
23,432.229796
24,517.969494
25,507.855274
26,488.782402
27,510.312411
28,513.144054
29,526.715679
30,4154.285571
31,4636.587483
32,4071.134544
33,3732.129529
34,3533.215286
35,3733.29754
36,4516.157291
37,3984.880441
38,3818.354035
39,3620.466894
40,3534.450665
41,3864.66343
42,3186.218348
43,3182.167975
44,3018.135607
45,3080.332211
46,623.40272
47,628.602629
48,611.018221
49,504.297291
50,506.893436
51,489.287597
52,479.269257
53,529.14847
54,2502.149066
55,3362.06519
56,2620.254104
57,2472.972734
58,2400.198767
59,2390.872137
60,3563.054253
61,2343.248742
62,2268.034109
63,2253.195445
64,2683.894015
65,4324.943814
66,2623.45778
67,2407.43218
68,2363.283407
69,2369.420904
70,613.899965
71,649.240604
72,657.579166
73,585.541022
74,653.10384
75,652.04466
76,585.325199
77,682.408292
78,3450.534046
79,4535.385833
80,3378.851483
81,3150.69158
82,3125.786853
83,3111.874839
84,4719.505489
85,3102.008002
86,2856.557741
87,2907.576027
88,3055.332287
89,4598.38217
90,2456.13229
91,1973.547644
92,1883.955522
93,1880.21957
94,504.733365
95,527.419639
96,526.868576
97,505.0176
98,543.729347
99,532.607805
100,513.859913
101,589.771608
102,2784.067387
103,4829.568847
104,3198.923431
105,2936.728636
106,2630.778282
107,2500.376958
108,4411.493372
109,2550.124557
110,2355.480709
111,2404.550162
112,2738.73145
113,5001.467515
114,2669.965352
115,2613.431841
116,2690.613631
117,2828.41732
118,541.308352
119,595.89167
120,602.76721
121,559.752215
122,629.220197
123,620.353026
124,573.14308
125,677.638087
126,4315.328765
127,7535.040962
128,4444.916726
129,3948.798431
130,3660.060931
131,3425.872309
132,5650.828613
133,3063.141759
134,2909.411756
135,2898.69137
136,3168.470578
137,5590.686899
138,2960.183089
139,2736.079435
140,2643.714116
141,2686.384173
142,535.505052
143,584.841342
144,527.140054
145,488.012773
146,549.509934
147,536.680031
148,496.18451
149,560.087481
150,3669.272558
151,3668.043412
152,3269.026848
153,2872.735652
154,2601.831262
155,2379.946341
156,2165.440651
157,1979.624476
158,1697.75805
159,1721.907717
160,2020.453032
161,2261.799767
162,440.330887
163,496.772154
164,495.545914
165,461.717027
166,504.070202
167,490.211904
168,461.595918
169,509.067116
170,501.747526
171,459.293075
172,514.351577
173,506.735489
174,469.869293
175,391.249832
176,337.176051
177,304.839593
178,348.672824
179,332.324943
180,355.247483
181,421.069348
182,409.06207
183,350.315985
184,414.597927
185,496.119154
186,456.975733
187,511.383549
188,503.542586
189,467.591479
190,507.412221
191,506.642941
192,529.618972
193,578.856774
194,573.381483
195,527.721676
196,589.633008
197,612.294236
198,4593.173827
199,6469.987615
200,4309.351801
201,3797.448822
202,3557.412914
203,3456.904127
204,4989.136728
205,3008.171613
206,2967.618757
207,2898.229084
208,3059.845938
209,5107.240246
210,2937.276133
211,2720.380631
212,2630.448859
213,2605.677355
214,523.808274
215,561.570298
216,566.114284
217,533.249447
218,590.468418
219,582.771705
220,549.094465
221,638.909745
222,3908.47868
223,6435.834767
224,4013.704803
225,3605.40559
226,3311.371571
227,3098.597142
228,4775.070414
229,2868.542837
230,2808.894922
231,2729.505707
232,2835.694566
233,4670.49727
234,2540.565386
235,2332.198998
236,2241.413114
237,2235.377608
238,514.580034
239,543.780942
240,543.71173
241,516.391563
242,560.990895
243,550.084099
244,524.991663
245,602.557865
246,3145.51072
247,5131.492147
248,3343.54095
249,3256.437925
250,3280.898951
251,3234.930809
252,3835.462818
253,2598.277792
254,2498.091998
255,2477.348988
256,2752.653645
257,4529.102359
258,2757.529326
259,2537.834837
260,2406.091573
261,2392.895579
262,610.900064
263,653.709067
264,662.316805
265,587.976916
266,658.893498
267,658.221859
268,588.981619
269,685.674029
270,3475.272616
271,4478.254168
272,3415.357942
273,3175.909338
274,3072.491319
275,3046.438093
276,4619.569467
277,2975.229067
278,2705.163428
279,2665.594076
280,2911.750855
281,4656.394073
282,2083.703228
283,1923.739823
284,1831.574513
285,1871.435507
286,507.798287
287,533.656253
288,594.346389
289,504.896785
290,543.902834
291,531.321851
292,513.722408
293,587.152793
294,2707.319694
295,4706.385288
296,2770.526361
297,2818.727584
298,2772.8529
299,2766.557006
300,4422.507953
301,2940.164542
302,2782.357487
303,2691.39958
304,2884.870107
305,4576.354648
306,1971.510934
307,1804.882608
308,1714.013427
309,1728.693033
310,505.170626
311,528.526605
312,471.236697
313,450.457237
314,496.65356
315,483.608138
