hours,kW
0,428.943528
1,428.943541
2,411.426414
3,428.943538
4,428.94354
5,411.428377
6,428.943545
7,304.473862
8,245.466835
9,262.983971
10,262.983973
11,245.468147
12,262.985259
13,262.987225
14,245.468128
15,262.983968
16,345.963758
17,411.426412
18,428.943537
19,428.943542
20,411.426413
21,428.945509
22,428.943538
23,411.426408
24,489.063402
25,489.063395
26,471.546261
27,489.063388
28,489.06339
29,501.62061
30,569.362788
31,691.052516
32,1433.303275
33,1339.807835
34,1318.232092
35,1339.813793
36,1333.641899
37,1357.798321
38,1318.228842
39,1318.228217
40,1433.579564
41,1393.675939
42,973.341951
43,944.569645
44,764.162229
45,749.772168
46,501.618641
47,489.06339
48,489.063394
49,471.546264
50,489.063391
51,489.063388
52,471.54626
53,519.13774
54,569.362788
55,691.052518
56,1433.788075
57,1339.807835
58,1318.232092
59,1339.813789
60,1334.629444
61,1360.149877
62,1318.695715
63,1319.422915
64,1437.831988
65,1400.710545
66,973.34195
67,944.569645
68,764.162231
69,749.772169
70,501.618641
71,489.063391
72,489.063394
73,471.546264
74,489.06339
75,489.063388
76,471.54626
77,519.13774
78,569.362788
79,691.052519
80,1437.651162
81,1340.080112
82,1318.256059
83,1342.052264
84,1338.021874
85,1363.004349
86,1321.231523
87,1321.661625
88,1439.741847
89,1402.508581
90,973.34195
91,944.569644
92,764.162231
93,749.772169
94,501.618641
95,489.063391
96,489.063394
97,471.546264
98,489.06339
99,489.063387
100,471.54626
101,519.13774
102,569.362788
103,691.052519
104,1467.826259
105,1374.330818
106,1352.755075
107,1374.336769
108,1368.164884
109,1392.321308
110,1352.751829
111,1352.751207
112,1468.102544
113,1428.198923
114,989.003845
115,944.62008
116,764.162231
117,749.772169
118,501.618641
119,489.063391
120,489.063394
121,471.546264
122,489.06339
123,489.063387
124,471.54626
125,519.13774
126,569.362788
127,691.05252
128,1467.826259
129,1364.30455
130,1339.981289
131,1372.469265
132,1368.164884
133,1392.321308
134,1352.751829
135,1352.751208
136,1468.102544
137,1428.198923
138,988.495139
139,944.753243
140,764.162231
141,749.772169
142,501.618641
143,489.063391
144,428.944189
145,411.427058
146,428.944185
147,428.944182
148,411.427055
149,428.946152
150,569.362788
151,502.432636
152,754.451481
153,779.62778
154,768.838226
155,794.013258
156,779.627039
157,750.857957
158,432.189589
159,417.804098
160,504.38058
161,500.747533
162,411.428345
163,428.945477
164,428.945477
165,411.429653
166,428.944188
167,428.944184
168,411.426408
169,428.943543
170,428.943544
171,411.426407
172,428.94354
173,428.945508
174,411.426414
175,304.473862
176,262.983966
177,245.46684
178,262.983973
179,262.985277
180,245.468128
181,262.987227
182,262.985258
183,245.466838
184,345.963759
185,428.943542
186,411.426407
187,428.943542
188,428.943544
189,411.428378
190,428.943538
191,428.943539
192,471.546272
193,489.063395
194,489.063391
195,471.546257
196,489.06339
197,519.13774
198,569.362788
199,691.052518
200,1433.773087
201,1339.807835
202,1318.232092
203,1340.817597
204,1350.045701
205,1378.250167
206,1328.903845
207,1331.838455
208,1461.166208
209,1428.198923
210,975.731118
211,944.569645
212,764.162231
213,749.772169
214,501.618641
215,489.063391
216,489.063394
217,471.546264
218,489.06339
219,489.063388
220,471.54626
221,519.13774
222,569.362788
223,691.052519
224,1462.571389
225,1355.907769
226,1334.306634
227,1369.496248
228,1368.164883
229,1392.321308
230,1352.751828
231,1352.751206
232,1468.102545
233,1428.198923
234,984.311131
235,944.569644
236,764.162231
237,749.772169
238,501.618641
239,489.063391
240,489.063394
241,471.546264
242,489.06339
243,489.063387
244,471.54626
245,519.13774
246,569.362788
247,691.052519
248,1467.826259
249,1359.350867
250,1321.58548
251,1345.025249
252,1340.766194
253,1365.633418
254,1323.56892
255,1323.893696
256,1442.106293
257,1404.909824
258,973.34195
259,944.569644
260,764.162231
261,749.772169
262,501.618641
263,489.063391
264,489.063394
265,471.546264
266,489.06339
267,489.063387
268,471.54626
269,519.13774
270,569.362788
271,691.05252
272,1440.551015
273,1342.969477
274,1320.691233
275,1344.36822
276,1340.108148
277,1365.066574
278,1323.205048
279,1323.85136
280,1442.352622
281,1405.008003
282,979.552351
283,944.569644
284,764.162231
285,749.772169
286,501.618641
287,489.063391
288,489.063394
289,471.546264
290,489.06339
291,489.063387
292,471.54626
293,519.13774
294,569.362788
295,691.920364
296,1467.82626
297,1353.462777
298,1323.295385
299,1346.971046
300,1342.789533
301,1367.55713
302,1325.360913
303,1325.784063
304,1444.251276
305,1406.934867
306,986.288672
307,947.035349
308,764.162231
309,749.772169
310,501.618641
311,489.063391
312,428.944189
313,411.427058
314,428.944185
315,428.944182
316,411.427055
317,428.946152
318,569.362788
319,502.432635
320,754.451481
321,779.62778
322,768.838226
323,794.013258
324,779.627039
325,750.857957
326,432.189589
327,417.804098
328,462.890687
329,500.747533
330,411.428345
331,428.945477
332,428.945477
333,411.429653
334,428.944188
335,428.944184
336,411.426408
337,428.943543
338,428.943544
339,411.426407
340,428.94354
341,428.945508
342,411.426414
343,304.473862
344,262.983966
345,245.46684
346,262.983972
347,262.985277
348,245.468128
349,262.987227
350,262.985258
351,245.466838
352,304.473866
353,428.943542
354,411.426407
355,428.943542
356,428.943544
357,411.428378
358,428.943538
359,428.943539
360,411.426414
361,428.943542
362,428.943537
363,411.426411
364,428.943544
365,428.945509
366,411.426408
367,304.47386
368,262.983972
369,245.46684
370,262.983965
371,262.985276
372,245.46813
373,262.987227
374,262.98526
375,245.466841
376,304.473862
377,428.943538
378,411.426412
379,428.943544
380,428.943538
381,411.428371
382,428.943543
383,428.943545
384,471.546271
385,489.06339
386,489.063389
387,471.546262
388,489.063394
389,519.13774
390,569.362788
391,691.052509
392,1433.303307
393,1339.807822
394,1318.232078
395,1339.813724
396,1333.641904
397,1357.798345
398,1318.228868
399,1318.228205
400,1392.089943
401,1393.675911
402,973.341964
403,944.569646
404,764.162209
405,749.772165
406,501.618645
407,489.063394
408,489.063391
409,471.546257
410,489.06339
411,489.063393
412,471.546264
413,519.137741
414,569.362789
415,691.052509
416,1441.338068
417,1340.268098
418,1318.737179
419,1347.196566
420,1360.927414
421,1387.611789
422,1335.103272
423,1336.61002
424,1423.094435
425,1428.198888
426,977.764211
427,944.569644
428,764.162216
429,749.772165
430,501.618646
431,489.063394
432,489.06339
433,471.546257
434,489.063391
435,489.063394
436,471.546264
437,519.137741
438,569.362788
439,691.05251
440,1456.710119
441,1350.716746
442,1328.598804
443,1358.913325
444,1366.386349
445,1392.321338
446,1352.400498
447,1352.751176
448,1426.612957
449,1428.198882
450,982.108264
451,944.569642
452,764.162222
453,749.772164
454,501.618645
455,489.063393
456,489.063389
457,471.546257
458,489.063392
459,489.063394
460,471.546263
461,519.137739
462,569.362787
463,691.052512
464,1467.826264
465,1370.778272
466,1345.214412
467,1374.336708
468,1368.164888
469,1392.321346
470,1352.751831
471,1352.751175
472,1426.612699
473,1428.198882
474,989.377192
475,944.764379
476,764.16223
477,749.772163
478,501.618645
479,489.063391
480,428.944183
481,411.427053
482,428.944188
483,428.944189
484,411.427056
485,428.946149
486,569.362787
487,502.432627
488,754.451477
489,779.627777
490,768.838218
491,794.013268
492,779.627033
493,750.857952
494,432.189606
495,417.804083
496,462.890699
497,500.747534
498,411.428344
499,428.945475
500,428.945475
501,411.42966
502,428.944186
503,428.944188
504,411.426413
505,428.943538
506,428.943539
507,411.426414
