hours,kW
0,451.606825
1,497.276103
2,470.350134
3,516.965392
4,516.454846
5,480.081608
6,536.017545
7,394.121197
8,299.924894
9,353.572301
10,336.003167
11,293.76969
12,315.410002
13,306.94385
14,259.204352
15,290.698745
16,363.279197
17,428.77585
18,448.183672
19,445.845091
20,428.154314
21,454.286969
22,437.735204
23,427.565048
24,513.280521
25,505.353537
26,488.782402
27,510.312411
28,513.144054
29,526.715679
30,4154.285571
31,4636.587483
32,4071.134544
33,3732.129529
34,3509.095679
35,3338.468072
36,3643.504674
37,2963.696665
38,2796.835879
39,2598.414381
40,2684.603788
41,3116.25889
42,2324.878105
43,2197.607481
44,2058.009889
45,1994.998473
46,501.84285
47,496.786359
48,496.786362
49,479.269241
50,496.786378
51,489.287597
52,479.269257
53,529.14847
54,2502.149066
55,3362.06519
56,2620.254104
57,2472.972734
58,2400.198767
59,2390.872137
60,3563.054253
61,2343.248742
62,2268.034109
63,2253.195445
64,2404.808495
65,3746.54385
66,2139.205483
67,1961.641852
68,1933.338724
69,1965.945447
70,501.84285
71,510.530313
72,508.350861
73,494.028392
74,526.885202
75,513.226452
76,499.667053
77,564.01284
78,2824.570361
79,4175.631303
80,2987.315217
81,2778.273532
82,2726.276557
83,2697.05577
84,4253.982236
85,2654.269204
86,2438.896665
87,2481.719583
88,2608.751259
89,4096.978416
90,2245.797567
91,1973.547644
92,1883.955522
93,1880.21957
94,504.733365
95,527.419639
96,526.868576
97,505.0176
98,543.729347
99,532.607805
100,513.859913
101,589.771608
102,2784.067387
103,4829.568847
104,3198.923431
105,2936.728636
106,2630.778282
107,2500.376958
108,4411.493372
109,2550.124557
110,2355.480709
111,2404.550162
112,2738.73145
113,5001.467515
114,2669.965352
115,2613.431841
116,2690.613631
117,2828.41732
118,541.308352
119,595.89167
120,602.76721
121,559.752215
122,629.220197
123,620.353026
124,573.14308
125,677.638087
126,4315.328765
127,7535.040962
128,4444.916726
129,3948.798431
130,3660.060931
131,3425.872309
132,5650.828613
133,3063.141759
134,2909.411756
135,2898.69137
136,3168.470578
137,5590.686899
138,2960.183089
139,2736.079435
140,2643.714116
141,2686.384173
142,535.505052
143,584.841342
144,527.140054
145,488.012773
146,549.509934
147,536.680031
148,496.18451
149,560.087481
150,3669.272558
151,3668.043412
152,3269.026848
153,2872.735652
154,2601.831262
155,2379.946341
156,2165.440651
157,1979.624476
158,1697.75805
159,1721.907717
160,2020.453032
161,2261.799767
162,440.330887
163,496.772154
164,495.545914
165,461.717027
166,504.070202
167,490.211904
168,461.595918
169,509.067116
170,501.747526
171,459.293075
172,514.351577
173,506.735489
174,469.869293
175,391.249832
176,337.176051
177,304.839593
178,348.672824
179,332.324943
180,284.761806
181,331.738076
182,305.581676
183,287.338291
184,414.597927
185,496.119154
186,456.975733
187,511.383549
188,503.542586
189,467.591479
190,507.412221
191,506.642941
192,529.618972
193,578.856774
194,573.381483
195,527.721676
196,589.633008
197,612.294236
198,4593.173827
199,6469.987615
200,4309.351801
201,3797.448822
202,3557.412914
203,3456.904127
204,4989.136728
205,3008.171613
206,2967.618757
207,2898.229084
208,3059.845938
209,5107.240246
210,2937.276133
211,2720.380631
212,2630.448859
213,2605.677355
214,523.808274
215,561.570298
216,566.114284
217,533.249447
218,590.468418
219,582.771705
220,549.094465
221,638.909745
222,3908.47868
223,6435.834767
224,4013.704803
225,3605.40559
226,3311.371571
227,3098.597142
228,4775.070414
229,2868.542837
230,2808.894922
231,2729.505707
232,2835.694566
233,4670.49727
234,2540.565386
235,2332.198998
236,2241.413114
237,2235.377608
238,514.580034
239,543.780942
240,543.71173
241,516.391563
242,560.990895
243,550.084099
244,524.991663
245,602.557865
246,3145.51072
247,5131.492147
248,3343.54095
249,3030.265059
250,2873.880874
251,2766.458737
252,3835.462818
253,2598.277792
254,2498.091998
255,2477.348988
256,2616.851359
257,3949.442512
258,2305.178202
259,2117.745347
260,2034.740343
261,2018.782427
262,501.84285
263,517.458436
264,513.65897
265,496.099554
266,532.004067
267,518.356692
268,502.133783
269,564.158995
270,2841.523529
271,4097.233241
272,2978.702508
273,2761.414487
274,2655.907894
275,2613.16107
276,4134.871422
277,2521.276672
278,2275.977624
279,2214.868418
280,2464.704753
281,4158.687562
282,2083.703228
283,1923.739823
284,1831.574513
285,1871.435507
286,507.798287
287,533.656253
288,531.27413
289,504.896785
290,543.902834
291,531.321851
292,513.722408
293,587.152793
294,2707.319694
295,4706.385288
296,2770.526361
297,2476.081972
298,2355.908073
299,2306.680232
300,3873.352812
301,2410.228021
302,2294.474977
303,2221.584603
304,2401.37091
305,4040.615104
306,1971.510934
307,1804.882608
308,1714.013427
309,1728.693033
310,505.170626
311,528.526605
312,471.236697
313,450.457237
314,496.65356
315,483.608138
