hours,kW
0,375.990734
1,375.990744
2,360.620519
3,375.990741
4,375.990743
5,360.622163
6,375.990748
7,265.624123
8,213.465019
9,228.835251
10,228.835252
11,213.466117
12,228.83633
13,228.837976
14,213.466101
15,228.835249
16,302.413
17,360.620518
18,375.990741
19,375.990745
20,360.620519
21,375.992393
22,375.990742
23,360.620514
24,429.298683
25,429.298677
26,413.928446
27,429.298671
28,429.298672
29,436.730333
30,495.999958
31,588.44208
32,1200.214065
33,1117.312042
34,1098.180913
35,1117.317032
36,1111.844126
37,1133.263611
38,1098.178191
39,1098.177668
40,1200.458764
41,1183.064992
42,823.287466
43,797.775401
44,653.268154
45,640.50885
46,436.728684
47,429.298673
48,429.298675
49,413.928448
50,429.298673
51,429.29867
52,413.928445
53,452.100561
54,495.999958
55,588.442081
56,1205.676836
57,1118.324851
58,1099.078101
59,1121.475069
60,1118.969024
61,1141.720926
62,1104.088046
63,1104.841699
64,1210.773268
65,1194.189973
66,823.287465
67,797.7754
68,653.268156
69,640.50885
70,436.728684
71,429.298673
72,429.298675
73,413.928448
74,429.298673
75,429.29867
76,413.928445
77,452.100561
78,495.999958
79,588.442082
80,1211.330642
81,1123.456702
82,1103.573585
83,1125.513101
84,1122.505415
85,1144.757117
86,1106.798032
87,1107.31898
88,1212.995874
89,1196.471093
90,823.287465
91,797.7754
92,653.268156
93,640.50885
94,436.728684
95,429.298673
96,429.298675
97,413.928448
98,429.298672
99,429.29867
100,413.928445
101,452.100561
102,495.999958
103,588.442082
104,1229.873159
105,1146.971135
106,1127.840006
107,1146.976119
108,1141.503221
109,1162.922707
110,1127.837288
111,1127.836767
112,1230.117855
113,1210.195232
114,837.053681
115,797.867688
116,653.268156
117,640.50885
118,436.728684
119,429.298673
120,429.298676
121,413.928448
122,429.298672
123,429.29867
124,413.928445
125,452.100561
126,495.999958
127,588.442082
128,1229.873159
129,1138.346548
130,1116.623136
131,1144.873379
132,1141.503221
133,1162.922707
134,1127.837288
135,1127.836768
136,1230.117854
137,1210.195232
138,835.678066
139,797.803648
140,653.268156
141,640.50885
142,436.728684
143,429.298673
144,375.991287
145,360.621059
146,375.991283
147,375.991281
148,360.621056
149,375.992931
150,495.999958
151,436.653209
152,629.198604
153,651.522106
154,641.955132
155,664.277574
